"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Accuracy and Precision of Species Trees: Effects of Locus, Individual, and Base Pair Sampling on Inference of Species Trees in Lizards of the Liolaemus darwinii Group (Squamata, Liolaemidae)","https://scispace.com/paper/accuracy-and-precision-of-species-trees-effects-of-locus-54tuabpvoq","2012","Journal Article","Systematic Biology","Arley Camargo
Luciano Javier Avila
Mariana Morando
Jack W. Sites","10.1093/SYSBIO/SYR105","","Molecular phylogenetics has entered a new era in which species trees are estimated from a collection of gene trees using methods that accommodate their heterogeneity and discordance with the species tree. Empirical evaluation of species trees is necessary to assess the performance (i.e., accuracy and precision) of these methods with real data, which consists of gene genealogies likely shaped by different historical and demographic processes. We analyzed 20 loci for 16 species of the South American lizards of the Liolaemus darwinii species group and reconstructed a species tree with *BEAST, then compared the performance of this method under different sampling strategies of loci, individuals, and sequence lengths. We found an increase in the accuracy and precision of species trees with the number of loci, but for any number of loci, accuracy substantially decreased only when using only one individual per species or 25% of the full sequence length (� 147 bp). In addition, locus ""informativeness"" was an important factor in the accuracy/precision of species trees when using a few loci, but it became increasingly irrelevant with additional loci. Our empirical results combined with the previous simulation studies suggest that there is an optimal range of sampling effort of loci, individuals, and sequence lengths for a given speciation history and information content of the data. Future studies should be directed toward further assessment of other factors that can impact performance of species trees, including gene flow, locus ""informativeness,"" tree shape, missing data, and errors in species delimitation. (Accuracy; coalescent; Liolaemus; phylogeny; precision; sampling; South America; species trees.)","The empirical results combined with the previous simulation studies suggest that there is an optimal range of sampling effort of loci, individuals, and sequence lengths for a given speciation history and information content of the data."
"Applying species-tree analyses to deep phylogenetic histories: Challenges and potential suggested from a survey of empirical phylogenetic studies","https://scispace.com/paper/applying-species-tree-analyses-to-deep-phylogenetic-2dbytb59ou","2015","Journal Article","Molecular Phylogenetics and Evolution","Hayley C. Lanier
L. Lacey Knowles","10.1016/J.YMPEV.2014.10.022","","","By determining the proportion of coalescent genealogies that support a particular node, it is demonstrated that species-tree methods account for coalescent variance at deep nodes and mutational variance posed the primary challenge for accurate reconstruction across the tree."
"Fast coalescent-based computation of local branch support from quartet frequencies","https://scispace.com/paper/fast-coalescent-based-computation-of-local-branch-support-44z16axlk6","2016","Journal Article","Molecular Biology and Evolution","Erfan Sayyari
Siavash Mirarab","10.1093/MOLBEV/MSW079","","Species tree reconstruction is complicated by effects of incomplete lineage sorting, commonly modeled by the multi-species coalescent model (MSC). While there has been substantial progress in developing methods that estimate a species tree given a collection of gene trees, less attention has been paid to fast and accurate methods of quantifying support. In this article, we propose a fast algorithm to compute quartet-based support for each branch of a given species tree with regard to a given set of gene trees. We then show how the quartet support can be used in the context of the MSC to compute (1) the local posterior probability (PP) that the branch is in the species tree and (2) the length of the branch in coalescent units. We evaluate the precision and recall of the local PP on a wide set of simulated and biological datasets, and show that it has very high precision and improved recall compared with multi-locus bootstrapping. The estimated branch lengths are highly accurate when gene tree estimation error is low, but are underestimated when gene tree estimation error increases. Computation of both the branch length and local PP is implemented as new features in ASTRAL.","This article proposes a fast algorithm to compute quartet-based support for each branch of a given species tree with regard to a given set of gene trees and evaluates the precision and recall of the local PP on a wide set of simulated and biological datasets."
"Dissecting Incongruence between Concatenation- and Quartet-Based Approaches in Phylogenomic Data.","https://scispace.com/paper/dissecting-incongruence-between-concatenation-and-quartet-1vo47f6qwy","2021","Journal Article","Systematic Biology","Xing-Xing Shen
Jacob L. Steenwyk
Antonis Rokas","10.1093/SYSBIO/SYAB011","","Topological conflict or incongruence is widespread in phylogenomic data. Concatenation- and coalescent-based approaches often result in incongruent topologies, but the causes of this conflict can be difficult to characterize. We examined incongruence stemming from conflict the between likelihood-based signal (quantified by the difference in gene-wise log-likelihood score or $\Delta $GLS) and quartet-based topological signal (quantified by the difference in gene-wise quartet score or $\Delta $GQS) for every gene in three phylogenomic studies in animals, fungi, and plants, which were chosen because their concatenation-based IQ-TREE (T1) and quartet-based ASTRAL (T2) phylogenies are known to produce eight conflicting internal branches (bipartitions). By comparing the types of phylogenetic signal for all genes in these three data matrices, we found that 30-36% of genes in each data matrix are inconsistent, that is, each of these genes has a higher log-likelihood score for T1 versus T2 (i.e., $\Delta $GLS $>$0) whereas its T1 topology has lower quartet score than its T2 topology (i.e., $\Delta $GQS $<$0) or vice versa. Comparison of inconsistent and consistent genes using a variety of metrics (e.g., evolutionary rate, gene tree topology, distribution of branch lengths, hidden paralogy, and gene tree discordance) showed that inconsistent genes are more likely to recover neither T1 nor T2 and have higher levels of gene tree discordance than consistent genes. Simulation analyses demonstrate that the removal of inconsistent genes from data sets with low levels of incomplete lineage sorting (ILS) and low and medium levels of gene tree estimation error (GTEE) reduced incongruence and increased accuracy. In contrast, removal of inconsistent genes from data sets with medium and high ILS levels and high GTEE levels eliminated or extensively reduced incongruence, but the resulting congruent species phylogenies were not always topologically identical to the true species trees.[Conflict; gene tree; phylogenetic signal; phylogenetics; phylogenomics; Tree of Life.].","In this paper, the authors examined the causes of topological conflict in phylogenomic data and found that 30-36% of genes in each data matrix are inconsistent, that is, each of these genes has a higher log-likelihood score for T1 versus T2 (i.e., $\Delta $GLS $>$0) whereas its T1 topology has lower quartet score than its T2 topology or vice versa)."
"Filtration of Gene Trees From 9,000 Exons, Introns, and UCEs Disentangles Conflicting Phylogenomic Relationships in Tree Frogs (Hylidae)","https://scispace.com/paper/filtration-of-gene-trees-from-9000-exons-introns-and-uces-2gzjrfyy","2023","Journal Article","Genome Biology and Evolution","Carl R. Hutter
William E. Duellman","10.1093/gbe/evad070","","Abstract An emerging challenge in interpreting phylogenomic data sets is that concatenation and multi-species coalescent summary species tree approaches may produce conflicting results. Concatenation is problematic because it can strongly support an incorrect topology when incomplete lineage sorting (ILS) results in elevated gene-tree discordance. Conversely, summary species tree methods account for ILS to recover the correct topology, but these methods do not account for erroneous gene trees (“EGTs”) resulting from gene tree estimation error (GTEE). Third, site-based and full-likelihood methods promise to alleviate GTEE as these methods use the sequence data from alignments. To understand the impact of GTEE on species tree estimation in Hylidae tree frogs, we use an expansive data set of ∼9,000 exons, introns, and ultra-conserved elements and initially found conflict between all three types of analytical methods. We filtered EGTs using alignment metrics that could lead to GTEE (length, parsimony-informative sites, and missing data) and found that removing shorter, less informative alignments reconciled the conflict between concatenation and summary species tree methods with increased gene concordance, with the filtered topologies matching expected results from past studies. Contrarily, site-based and full-likelihood methods were mixed where one method was consistent with past studies and the other varied markedly. Critical to other studies, these results suggest a widespread conflation of ILS and GTEE, where EGTs rather than ILS are driving discordance. Finally, we apply these recommendations to an R package named PhyloConfigR, which facilitates phylogenetic software setup, summarizes alignments, and provides tools for filtering alignments and gene trees.","In this paper , the impact of gene tree estimation error (GTEE) on species tree estimation in Hylidae tree frogs was investigated using a set of ∼9,000 exons, introns, and ultra-conserved elements and found that removing shorter, less informative alignments reconciled the conflict between concatenation and summary species tree methods with increased gene concordance."
"Phylogenomic subsampling: a brief review","https://scispace.com/paper/phylogenomic-subsampling-a-brief-review-50jhctkea2","2016","Journal Article","Zoologica Scripta","Scott V. Edwards","10.1111/ZSC.12210","","Phylogenomic subsampling is a method for studying the stability of phylogenetic analyses by taking random or ordered subsamples of loci and comparing phylogenetic analyses of those subsamples. The method is made possible by the large number of loci made available by application of next-generation sequencing methods to phylogenetic questions. My laboratory has used phylogenomic subsampling to investigate the consistency and stability of various methods of phylogenetic analysis of multilocus data sets, including the so-called species tree methods, which use the multispecies coalescent as a framework for interpreting gene tree heterogeneity. I was inspired to focus on this method for this symposium volume because my Harvard colleague Gonzalo Giribet had independently been using phylogenomic subsampling to explore various questions in invertebrate phylogenomics. Phylogenomic subsampling has many useful applications in phylogenomics, yet when reporting the particulars of the results of such analyses, care should be taken to focus primarily on discrepancies that achieve a high level of support by the bootstrap or other methods. Using a recently published example, I show that the methods used to summarize the results of a subsampling experiment, such as the threshold for reporting support for one or another tree or clade, can influence the perceived success or failure of concatenation or species tree methods. Single- versus double-bootstrapping is also shown to produce different subsampling results. I suggest guidelines for analysing and reporting the results of phylogenomic subsampling and suggest that it should become a routine part of phylogenetic analysis in the next-generation era.","It is shown that the methods used to summarize the results of a subsampling experiment, such as the threshold for reporting support for one or another tree or clade, can influence the perceived success or failure of concatenation or species tree methods."
"Multispecies Coalescent Analysis of the Early Diversification of Neotropical Primates: Phylogenetic Inference under Strong Gene Trees/Species Tree Conflict","https://scispace.com/paper/multispecies-coalescent-analysis-of-the-early-1kj4qh4cbg","2014","Journal Article","Genome Biology and Evolution","Carlos G. Schrago
Albert N. Menezes
Carolina Furtado
Cibele R. Bonvicino
Héctor N. Seuánez","10.1093/GBE/EVU244","","Neotropical primates (NP) are presently distributed in the New World from Mexico to northern Argentina, comprising three large families, Cebidae, Atelidae, and Pitheciidae, consequently to their diversification following their separation from Old World anthropoids near the Eocene/Oligocene boundary, some 40 Ma. The evolution of NP has been intensively investigated in the last decade by studies focusing on their phylogeny and timescale. However, despite major efforts, the phylogenetic relationship between these three major clades and the age of their last common ancestor are still controversial because these inferences were based on limited numbers of loci and dating analyses that did not consider the evolutionary variation associated with the distribution of gene trees within the proposed phylogenies. We show, by multispecies coalescent analyses of selected genome segments, spanning along 92,496,904 bp that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids. The molecular phylogeny of NP has been difficult to solve because of population-level phenomena at the early evolution of the lineage. The association of evolutionary variation with the distribution of gene trees within proposed phylogenies is crucial for distinguishing the mean genetic divergence between species (the mean coalescent time between loci) from speciation time. This approach, based on extensive genomic data provided by new generation DNA sequencing, provides more accurate reconstructions of phylogenies and timescales for all organisms.","It is shown, by multispecies coalescent analyses of selected genome segments, that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids."
"Error in Phylogenetic Estimation for Bushes in the Tree of Life","https://scispace.com/paper/error-in-phylogenetic-estimation-for-bushes-in-the-tree-of-11ixhct8qc","2013","Journal Article","","Swati Patel
Rebecca T. Kimball
Edward L. Braun","10.4172/2329-9002.1000110","","Many rapid radiations, or bushes, throughout the Tree of Life remain unresolved. Here, we investigated how the shape of a bush interacts with two key processes - coalescence and mutation - that can lead to errors in phylogenetic inference under specific conditions. For this study, we focused on the tradeoff between sampling more individuals per species and sampling more loci as well as the utility of a species tree method based upon gene tree reconciliation and the concatenation of multiple loci for resolving bushes. We examined different bush shapes, varying both the speciation rate during the radiation and the depth of the radiation, to encompass a broad range of situations. Using simulations based upon parameters derived from empirical studies, we investigated the performance of phylogenetic analyses under different conditions to identify approaches with the greatest potential to resolve difficult phylogenies. Sampling a single individual for more loci outperformed sampling multiple individuals for one locus in all cases except the most recent radiations. We found that error due to homoplastic mutations increased with depth, while error due to the coalescent process remained unchanged. These simulations also revealed that, for certain ancient bushes, analyses of concatenated data matrices surprisingly resulted in more accurate phylogenies than gene tree reconciliation. The poor performance of gene tree reconciliation in this study appeared to reflect the poor estimation of gene trees, not the superiority of concatenation per se. Our results suggest concatenation remains a useful approximate method for species tree estimation, even for rapid evolutionary radiations. However, improved estimation of gene trees combined with use of gene tree reconciliation has the greatest potential for resolving the remaining bushes of the Tree of Life.","The results suggest concatenation remains a useful approximate method for species tree estimation, even for rapid evolutionary radiations, and improved estimation of gene trees combined with use of gene tree reconciliation has the greatest potential for resolving the remaining bushes of the Tree of Life."
"Phylogenetic conflicts: distinguishing gene flow from incomplete lineage sorting","https://scispace.com/paper/phylogenetic-conflicts-distinguishing-gene-flow-from-3tvfoahb","2023","Posted Content","bioRxiv","Nicolas Galtier","10.1101/2023.07.06.547897","","Gene flow and incomplete lineage sorting are two distinct sources of phylogenetic conflict, i.e., gene trees that differ in topology from each other and from the species tree. Distinguishing between the two processes is a key objective of current evolutionary genomics. This is most often pursued via the so-called ABBA-BABA type of method, which relies on a prediction of symmetry of gene tree discordance made by the incomplete lineage sorting hypothesis. Gene flow, however, need not be asymmetric, and the ABBA-BABA hypothesis-testing approach is not a proper way of measuring gene flow prevalence. We introduce Aphid, a maximum-likelihood method aimed at quantifying the sources of phylogenetic conflict via topology and branch length analysis of three-species gene trees. Aphid draws information from the fact that gene trees affected by gene flow tend to have shorter branches, and gene trees affected by incomplete lineage sorting longer branches, than the average gene tree. Accounting for the among-loci variance in mutation rate and gene flow time, Aphid returns estimates of the speciation times and ancestral effective population size, and a posterior assessment of the contribution of gene flow and incomplete lineage sorting to the conflict. Simulations suggest that Aphid is reasonably robust to a wide range of conditions. An analysis of exon trees in mammals illustrates the potential of the approach. Notably, Aphid predicts that roughly half of the human/chimpanzee/gorilla phylogenetic conflict is due to ancient gene flow. This also translates in older estimated speciation times and a smaller estimated effective population size in this group, compared to existing analyses assuming no gene flow.","Agarwal et al. as mentioned in this paper proposed a maximum-likelihood method to quantify the sources of phylogenetic conflict via topology and branch length analysis of three-species gene trees."
"Impact of Ghost Introgression on Coalescent-Based Species Tree Inference and Estimation of Divergence Time","https://scispace.com/paper/impact-of-ghost-introgression-on-coalescent-based-species-1x8h6zz6","2022","Journal Article","Systematic Biology","","10.1093/sysbio/syac047","","The species studied in any evolutionary investigation generally constitute a small proportion of all the species currently existing or that have gone extinct. It is therefore likely that introgression, which is widespread across the tree of life, involves ""ghosts,"" that is, unsampled, unknown, or extinct lineages. However, the impact of ghost introgression on estimations of species trees has rarely been studied and is poorly understood. Here, we use mathematical analysis and simulations to examine the robustness of species tree methods based on the multispecies coalescent model to introgression from a ghost or extant lineage. We found that many results originally obtained for introgression between extant species can easily be extended to ghost introgression, such as the strongly interactive effects of incomplete lineage sorting (ILS) and introgression on the occurrence of anomalous gene trees. The relative performance of the summary species tree method (ASTRAL) and the full-likelihood method (*BEAST) varies under different introgression scenarios, with the former being more robust to gene flow between nonsister species, whereas the latter performing better under certain conditions of ghost introgression. When an outgroup ghost (defined as a lineage that diverged before the most basal species under investigation) acts as the donor of the introgressed genes, the time of root divergence among the investigated species generally was overestimated, whereas ingroup introgression, as commonly perceived, can only lead to underestimation. In many cases of ingroup introgression that may or may not involve ghost lineages, the stronger the ILS, the higher the accuracy achieved in estimating the time of root divergence, although the topology of the species tree is more prone to be biased by the effect of introgression. [Anomalous gene trees; divergence time; ghost introgression; multispecies coalescent; simulation; species tree.]. ","In this paper , the authors use mathematical analysis and simulations to examine the robustness of species tree methods based on the multispecies coalescent model to introgression from a ghost or extant lineage."
