"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"StarBeast3: Adaptive Parallelized Bayesian Inference under the Multispecies Coalescent","https://scispace.com/paper/starbeast3-adaptive-parallelized-bayesian-inference-under-o79fqsdh","2022","Journal Article","Systematic Biology","Jordan Douglas
Cinthy Lorena Jiménez-Silva
Remco R. Bouckaert","10.1093/sysbio/syac010","","Abstract As genomic sequence data become increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent (MSC) methods address these issues. This is achieved by constraining a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3—a software package for efficient Bayesian inference under the MSC model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene-tree inference is parallelized, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic data sets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes. StarBeast3 is open-source and is easy to set up with a friendly graphical user interface. [Adaptive; Bayesian inference; BEAST 2; effective population sizes; high performance; multispecies coalescent; parallelization; phylogenetics.]","The results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes."
"OUP accepted manuscript","https://scispace.com/paper/oup-accepted-manuscript-206ngf6o","2022","Journal Article","Systematic Biology","","10.1093/sysbio/syac010","","As genomic sequence data become increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent (MSC) methods address these issues. This is achieved by constraining a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3-a software package for efficient Bayesian inference under the MSC model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene-tree inference is parallelized, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic data sets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes. StarBeast3 is open-source and is easy to set up with a friendly graphical user interface. [Adaptive; Bayesian inference; BEAST 2; effective population sizes; high performance; multispecies coalescent; parallelization; phylogenetics.]. ","StarBeast3 as discussed by the authors is a software package for efficient Bayesian inference under the multispecies coalescent (MSC) model via Markov chain Monte Carlo (MCMC)."
"StarBeast3: Adaptive Parallelised Bayesian Inference of the Multispecies Coalescent","https://scispace.com/paper/starbeast3-adaptive-parallelised-bayesian-inference-of-the-131xcnmut7","2021","Posted Content","bioRxiv","Jordan Douglas
Cinthy L. Jiménez-Silva
Remco R. Bouckaert","10.1101/2021.10.06.463424","","As genomic sequence data becomes increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent methods address these issues. This is achieved by embedding a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3 -- a software package for efficient Bayesian inference of the multispecies coalescent model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene tree inference is parallelised, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic datasets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the dataset and on the parameter, and is suitable for multispecies coalescent inference on large datasets (100+ genes). StarBeast3 is open-source and is easy to set up with a friendly graphical user interface.","StarBeast3 as mentioned in this paper is a software package for efficient Bayesian inference of the multispecies coalescent model via Markov chain Monte Carlo (MCMC) with a relaxed clock model."
"Quantitatively defining species boundaries with more efficiency and more biological realism","https://scispace.com/paper/quantitatively-defining-species-boundaries-with-more-g96urg5a","2022","Posted Content","","Jordan Douglas","10.1101/2022.02.14.480439","","Abstract We introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods. We extend the phylogenetic tree collapse model to the Yule-skyline model, allowing the ancestral speciation rate to vary through time as a smooth piecewise function. Furthermore, we introduce the cutting-edge proposal kernels of StarBeast3 to this model, thus enabling rapid species delimitation on large molecular datasets and allowing the use of relaxed molecular clock models. We validate these methods with genomic sequence data and SNP data, and show they are more efficient than existing methods at achieving parameter convergence during Bayesian MCMC. Lastly, we apply these methods to two datasets and find inconsistencies with the published literature. Our methods are powerful for rapid quantitative testing of species boundaries in large multilocus datasets and are implemented as an open source BEAST 2 package called SPEEDEMON. ","In this article , the authors introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods, allowing the ancestral speciation rate to vary through time as a smooth piecewise function."
"Quantitatively defining species boundaries with more efficiency and more biological realism","https://scispace.com/paper/quantitatively-defining-species-boundaries-with-more-ap81yfv5","2022","Journal Article","Communications biology","Jordan Douglas
Remco R. Bouckaert","10.1038/s42003-022-03723-z","","Abstract We introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods. We extend a threshold-based method to allow the ancestral speciation rate to vary through time as a smooth piecewise function. Furthermore, we introduce the cutting-edge proposal kernels of StarBeast3 to this model, thus enabling rapid species delimitation on large molecular datasets and allowing the use of relaxed molecular clock models. We validate these methods with genomic sequence data and SNP data, and show they are more efficient than existing methods at achieving parameter convergence during Bayesian MCMC. Lastly, we apply these methods to two datasets ( Hemidactylus and Galagidae ) and find inconsistencies with the published literature. Our methods are powerful for rapid quantitative testing of species boundaries in large multilocus datasets and are implemented as an open source BEAST 2 package called SPEEDEMON. ","In this article , a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods is introduced. But this method does not support the use of relaxed molecular clock models."
"Computational Performance and Statistical Accuracy of *BEAST and Comparisons with Other Methods","https://scispace.com/paper/computational-performance-and-statistical-accuracy-of-beast-zggk2vzo66bp","2022","Repository","","Ogilvie, Huw A.
Heled, Joseph
Xie Dong
Drummond, Alexei J.","10.48550/arxiv.1506.06446","","Under the multispecies coalescent model of molecular evolution, gene trees have independent evolutionary histories within a shared species tree. In comparison, supermatrix concatenation methods assume that gene trees share a single common genealogical history, thereby equating gene coalescence with species divergence. The multispecies coalescent is supported by previous studies which found that its predicted distributions fit empirical data, and that concatenation is not a consistent estimator of the species tree. *BEAST, a fully Bayesian implementation of the multispecies coalescent, is popular but computationally intensive, so the increasing size of phylogenetic data sets is both a computational challenge and an opportunity for better systematics. Using simulation studies, we characterize the scaling behaviour of *BEAST, and enable quantitative prediction of the impact increasing the number of loci has on both computational performance and statistical accuracy. Follow up simulations over a wide range of parameters show that the statistical performance of *BEAST relative to concatenation improves both as branch length is reduced and as the number of loci is increased. Finally, using simulations based on estimated parameters from two phylogenomic data sets, we compare the performance of a range of species tree and concatenation methods to show that using *BEAST with tens of loci can be preferable to using concatenation with thousands of loci. Our results provide insight into the practicalities of Bayesian species tree estimation, the number of loci required to obtain a given level of accuracy and the situations in which supermatrix or summary methods will be outperformed by the fully Bayesian multispecies coalescent. ",""
"A simulation study to examine the impact of recombination on phylogenomic inferences under the multispecies coalescent model","https://scispace.com/paper/a-simulation-study-to-examine-the-impact-of-recombination-on-j60ayoi1","2022","Journal Article","Molecular Ecology","Tianqi Zhu
Tomas Flouri
Ziheng Yang","10.1111/mec.16433","","Phylogenomic analyses under the multispecies coalescent model assume no recombination within locus and free recombination among loci. Yet, in real data sets intralocus recombination causes different sites of the same locus to have different genealogical histories so that the model is misspecified. The impact of recombination on various coalescent‐based phylogenomic analyses has not been systematically examined. Here, we conduct a computer simulation to examine the impact of recombination on several Bayesian analyses of multilocus sequence data, including species tree estimation, species delimitation (by Bayesian selection of delimitation models) and estimation of evolutionary parameters such as species divergence and introgression times, population sizes for modern and extinct species, and cross‐species introgression probabilities. We found that recombination, at rates comparable to estimates from the human being, has little impact on coalescent‐based species tree estimation, species delimitation and estimation of population parameters. At rates 10 times higher than the human rate, recombination may affect parameter estimation, causing positive biases in introgression times and ancestral population sizes, although species divergence times and cross‐species introgression probabilities are estimated with little bias. Overall, the simulation suggests that phylogenomic inferences under the multispecies coalescent model are robust to realistic amounts of intralocus recombination.","It is found that recombination, at rates comparable to estimates from the human being, has little impact on coalescent‐based species tree estimation, species delimitation and estimation of population parameters, although species divergence times and cross‐species introgression probabilities are estimated with little bias."
"Multispecies coalescent and its applications to infer species phylogenies and cross-species gene flow","https://scispace.com/paper/multispecies-coalescent-and-its-applications-to-infer-3c70cd0uo3","2021","Journal Article","National Science Review","Xiyun Jiao
Xiyun Jiao
Tomas Flouri
Ziheng Yang","10.1093/NSR/NWAB127","","Abstract Multispecies coalescent (MSC) is the extension of the single-population coalescent model to multiple species. It integrates the phylogenetic process of species divergences and the population genetic process of coalescent, and provides a powerful framework for a number of inference problems using genomic sequence data from multiple species, including estimation of species divergence times and population sizes, estimation of species trees accommodating discordant gene trees, inference of cross-species gene flow and species delimitation. In this review, we introduce the major features of the MSC model, discuss full-likelihood and heuristic methods of species tree estimation and summarize recent methodological advances in inference of cross-species gene flow. We discuss the statistical and computational challenges in the field and research directions where breakthroughs may be likely in the next few years.","The major features of the MSC model are introduced, full-likelihood and heuristic methods of species tree estimation are discussed, and recent methodological advances in inference of cross-species gene flow are summarized."
"“Correcting” gene trees to be more like species trees increases topological error when incomplete lineage sorting is high","https://scispace.com/paper/correcting-gene-trees-to-be-more-like-species-trees-2l7ac8qm","2022","Posted Content","bioRxiv","Zhi Yan
Huw A. Ogilvie
Luay Nakhleh","10.1101/2022.08.21.504711","","The evolutionary histories of individual loci in a genome can be estimated independently, but this approach is error-prone due to the limited amount of sequence data available for each gene, which has led to the development of a diverse array of gene tree error correction methods which reduce distance to the species tree. We investigate the performance of two representatives of these methods: TRACTION and TreeFix, in the case where incomplete lineage sorting is high. We found that gene tree error correction only increases the level of error in gene tree topologies by “correcting” them to be closer to the species tree, even when the true gene and species trees are discordant. We confirm that full Bayesian inference of the gene trees under the multispecies coalescent model is more accurate than independent inference. Gene tree correction must be considered a multi-locus task where the gene tree distribution is taken into account, rather than treating gene trees independently. Significance statement Gene tree information is essential for studying elucidating gene, genome, species, and phenotypic evolution, and a wide array of phylogenetic methods have been developed for gene tree estimation. Given that gene tree estimates are often inaccurate, several methods for “correcting” gene tree estimates have been devised. Here we show that correction methods that neglect the distribution of gene trees that is induced by the species phylogeny could produce poor results, calling for the development of species phylogeny-aware gene tree correction.","It is found that gene tree error correction only increases the level of error in gene tree topologies by “correcting” them to be closer to the species tree, even when the true gene and species trees are discordant."
"Phylogeny Inference Under Time-Decaying Migration and Varying Information Content","https://scispace.com/paper/phylogeny-inference-under-time-decaying-migration-and-16igvzk7l0","2023","Journal Article","bioRxiv","Zaynab Shaik
Nicola G. Bergh
G. Anthony Verboom
Bengt Oxelman","10.1101/2023.11.23.568248","","Postspeciation gene flow is widespread across the Tree of Life but is ignored as a cause of gene tree discordance under the standard multispecies coalescent. Where interspecific migration has occurred but is not modelled explicitly, effective population sizes, divergence times and topology can be seriously misestimated. Isolation-with-migration and multispecies coalescent-with-introgression models explicitly model migration but include additional parameters that limit their computational viability with even moderately sized molecular data sets. Here we simulate the evolution of sequences which vary in molecular information content under the coalescent while allowing continuous, tree-wide gene flow/migration between contemporaneous branches, the rate of which decreases with time since divergence. Using simulated sequences, we evaluate the performance of DENIM under rapidly to gradually time-decaying migration and benchmark its performance against the standard MSC method StarBeast3. DENIM consistently outperforms StarBeast3, both in phylogenetic accuracy and computational performance per core. Rapidly decaying migration is associated with improved topology and divergence time estimates under both DENIM and StarBeast3. While species tree estimation accuracy is not improved by increasing the number of loci from 30 to 60 under either method, model convergence is slowed considerably. By contrast, increasing sequence length to 10,000 bp has no clear effect on convergence rates, but shows a tendency towards increased accuracy in DENIM. We apply DENIM and StarBeast3 with a 36-locus empirical bat data set and recover species trees identical in topology to those obtained with 12,931 loci. Our work demonstrates that DENIM can deliver accurate phylogenetic estimates in the presence of both deep coalescence and empirically realistic migration patterns using as few as 30 loci with single-core runtimes of 2-3 days.","This work demonstrates that DENIM can deliver accurate phylogenetic estimates in the presence of both deep coalescence and empirically realistic migration patterns using as few as 30 loci with single-core runtimes of 2-3 days."
