"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Inconsistency of phylogenetic estimates from concatenated data under coalescence.","https://scispace.com/paper/inconsistency-of-phylogenetic-estimates-from-concatenated-25rgus14mn","2007","Journal Article","Systematic Biology","Laura Kubatko
James H. Degnan","10.1080/10635150601146041","","Although multiple gene sequences are becoming increasingly available for molecular phylogenetic inference, the analysis of such data has largely relied on inference methods designed for single genes. One of the common approaches to analyzing data from multiple genes is concatenation of the individual gene data to form a single supergene to which traditional phylogenetic inference procedures - e.g., maximum parsimony (MP) or maximum likelihood (ML) - are applied. Recent empirical studies have demonstrated that concatenation of sequences from multiple genes prior to phylogenetic analysis often results in inference of a single, well-supported phylogeny. Theoretical work, however, has shown that the coalescent can produce substantial variation in single-gene histories. Using simulation, we combine these ideas to examine the performance of the concatenation approach under conditions in which the coalescent produces a high level of discord among individual gene trees and show that it leads to statistically inconsistent estimation in this setting. Furthermore, use of the bootstrap to measure support for the inferred phylogeny can result in moderate to strong support for an incorrect tree under these conditions. These results highlight the importance of incorporating variation in gene histories into multilocus phylogenetics.","Simulation is used to examine the performance of the concatenation approach under conditions in which the coalescent produces a high level of discord among individual gene trees and show that it leads to statistically inconsistent estimation in this setting."
"Naive binning improves phylogenomic analyses","https://scispace.com/paper/naive-binning-improves-phylogenomic-analyses-30l81v37w6","2013","Journal Article","Bioinformatics","Shamsuzzoha Bayzid
Tandy Warnow","10.1093/BIOINFORMATICS/BTT394","","Motivation: Species tree estimation in the presence of incomplete lineage sorting (ILS) is a major challenge for phylogenomic analysis. Although many methods have been developed for this problem, little is understood about the relative performance of these methods when estimated gene trees are poorly estimated, owing to inadequate phylogenetic signal. Results: We explored the performance of some methods for estimating species trees from multiple markers on simulated datasets in which gene trees differed from the species tree owing to ILS. We included *BEAST, concatenated analysis and several ‘summary methods’: BUCKy, MP-EST, minimize deep coalescence, matrix representation with parsimony and the greedy consensus. We found that *BEAST and concatenation gave excellent results, often with substantially improved accuracy over the other methods. We observed that *BEAST’s accuracy is largely due to its ability to co-estimate the gene trees and species tree. However, *BEAST is computationally intensive, making it challenging to run on datasets with 100 or more genes or with more than 20 taxa. We propose a new approach to species tree estimation in which the genes are partitioned into sets, and the species tree is estimated from the resultant ‘supergenes’. We show that this technique improves the scalability of *BEAST without affecting its accuracy and improves the accuracy of the summary methods. Thus, naive binning can improve phylogenomic analysis in the presence of","A new approach to species tree estimation is proposed in which the genes are partitioned into sets, and the species tree is estimated from the resultant 'supergenes', and it is shown that naive binning can improve phylogenomic analysis in the presence of ILS."
"Bayesian Inference of Species Trees from Multilocus Data","https://scispace.com/paper/bayesian-inference-of-species-trees-from-multilocus-data-2pcc2zjdra","2010","Journal Article","Molecular Biology and Evolution","Joseph Heled
Alexei J. Drummond","10.1093/MOLBEV/MSP274","","Until recently, it has been common practice for a phylogenetic analysis to use a single gene sequence from a single individual organism as a proxy for an entire species. With technological advances, it is now becoming more common to collect data sets containing multiple gene loci and multiple individuals per species. These data sets often reveal the need to directly model intraspecies polymorphism and incomplete lineage sorting in phylogenetic estimation procedures. For a single species, coalescent theory is widely used in contemporary population genetics to model intraspecific gene trees. Here, we present a Bayesian Markov chain Monte Carlo method for the multispecies coalescent. Our method coestimates multiple gene trees embedded in a shared species tree along with the effective population size of both extant and ancestral species. The inference is made possible by multilocus data from multiple individuals per species. Using a multiindividual data set and a series of simulations of rapid species radiations, we demonstrate the efficacy of our new method. These simulations give some insight into the behavior of the method as a function of sampled individuals, sampled loci, and sequence length. Finally, we compare our new method to both an existing method (BEST 2.2) with similar goals and the supermatrix (concatenation) method. We demonstrate that both BEST and our method have much better estimation accuracy for species tree topology than concatenation, and our method outperforms BEST in divergence time and population size estimation.","It is demonstrated that both BEST and the new Bayesian Markov chain Monte Carlo method for the multispecies coalescent have much better estimation accuracy for species tree topology than concatenation, and the method outperforms BEST in divergence time and population size estimation."
"A maximum pseudo-likelihood approach for estimating species trees under the coalescent model","https://scispace.com/paper/a-maximum-pseudo-likelihood-approach-for-estimating-species-et072z0gr2","2010","Journal Article","BMC Evolutionary Biology","Liang-Liang Liu
Lili Yu
Scott V. Edwards","10.1186/1471-2148-10-302","","Several phylogenetic approaches have been developed to estimate species trees from collections of gene trees. However, maximum likelihood approaches for estimating species trees under the coalescent model are limited. Although the likelihood of a species tree under the multispecies coalescent model has already been derived by Rannala and Yang, it can be shown that the maximum likelihood estimate (MLE) of the species tree (topology, branch lengths, and population sizes) from gene trees under this formula does not exist. In this paper, we develop a pseudo-likelihood function of the species tree to obtain maximum pseudo-likelihood estimates (MPE) of species trees, with branch lengths of the species tree in coalescent units. We show that the MPE of the species tree is statistically consistent as the number M of genes goes to infinity. In addition, the probability that the MPE of the species tree matches the true species tree converges to 1 at rate O(M -1). The simulation results confirm that the maximum pseudo-likelihood approach is statistically consistent even when the species tree is in the anomaly zone. We applied our method, Maximum Pseudo-likelihood for Estimating Species Trees (MP-EST) to a mammal dataset. The four major clades found in the MP-EST tree are consistent with those in the Bayesian concatenation tree. The bootstrap supports for the species tree estimated by the MP-EST method are more reasonable than the posterior probability supports given by the Bayesian concatenation method in reflecting the level of uncertainty in gene trees and controversies over the relationship of four major groups of placental mammals. MP-EST can consistently estimate the topology and branch lengths (in coalescent units) of the species tree. Although the pseudo-likelihood is derived from coalescent theory, and assumes no gene flow or horizontal gene transfer (HGT), the MP-EST method is robust to a small amount of HGT in the dataset. In addition, increasing the number of genes does not increase the computational time substantially. The MP-EST method is fast for analyzing datasets that involve a large number of genes but a moderate number of species.","Although the pseudo-likelihood is derived from coalescent theory, and assumes no gene flow or horizontal gene transfer (HGT), the MP-EST method is robust to a small amount of HGT in the dataset and can consistently estimate the topology and branch lengths of the species tree."
"Full modeling versus summarizing gene-tree uncertainty: method choice and species-tree accuracy.","https://scispace.com/paper/full-modeling-versus-summarizing-gene-tree-uncertainty-2owkjk0chu","2012","Journal Article","Molecular Phylogenetics and Evolution","L. Lacey Knowles
Hayley C. Lanier
Pavel B. Klimov
Qixin He","10.1016/J.YMPEV.2012.07.004","","","This analysis shows that although the method of analysis affects accuracy, other factors - namely, the history of species divergence and aspects of the sampling design - have a larger impact and highlights a previously overlooked key determinant of species-tree accuracy for recent divergences."
"Gene tree discordance, phylogenetic inference and the multispecies coalescent","https://scispace.com/paper/gene-tree-discordance-phylogenetic-inference-and-the-4am74nkfjw","2009","Journal Article","Trends in Ecology and Evolution","James H. Degnan
James H. Degnan
Noah A. Rosenberg","10.1016/J.TREE.2009.01.009","","The field of phylogenetics is entering a new era in which trees of historical relationships between species are increasingly inferred from multilocus and genomic data. A major challenge for incorporating such large amounts of data into inference of species trees is that conflicting genealogical histories often exist in different genes throughout the genome. Recent advances in genealogical modeling suggest that resolving close species relationships is not quite as simple as applying more data to the problem. Here we discuss the complexities of genealogical discordance and review the issues that new methods for multilocus species tree inference will need to address to account successfully for naturally occurring genomic variability in evolutionary histories.","The complexities of genealogical discordance are discussed and the issues that new methods for multilocus species tree inference will need to address are reviewed to account successfully for naturally occurring genomic variability in evolutionary histories."
"Gene Trees in Species Trees","https://scispace.com/paper/gene-trees-in-species-trees-3saat11ld6","1997","Journal Article","Systematic Biology","Wayne P. Maddison","10.1093/SYSBIO/46.3.523","","Exploration of the relationship between gene trees and their containing species trees leads to consideration of how to reconstruct species trees from gene trees and of the concept of phylogeny as a cloud of gene histories. When gene copies are sampled from various species, the gene tree relating these copies might disagree with the species phylogeny. This discord can arise from horizontal transfer (including hybridization), lineage sorting, and gene duplication and ex- tinction. Lineage sorting could also be called deep coalescence, the failure of ancestral copies to coalesce (looking backwards in time) into a common ancestral copy until deeper than previous speciation events. These events depend on various factors; for instance, deep coalescence is more likely if the branches of the species tree are short (in generations) and wide (in population size). A similar dependence on process is found in historical biogeography and host-parasite relation- ships. Each of the processes of discord could yield a different parsimony criterion for reconstruct- ing the species tree from a set of gene trees: with horizontal transfer, choose the species tree that minimizes the number of transfer events; with deep coalescence, choose the tree minimizing the number of extra gene lineages that had to coexist along species lineages; with gene duplication, choose the tree minimizing duplication and/or extinction events. Maximum likelihood methods for reconstructing the species tree are also possible because coalescence theory provides the prob- ability that a particular gene tree would occur given a species tree (with branch lengths and widths specified). In considering these issues, one is provoked to reconsider precisely what is phylogeny. Perhaps it is misleading to view some gene trees as agreeing and other gene trees as disagreeing with the species tree; rather, all of the gene trees are part of the species tree, which can be visualized like a fuzzy statistical distribution, a cloud of gene histories. Alternatively, phylogeny might be (and has been) viewed not as a history of what happened, genetically, but as a history of what could have happened, i.e., a history of changes in the probabilities of inter- breeding. (Biogeography; coalescence; coevolution; evolution; gene duplication; gene genealogy; gene trees; horizontal transfer; hybridization; lineage sorting; parsimony; phylogeny; species con- cepts; species trees; tree reconciliation.)","When gene copies are sampled from various species, the gene tree relating these copies might disagree with the species phylogeny, and discord can arise from horizontal transfer, lineage sorting, and gene duplication and ex- tinction."
"Anomalous unrooted gene trees.","https://scispace.com/paper/anomalous-unrooted-gene-trees-1qcbufszjh","2013","Journal Article","Systematic Biology","James H. Degnan","10.1093/SYSBIO/SYT023","","The coalescent and multispecies coalescent model rooted genealogies backward through time. Often, the direction of time is unknown in trees estimated from molecular sequences due to reversible mutation models, absence of an appropriate outgroup, and the absence of the molecular clock. In this article, probabilities of unrooted gene-tree topologies under the multispecies coalescent are considered. The main result is that for any species-tree topology with seven or more taxa, there exist branch lengths such that there are unrooted gene-tree topologies that are more likely than the one that has the same unrooted topology as the species tree. Species trees with such anomalous unrooted gene trees (AUGTs) are characterized for trees with five and six taxa, and patterns of branch lengths leading to AUGTs and rooted anomalous gene trees are explored. The results could be useful for understanding gene tree discordance and designing simulations studies for inferring challenging species trees.","Probabilities of unrooted gene-tree topologies under the multispecies coalescent model are considered and it is found that for any species-treeTopology with seven or more taxa, there exist branch lengths such that there are unrooting gene- tree topologies that are more likely than the one that has the same unroOTS topology as the species tree."
"BEST: Bayesian estimation of species trees under the coalescent model","https://scispace.com/paper/best-bayesian-estimation-of-species-trees-under-the-irk8nbgi8w","2008","Journal Article","Bioinformatics","Liang Liu","10.1093/BIOINFORMATICS/BTN484","","Summary: BEST implements a Bayesian hierarchical model to jointly estimate gene trees and the species tree from multilocus sequences. It provides a new option for estimating species phylogenies within the popular Bayesian phylogenetic program MrBayes. The technique of simulated annealing is adopted along with Metropolis coupling as performed in MrBayes to improve the convergence rate of the Markov Chain Monte Carlo algorithm. Availability: http://www.stat.osu.edu/~dkp/BEST.","A Bayesian hierarchical model to jointly estimate gene trees and the species tree from multilocus sequences and the technique of simulated annealing is adopted along with Metropolis coupling as performed in MrBayes to improve the convergence rate of the Markov Chain Monte Carlo algorithm."
"Discordance of species trees with their most likely gene trees.","https://scispace.com/paper/discordance-of-species-trees-with-their-most-likely-gene-4e5tq6jnxa","2006","Journal Article","PLOS Genetics","James H. Degnan
Noah A. Rosenberg","10.1371/JOURNAL.PGEN.0020068","","Because of the stochastic way in which lineages sort during speciation, gene trees may differ in topology from each other and from species trees. Surprisingly, assuming that genetic lineages follow a coalescent model of within-species evolution, we find that for any species tree topology with five or more species, there exist branch lengths for which gene tree discordance is so common that the most likely gene tree topology to evolve along the branches of a species tree differs from the species phylogeny. This counterintuitive result implies that in combining data on multiple loci, the straightforward procedure of using the most frequently observed gene tree topology as an estimate of the species tree topology can be asymptotically guaranteed to produce an incorrect estimate. We conclude with suggestions that can aid in overcoming this new obstacle to accurate genomic inference of species phylogenies.","It is found that for any species treeTopology with five or more species, there exist branch lengths for which gene tree discordance is so common that the most likely gene tree topology to evolve along the branches of a species tree differs from the species phylogeny."
