"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Diversification of the Balloon bushcrickets (Orthoptera, Hexacentrinae, Aerotegmina) in the East African mountains.","https://scispace.com/paper/diversification-of-the-balloon-bushcrickets-orthoptera-5gm3s7dx4h","2021","Journal Article","Scientific Reports","Beata Grzywacz
Elżbieta Warchałowska-Śliwa
Maciej Kociński
Klaus-Gerhard Heller
Claudia Hemp","10.1038/S41598-021-89364-4","","East African mountains constitute a network of isolated habitat islands among dry savannah and are thus ideal for studying species diversification processes. This study elucidated the phylogenetic and phylogeographic relationships of all bushcricket species comprising the genus Aerotegmina. Our analysis indicated that large-scale climatic and topographic processes in Africa are likely to have driven speciation in this group, and revealed the cytogenetic traits of the species. Molecular phylogeny supported the monophyly of Aerotegmina and showed that the genus probably originated in the old Eastern Arc Mountains of Tanzania and Kenya. Two lineages were distinguished: small- and large-sized species with geographically distinct habitats. The underlying processes are thought to be eight dispersals, ten vicariance events, and one extinction event linked to repeated fragmentation of the African rainforest. Those processes, in conjunction with habitat change, probably also led to the spatial separation of the species into a northern clade with a diploid number of chromosomes 2n = 32 + X0 or 2n = 30 + neo-XY and a southern clade with a reduced number of chromosomes (2n = 28 + X0 or 24 + neo-X1X2Y). Karyotype analysis suggests that Aerotegmina is currently in the process of speciation.","It is indicated that large-scale climatic and topographic processes in Africa are likely to have driven speciation in bushcricket species comprising the genus Aerotegmina, and cytogenetic traits of the species were revealed."
"New perspectives on the origin and diversification of Africa’s forest avifauna","https://scispace.com/paper/new-perspectives-on-the-origin-and-diversification-of-africa-4v2nn3jgu2","2008","Journal Article","African Journal of Ecology","Jon Fjeldså
Rauri C. K. Bowie","10.1111/J.1365-2028.2008.00992.X","","The use of DNA sequence data in systematic studies has brought about a revolution in our understanding of avian relationships and when combined with digitized distributional data, has facilitated new interpretations about the origins of diverse clades of the African avifauna including its diversification up through the Tertiary until the present. Here we review recent studies with special reference to Africa’s forest avifauna and specifically comment on the putative origins of ‘hotspots’ of endemism in the Eastern Arc Mountains of Tanzania and in the Cape Region of South Africa. Intriguingly, both these areas appear to have retained populations of relict taxa since the mid-tertiary thermal optimum and at the same time have been centres of recent species differentiation.

Resume

L’utilisation des donnees portant sur la sequence ADN dans les etudes systematiques represente une revolution dans notre facon de comprendre les relations entre les oiseaux et, combinee avec les donnees numerisees sur la distribution, elle facilite de nouvelles interpretations concernant les origines de differents clades de l’avifaune africaine, y compris sa diversification tout au long du Tertiaire et jusqu’a nos jours. Nous passons ici en revue des etudes recentes qui se referent particulierement a l’avifaune forestiere africaine, avec un commentaire special sur les origines putatives des hauts lieux d’endemisme dans les montagnes de l’Eastern Arc tanzanien et dans la region du Cap, en Afrique du Sud. Curieusement, ces deux endroits semblent avoir conserve des populations de taxons residuels depuis l’optimum thermique du milieu du Tertiaire, tout en etant aussi au centre de recentes differenciations entre especes.","The use of DNA sequence data in systematic studies has brought about a revolution in our understanding of avian relationships and when combined with digitized distributional data, has facilitated new interpretations about the origins of diverse clades of the African avifauna including its diversification up through the Tertiary until the present as discussed by the authors."
"Coastal forests of eastern Africa: status, endemism patterns and their potential causes","https://scispace.com/paper/coastal-forests-of-eastern-africa-status-endemism-patterns-5a6b1762ew","1998","Journal Article","Biological Journal of The Linnean Society","Neil D. Burgess
G. P. Clarke
W. A. Rodgers","10.1111/J.1095-8312.1998.TB00337.X","","Eastern African coastal forests are located within the Swahili regional centre of endemism and Swahili-Maputaland regional transition zone in eastern Africa, between 1° North and 25° South, and 34–41° East. Approximately 3167 km 2 coastal forest remains: 2 km 2 in Somalia, 660 km 2 in Kenya, 697 km 2 in Tanzania, 16 km 2 in Malawi, 3 km 2 in Zimbabwe and perhaps 1790 km 2 in Mozambique. Most forests are small (≤20 km 2 ), and all but 19 are under 30 km 2 in area. Over 80% of coastal forest is located on government land, principally Forest Reserves; only 8.3 km 2 is found in National Parks (6.2 km 2 in Kenya (Arabuko-Sokoke), 2 km 2 in Tanzania (Mafia Island) and tiny patches in Zimbabwe). Coastal forests are an important and highly threatened centre of endemism for plants ( c 550 endemic species), mammals (6 species), birds (9 species), reptiles (26 species), frogs (2 species), butterflies (79 species), snails (>86 species) and millipedes (>>20 species). Endemic species are concentrated in the forests of the Tana River, between Malindi in Kenya to Tanga in northern Tanzania, and in southern Tanzania. Forests with highest numbers of endemics are: lower Tana River, Arabuko-Sokoke, Shimba Hills (Kenya); lowland East Usambara, Pugu Hills, Matumbi Hills, Rondo and Litipo and other plateaux near Lindi (Tanzania); the Tanzanian offshore island of Pemba; Bazaruto archipelago (Mozambique), and tiny forest remnants of southern Malawi, eastern Zimbabwe and Mozambique. Most coastal forest endemics have a narrow distributional range, often exhibiting single-site endemism or with scattered or disjunct distributional patterns. They are best interpreted as relicts and not the result of recent evolution. Relictualization probably started with the separation of the ancient Pan African rainforest into two parts during the Miocene. The coastal forests are interpreted as a «vanishing refuge» with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction.","The coastal forests are interpreted as a «vanishing refuge» with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction."
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene.","This study suggests that galagid evolution and diversification was affected by three major climatic episodes: the global cooling and forest contraction in the Early Oligocene, the forest expansion and the uplift of the African rifts in the Miocene, and the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"Divergence at the edges: peripatric isolation in the montane spiny throated reed frog complex","https://scispace.com/paper/divergence-at-the-edges-peripatric-isolation-in-the-montane-3z49ou8d7m","2015","Journal Article","BMC Evolutionary Biology","Lucinda P. Lawson
Lucinda P. Lawson
Lucinda P. Lawson
John M. Bates
John M. Bates
Michele Menegon
Simon P. Loader","10.1186/S12862-015-0384-3","","Peripatric speciation and peripheral isolation have uncertain importance in species accumulation, and are largely overshadowed by assumed dominance of allopatric modes of speciation Understanding the role of different speciation mechanisms within biodiversity hotspots is central to understanding the generation of biological diversity Here, we use a phylogeographic analysis of the spiny-throated reed frogs and examine sister pairings with unbalanced current distributional ranges for characteristics of peripatric speciation We further investigate whether forest/grassland mosaic adapted species are more likely created through peripatric speciation due to instability of this habitat type We reconstructed a multi-locus molecular phylogeny of spiny-throated reed frogs which we then combined with comparative morphologic data to delimit species and analyze historical demographic change; identifying three new species Three potential peripatric speciation events were identified along with one case of allopatric speciation Peripatric speciation is supported through uneven potential and realized distributions and uneven population size estimates based on field collections An associated climate shift was observed in most potentially peripatric splits Morphological variation was highest in sexually dimorphic traits such as body size and gular shape, but this variation was not limited to peripatric species pairs as hypothesized The potentially allopatric species pair showed no niche shifts and equivalent effective population sizes, ruling out peripatry in that speciation event Two major ecological niche shifts were recovered within this radiation, possibly as adaptations to occupy areas of grassland that became more prevalent in the last 5 million years Restricted and fluctuating grassland mosaics within forests might promote peripatric speciation in the Eastern Arc Biodiversity Hotspot (EABH) In our case study, peripatric speciation appears to be an important driver of diversity within the EABH biodiversity hotspot, implying it could be a significant speciation mechanism in highly fragmented ecosystems Extensive peripatric speciation in this montane archipelago may explain the abundance of discrete lineages within the limited area of the EABH, as inferred in remote island archipelagos Future phylogenetic studies incorporating demographic and spatial analyses will clarify the role of peripatric speciation in creating biodiversity hotspots","In this case study, peripatric speciation appears to be an important driver of diversity within the EABH biodiversity hotspot, implying it could be a significant speciation mechanism in highly fragmented ecosystems."
"Mitochondrial genetic diversity and divergence dating of Angolan colobus monkeys (Colobus angolensis) in the eastern forests of Kenya and Tanzania: Implications for subspeciation and reconstructing historical biogeography","https://scispace.com/paper/mitochondrial-genetic-diversity-and-divergence-dating-of-1mwdsq5u","2022","Journal Article","American Journal of Primatology","Monica M. McDonald
Pamela M. K. Cunneyworth
Aaron G. Anderson
Emily E. Wroblewski","10.1002/ajp.23384","","Whether the Colobus angolensis that reside in the fragmented forests in eastern Kenya and Tanzania represent one subspecies or two has been debated for 50 years. Morphological and more recent genetic and ecological studies suggest that these populations represent two subspecies, C. a. palliatus and C. a. sharpei. However, their distribution of mitochondrial variation remains unresolved since the genetic study only characterized four populations at the range ends. Therefore, we characterized five populations in the area of the hypothesized subspecies divide. We identified eight new haplotypes which, combined with those previously identified, provided 26 haplotypes from nine populations for analysis. Haplotypes found south of the Rufiji River cluster together but separately from northern haplotypes. The largest sequence differences within cytochrome b occur between population pairs representing opposite sides of the river; their mean difference (1.5%) is more than that of other primate subspecies. Analysis of molecular variance attributes most of the variation to that north versus south of the river. These results support the previous subspecies distinction between C. a. palliatus (northern) and C. a. sharpei (southern), divided by the Rufiji River. The estimated time of the most recent common ancestor of all haplotypes indicates that the subspecies have been isolated from each other for approximately 550,000 years. The common ancestor of northern and southern haplogroups was 370,000 and 290,000 years ago, respectively. Nevertheless, the correlation between genetic and geographic distances suggests that isolation‐by‐distance contributed to population structuring. Significant variation among populations, with only three haplotypes shared between populations, also indicates that an extended period of isolation drove population distinctiveness. Considering these results, we evaluate hypotheses about the founding and differentiation of these subspecies during Pleistocene climatic fluctuations and propose a novel, more direct migration route from Central Africa to their current range navigating Lake Tanganyika, the central Tanzanian corridor, and the Rufiji River.","A novel, more direct migration route from Central Africa to their current range navigating Lake Tanganyika, the central Tanzanian corridor, and the Rufiji River is proposed and evaluated about the founding and differentiation of these subspecies during Pleistocene climatic fluctuations."
"Pliocene forest dynamics as a primary driver of African bird speciation.","https://scispace.com/paper/pliocene-forest-dynamics-as-a-primary-driver-of-african-bird-4z931v0mpp","2010","Journal Article","Global Ecology and Biogeography","Gary Voelker
Robert K. Outlaw
Rauri C. K. Bowie","10.1111/J.1466-8238.2009.00500.X","","Aim Montane tropics are areas of high endemism, and mechanisms driving this endemism have been receiving increasing attention at a global scale. A general trend is that climatic factors do not explain the species richness of species with small to medium-sized geographic ranges, suggesting that geological and evolutionary processes must be considered. On the African continent, several hypotheses including both refugial and geographic uplift models have been advanced to explain avian speciation and diversity in the lowland forest and montane regions of central and eastern Africa; montane regions in particular are recognized as hotspots of vertebrate endemism. Here, we examine the possible role of these models in driving speciation in a clade of African forest robins.



Location  Africa.



Methods  We constructed the first robustly supported molecular phylogenetic hypothesis of forest robins. On this phylogeny, we reconstructed habitat-based distributions and geographic distributions relative to the Albertine Rift. We also estimated the timing of lineage divergences via a molecular clock.



Results  Robust estimates of phylogenetic relationships and clock-based divergences reject Miocene tectonic uplift and Pleistocene forest refugia as primary drivers of speciation in forest robins. Instead, our data suggest that most forest robin speciation took place in the Late Pliocene, from 3.2 to 2.2 Ma. Distributional patterns are complex, with the Albertine Rift region serving as a general east–west break across the group. Montane distributions are inferred to have evolved four times.



Main conclusions  Phylogenetic divergence dates coincide with a single period of lowland forest retraction in the late Pliocene, suggesting that most montane speciation resulted from the rapid isolation of populations in montane areas, rather than montane areas themselves being drivers of speciation. This conclusion provides additional evidence that Pliocene climate change was a major driver of speciation in broadly distributed African animal lineages. We further show that lowland forest robins are no older than their montane relatives, suggesting that lowland areas are not museums which house ‘ancient’ taxa; rather, for forest robins, montane areas should be viewed as living museums of a late Pliocene diversification event. A forest refugial pattern is operating in Africa, but it is not constrained to the Pleistocene.","Phylogenetic divergence dates coincide with a single period of lowland forest retraction in the late Pliocene, suggesting that most montane speciation resulted from the rapid isolation of populations in montane areas, rather than montane Areas themselves being drivers of speciation."
"Evolutionary and Ecological Explanations for the Elevational Flexibility of Several East African Bird Species Complexes","https://scispace.com/paper/evolutionary-and-ecological-explanations-for-the-elevational-v7av5a0pd8zo","","","","Jon Fjeldsa
Rauri C. K. Bowie","10.3389/fevo.2021.768062","","Africa’s montane areas are broken up into several large and small units, each isolated as forest-capped “sky islands” in a “sea” of dry lowland savanna. Many elements of their biota, including montane forest birds, are shared across several disjunct mountains, yet it has been difficult to rigorously define an Afromontane forest avifauna, or determine its evolutionary relationships with the birds of the surrounding lowland forests. In order to trace the historical relationship between lowland and highland avifaunas, we review cases of species or groups of closely related species with breeding populations at different elevations, and use phylogeographic methods to explore the historical connections between such populations within the biodiversity hotspot of East Africa. The study reveals several idiosyncratic patterns, but also a prominent number of cases of gene flow between populations in southern areas, mainly around the Malawi Rift, and mountains and coastal forests to the north, close to the equator. This may reflect more continuous past distributions through northern Mozambique and coastal Tanzania, or seasonal migrations between areas with different rainfall regimes. Over time, these distributional dynamics have resulted in a higher persistence of lineages, and an accumulation of forest-dependent lineages within the Eastern Arc Mountains of Tanzania and the northern part of the coastal forest mosaic.","This study explores the evolutionary relationships between East African bird species complexes across elevations, revealing gene flow between populations in southern areas and northern mountains, influenced by past distributional dynamics and rainfall regimes."
"The discordance of diversification: evolution in the tropical-montane frogs of the Eastern Arc Mountains of Tanzania.","https://scispace.com/paper/the-discordance-of-diversification-evolution-in-the-tropical-1d316c4xbp","2010","Journal Article","Molecular Ecology","Lucinda P. Lawson
Lucinda P. Lawson","10.1111/J.1365-294X.2010.04788.X","","Species with similar geographical distribution patterns are often assumed to have a shared biogeographical history, an assumption that can be tested with a combination of molecular, spatial, and environmental data. This study investigates three lineages of Hyperolius frogs with concordant ranges within the Eastern Afromontane Biodiversity Hotspot to determine whether allopatric populations of co-distributed lineages shared a parallel biogeographical response to their shared paleoclimatic histories. The roles of refugial distributions, isolation, and climate cycles in shaping their histories are examined through Hierarchical Approximate Bayesian Computation, comparative phylogeography, and comparisons of current and past geographical distributions using ecological niche models. Results from these analyses show these three lineages to have independent evolutionary histories, which current spatial configurations of sparsely available habitat (montane wetlands) have moulded into convergent geographical ranges. In spite of independent phylogeographical histories, diversification events are temporally concentrated, implying that past vicariant events were significant at the generic level. This mixture of apparently disparate histories is likely due to quantifiably different patterns of expansion and retreat among species in response to past climate cycles. Combining climate modelling and phylogeographical data can reveal unrecognized complexities in the evolution of co-distributed taxa.","Results from these analyses show three lineages of Hyperolius frogs with concordant ranges within the Eastern Afromontane Biodiversity Hotspot to have independent evolutionary histories, which current spatial configurations of sparsely available habitat have moulded into convergent geographical ranges."
"Ancient forest fragmentation or recent radiation? Testing refugial speciation models in chameleons within an African biodiversity hotspot","https://scispace.com/paper/ancient-forest-fragmentation-or-recent-radiation-testing-ij7ez47x49","2011","Journal Article","Journal of Biogeography","Krystal A. Tolley
Colin R. Tilbury
G. John Measey
Michele Menegon
William R. Branch
Conrad A. Matthee","10.1111/J.1365-2699.2011.02529.X","","Aim East Africa is one of the most biologically diverse regions, especially in terms of endemism and species richness. Hypotheses put forward to explain this high diversity invoke a role for forest refugia through: (1) accumulation of new species due to radiation within refugial habitats, or (2) retention of older palaeoendemic species in stable refugia. We tested these alternative hypotheses using data for a diverse genus of East African forest chameleons, Kinyongia.



Location  East Africa.



Methods  We constructed a dated phylogeny for Kinyongia using one nuclear and two mitochondrial markers. We identified areas of high phylogenetic diversity (PD) and evolutionary diversity (ED), and mapped ancestral areas to ascertain whether lineage diversification could best be explained by vicariance or dispersal.



Results  Vicariance best explains the present biogeographic patterns, with divergence between three major Kinyongia clades (Albertine Rift, southern Eastern Arc, northern Eastern Arc) in the early Miocene/Oligocene (> 20 Ma). Lineage diversification within these clades pre-dates the Pliocene (> 6 Ma). These dates are much older than the Plio-Pleistocene climatic shifts associated with cladogenesis in other East African taxa (e.g. birds), and instead point to a scenario whereby palaeoendemics are retained in refugia, rather than more recent radiations within refugia. Estimates of PD show that diversity was highest in the Uluguru, Nguru and East Usambara Mountains and several lineages (from Mount Kenya, South Pare and the Uluguru Mountains) stand out as being evolutionarily distinct as a result of isolation in forest refugia. PD was lower than expected by chance, suggesting that the phylogenetic signal is influenced by an unusually low number of extant lineages with long branch lengths, which is probably due to the retention of palaeoendemic lineages.



Main conclusions  The biogeographic patterns associated with Kinyongia are the result of long evolutionary histories in isolation. The phylogeny is dominated by ancient lineages whose origins date back to the early Miocene/Oligocene as a result of continental wide forest fragmentation and contraction due to long term climatic changes in Africa. The maintenance of palaeoendemic lineages in refugia has contributed substantially to the remarkably high biodiversity of East Africa.","These alternative hypotheses using data for a diverse genus of East African forest chameleons, Kinyongia, showed that accumulation of new species due to radiation within refugial habitats or retention of older palaeoendemic species in stable refugia is possible."
