"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Refugia: identifying and understanding safe havens for biodiversity under climate change","https://scispace.com/paper/refugia-identifying-and-understanding-safe-havens-for-3xq26ih76g","2012","Journal Article","Global Ecology and Biogeography","Gunnar Keppel
K.P. Van Niel
Grant Wardell-Johnson
Colin J. Yates
Margaret Byrne
Ladislav Mucina
Antonius G. T. Schut
Stephen D. Hopper
Steven E. Franklin","10.1111/J.1466-8238.2011.00686.X","","Aim Identifying and protecting refugia is a priority for conservation under projected anthropogenic climate change, because of their demonstrated ability to facilitate the survival of biota under adverse conditions. Refugia are habitats that components of biodiversity retreat to, persist in and can potentially expand from under changing environmental conditions. However, the study and discussion of refugia has often been ad hoc and descriptive in nature. We therefore: (1) provide a habitat-based concept of refugia, and (2) evaluate methods for the identification of refugia.

Location  Global.

Methods  We present a simple conceptual framework for refugia and examine the factors that describe them. We then demonstrate how different disciplines are contributing to our understanding of refugia, and the tools that they provide for identifying and quantifying refugia.

Results  Current understanding of refugia is largely based on Quaternary phylogeographic studies on organisms in North America and Europe during significant temperature fluctuations. This has resulted in gaps in our understanding of refugia, particularly when attempting to apply current theory to forecast anthropogenic climate change. Refugia are environmental habitats with space and time dimensions that operate on evolutionary time-scales and have facilitated the survival of biota under changing environmental conditions for millennia. Therefore, they offer the best chances for survival under climate change for many taxa, making their identification important for conservation under anthropogenic climate change. Several methods from various disciplines provide viable options for achieving this goal.

Main conclusions  The framework developed for refugia allows the identification and description of refugia in any environment. Various methods provide important contributions but each is limited in scope; urging a more integrated approach to identify, define and conserve refugia. Such an approach will facilitate better understanding of refugia and their capacity to act as safe havens under projected anthropogenic climate change.","In this article, a simple conceptual framework for refugia is presented, and the authors examine the factors that describe them and demonstrate how different disciplines are contributing to their understanding and the tools that they provide for identifying and quantifying refugias."
"Conserving biodiversity under climate change: the rear edge matters.","https://scispace.com/paper/conserving-biodiversity-under-climate-change-the-rear-edge-5fy46kgm1e","2005","Journal Article","Ecology Letters","Arndt Hampe
Rémy J. Petit","10.1111/J.1461-0248.2005.00739.X","","Modern climate change is producing poleward range shifts of numerous taxa, communities and ecosystems worldwide. The response of species to changing environments is likely to be determined largely by population responses at range margins. In contrast to the expanding edge, the low-latitude limit (rear edge) of species ranges remains understudied, and the critical importance of rear edge populations as long-term stores of species' genetic diversity and foci of speciation has been little acknowledged. We review recent findings from the fossil record, phylogeography and ecology to illustrate that rear edge populations are often disproportionately important for the survival and evolution of biota. Their ecological features, dynamics and conservation requirements differ from those of populations in other parts of the range, and some commonly recommended conservation practices might therefore be of little use or even counterproductive for rear edge populations.","In contrast to the expanding edge, the low-latitude limit (rear edge) of species ranges remains understudied, and the critical importance of rear edge populations as long-term stores of species' genetic diversity and foci of speciation has been little acknowledged."
"A climatic basis for microrefugia: the influence of terrain on climate","https://scispace.com/paper/a-climatic-basis-for-microrefugia-the-influence-of-terrain-48bhmlou7b","2011","Journal Article","Global Change Biology","Solomon Z. Dobrowski","10.1111/J.1365-2486.2010.02263.X","","There is compelling evidence from glacial and interglacial periods of the Quaternary of the utilization of microrefugia. Microrefugia are sites that support locally favorable climates amidst unfavorable regional climates, which allow populations of species to persist outside of their main distributions. Knowledge of the location of microrefugia has important implications for climate change research as it will influence our understanding of the spatial distribution of species through time, their patterns of genetic diversity, and potential dispersal rates in response to climate shifts. Indeed, the implications of microrefugia are profound and yet we know surprisingly little about their climatic basis; what climatic processes can support their subsistence, where they may occur, their climatic traits, and the relevance of these locations for climate change research. Here I examine the climatic basis for microrefugia and assert that the interaction between regional advective influences and local terrain influences will define the distribution and nature of microrefugia. I review the climatic processes that can support their subsistence and from this climatic basis: (1) infer traits of the spatial distribution of microrefugia and how this may change through time; (2) review assertions about their landscape position and what it can tell us about regional climates; and (3) demonstrate an approach to forecasting where microrefugia may occur in the future. This synthesis highlights the importance of landscape physiography in shaping the adaptive response of biota to climate change.","In this article, the authors examine the climatic basis for microrefugia and assert that the interaction between regional advective influences and local terrain influences will define the distribution and nature of micro refugia."
"Phylogeographic insights into cryptic glacial refugia.","https://scispace.com/paper/phylogeographic-insights-into-cryptic-glacial-refugia-1ephre68rp","2008","Journal Article","Trends in Ecology and Evolution","Jim Provan
Keith Bennett","10.1016/J.TREE.2008.06.010","","The glacial episodes of the Quaternary (2.6 million years ago–present) were a major factor in shaping the present-day distributions of extant flora and fauna, with expansions and contractions of the ice sheets rendering large areas uninhabitable for most species. Fossil records suggest that many species survived glacial maxima by retreating to refugia, usually at lower latitudes. Recently, phylogeographic studies have given support to the existence of previously unknown, or cryptic, refugia. Here we summarise many of these insights into the glacial histories of species in cryptic refugia gained through phylogeographic approaches. Understanding such refugia might be important as the Earth heads into another period of climate change, in terms of predicting the effects on species distribution and survival.","Many of the insights into the glacial histories of species in cryptic refugia gained through phylogeographic approaches are summarised."
"Using species distribution models in paleobiogeography: A matter of data, predictors and concepts","https://scispace.com/paper/using-species-distribution-models-in-paleobiogeography-a-2so5ssp9ee","2011","Journal Article","Palaeogeography, Palaeoclimatology, Palaeoecology","Sara Varela
Sara Varela
Jorge M. Lobo
Joaquín Hortal
Joaquín Hortal","10.1016/J.PALAEO.2011.07.021","","","Paleo-Species distribution models (SDMs) as mentioned in this paper have been used to study the location and dynamics of past species distributions, and a sound theoretical framework for their use in paleoecology is still lacking."
"The genetic legacy of the Quaternary ice ages","https://scispace.com/paper/the-genetic-legacy-of-the-quaternary-ice-ages-b8gxknk0fl","2000","Journal Article","Nature","Godfrey M. Hewitt","10.1038/35016000","","Global climate has fluctuated greatly during the past three million years, leading to the recent major ice ages. An inescapable consequence for most living organisms is great changes in their distribution, which are expressed differently in boreal, temperate and tropical zones. Such range changes can be expected to have genetic consequences, and the advent of DNA technology provides most suitable markers to examine these. Several good data sets are now available, which provide tests of expectations, insights into species colonization and unexpected genetic subdivision and mixture of species. The genetic structure of human populations may be viewed in the same context. The present genetic structure of populations, species and communities has been mainly formed by Quaternary ice ages, and genetic, fossil and physical data combined can greatly help our understanding of how organisms were so affected.","The present genetic structure of populations, species and communities has been mainly formed by Quaternary ice ages, and genetic, fossil and physical data combined can greatly help understanding of how organisms were so affected."
"The Influence of Late Quaternary Climate-Change Velocity on Species Endemism","https://scispace.com/paper/the-influence-of-late-quaternary-climate-change-velocity-on-wrf99tq894","2011","Journal Article","Science","Brody Sandel
Lars Arge
Bo Dalsgaard
Richard G. Davies
Kevin J. Gaston
William J. Sutherland
Jens-Christian Svenning","10.1126/SCIENCE.1210173","","The effects of climate change on biodiversity should depend in part on climate displacement rate (climate-change velocity) and its interaction with species’ capacity to migrate We estimated Late Quaternary glacial-interglacial climate-change velocity by integrating macroclimatic shifts since the Last Glacial Maximum with topoclimatic gradients Globally, areas with high velocities were associated with marked absences of small-ranged amphibians, mammals, and birds The association between endemism and velocity was weakest in the highly vagile birds and strongest in the weakly dispersing amphibians, linking dispersal ability to extinction risk due to climate change High velocity was also associated with low endemism at regional scales, especially in wet and aseasonal regions Overall, we show that low-velocity areas are essential refuges for Earth’s many small-ranged species","It is shown that low-velocity areas are essential refuges for Earth’s many small-ranged species and the association between endemism and velocity was weakest in the highly vagile birds and strongest in the weakly dispersing amphibians, linking dispersal ability to extinction risk due to climate change."
"Refugia revisited: individualistic responses of species in space and time","https://scispace.com/paper/refugia-revisited-individualistic-responses-of-species-in-2ne68u1lil","2010","Journal Article","Proceedings of The Royal Society B: Biological Sciences","John R. Stewart
Adrian M. Lister
Ian Barnes
Love Dalén","10.1098/RSPB.2009.1272","","Climate change in the past has led to significant changes in species' distributions. However, how individual species respond to climate change depends largely on their adaptations and environmental tolerances. In the Quaternary, temperate-adapted taxa are in general confined to refugia during glacials while cold-adapted taxa are in refugia during interglacials. In the Northern Hemisphere, evidence appears to be mounting that in addition to traditional southern refugia for temperate species, cryptic refugia existed in the North during glacials. Equivalent cryptic southern refugia, to the south of the more conventional high-latitude polar refugia, exist in montane areas during periods of warm climate, such as the current interglacial. There is also a continental/oceanic longitudinal gradient, which should be included in a more complete consideration of the interaction between species ranges and climates. Overall, it seems clear that there is large variation in both the size of refugia and the duration during which species are confined to them. This has implications for the role of refugia in the evolution of species and their genetic diversity.","Overall, it seems clear that there is large variation in both the size of refugia and the duration during which species are confined to them, which has implications for the role ofRefugia in the evolution of species and their genetic diversity."
"Climate Relicts: Past, Present, Future","https://scispace.com/paper/climate-relicts-past-present-future-v3wpw8cs6u","2011","Journal Article","Annual Review of Ecology, Evolution, and Systematics","Arndt Hampe
Alistair S. Jump","10.1146/ANNUREV-ECOLSYS-102710-145015","","Populations left behind during climate-driven range shifts can persist in enclaves of benign environmental conditions within an inhospitable regional climate. Such climate relicts exist in numerous plant and animal species worldwide, yet our knowledge of them is fragmented and lacks a general framework. Here we synthesize the empirical evidence considering (a) relict habitats, (b) abiotic and biotic constraints on population dynamics, (c) mechanisms promoting population persistence, and (d ) uncertainties concerning their future prospects. We identify three major types of climate relicts: (a) those constrained primarily by climate-driven abiotic factors, (b )t hose restricted to areas that are inaccessible to antagonistic species for climatic reasons, and (c) those requiring a host or mutualistic species that is itself limited by climate. Understanding the formation and functioning of climate relicts is essential for their conservation and for our understanding of the response of species and populations to climate change.","The empirical evidence is synthesized considering relict habitats, abiotic and biotic constraints on population dynamics, mechanisms promoting population persistence, and uncertainties concerning their future prospects to identify three major types of climate relicts: those constrained primarily by climate-driven abiotic factors, those restricted to areas that are inaccessible to antagonistic species for climatic reasons, and those requiring a host or mutualistic species that is itself limited by climate."
"Dynamic refugia and species persistence: tracking spatial shifts in habitat through time","https://scispace.com/paper/dynamic-refugia-and-species-persistence-tracking-spatial-20lle4v3tn","2010","Journal Article","Ecography","Catherine H. Graham
Jeremy VanDerWal
Steven J. Phillips
Craig Moritz
Stephen E. Williams","10.1111/J.1600-0587.2010.06430.X","","Historical climate is known to influence contemporary patterns of biological diversity. Species distribution modeling methods, combined with paleoclimatic surfaces, have been used to identify regions that were likely stable across long periods of time. To date, this approach has produced a static representation of refugia by identifying regions of suitable climate across a series of time-slices. However, suitable habitat for a given species (or suite of species) may have shifted contiguously in response to changing climates through geologic time. We develop a new approach that takes into consideration habitat
connectivity through time. We use the Australian Wet Tropics as a case study to demonstrate how our method works and suggest additional insights the method might give for understanding the determinants of biological diversity.","In this article, a new approach that takes into consideration habitat connectivity through time has been proposed to identify regions of suitable climate across a series of time-slices, where suitable habitat for a given species (or suite of species) may have shifted contiguously in response to changing climates through geologic time."
