"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Recent Advances in Genetics and Genomics of Snub-Nosed Monkeys (Rhinopithecus) and Their Implications for Phylogeny, Conservation, and Adaptation","https://scispace.com/paper/recent-advances-in-genetics-and-genomics-of-snub-nosed-288xskl5","2023","Journal Article","Genes","Wei-Min Kuang
Dietmar Zinner
Xueqin Yao
Christian Roos
Li Yu","10.3390/genes14050985","","The snub-nosed monkey genus Rhinopithecus (Colobinae) comprises five species (Rhinopithecus roxellana, Rhinopithecus brelichi, Rhinopithecus bieti, Rhinopithecus strykeri, and Rhinopithecus avunculus). They are range-restricted species occurring only in small areas in China, Vietnam, and Myanmar. All extant species are listed as endangered or critically endangered by the International Union for Conservation of Nature (IUCN) Red List, all with decreasing populations. With the development of molecular genetics and the improvement and cost reduction in whole-genome sequencing, knowledge about evolutionary processes has improved largely in recent years. Here, we review recent major advances in snub-nosed monkey genetics and genomics and their impact on our understanding of the phylogeny, phylogeography, population genetic structure, landscape genetics, demographic history, and molecular mechanisms of adaptation to folivory and high altitudes in this primate genus. We further discuss future directions in this research field, in particular how genomic information can contribute to the conservation of snub-nosed monkeys.","In this article , the authors review recent major advances in snub-nosed monkey genetics and genomics and their impact on our understanding of the phylogeny, phylogeography, population genetic structure, landscape genetics, demographic history, and molecular mechanisms of adaptation to folivory and high altitudes in this primate genus."
"Patterns of Genetic Variation Within and Between Gibbon Species","https://scispace.com/paper/patterns-of-genetic-variation-within-and-between-gibbon-5cu9ehkrnr","2011","Journal Article","Molecular Biology and Evolution","Sung K. Kim
Lucia Carbone
Lucia Carbone
Celine Becquet
Alan R. Mootnick
David Jiang Li
Pieter J. de Jong
Jeffrey D. Wall","10.1093/MOLBEV/MSR033","","Gibbons are small, arboreal, highly endangered apes that are understudied compared with other hominoids. At present, there are four recognized genera and approximately 17 species, all likely to have diverged from each other within the last 5-6 My. Although the gibbon phylogeny has been investigated using various approaches (i.e., vocalization, morphology, mitochondrial DNA, karyotype, etc.), the precise taxonomic relationships are still highly debated. Here, we present the first survey of nuclear sequence variation within and between gibbon species with the goal of estimating basic population genetic parameters. We gathered ~60 kb of sequence data from a panel of 19 gibbons representing nine species and all four genera. We observe high levels of nucleotide diversity within species, indicative of large historical population sizes. In addition, we find low levels of genetic differentiation between species within a genus comparable to what has been estimated for human populations. This is likely due to ongoing or episodic gene flow between species, and we estimate a migration rate between Nomascus leucogenys and N. gabriellae of roughly one migrant every two generations. Together, our findings suggest that gibbons have had a complex demographic history involving hybridization or mixing between diverged populations.","The first survey of nuclear sequence variation within and between gibbon species with the goal of estimating basic population genetic parameters suggests that gibbons have had a complex demographic history involving hybridization or mixing between diverged populations."
"Mitochondrial sequences show diverse evolutionary histories of African hominoids","https://scispace.com/paper/mitochondrial-sequences-show-diverse-evolutionary-histories-3e8jq23bma","1999","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Pascal Gagneux
Christopher Wills
Ulrike Gerloff
Diethard Tautz
Phillip A. Morin
Christophe Boesch
Barbara Fruth
Gottfried Hohmann
Oliver A. Ryder
David S. Woodruff","10.1073/PNAS.96.9.5077","","Phylogenetic trees for the four extant species of African hominoids are presented, based on mtDNA control region-1 sequences from 1,158 unique haplotypes. We include 83 new haplotypes of western chimpanzees and bonobos. Phylogenetic analysis of this enlarged database, which takes intraspecific geographic variability into account, reveals different patterns of evolution among species and great heterogeneity in species-level variation. Several chimpanzee and bonobo clades (and even single social groups) have retained substantially more mitochondrial variation than is seen in the entire human species. Among the 811 human haplotypes, those that branch off early are predominantly but not exclusively African. Neighbor joining trees provide strong evidence that eastern chimpanzee and human clades have experienced reduced effective population sizes, the latter apparently since the Homo sapiens–neanderthalensis split. Application of topiary pruning resolves ambiguities in the phylogenetic tree that are attributable to homoplasies in the data set. The diverse patterns of mtDNA sequence variation seen in today’s hominoid taxa probably reflect historical differences in ecological plasticity, female-biased dispersal, range fragmentation over differing periods of time, and competition among social groups. These results are relevant to the origin of zoonotic diseases, including HIV-1, and call into question some aspects of the current taxonomic treatment and conservation management of gorillas and chimpanzees.","The results are relevant to the origin of zoonotic diseases, including HIV-1, and call into question some aspects of the current taxonomic treatment and conservation management of gorillas and chimpanzees."
"Multispecies Coalescent Analysis of the Early Diversification of Neotropical Primates: Phylogenetic Inference under Strong Gene Trees/Species Tree Conflict","https://scispace.com/paper/multispecies-coalescent-analysis-of-the-early-1kj4qh4cbg","2014","Journal Article","Genome Biology and Evolution","Carlos G. Schrago
Albert N. Menezes
Carolina Furtado
Cibele R. Bonvicino
Héctor N. Seuánez","10.1093/GBE/EVU244","","Neotropical primates (NP) are presently distributed in the New World from Mexico to northern Argentina, comprising three large families, Cebidae, Atelidae, and Pitheciidae, consequently to their diversification following their separation from Old World anthropoids near the Eocene/Oligocene boundary, some 40 Ma. The evolution of NP has been intensively investigated in the last decade by studies focusing on their phylogeny and timescale. However, despite major efforts, the phylogenetic relationship between these three major clades and the age of their last common ancestor are still controversial because these inferences were based on limited numbers of loci and dating analyses that did not consider the evolutionary variation associated with the distribution of gene trees within the proposed phylogenies. We show, by multispecies coalescent analyses of selected genome segments, spanning along 92,496,904 bp that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids. The molecular phylogeny of NP has been difficult to solve because of population-level phenomena at the early evolution of the lineage. The association of evolutionary variation with the distribution of gene trees within proposed phylogenies is crucial for distinguishing the mean genetic divergence between species (the mean coalescent time between loci) from speciation time. This approach, based on extensive genomic data provided by new generation DNA sequencing, provides more accurate reconstructions of phylogenies and timescales for all organisms.","It is shown, by multispecies coalescent analyses of selected genome segments, that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids."
"Bayesian species delimitation using multilocus sequence data","https://scispace.com/paper/bayesian-species-delimitation-using-multilocus-sequence-data-3jgcueg0sy","2010","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Ziheng Yang
Bruce Rannala","10.1073/PNAS.0913022107","","In the absence of recent admixture between species, bipartitions of individuals in gene trees that are shared across loci can potentially be used to infer the presence of two or more species. This approach to species delimitation via molecular sequence data has been constrained by the fact that genealogies for individual loci are often poorly resolved and that ancestral lineage sorting, hybridization, and other population genetic processes can lead to discordant gene trees. Here we use a Bayesian modeling approach to generate the posterior probabilities of species assignments taking account of uncertainties due to unknown gene trees and the ancestral coalescent process. For tractability, we rely on a user-specified guide tree to avoid integrating over all possible species delimitations. The statistical performance of the method is examined using simulations, and the method is illustrated by analyzing sequence data from rotifers, fence lizards, and human populations.","A Bayesian modeling approach is used to generate the posterior probabilities of species assignments taking account of uncertainties due to unknown gene trees and the ancestral coalescent process and the method is illustrated by analyzing sequence data from rotifers, fence lizards, and human populations."
"Aproximació molecular a l'estudi dels primats: Evolució dels gens RPS4Y i aplicació d'SNPs en conservació","https://scispace.com/paper/aproximacio-molecular-a-l-estudi-dels-primats-evolucio-dels-pxvf50uwmx","2007","Dissertation","","Olga Andrés Viñas","","","Lordre dels primats inclou lhome i els seus parents mes propers. Actualment, mes de la meitat dels primats no humans es troben en perill dextincio, principalment com a consequencia de lactivitat humana. Aixo doncs, lestudi dels primats es de gran rellevancia des de dos punts de vista ben diferents, tant a nivell de conservacio de les especies com en biomedicina, genomica comparada i evolucio. El treball de tesi doctoral presentat aqui semmarca dins daquest context bilateral i preten ser una aportacio tant pel que fa al desenvolupament i aplicacio deines moleculars per a la conservacio de les especies de primat com per a lestudi de levolucio daquests essers.
Aquest estudi es divideix en cinc apartats principals. Comenca amb una Introduccio en que descriu la diversitat que amaga lordre dels primats, el gran ventall de possibilitats que obre la genetica de la conservacio, la importancia de les duplicacions en levolucio de les especies i la historia del cromosoma Y. A continuacio sestableixen els Objectius fonamentals proposats en aquesta tesi. Les fites principals son: determinar laplicabilitat de la tecnica de lMDA sobre mostres no invasives, contribuir a desenvolupar un microarray de minisequencia per a lestudi dels primats i desemmascarar la historia evolutiva de la familia genica RPS4Y en primats.
El cos principal de la tesi esta format pels tres capitols que constitueixen lapartat dels Resultats. En el primer treball, publicat a Biotechnology Journal amb el titol Sequence quality is maintained after multiple displacement amplification of non-invasively obtained macaque semen DNA, sanalitza la possibilitat daplicar la tecnica damplificacio de genomes complets ""Multiple Displacement Amplification"" (MDA) amb mostres recollectades de manera no invasiva. Amb aquest estudi sha pogut demostrar que els productes dMDA obtinguts a partir de mostres no invasives de semen de macaco son adequades per a la realitzacio destudis genetics. En el segon treball, titulat A microarray system for Y-chromosomal and mitochondrial SNP analysis in chimpanzee populations i enviat a ""Molecular Ecology"", sha desenvolupat un microarray de minisequencia per estudiar la variabilitat de les poblacions de ximpanze, ja siguin captives com en estat salvatge. El microarray inclou SNPs tant de cromosoma Y i com de gens mitocondrials, de manera que permet analitzar simultaniament la linia paterna i la linia materna, informacio que es de gran interes quan sestudien especies en que mascles i femelles presenten diferent patro de migracio, com els ximpanzes. Finalment, en el tercer estudi es descriu la historia evolutiva dels gens ""RPS4Y"" dins de la filogenia dels primats. Sha pogut determinar en 35 milions danys el moment de la duplicacio que origina el gen ""RPS4Y2"" i sha proposat que el seu manteniment en el genoma es deu a ladquisicio duna nova funcio relacionada amb lespermatogenesi, almenys en el llinatge huma. Aquests resultats es troben recollits a larticle titulat Molecular evolution of primate RPS4Y gene family enviat a la revista Molecular Biology and Evolution.
Finalment, els resultats obtinguts durant el desenvolupament daquesta tesi es discuteixen duna manera general dins lapartat del Resum global. La memoria acaba amb les Conclusions mes rellevants a que sha pogut arribar, exposades de manera especifica i resumida.
"" THESIS SUMMARY:
Primate order includes humankind and its closest relatives. Nowadays, more than half of nonhuman primates are in peril, mainly due to human activities. Therefore, primate studies are of great interest from two important points of view, both for species conservation purposes and also in biomedicine, comparative genomics, and evolution.
The aim of this thesis is to contribute both to the conservation of primate species and to the study of their evolution.
This thesis includes the results of three different studies, already published or in preparation. The first study analyses the Multiple Displacement Amplification (MDA) technique in order to test its applicability on non-invasively collected samples. We have demonstrated that MDA products obtained from non-invasively collected macaque semen are suitable to carry out genetic analyses. In the second study we have developed a minisecuencing microarray to study the genetic variability in chimpanzee populations, both captive and wild-living. The microarray includes SNPs from the Y chromosome and from mitochondrial genes, so that it allows to simultaneously analyse the paternal and maternal lineages. Finally, the third study aimed to describe the evolution of primate RPS4Y genes. We have dated in 35 million years the origin of RPS4Y2 and we proposed a neofunctionalization process as the reason of its maintenance in the genome.
""","In this article, a microarray system for Y-chromosomal and mitochondrial SNP analysis in chimpanzee populations was presented, with the aim of comparing the results with those of the human genome."
"Nuclear versus mitochondrial DNA: evidence for hybridization in colobine monkeys","https://scispace.com/paper/nuclear-versus-mitochondrial-dna-evidence-for-hybridization-1ahtg2gcnx","2011","Journal Article","BMC Evolutionary Biology","Christian Roos
Dietmar Zinner
Laura Kubatko
Christiane Schwarz
Mouyu Yang
Dirk Meyer
Stephen D. Nash
Jinchuan Xing
Mark A. Batzer
Markus Brameier
Fabian H. Leendertz
Thomas Ziegler
Dyah Perwitasari-Farajallah
Tilo Nadler
Lutz Walter
Martin Osterholz","10.1186/1471-2148-11-77","","Colobine monkeys constitute a diverse group of primates with major radiations in Africa and Asia. However, phylogenetic relationships among genera are under debate, and recent molecular studies with incomplete taxon-sampling revealed discordant gene trees. To solve the evolutionary history of colobine genera and to determine causes for possible gene tree incongruences, we combined presence/absence analysis of mobile elements with autosomal, X chromosomal, Y chromosomal and mitochondrial sequence data from all recognized colobine genera. Gene tree topologies and divergence age estimates derived from different markers were similar, but differed in placing Piliocolobus/Procolobus and langur genera among colobines. Although insufficient data, homoplasy and incomplete lineage sorting might all have contributed to the discordance among gene trees, hybridization is favored as the main cause of the observed discordance. We propose that African colobines are paraphyletic, but might later have experienced female introgression from Piliocolobus/Procolobus into Colobus. In the late Miocene, colobines invaded Eurasia and diversified into several lineages. Among Asian colobines, Semnopithecus diverged first, indicating langur paraphyly. However, unidirectional gene flow from Semnopithecus into Trachypithecus via male introgression followed by nuclear swamping might have occurred until the earliest Pleistocene. Overall, our study provides the most comprehensive view on colobine evolution to date and emphasizes that analyses of various molecular markers, such as mobile elements and sequence data from multiple loci, are crucial to better understand evolutionary relationships and to trace hybridization events. Our results also suggest that sex-specific dispersal patterns, promoted by a respective social organization of the species involved, can result in different hybridization scenarios.","This study provides the most comprehensive view on colobine evolution to date and emphasizes that analyses of various molecular markers, such as mobile elements and sequence data from multiple loci, are crucial to better understand evolutionary relationships and to trace hybridization events."
"An objective time based phylogenetic classification of primates that places chimpanzees and humans in the genus Homo","https://scispace.com/paper/an-objective-time-based-phylogenetic-classification-of-mjq65qfesn","2001","","","Morris Goodman","","","Molecular phylogenetics, a coupling of molecular biology to Hennig’s phylogenetic systematics, is bringing about a twofold shift in paradigms, one in systematics and the other in how we view our place in nature. The new paradigm in systematics disbands the traditional use of taxonomic grades and, instead, favors strictly genealogical classifications in which all taxa are monophyletic and are arranged in a hierarchical scheme that reflects the time course of phylogeny. The second new paradigm rejects the traditional anthropological view that we humans are greatly different from all other species and instead emphasizes our commonalities with other species, e.g. our very close genetic identity to chimpanzees. On using DNA evidence on primate phylogeny, complemented by paleontological evidence, a temporal based classification of primates describes objectively, without anthropocentric biases, the taxonomic place of humans among the primates. All living apes and humans belong to subfamily Homininae. Homininae divides into Hylobatini (common and siamang gibbons) and Hominini, the latter into Pongina for Pongo (orangutans) and Hominina for Gorilla and Homo. Homo itself divides into the subgenera H. (Homo) for humans and H. (Pan) for common and pygmy chimpanzees. Even on disbanding Australopithecus and Ardipithecus by placing their species into Homo (Homo), the presumed genealogical relationships of these extinct species to each other and to living humans can be depicted by how the species are listed and indented under the subgenus rank. Key words: Molecular phylogenetics, phylogenetic classification, taxonomic ranks, DNA evidence, primate phylogeny, primate clades, bipedal hominids, common and bonobo chimpanzees, Homo (Homo), Homo (Pan).","A temporal based classification of primates describes objectively, without anthropocentric biases, the taxonomic place of humans among the primates."
"Incomplete Lineage Sorting Is Common in Extant Gibbon Genera","https://scispace.com/paper/incomplete-lineage-sorting-is-common-in-extant-gibbon-genera-4p5thh403h","2013","Journal Article","PLOS ONE","Jeffrey D. Wall
Sung K. Kim
Francesca Luca
Lucia Carbone
Alan R. Mootnick
Pieter J. de Jong
Anna Di Rienzo","10.1371/JOURNAL.PONE.0053682","","We sequenced reduced representation libraries by means of Illumina technology to generate over 1.5 Mb of orthologous sequence from a representative of each of the four extant gibbon genera (Nomascus, Hylobates, Symphalangus, and Hoolock). We used these data to assess the evolutionary relationships between the genera by evaluating the likelihoods of all possible bifurcating trees involving the four taxa. Our analyses provide weak support for a tree with Nomascus and Hylobates as sister taxa and with Hoolock and Symphalangus as sister taxa, though bootstrap resampling suggests that other phylogenetic scenarios are also possible. This uncertainty is due to short internal branch lengths and extensive incomplete lineage sorting across taxa. The true phylogenetic relationships among gibbon genera will likely require a more extensive whole-genome sequence analysis.","The authors' analyses provide weak support for a tree with Nomascus and Hylobates as sister taxa and with Hoolock and Symphalangus as sisterTaxa, though bootstrap resampling suggests that other phylogenetic scenarios are also possible."
"Phylogenomic Reconstruction of Sportive Lemurs (genus Lepilemur) Recovered from Mitogenomes with Inferences for Madagascar Biogeography.","https://scispace.com/paper/phylogenomic-reconstruction-of-sportive-lemurs-genus-3h03vyrark","2016","Journal Article","Journal of Heredity","Runhua Lei
Cynthia L. Frasier
Melissa T. R. Hawkins
Shannon E. Engberg
Carolyn A. Bailey
Steig E. Johnson
Adam T. McLain
Colin P. Groves
George H. Perry
Stephen D. Nash
Russell A. Mittermeier
Edward E. Louis","10.1093/JHERED/ESW072","","The family Lepilemuridae includes 26 species of sportive lemurs, most of which were recently described. The cryptic morphological differences confounded taxonomy until recent molecular studies; however, some species’ boundaries remain uncertain. To better understand the genus Lepilemur, we analyzed 35 complete mitochondrial genomes representing all recognized 26 sportive lemur taxa and estimated divergence dates. With our dataset we recovered 25 reciprocally monophyletic lineages, as well as an admixed clade containing Lepilemur mittermeieri and Lepilemur dorsalis. Using modern distribution data, an ancestral area reconstruction and an ecological vicariance analysis were performed to trace the history of diversification and to test biogeographic hypotheses. We estimated the initial split between the eastern and western Lepilemur clades to have occurred in the Miocene. Divergence of most species occurred from the Pliocene to the Pleistocene. The biogeographic patterns recovered in this study were better addressed with a combinatorial approach including climate, watersheds, and rivers. Generally, current climate and watershed hypotheses performed better for western and eastern clades, while speciation of northern clades was not adequately supported using the ecological factors incorporated in this study. Thus, multiple mechanisms likely contributed to the speciation and distribution patterns in Lepilemur.","Multiple mechanisms likely contributed to the speciation and distribution patterns in Lepilemur, and current climate and watershed hypotheses performed better for western and eastern clades, while speciation of northern clades was not adequately supported using the ecological factors incorporated in this study."
