"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A rapid and scalable method for multilocus species delimitation using Bayesian model comparison and rooted triplets","https://scispace.com/paper/a-rapid-and-scalable-method-for-multilocus-species-5f51pgfdhn","2016","Journal Article","Systematic Biology","Tomochika Fujisawa
Amr Aswad
Timothy G. Barraclough","10.1093/SYSBIO/SYW028","","Multilocus sequence data provide far greater power to resolve species limits than the single locus data typically used for broad surveys of clades. However, current statistical methods based on a multispecies coalescent framework are computationally demanding, because of the number of possible delimitations that must be compared and time-consuming likelihood calculations. New methods are therefore needed to open up the power of multilocus approaches to larger systematic surveys. Here, we present a rapid and scalable method that introduces 2 new innovations. First, the method reduces the complexity of likelihood calculations by decomposing the tree into rooted triplets. The distribution of topologies for a triplet across multiple loci has a uniform trinomial distribution when the 3 individuals belong to the same species, but a skewed distribution if they belong to separate species with a form that is specified by the multispecies coalescent. A Bayesian model comparison framework was developed and the best delimitation found by comparing the product of posterior probabilities of all triplets. The second innovation is a new dynamic programming algorithm for finding the optimum delimitation from all those compatible with a guide tree by successively analyzing subtrees defined by each node. This algorithm removes the need for heuristic searches used by current methods, and guarantees that the best solution is found and potentially could be used in other systematic applications. We assessed the performance of the method with simulated, published, and newly generated data. Analyses of simulated data demonstrate that the combined method has favorable statistical properties and scalability with increasing sample sizes. Analyses of empirical data from both eukaryotes and prokaryotes demonstrate its potential for delimiting species in real cases.","A rapid and scalable method that reduces the complexity of likelihood calculations by decomposing the tree into rooted triplets and introduces a new dynamic programming algorithm for finding the optimum delimitation from all those compatible with a guide tree by successively analyzing subtrees defined by each node."
"Covering All Bases: A Universal Metazoan UCE Probe Set to Democratize Phylogenomics","https://scispace.com/paper/covering-all-bases-a-universal-metazoan-uce-probe-set-to-kmqohl3f1fqn","2025","Journal Article","Genome Biology and Evolution","Shahan Derkarabetian
Arianna Lord
Katherine Angier
Julia G. Cosgrove
Sara González Delgado
Paula C. Rodríguez Flores
Shoyo Sato
Lily Shapiro
Gonzalo Giribet
Shahan Derkarabetian
Katherine Angier
Julia G. Cosgrove
Sara González Delgado
Paula C. Rodríguez Flores
Shoyo Sato
Lily Shapiro","10.1093/gbe/evaf193","","Abstract Biology is in a genomics era, but many researchers may still be alienated from these techniques as a lack of genomic resources remains for many animal groups, necessitating further democratization. Hybrid capture is a popular phylogenomic approach in molecular systematics, with ultraconserved elements being the most popular. However, access to ultraconserved element data is more expensive per sample relative to other commonly used genetic/genomic approaches. Using published genomes, we developed a metazoan ultraconserved element probe set, the universality of which allows multiple research groups working on vastly different animal lineages to share costs and resources across labs. We demonstrated the utility of this probe set both in silico against 58 published metazoan genomes and in vitro with 130 samples representing 33 metazoan phyla, showing that these probes target loci useful for both deep and shallow level relationships. The proportion of target ultraconserved elements sequenced by the Metazoa probe is equivalent to that of taxon-specific probe sets, but from across all animal phyla. We explored general patterns of ultraconserved element recovery across Metazoa using published genomes and the majority of publicly available ultraconserved element probe sets. The Metazoa probe set is available in three forms: the full set, containing 19,986 probes targeting 2,146 loci, a set containing 10,749 probes targeting 1,022 loci, and the reduced cost set, containing 5,098 probes targeting 466 loci. The development of a universal ultraconserved element probe set should expand the use of genomic data to a much larger segment of the zoological community, with strong potential for broad applications in phylogenomics across all animal phyla. ",""
"Using all gene families vastly expands data available for phylogenomic inference in primates","https://scispace.com/paper/using-all-gene-families-vastly-expands-data-available-for-kfagke42uv","2021","Posted Content","bioRxiv","Megan L. Smith
Dan Vanderpool
Matthew W. Hahn","10.1101/2021.09.22.461252","","Traditionally, single-copy orthologs have been the gold standard in phylogenomics. Most phylogenomic studies identify putative single-copy orthologs by using clustering approaches and retaining families with a single sequence from each species. However, this approach can severely limit the amount of data available by excluding larger families. Recent methodological advances have suggested several ways to include data from larger families. For instance, tree-based decomposition methods facilitate the extraction of orthologs from large families. Additionally, several popular methods for species tree inference appear to be robust to the inclusion of paralogs, and hence could use all of the data from larger families. Here, we explore the effects of using all families for phylogenetic inference using genomes from 26 primate species. We compare single-copy families, orthologs extracted using tree-based decomposition approaches, and all families with all data (i.e., including orthologs and paralogs). We explore several species tree inference methods, finding that across all nodes of the tree except one, identical trees are returned across nearly all datasets and methods. As in previous studies, the relationships among Platyrrhini remain contentious; however, the tree inference methods matter more than the dataset used. We also assess the effects of each dataset on branch length estimates, measures of phylogenetic uncertainty and concordance, and in detecting introgression. Our results demonstrate that using data from larger gene families drastically increases the number of genes available for phylogenetic inference and leads to consistent estimates of branch lengths, nodal certainty and concordance, and inferences of introgression.","In this paper, the effects of using all families for phylogenetic inference using genomes from 26 primate species were explored. And the results demonstrate that using data from larger gene families drastically increases the number of genes available for phylogenetic inference and leads to consistent estimates of branch lengths, nodal certainty and concordance, and inferences of introgression."
"The Challenges of Resolving a Rapid, Recent Radiation: Empirical and Simulated Phylogenomics of Philippine Shrews.","https://scispace.com/paper/the-challenges-of-resolving-a-rapid-recent-radiation-41c68yoytl","2015","Journal Article","Systematic Biology","Thomas C. Giarla
Jacob A. Esselstyn","10.1093/SYSBIO/SYV029","","Phylogenetic relationships in recent, rapid radiations can be difficult to resolve due to incomplete lineage sorting and reliance on genetic markers that evolve slowly relative to the rate of speciation. By incorporating hundreds to thousands of unlinked loci, phylogenomic analyses have the potential to mitigate these difficulties. Here, we attempt to resolve phylogenetic relationships among eight shrew species (genus Crocidura) from the Philippines, a phylogenetic problem that has proven intractable with small (< 10 loci) data sets. We sequenced hundreds of ultraconserved elements and whole mitochondrial genomes in these species and estimated phylogenies using concatenation, summary coalescent, and hierarchical coalescent methods. The concatenated approach recovered a maximally supported and fully resolved tree. In contrast, the coalescent-based approaches produced similar topologies, but each had several poorly supported nodes. Using simulations, we demonstrate that the concatenated tree could be positively misleading. Our simulations also show that the tree shape we tend to infer, which involves a series of short internal branches, is difficult to resolve, even if substitution models are known and multiple individuals per species are sampled. As such, the low support we obtained for backbone relationships in our coalescent-based inferences reflects a real and appropriate lack of certainty. Our results illuminate the challenges of estimating a bifurcating tree in a rapid and recent radiation, providing a rare empirical example of a nearly simultaneous series of speciation events in a terrestrial animal lineage as it spreads across an oceanic archipelago. (Coalescence; concatenation; Crocidura; Philippines; SNPs; Soricidae; species tree; ultraconserved elements.)","The results illuminate the challenges of estimating a bifurcating tree in a rapid and recent radiation, providing a rare empirical example of a nearly simultaneous series of speciation events in a terrestrial animal lineage as it spreads across an oceanic archipelago."
"Multispecies Coalescent Species Delimitation: Conflating Populations with Species in the Grey Zone","https://scispace.com/paper/multispecies-coalescent-species-delimitation-conflating-r5x5q3odmwk1","2017","Journal Article","","Jeet Sukumaran
L. Lacey Knowles","10.6084/m9.figshare.5141086","","<b>The ""Multispecies Coalescent"" should be more properly referred to as the ""Multipopulation Coalescent"", as what it delimits is structure defined by disruption of Wright-Fisher panmixia: the model partitions a set of individuals into sets of Wright-Fisher populations. </b><br>The multispecies coalescent model underlies many approaches used for species delimitation. In previous work assessing the performance of species delimitation under this model, speciation was treated as an instantaneous event rather than as an extended process involving distinct phases of speciation initiation (structuring) and completion. Here, we use data under simulations that explicitly model speciation as an extended process rather than an instantaneous event and carry out species delimitation inference on these data under the multispecies coalescent. We show that the multispecies coalescent diagnoses genetic structure, not species, and that it does not statistically distinguish structure associated with population isolation vs. species boundaries. Because of the misidentification of population structure as putative species, our work raises questions about the practice of genome-based species discovery, with cascading consequences in other fields. Specifically, all fields that rely on species as units of analysis, from conservation biology to studies of macroevolutionary dynamics, will be impacted by inflated estimates of the number of species, especially as genomic resources provide unprecedented power for detecting increasingly finer-scaled genetic structure under the multispecies coalescent. As such, our work also represents a general call for systematic study to reconsider a reliance on genomic data alone. Until new methods are developed that can discriminate between structure due to population-level processes and that due to species boundaries, genomic-based results should only be considered a hypothesis that requires validation of delimited species with multiple data types, such as phenotypic and ecological information. ",""
"CASTER: Direct species tree inference from whole-genome alignments","https://scispace.com/paper/caster-direct-species-tree-inference-from-whole-genome-3hcfglplc8hm","2025","Journal Article","Science","Chao Zhang
Rasmus Nielsen
Siavash Mirarab","10.1126/science.adk9688","","Genomes contain mosaics of discordant evolutionary histories, challenging the accurate inference of the tree of life. While genome-wide data are routinely used for discordance-aware phylogenomic analyses, due to modeling and scalability limitations, the current practice leaves out large chunks of genomes. As more high-quality genomes become available, we urgently need discordance-aware methods to infer the tree directly from a multiple genome alignment. Here, we introduce CASTER, a theoretically justified site-based method that eliminates the need to predefine recombination-free loci. CASTER is scalable to hundreds of mammalian whole genomes. We demonstrate the accuracy and scalability of CASTER in simulations that include recombination and apply CASTER to several biological datasets, showing that its per-site scores can reveal both biological and artefactual patterns of discordance across the genome. ","CASTER is a theoretically justified method that infers species trees directly from whole-genome alignments, eliminating the need for predefining recombination-free loci, and is scalable to hundreds of mammalian genomes with high accuracy."
"Exons, Introns, and UCEs Reveal Conflicting Phylogenomic Signals in a Rapid Radiation of Frogs (Ranidae: Hylarana)","https://scispace.com/paper/exons-introns-and-uces-reveal-conflicting-phylogenomic-1b6jgd59ft","2019","Posted Content","bioRxiv","Kin Onn Chan
Kin Onn Chan
Carl R. Hutter
Perry L. Wood
L. Lee Grismer
Rafe M. Brown","10.1101/765610","","Numerous types of genomic markers have been used to resolve recalcitrant nodes, yet their relative performance and congruence have rarely been compared directly. Using target-capture sequencing, we obtained more than 12,000 highly informative exons and introns, including ∼600 UCEs to address long-standing systematic problems in Southeast Asian Golden-backed frogs of the genus complex Hylarana. To reduce gene tree estimation errors, we filtered the data using different thresholds of taxon completeness and parsimony informative sites (PIS) in addition to using the best-fit models of DNA evolution to estimate individual single-locus gene trees. We then estimated species trees using concatenation (IQ-TREE), summary coalescent (ASTRAL), and distance-based methods (ASTRID). Topological incongruence among these methods and variation in nodal support were examined in detail using a suite of different measures including quartet frequencies, bootstrap, local posterior probabilities, gene concordance factors, and quartet scores. Results showed that high levels of incongruence were present along the backbone of the phylogeny, specifically surrounding short internodes. We also demonstrated that filtering data by PIS was more efficacious at improving congruence compared to filtering by missing data, and that exons were more sensitive to data filtering than introns and UCEs. Despite utilizing more than 6.9 million characters and 2.7 million PIS, analyses failed to converge on a single concordant topology. Instead, exons, introns, and UCEs produced genuinely strongly-supported yet conflicting phylogenetic signals, which affected our phylogeny estimates at different scales/levels—indicating a general, potentially alarming challenge for phylogenomics inference employing many of todays massive datasets. Additionally, bootstrap values were consistently high despite low levels of congruence and high proportions of gene trees that support conflicting topologies, indicating that traditional bootstraps are likely poor measures of congruence or branch support in large phylogenomic datasets, especially during instances of rapid diversification. Although low bootstrap values do ostensibly reflect low heuristic support, we recommend that high bootstrap support obtained from large genomic datasets be interpreted with caution. Additional complimentary measures such quartet frequencies, gene concordance factors, quartet scores, and posterior probabilities can be useful to provide a more robust and accurate representation of bipartition certainty and ultimately, evolutionary history of incompletely resolved or poorly-understood clades.","High levels of incongruence were present along the backbone of the phylogeny, specifically surrounding short internodes, and bootstrap values were consistently high despite low levels of congruence and high proportions of gene trees that support conflicting topologies, indicating that traditional bootstraps are likely poor measures of conluence or branch support in large phylogenomic datasets, especially during instances of rapid diversification."
"Exon capture phylogenomics: efficacy across scales of divergence.","https://scispace.com/paper/exon-capture-phylogenomics-efficacy-across-scales-of-1i6zjnozd8","2016","Journal Article","Molecular Ecology Resources","Jason G. Bragg
Sally Potter
Ke Bi
Ke Bi
Craig Moritz","10.1111/1755-0998.12449","","The evolutionary histories of species are not measured directly, but estimated using genealogies inferred for particular loci. Individual loci can have discordant histories, but in general we expect to infer evolutionary histories more accurately as more of the genome is sampled. High Throughput Sequencing (HTS) is now providing opportunities to incorporate thousands of loci in ‘phylogenomic’ studies. Here, we used target enrichment to sequence c.3000 protein-coding exons in a group of Australian skink lizards (crown group age c.80 Ma). This method uses synthetic probes to ‘capture’ target exons that were identified in the transcriptomes of selected probe design (PD) samples. The target exons are then enriched in sample DNA libraries prior to performing HTS. Our main goal was to study the efficacy of enrichment of targeted loci at different levels of phylogenetic divergence from the PD species. In taxa sharing a common ancestor with PD samples up to c.20 Ma, we detected little reduction in efficacy, measured here as sequencing depth of coverage. However, at around 80 Myr divergence from the PD species, we observed an approximately two-fold reduction in efficacy. A secondary goal was to develop a workflow for analysing exon capture studies of phylogenetically diverse samples, while minimizing potential bias. Our approach assembles each exon in each sample separately, by first recruiting short sequencing reads having homology to the corresponding protein sequence. In sum, custom exon capture provides a complement to existing, more generic target capture methods and is a practical and robust option across low-moderate levels of phylogenetic divergence.","Custom exon capture provides a complement to existing, more generic target capture methods and is a practical and robust option across low‐moderate levels of phylogenetic divergence."
"CASTER: Direct species tree inference from whole-genome alignments","https://scispace.com/paper/caster-direct-species-tree-inference-from-whole-genome-1dn7b8vj6w","2023","Journal Article","bioRxiv","Chao Zhang
Rasmus Nielsen
Siavash Mirarab","10.1101/2023.10.04.560884","","Genomes contain mosaics of discordant evolutionary histories, challenging the accurate inference of the tree of life. While genome-wide data are routinely used for discordance-aware phylogenomic analyses, due to modeling and scalability limitations, the current practice leaves out large chunks of the genomes. As more high-quality genomes become available, we urgently need discordance-aware methods to infer the tree directly from a multiple genome alignment. Here, we introduce CASTER, a site-based method that eliminates the need to predefine recombination-free loci. CASTER is statistically consistent under incomplete lineage sorting and is scalable to hundreds of mammalian whole genomes. We show both in simulations and on real data that CASTER is scalable and accurate and that its per-site scores can reveal interesting patterns of evolution across the genome.","This work introduces CASTER, a site-based method that eliminates the need to predefine recombination-free loci and is scalable to hundreds of mammalian whole genomes and shows that its per-site scores can reveal interesting patterns of evolution across the genome."
"Multispecies Coalescent Species Delimitation: Conflating Populations with Species in the Grey Zone","https://scispace.com/paper/multispecies-coalescent-species-delimitation-conflating-l5bggeldk5ic","2017","Repository","","Jeet Sukumaran
L. Lacey Knowles","10.6084/m9.figshare.5141086.v3","","<b>The ""Multispecies Coalescent"" should be more properly referred to as the ""Multipopulation Coalescent"", as what it delimits is structure defined by disruption of Wright-Fisher panmixia: the model partitions a set of individuals into sets of Wright-Fisher populations. </b><br>The multispecies coalescent model underlies many approaches used for species delimitation. In previous work assessing the performance of species delimitation under this model, speciation was treated as an instantaneous event rather than as an extended process involving distinct phases of speciation initiation (structuring) and completion. Here, we use data under simulations that explicitly model speciation as an extended process rather than an instantaneous event and carry out species delimitation inference on these data under the multispecies coalescent. We show that the multispecies coalescent diagnoses genetic structure, not species, and that it does not statistically distinguish structure associated with population isolation vs. species boundaries. Because of the misidentification of population structure as putative species, our work raises questions about the practice of genome-based species discovery, with cascading consequences in other fields. Specifically, all fields that rely on species as units of analysis, from conservation biology to studies of macroevolutionary dynamics, will be impacted by inflated estimates of the number of species, especially as genomic resources provide unprecedented power for detecting increasingly finer-scaled genetic structure under the multispecies coalescent. As such, our work also represents a general call for systematic study to reconsider a reliance on genomic data alone. Until new methods are developed that can discriminate between structure due to population-level processes and that due to species boundaries, genomic-based results should only be considered a hypothesis that requires validation of delimited species with multiple data types, such as phenotypic and ecological information. ",""
