"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Phylogenomics reveals high levels of incomplete lineage sorting at the ancestral nodes of the macaque radiation.","https://scispace.com/paper/phylogenomics-reveals-high-levels-of-incomplete-lineage-3nxoa7n27j","2023","Journal Article","Molecular Biology and Evolution","Xinxin Tan
Jiwei Qi
Zhijin Liu
Pengfei Fan
Gaoming Liu
Liye Zhang
Ying Shen
Jing Li
Christian Roos
Xuming Zhou
Ming Li","10.1093/molbev/msad229","","The genus Macaca includes 23 species assigned into four to seven groups. It exhibits the largest geographic range and represents the most successful example of adaptive radiation of nonhuman primates. However, intrageneric phylogenetic relationships among species remain controversial and have not been resolved so far. In this study, we conducted a phylogenomic analysis on 16 newly generated and eight published macaque genomes. We found strong evidence supporting the division of this genus into seven species groups. Incomplete lineage sorting (ILS) was the primary factor contributing to the discordance observed among gene trees; however, we also found evidence of hybridization events, specifically between the ancestral arctoides/sinica and silenus/nigra lineages which resulted in the hybrid formation of the fascicularis/mulatta group. Combined with fossil data, our phylogenomic data was used to establish a scenario for macaque radiation. These findings provide insights into ILS and potential ancient introgression events that were involved in the radiation of macaques, which will lead to a better understanding of the rapid speciation occurring in nonhuman primates.","A phylogenomic analysis on 16 newly generated and 8 published macaque genomes found strong evidence supporting the division of this genus into 7 species groups, and provides insights into ILS and potential ancient introgression events that were involved in the radiation of macaques."
"Molecular Markers, Phylogeography and Search for the Criteria for Delimiting Species","https://scispace.com/paper/molecular-markers-phylogeography-and-search-for-the-criteria-4zfbcpocuw7a","","","","N.I. Abramson","10.31610/trudyzin/2009.supl.1.185","","The search for practical criteria for delimiting species was always topical. The waves of species splitting and lumping always altered depending both from dominant species concept, fashion and methods applied. Starting from the end of the last century the description of species diversity is at the peak of splitting wave. The specific feature of current splitting wave is that it relies 1) on new wide array of characters – molecular markers with their universality and easy application; 2) wide application of molecular markers in its turn gave birth to new methodology – phylogenetic analysis penetrates to intraspecies level, new direction of studies – phylogeography (Avise et al., 1987) appears and explosively develops. Phylogeography very successfully fall on phylogenetic species concept using gene trees as the basis for delimiting species and this «tree-thinking» approach together with widely expanding studies on phylogeography lead to dramatic increase in species number practically in all groups of vertebrates. Unlike morphological characters, molecular markers are universal (occur in all or almost in all organisms) and genetic distances, therewith, at a first glance gave an universal metrics for delimiting species which could be applied to almost all groups. Thus remarkable and long-awaited perspective opens- systematics receive an universal tool for distinguishing and delimitation of species. However, this hope on universal criteria once again appeared to be false and all issues which rise while working with molecular markers are very similar to those one have using morphological approach. In other words application of molecular markers bring us back to old and well known issues major part of which currently has no solution and the feeling that biologists at last have gain a unit similar to exact sciences is very wrong.","Researchers utilize molecular markers and phylogeography to delimit species, but this approach raises similar issues as morphological methods, including the lack of universal criteria, and does not provide a definitive solution to species delimitation."
"Delimiting species in recent radiations.","https://scispace.com/paper/delimiting-species-in-recent-radiations-f3wg4twnjo","2007","Journal Article","Systematic Biology","H. Bradley Shaffer
Robert C. Thomson","10.1080/10635150701772563","","Despite considerable effort from the systematics community, delimiting species boundaries in recent radiations remains a daunting challenge. We argue that genealogical approaches, although sometimes useful, may not solve this impor- tant problem, because recently derived species often have not had sufficient time to achieve monophyly. Instead, we suggest that population genetic approaches that rely on large sets of informative markers like single nucleotide polymorphisms (SNPs) provide an alternative framework for delimiting very recently derived species. We address two major challenges in applying such markers to species delimitation: discovering markers in nonmodel systems and using them to delimit recently derived species. Using turtles as a test case, we explore the utility of a single, relatively low-coverage genomic resource as an aid in gene and marker discovery. We exploit an end-sequenced bacterial artificial chromosome (BAC) library from an individual painted turtle (Chrysemys picta) and outline a novel protocol that efficiently identifies primer pairs that amplify homologous sequences across the tree of living turtles. Preliminary data using this library to discover SNPs in Emydura macquarii ,a species that diverged from C. picta ∼210 million years ago, indicate that sequences identified from the Chrysemys BAC library provide useful SNPs even in this very distantly related taxon. Several recent methods in wide use in the population genetics literature allow one to discover potential species, or test existing species hypotheses, with SNP data and may be particularly informative for very recently derived species. As BAC and other genomic resources become increasingly available for scattered taxa across the tree of life, we are optimistic that these resources will provide abun- dant, inexpensive markers that will help delimit boundaries in problematic, recent species radiations. (BAC end sequence; Chrysemys; comparative genomics; Emydura ;r ecent speciation; species delimitation; turtle.)","It is suggested that population genetic approaches that rely on large sets of informative markers like single nucleotide polymorphisms (SNPs) provide an alternative framework for delimiting very recently derived species."
"Primate phylogenomics uncovers multiple rapid radiations and ancient interspecific introgression.","https://scispace.com/paper/primate-phylogenomics-uncovers-multiple-rapid-radiations-and-2s8iofshef","2020","Journal Article","PLOS Biology","Dan Vanderpool
Bui Quang Minh
Robert Lanfear
Daniel S.T. Hughes
Shwetha C. Murali
R. Alan Harris
Muthuswamy Raveendran
Donna M. Muzny
Mark S. Hibbins
Robert J. Williamson
Richard A. Gibbs
Kim C. Worley
Jeffrey Rogers
Matthew W. Hahn","10.1371/JOURNAL.PBIO.3000954","","Our understanding of the evolutionary history of primates is undergoing continual revision due to ongoing genome sequencing efforts. Bolstered by growing fossil evidence, these data have led to increased acceptance of once controversial hypotheses regarding phylogenetic relationships, hybridization and introgression, and the biogeographical history of primate groups. Among these findings is a pattern of recent introgression between species within all major primate groups examined to date, though little is known about introgression deeper in time. To address this and other phylogenetic questions, here, we present new reference genome assemblies for 3 Old World monkey (OWM) species: Colobus angolensis ssp. palliatus (the black and white colobus), Macaca nemestrina (southern pig-tailed macaque), and Mandrillus leucophaeus (the drill). We combine these data with 23 additional primate genomes to estimate both the species tree and individual gene trees using thousands of loci. While our species tree is largely consistent with previous phylogenetic hypotheses, the gene trees reveal high levels of genealogical discordance associated with multiple primate radiations. We use strongly asymmetric patterns of gene tree discordance around specific branches to identify multiple instances of introgression between ancestral primate lineages. In addition, we exploit recent fossil evidence to perform fossil-calibrated molecular dating analyses across the tree. Taken together, our genome-wide data help to resolve multiple contentious sets of relationships among primates, while also providing insight into the biological processes and technical artifacts that led to the disagreements in the first place.","New reference genome assemblies for 3 Old World monkey species are presented and strongly asymmetric patterns of gene tree discordance around specific branches are used to identify multiple instances of introgression between ancestral primate lineages."
"Comparison of Mitogenomic and Mitochondrial Markers for the Phylogenetic and Evolutionary Study of Marmosets, with special focus on captive Callithrix jacchus","https://scispace.com/paper/comparison-of-mitogenomic-and-mitochondrial-markers-for-the-1vuudc7f","2022","Posted Content","bioRxiv","João L.G. Fonseca
Ricardo C.H. del Rosario
Maria Adélia Borstelmann de Oliveira
Guoping Feng
Claudia S Igayara
Steven A. McCarroll
Patricia Avello Nicola
Luiz M C Pereira
Jeffery Rogers
Christian Roos
Joanna Malukiewicz","10.1101/2022.09.19.508604","","Marmosets, especially Callithrix jacchus, are becoming valuable, high-demand biomedical models but their supply outside of their native Brazil is limited. Thus, uncovering the ancestry and biogeographic origins of captive marmosets is an essential task to optimize their biomedical use. Such information facilitates assessing standing levels of captive marmoset genetic diversity, identifying hybrids, and maintaining genetic diversity of captive marmoset populations. Here, we present 16 newly sequenced mitochondrial genomes from marmosets with C. jacchus phenotypes from international biomedical and animal supply facilities. We combine these new data with publicly available sequences to compare usage of mitogenome and the mtDNA control region for determining the ancestry and diversity of captive marmosets. MtDNA control region and mitogenome haplotypes from all 16 newly sequenced marmosets grouped within C. jacchus phylogenetic clades. Overall, phylogenies based on mitogenomes rather than the control region showed better resolved branching patterns with stronger statistical support within C. jacchus clades. However, both mtDNA markers show that C. jacchus is the sister clade to the phylogenetic C. penicillata Caatinga biome clade. Callithrix jacchus mtDNA control region haplotypes showed the highest haplotype and nucleotide diversity, and were intermediate in terms of per sequence theta and polymorphic sites. The larger number of available Callithrix mtDNA control region sequences relative to mitogenomes was used to determine ancestral mtDNA haplotype biogeographic origins. However, biogeographic origins for many C. jacchus haplotypes including those from international captive facilities could not be determined, which we attributed to unknown provenance information from natural C. jacchus populations. Given our results, we encourage increased sampling and genomic sequencing efforts for natural C. jacchus populations in Brazil, and utilizing the mitogenome over other mtDNA markers for phylogenetic-based analyses. Further, combining marmoset mitogenomic data with phenotypic and nuclear genomic data will greatly enhance the biomedical use of marmosets.","Encouraging increased sampling and genomic sequencing efforts for natural C. jacchus populations in Brazil, and utilizing the mitogenome over other mtDNA markers for phylogenetic-based analyses will greatly enhance the biomedical use of marmosets are encouraged."
"Special Issue “Primate Phylogeny and Genetics”","https://scispace.com/paper/special-issue-primate-phylogeny-and-genetics-xtbltrmo5y","2024","Journal Article","Genes","Ute Radespiel
Christian Roos","10.3390/genes15010068","","New phylogenetic tools and population genetics methods have been developed and vastly advanced over the last decade [...]","New phylogenetic and population genetics methods have been developed and advanced for primates."
"Cryptic Patterns of Speciation in Cryptic Primates: Microendemic Mouse Lemurs and the Multispecies Coalescent","https://scispace.com/paper/cryptic-patterns-of-speciation-in-cryptic-primates-4ze1jkq5od","2021","Journal Article","Systematic Biology","Jelmer W. Poelstra
Jordi Salmona
George P. Tiley
Dominik Schüßler
Marina B. Blanco
Jean B Andriambeloson
Olivier Bouchez
C. Ryan Campbell
Paul D. Etter
Paul A. Hohenlohe
Kelsie E. Hunnicutt
Kelsie E. Hunnicutt
Amaia Iribar
Eric A. Johnson
Peter M. Kappeler
Peter A. Larsen
Peter A. Larsen
Sophie Manzi
José M. Ralison
Blanchard Randrianambinina
Rodin M Rasoloarison
David W. Rasolofoson
Amanda R. Stahlke
David W. Weisrock
Rachel C. Williams
Lounès Chikhi
Lounès Chikhi
Edward E. Louis
Ute Radespiel
Anne D. Yoder","10.1093/SYSBIO/SYAA053","","Mouse lemurs (Microcebus) are a radiation of morphologically cryptic primates distributed throughout Madagascar for which the number of recognized species has exploded in the past two decades. This taxonomic revision has prompted understandable concern that there has been substantial oversplitting in the mouse lemur clade. Here, we investigate mouse lemur diversity in a region in northeastern Madagascar with high levels of microendemism and predicted habitat loss. We analyzed RADseq data with multispecies coalescent (MSC) species delimitation methods for two pairs of sister lineages that include three named species and an undescribed lineage previously identified to have divergent mtDNA. Marked differences in effective population sizes, levels of gene flow, patterns of isolation-by-distance, and species delimitation results were found among the two pairs of lineages. Whereas all tests support the recognition of the presently undescribed lineage as a separate species, the species-level distinction of two previously described species, M. mittermeieri and M. lehilahytsara is not supported-a result that is particularly striking when using the genealogical discordance index (gdi). Nonsister lineages occur sympatrically in two of the localities sampled for this study, despite an estimated divergence time of less than 1 Ma. This suggests rapid evolution of reproductive isolation in the focal lineages and in the mouse lemur clade generally. The divergence time estimates reported here are based on the MSC calibrated with pedigree-based mutation rates and are considerably more recent than previously published fossil-calibrated relaxed-clock estimates. We discuss the possible explanations for this discrepancy, noting that there are theoretical justifications for preferring the MSC estimates in this case. [Cryptic species; effective population size; microendemism; multispecies coalescent; speciation; species delimitation.].","Divergence time estimates reported here are based on the MSC calibrated with pedigree-based mutation rates and are considerably more recent than previously published fossil-calibrated relaxed-clock estimates and suggest rapid evolution of reproductive isolation in the focal lineages, and in the mouse lemur clade generally."
"A Plea for Standardized Nuclear Markers in Metazoan DNA Taxonomy.","https://scispace.com/paper/a-plea-for-standardized-nuclear-markers-in-metazoan-dna-4ga97zce45","2020","Journal Article","Trends in Ecology and Evolution","Jonas Eberle
Dirk Ahrens
Christoph Mayer
Oliver Niehuis
Bernhard Misof","10.1016/J.TREE.2019.12.003","","The ease of sequencing DNA barcodes promoted a species identification system universally applicable across animal phyla. However, relying on a single mitochondrial DNA fragment has a number of drawbacks that can mislead species delimitation and identification. Implementation of multiple nuclear markers would mitigate the limits of the current barcoding system if these markers are universally applicable across species, carry sufficient information to discriminate between closely related species, and if sequencing and analyzing these markers can be automatized. As sequencing costs continue to fall, we believe that the time is right to extend DNA barcoding. Here we argue that nearly universal single-copy nuclear protein-coding genes deliver the desired characteristics and could be used to reliably delimit and identify animal species.","It is argued that nearly universal single-copy nuclear protein-coding genes deliver the desired characteristics and could be used to reliably delimit and identify animal species."
"Coalescent-Based Analyses of Genomic Sequence Data Provide a Robust Resolution of Phylogenetic Relationships among Major Groups of Gibbons.","https://scispace.com/paper/coalescent-based-analyses-of-genomic-sequence-data-provide-a-phncwanxjk","2018","Journal Article","Molecular Biology and Evolution","Cheng Min Shi
Ziheng Yang","10.1093/MOLBEV/MSX277","","The phylogenetic relationships among extant gibbon species remain unresolved despite numerous efforts using morphological, behavorial, and genetic data and the sequencing of whole genomes. A major challenge in reconstructing the gibbon phylogeny is the radiative speciation process, which resulted in extremely short internal branches in the species phylogeny and extensive incomplete lineage sorting with extensive gene-tree heterogeneity across the genome. Here, we analyze two genomic-scale data sets, with ∼10,000 putative noncoding and exonic loci, respectively, to estimate the species tree for the major groups of gibbons. We used the Bayesian full-likelihood method bpp under the multispecies coalescent model, which naturally accommodates incomplete lineage sorting and uncertainties in the gene trees. For comparison, we included three heuristic coalescent-based methods (mp-est, SVDQuartets, and astral) as well as concatenation. From both data sets, we infer the phylogeny for the four extant gibbon genera to be (Hylobates, (Nomascus, (Hoolock, Symphalangus))). We used simulation guided by the real data to evaluate the accuracy of the methods used. Astral, while not as efficient as bpp, performed well in estimation of the species tree even in presence of excessive incomplete lineage sorting. Concatenation, mp-est and SVDQuartets were unreliable when the species tree contains very short internal branches. Likelihood ratio test of gene flow suggests a small amount of migration from Hylobates moloch to H. pileatus, while cross-genera migration is absent or rare. Our results highlight the utility of coalescent-based methods in addressing challenging species tree problems characterized by short internal branches and rampant gene tree-species tree discordance.","This work analyzes two genomic-scale data sets, with ∼10,000 putative noncoding and exonic loci, respectively, to estimate the species tree for the major groups of gibbons, and infer the phylogeny for the four extant gibbon genera."
"Primate phylogenomics: developing numerous nuclear non-coding, non-repetitive markers for ecological and phylogenetic applications and analysis of evolutionary rate variation","https://scispace.com/paper/primate-phylogenomics-developing-numerous-nuclear-non-coding-2iws23jqy9","2009","Journal Article","BMC Genomics","Zuogang Peng
Navin Elango
Derek E. Wildman
Soojin V. Yi","10.1186/1471-2164-10-247","","Genetic analyses are often limited by the availability of appropriate molecular markers. Markers from neutrally evolving genomic regions may be particularly useful for inferring evolutionary histories because they escape the constraints of natural selection. For the majority of taxa however, obtaining such markers is challenging. Advances in genomics have the potential to alleviate the shortage of neutral markers. Here we present a method to develop numerous markers from putatively neutral regions of primate genomes. We began with the available whole genome sequences of human, chimpanzee and macaque. Using computational methods, we identified a total of 280 potential amplicons from putatively neutral, non-coding, non-repetitive regions of these genomes. Subsequently we amplified, using experimental methods, many of these amplicons from diverse primate taxa, including a ring-tailed lemur, which is distantly related to the genomic resources. Using a subset of 10 markers, we demonstrate the utility of the developed markers in phylogenetic and evolutionary rate analyses. Particularly, we uncovered substantial evolutionary rate variation among lineages, some of which are previously not reported. We successfully developed numerous markers from putatively neutral regions of primate genomes using a strategy combining computational and experimental methods. Applying these markers to phylogenetic and evolutionary rate variation analyses exemplifies the utility of these markers. Diverse ecological and evolutionary analyses will benefit from these markers. Importantly, methods similar to those presented here can be applied to other taxa in the near future.","Several markers from putatively neutral regions of primate genomes are developed using a strategy combining computational and experimental methods and the utility of these markers in phylogenetic and evolutionary rate analyses is demonstrated."
