"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Phylogenetic Relationships among the Colobine Monkeys Revisited: New Insights from Analyses of Complete mt Genomes and 44 Nuclear Non-Coding Markers","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-3ufrjybtp2dm","2024","Repository","","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang","10.60692/m2zpt-nmp52","","Background Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates. Principal Findings The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic 'odd-nosed' group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups. Significance The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics. ","This study re-examines phylogenetic relationships among Asian and African colobine monkeys using complete mt genomes and 44 nuclear non-coding markers, revealing complex relationships and rejecting a proposed African colobine paraphyly hypothesis."
"Phylogenetic Relationships among the Colobine Monkeys Revisited: New Insights from Analyses of Complete mt Genomes and 44 Nuclear Non-Coding Markers","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-bv36rfcf46ej","2024","Repository","","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang","10.60692/pj2hk-bny57","","Background Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates. Principal Findings The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic 'odd-nosed' group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups. Significance The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics. ",""
"Phylogenetic relationships among the colobine monkeys revisited: new insights from analyses of complete mt genomes and 44 nuclear non-coding markers.","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-124znhs0km","2012","Journal Article","PLOS ONE","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang
Ya-Ping Zhang","10.1371/JOURNAL.PONE.0036274","","Background 
Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates.
Principal Findings 
The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic ‘odd-nosed’ group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups.
Significance 
The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics.","The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae and it was found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation."
"Reconstructing the phylogeny of new world monkeys (platyrrhini): evidence from multiple non-coding loci.","https://scispace.com/paper/reconstructing-the-phylogeny-of-new-world-monkeys-4a4zeh4pa0","2019","Journal Article","Current Zoology","Xiaoping Wang
Burton K. Lim
Nelson Ting
Jingyang Hu
Jingyang Hu
Jingyang Hu
Yunpeng Liang
Christian Roos
Li Yu","10.1093/CZ/ZOY072","","Among mammalian phylogenies, those characterized by rapid radiations are particularly problematic. The New World monkeys (NWMs, Platyrrhini) comprise 3 families and 7 subfamilies, which radiated within a relatively short time period. Accordingly, their phylogenetic relationships are still largely disputed. In the present study, 56 nuclear non-coding loci, including 33 introns (INs) and 23 intergenic regions (IGs), from 20 NWM individuals representing 18 species were used to investigate phylogenetic relationships among families and subfamilies. Of the 56 loci, 43 have not been used in previous NWM phylogenetics. We applied concatenation and coalescence tree-inference methods, and a recently proposed question-specific approach to address NWM phylogeny. Our results indicate incongruence between concatenation and coalescence methods for the IN and IG datasets. However, a consensus was reached with a single tree topology from all analyses of combined INs and IGs as well as all analyses of question-specific loci using both concatenation and coalescence methods, albeit with varying degrees of statistical support. In detail, our results indicated the sister-group relationships between the families Atelidae and Pitheciidae, and between the subfamilies Aotinae and Callithrichinae among Cebidae. Our study provides insights into the disputed phylogenetic relationships among NWM families and subfamilies from the perspective of multiple non-coding loci and various tree-inference approaches. However, the present phylogenetic framework needs further evaluation by adding more independent sequence data and a deeper taxonomic sampling. Overall, our work has important implications for phylogenetic studies dealing with rapid radiations.","This study provides insights into the disputed phylogenetic relationships among NWM families and subfamilies from the perspective of multiple non-coding loci and various tree-inference approaches, albeit with varying degrees of statistical support."
"A New Assessment of Robust Capuchin Monkey (Sapajus) Evolutionary History Using Genome-Wide SNP Marker Data and a Bayesian Approach to Species Delimitation","https://scispace.com/paper/a-new-assessment-of-robust-capuchin-monkey-sapajus-gct9q1s7","2023","Journal Article","Genes","Amely B. Martins
Mônica M. Valença-Montenegro
Marcela Guimarães Moreira Lima
Jessica W. Lynch
Walfrido Kühl Svoboda
José de Sousa e Silva-Júnior
F. Röhe
Jean P. Boubli
Anthony Di Fiore","10.3390/genes14050970","","Robust capuchin monkeys, Sapajus genus, are among the most phenotypically diverse and widespread groups of primates in South America, with one of the most confusing and often shifting taxonomies. We used a ddRADseq approach to generate genome-wide SNP markers for 171 individuals from all putative extant species of Sapajus to access their evolutionary history. Using maximum likelihood, multispecies coalescent phylogenetic inference, and a Bayes Factor method to test for alternative hypotheses of species delimitation, we inferred the phylogenetic history of the Sapajus radiation, evaluating the number of discrete species supported. Our results support the recognition of three species from the Atlantic Forest south of the São Francisco River, with these species being the first splits in the robust capuchin radiation. Our results were congruent in recovering the Pantanal and Amazonian Sapajus as structured into three monophyletic clades, though new morphological assessments are necessary, as the Amazonian clades do not agree with previous morphology-based taxonomic distributions. Phylogenetic reconstructions for Sapajus occurring in the Cerrado, Caatinga, and northeastern Atlantic Forest were less congruent with morphology-based phylogenetic reconstructions, as the bearded capuchin was recovered as a paraphyletic clade, with samples from the Caatinga biome being either a monophyletic clade or nested with the blond capuchin monkey.","In this paper , the authors used a ddRADseq approach to generate genome-wide SNP markers for 171 individuals from all putative extant species of Sapajus to access their evolutionary history, using maximum likelihood, multispecies coalescent phylogenetic inference, and a Bayes Factor method to test for alternative hypotheses of species delimitation."
"A phylogenomics and population genomics study of the robust capuchin monkey (Sapajus) radiation : first genus-wide analyses of admixture and species boundaries in neotropical primates","https://scispace.com/paper/a-phylogenomics-and-population-genomics-study-of-the-robust-qoewej0xsxn1","2021","Journal Article","","Amely Branquinho Martins","10.26153/tsw/62361","","Robust capuchin monkeys, Sapajus genus, are among the most phenotypically diverse and widespread groups of primates in South America, with one of the most confusing and often shifting taxonomies. Indeed, taxonomists and phylogeneticists have suggested multiple taxonomic arrangements for Sapajus, with recent genetic studies suggesting that potentially widespread admixture may have complicated species delimitation. The main goals of this dissertation were to assess the evolutionary history of the robust capuchins and to characterize patterns of admixture across the Sapajus radiation. In this study, I used a ddRADseq approach to generate genome-wide SNP markers for 230 individuals from all putative species of Sapajus collected from 79 localities in Brazil. I then conducted both phylogenomic and population genomic studies of the genus. Using maximum likelihood methods, multispecies coalescent phylogenetic inference, and a Bayes Factor method to test for alternative hypotheses of species delimitation, I inferred the phylogenetic history of the Sapajus radiation and evaluated how many discrete species should be considered within the genus. Using Bayesian and multivariate clustering analyses, I also conducted a hierarchical population genomics study to assess the existence of admixture throughout the Sapajus radiation and across three natural and one human-induced contact zones among pairs of putative robust capuchin monkey species in different regions of Brazil. I found support for recognizing three lineages of robust capuchin monkeys from the Atlantic Forest region lying to the south of the São Francisco river and for the existence off three reciprocally monophyletic clades among the robust capuchins from the Pantanal and Amazon biomes. Different analyses suggested different topologies for Sapajus occurring in the Cerrado, Caatinga, and Northeastern Atlantic Forest. Overall, I found evidence for seven geographically structured genetic clusters within the Sapajus radiation, a result highly coincident with the clades recovered in my phylogenomic reconstructions. Importantly, these results confirm the existence of core geographic regions containing no admixed individuals, despite the evidence of widespread admixture in contact zones throughout Brazil. I also characterized the contact zone across two pairs of species. Finally, I discuss the implications of both my phylogenomic and population genomic studies for Sapajus species recognition and conservation. ","This phylogenomics and population genomics study of the robust capuchin monkey (Sapajus) radiation reveals seven geographically structured genetic clusters, widespread admixture, and three reciprocally monophyletic clades, informing species recognition and conservation in Neotropical primates."
"Cryptic Patterns of Speciation in Cryptic Primates: Microendemic Mouse Lemurs and the Multispecies Coalescent","https://scispace.com/paper/cryptic-patterns-of-speciation-in-cryptic-primates-4ze1jkq5od","2021","Journal Article","Systematic Biology","Jelmer W. Poelstra
Jordi Salmona
George P. Tiley
Dominik Schüßler
Marina B. Blanco
Jean B Andriambeloson
Olivier Bouchez
C. Ryan Campbell
Paul D. Etter
Paul A. Hohenlohe
Kelsie E. Hunnicutt
Kelsie E. Hunnicutt
Amaia Iribar
Eric A. Johnson
Peter M. Kappeler
Peter A. Larsen
Peter A. Larsen
Sophie Manzi
José M. Ralison
Blanchard Randrianambinina
Rodin M Rasoloarison
David W. Rasolofoson
Amanda R. Stahlke
David W. Weisrock
Rachel C. Williams
Lounès Chikhi
Lounès Chikhi
Edward E. Louis
Ute Radespiel
Anne D. Yoder","10.1093/SYSBIO/SYAA053","","Mouse lemurs (Microcebus) are a radiation of morphologically cryptic primates distributed throughout Madagascar for which the number of recognized species has exploded in the past two decades. This taxonomic revision has prompted understandable concern that there has been substantial oversplitting in the mouse lemur clade. Here, we investigate mouse lemur diversity in a region in northeastern Madagascar with high levels of microendemism and predicted habitat loss. We analyzed RADseq data with multispecies coalescent (MSC) species delimitation methods for two pairs of sister lineages that include three named species and an undescribed lineage previously identified to have divergent mtDNA. Marked differences in effective population sizes, levels of gene flow, patterns of isolation-by-distance, and species delimitation results were found among the two pairs of lineages. Whereas all tests support the recognition of the presently undescribed lineage as a separate species, the species-level distinction of two previously described species, M. mittermeieri and M. lehilahytsara is not supported-a result that is particularly striking when using the genealogical discordance index (gdi). Nonsister lineages occur sympatrically in two of the localities sampled for this study, despite an estimated divergence time of less than 1 Ma. This suggests rapid evolution of reproductive isolation in the focal lineages and in the mouse lemur clade generally. The divergence time estimates reported here are based on the MSC calibrated with pedigree-based mutation rates and are considerably more recent than previously published fossil-calibrated relaxed-clock estimates. We discuss the possible explanations for this discrepancy, noting that there are theoretical justifications for preferring the MSC estimates in this case. [Cryptic species; effective population size; microendemism; multispecies coalescent; speciation; species delimitation.].","Divergence time estimates reported here are based on the MSC calibrated with pedigree-based mutation rates and are considerably more recent than previously published fossil-calibrated relaxed-clock estimates and suggest rapid evolution of reproductive isolation in the focal lineages, and in the mouse lemur clade generally."
"Species discovery and validation in a cryptic radiation of endangered primates: coalescent‐based species delimitation in Madagascar's mouse lemurs","https://scispace.com/paper/species-discovery-and-validation-in-a-cryptic-radiation-of-883rebqpdm","2016","Journal Article","Molecular Ecology","Scott Hotaling
Mary Foley
Nicolette M Lawrence
Jose L. Bocanegra
Marina B. Blanco
Rodin M. Rasoloarison
Rodin M. Rasoloarison
Peter M. Kappeler
Meredith A. Barrett
Anne D. Yoder
David W. Weisrock","10.1111/MEC.13604","","Implementation of the coalescent model in a Bayesian framework is an emerging strength in genetically based species delimitation studies. By providing an objective measure of species diagnosis, these methods represent a quantitative enhancement to the analysis of multilocus data, and complement more traditional methods based on phenotypic and ecological characteristics. Recognized as two species 20 years ago, mouse lemurs (genus Microcebus) now comprise more than 20 species, largely diagnosed from mtDNA sequence data. With each new species description, enthusiasm has been tempered with scientific scepticism. Here, we present a statistically justified and unbiased Bayesian approach towards mouse lemur species delimitation. We perform validation tests using multilocus sequence data and two methodologies: (i) reverse-jump Markov chain Monte Carlo sampling to assess the likelihood of different models defined a priori by a guide tree, and (ii) a Bayes factor delimitation test that compares different species-tree models without a guide tree. We assess the sensitivity of these methods using randomized individual assignments, which has been used in bpp studies, but not with Bayes factor delimitation tests. Our results validate previously diagnosed taxa, as well as new species hypotheses, resulting in support for three new mouse lemur species. As the challenge of multiple researchers using differing criteria to describe diversity is not unique to Microcebus, the methods used here have significant potential for clarifying diversity in other taxonomic groups. We echo previous studies in advocating that multiple lines of evidence, including use of the coalescent model, should be trusted to delimit new species.","In this paper, the authors presented a statistically justified and unbiased Bayesian approach towards mouse lemur species delimitation, and performed validation tests using multilocus sequence data and two methodologies: (i) reverse-jump Markov chain Monte Carlo sampling to assess the likelihood of different models defined a priori by a guide tree, and (ii) a Bayes factor delimitation test that compares different species-tree models without a guidetree."
"Nuclear and Mitochondrial Phylogenomics of the Sifakas Reveal Cryptic Variation in the Diademed Sifaka","https://scispace.com/paper/nuclear-and-mitochondrial-phylogenomics-of-the-sifakas-clmnvqwb","2022","Journal Article","Genes","Melissa T. R. Hawkins
Carolyn A. Bailey
A. M. Brown
Jen C. Tinsman
Ryan A. Hagenson
Ryan Culligan
Adena Barela
Jean Claude Randriamanana
Jean Freddy Ranaivoarisoa
John R. Zaonarivelo
Edward E. Louis","10.3390/genes13061026","","The most comprehensive phylogenomic reconstruction to date was generated on all nominal taxa within the lemur genus Propithecus. Over 200 wild-caught individuals were included in this study to evaluate the intra and interspecific relationships across this genus. Ultraconserved Elements (UCEs) resulted in well-supported phylogenomic trees. Complete mitochondrial genomes (CMGs) largely agreed with the UCEs, except where a mitochondrial introgression was detected between one clade of the diademed sifaka (Propithecus diadema) and the Milne-Edwards sifaka (P. edwardsi). Additionally, the crowned (P. coronatus) and Von der Decken’s (P. deckeni) sifakas belonged to a single admixed lineage from UCEs. Further sampling across these two species is warranted to determine if our sampling represents a hybrid zone. P. diadema recovered two well-supported clades, which were dated and estimated as being ancient as the split between the Perrier’s (P. perrierii) and silky (P. candidus) sifakas. The reconstructed demographic history of the two clades also varied over time. We then modeled the modern ecological niches of the two cryptic P. diadema clades and found that they were significantly diverged (p < 0.01). These ecological differences result in a very limited zone of geographic overlap for the P. diadema clades (<60 km2). Niche models also revealed that the Onive River acts as a potential barrier to dispersal between P. diadema and P. edwardsi. Further taxonomic work is required on P. diadema to determine if its taxonomic status should be revised. This first genomic evaluation of the genus resolved the relationships between the taxa and the recovered cryptic diversity within one species.","This first genomic evaluation of the lemur genus Propithecus resolved the relationships between the taxa and the recovered cryptic diversity within one species."
"Ancient Introgression in Mouse Lemurs (Microcebus: Cheirogaleidae) Explains 20 Years of Phylogenetic Uncertainty","https://scispace.com/paper/ancient-introgression-in-mouse-lemurs-microcebus-1gzlt8ygza","2024","Journal Article","Bulletin of the Society of Systematic Biologists","Blake D. Fauskee
Andrew A. Crowl
Bryan Piatkowski
Anne D. Yoder
George P. Tiley","10.18061/bssb.v3i1.9319","","Mouse lemurs (genus Microcebus) are a clade of approximately 26 named species of small, nocturnal primates endemic to Madagascar. The genus radiated one to ten million years ago and is morphologically cryptic, with most species having been named within the past 20 years largely based on phylogenetic analysis of short fragments of mitochondrial data. More recent work has been focused on revisiting species designations with autosomal nuclear data using more sophisticated statistical approaches. The order of speciation events in Microcebus remains contentious, particularly with regard to the placement of the M. ravelobensis clade. We investigated support for previous phylogenetic hypotheses based on available whole-genome assemblies from six species and an outgroup. We recovered over 4,000 one-to-one orthologs from these assemblies and used concatenation and coalescent species tree methods to evaluate if differences between previous studies were due to methodological differences or to limitations from too few loci. Observed gene tree discordance was high with patterns inconsistent with incomplete lineage sorting alone. Therefore, we estimated phylogenetic networks to investigate ancient introgression events that may explain observed gene tree distributions and previous phylogenetic conflicts. A network model, invoking some role for introgressive hybridization in the early evolution of Microcebus, better characterizes phylogenetic relationships than does any binary species tree. Our results provide insights into the biogeographic history of a threatened and diverse group of primates while also highlighting an important role for phylogenetic network methods in resolving cases of phylogenetic uncertainty. ","A network model, invoking some role for introgressive hybridization in the early evolution of Microcebus, better characterizes phylogenetic relationships than does any binary species tree."
