"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"A comparative analysis of Y chromosome and mtDNA phylogenies of the Hylobates gibbons","https://scispace.com/paper/a-comparative-analysis-of-y-chromosome-and-mtdna-phylogenies-2fiv9wue2y","2012","Journal Article","BMC Evolutionary Biology","Yi-Chiao Chan
Christian Roos
Miho Inoue-Murayama
Eiji Inoue
Chih-Chin Shih
Linda Vigilant","10.1186/1471-2148-12-150","","The evolutionary relationships of closely related species have long been of interest to biologists since these species experienced different evolutionary processes in a relatively short period of time. Comparison of phylogenies inferred from DNA sequences with differing inheritance patterns, such as mitochondrial, autosomal, and X and Y chromosomal loci, can provide more comprehensive inferences of the evolutionary histories of species. Gibbons, especially the genus Hylobates, are particularly intriguing as they consist of multiple closely related species which emerged rapidly and live in close geographic proximity. Our current understanding of relationships among Hylobates species is largely based on data from the maternally-inherited mitochondrial DNAs (mtDNAs). To infer the paternal histories of gibbon taxa, we sequenced multiple Y chromosomal loci from 26 gibbons representing 10 species. As expected, we find levels of sequence variation some five times lower than observed for the mitochondrial genome (mtgenome). Although our Y chromosome phylogenetic tree shows relatively low resolution compared to the mtgenome tree, our results are consistent with the monophyly of gibbon genera suggested by the mtgenome tree. In a comparison of the molecular dating of divergences and on the branching patterns of phylogeny trees between mtgenome and Y chromosome data, we found: 1) the inferred divergence estimates were more recent for the Y chromosome than for the mtgenome, 2) the species H. lar and H. pileatus are monophyletic in the mtgenome phylogeny, respectively, but a H. pileatus individual falls into the H. lar Y chromosome clade. Based on the ~6.4 kb of Y chromosomal DNA sequence data generated for each of the 26 individuals in this study, we provide molecular inferences on gibbon and particularly on Hylobates evolution complementary to those from mtDNA data. Overall, our results illustrate the utility of comparative studies of loci with different inheritance patterns for investigating potential sex specific processes on the evolutionary histories of closely related taxa, and emphasize the need for further sampling of gibbons of known provenance.","The results illustrate the utility of comparative studies of loci with different inheritance patterns for investigating potential sex specific processes on the evolutionary histories of closely related taxa, and emphasize the need for further sampling of gibbons of known provenance."
"Impact of deep coalescence on the reliability of species tree inference from different types of DNA markers in mammals.","https://scispace.com/paper/impact-of-deep-coalescence-on-the-reliability-of-species-5fs59r8ct9","2012","Journal Article","PLOS ONE","Alejandro Sánchez-Gracia
Jose Castresana","10.1371/JOURNAL.PONE.0030239","","An important challenge for phylogenetic studies of closely related species is the existence of deep coalescence and gene tree heterogeneity. However, their effects can vary between species and they are often neglected in phylogenetic analyses. In addition, a practical problem in the reconstruction of shallow phylogenies is to determine the most efficient set of DNA markers for a reliable estimation. To address these questions, we conducted a multilocus simulation study using empirical values of nucleotide diversity and substitution rates obtained from a wide range of mammals and evaluated the performance of both gene tree and species tree approaches to recover the known speciation times and topological relationships. We first show that deep coalescence can be a serious problem, more than usually assumed, for the estimation of speciation times in mammals using traditional gene trees. Furthermore, we tested the performance of different sets of DNA markers in the determination of species trees using a coalescent approach. Although the best estimates of speciation times were obtained, as expected, with the use of an increasing number of nuclear loci, our results show that similar estimations can be obtained with a much lower number of genes and the incorporation of a mitochondrial marker, with its high information content. Thus, the use of the combined information of both nuclear and mitochondrial markers in a species tree framework is the most efficient option to estimate recent speciation times and, consequently, the underlying species tree.","A multilocus simulation study using empirical values of nucleotide diversity and substitution rates obtained from a wide range of mammals and evaluated the performance of both gene tree and species tree approaches shows that the use of the combined information of both nuclear and mitochondrial markers in a species tree framework is the most efficient option to estimate recent speciation times and, consequently, the underlying species tree."
"Molecular Evidence of Primate Origins and Evolution","https://scispace.com/paper/molecular-evidence-of-primate-origins-and-evolution-106yhwxab0","2013","Book Chapter","","Ryan L. Raaum","10.1007/978-3-642-27800-6_85-1","","Molecular data have become an important source of evidence on primate evolutionary history, particularly when the fossil evidence is limited or lacking. The most recent molecular phylogenetic studies of primate evolutionary relationships and divergence times are reviewed here, primarily at the family level and above. Paleontological data are not entirely omitted, but the focus here is on the molecular results. The current molecular evidence for the branching pattern among the primates, colugos, and treeshrews is presented, and current studies provide weak support for a sister group relationship between primates and colugos. The haplorhine affinities of the tarsier are documented out of a sense of duty; hopefully, it will be possible to stop pretending this is an open question sometime soon. The relationships among the platyrrhine families are quite convincingly resolved in favor of an atelid and cebid clade, but the relationships among Aotus, the cebines, and the callitrichines in the Cebidae are poorly resolved. It seems that the molecular evidence will eventually support reciprocal monophyly of the living galagos and lorises, but the molecular data are not presently very helpful. Excluding the early diverging Daubentonia lineage, the relationship of the remaining four lemur families almost certainly includes a cheirogaleid-lepilemurid clade but is otherwise poorly resolved by molecular data. Advances in divergence date estimation methodology have begun to rectify some of the absurdly early estimates for the time of origin of the crown primate radiation, but there is still a lot of work to do. Fossil calibration remains problematically applied, and some highly cited studies have poorly justified or unjustifiable calibrations. New methods are being developed for mostly or completely fossil calibration-free divergence date estimation and are very promising. Introduction Studies of molecular data have contributed significantly to our understanding of primate origins and evolution, from the seminal immunological studies in the 1960s (Goodman 1961, 1963; Sarich and Wilson 1966, 1967) that contributed to a revision of the hominoid relationships and dramatically shortened the time frame of human evolution to the early years of the DNA era when substantial morphological homoplasy in the Papionini was confirmed from analysis of mitochondrial DNA (mtDNA) sequences (Disotell et al. 1992; Disotell 1994). But what have molecular data done for you lately? In this chapter, the most recent molecular evidence on the higher level relationships of primates is reviewed, from their nearest interordinal relatives to relationships among families and some subfamilies, and presents the most recently published estimates of divergence times. The ideal molecular phylogenetic study of the primates would include unbiased, genome-wide sequence data from all primate species. These data would be analyzed using the best available phylogenetic reconstruction method; if, as is the case 1084 R.L. Raaum today, there were several well-regarded methods, they would be analyzed using all leading approaches. Any significant discrepancy among the results from the different methods would be investigated and explained. To the extent that primate evolution can be represented by a strictly bifurcating history, a single best estimate of the phylogeny would be presented. Lineage divergence dates (with confidence intervals) would be calculated from evolutionary rate estimates along lineages derived from either well-dated, justifiable calibration points or some other independent rate estimate. No such study has been published. Nothing even comes particularly close. It is an impossible ideal at the moment. Aside from the expense and practical problems associated with collecting sequence data from all primate species, or even all genera, it is not clear that current computational abilities could efficiently analyze the data. Given that current efforts must fall short of the ideal, it is necessary to choose the best estimates among studies with various shortcomings. For most primate groups, there are now dozens of published phylogenies and divergence date estimates. Given all these choices, it is possible to support quite different evolutionary scenarios by cherry-picking convenient results. One source of this proliferation is that most research groups with a focus on molecular systematics publish series of papers with expanding datasets and new methods. From these series, only the most recently published are presented, unless there are important differences in dataset, question, or analytic method between successive papers from a single author or research group. In addition, no phylogeny or divergence date study published more than a decade ago is given a great deal of weight; these older papers are usually based on very limited datasets and outmoded methods of analysis. The history of the discipline is, of course, important, but the main goal of this review is to update the reader on the most current molecular evidence on primate origins and evolution. Broader taxon sampling is known to improve phylogenetic reconstruction (Hendy and Penny 1989; Baurain et al. 2007), so the results from studies with broader taxon sampling are prioritized here. However, in the pursuit of the broadest possible taxon sampling, it has become common to create data matrices with large amounts of missing data (e.g., 70 % missing data in Fabre et al. (2009). Whether missing data negatively counteract the benefits of being able to include more taxa is contentious (Misawa and Nei 2003; Lemmon et al. 2009; Simmons 2012; Wiens and Tiu 2012; Roure et al. 2013), and little work has been done on the effect of missing data on divergence date estimation. Studies that report clearly erroneous topologies are excluded. For instance, not only were Arnason et al. (2008) unable to resolve the phylogenetic position of the tarsier, they placed the colugo (flying lemur) as the sister taxon to the anthropoids within the primates. Of course, some relationships are unknown, and it would be unfair to fault a study that reports a relationship that is now rejected if, at the time the study was published, the relationship in question was truly poorly understood. However, in 2008, even if one only read the molecular systematic literature, it was readily apparent that the tarsier is a haplorhine and colugos are not primates (Goodman et al. 1998; Zietkiewicz et al. 1999; Murphy et al. 2001b; Schmitz et al. 2001, 2002; Waddell et al. 2001; Janecka et al. 2007). Molecular Evidence on Primate Origins and Evolution 1085 Admittedly, these criteria are subjective. Therefore, apart from filtering out older studies that have been superseded by more recent publications from the same research groups, studies that are simply outmoded, and publications with dramatically incorrect topologies, data are presented from most broadly sampling primate molecular systematic publications from the last decade. In the figures, those studies that have the best estimates are italicized. In case the reader’s preferences differ, information about all of the included divergence date studies (Table 1) and their calibration points (Table 2) are tabulated so that you may make your own informed choices. Calibration Most current divergence date estimation methods rely on fossil calibration points, but good calibration is hard to achieve (Raaum et al. 2005; Benton et al. 2009). At the very minimum, a fossil securely within the clade must support any calibrated node. For instance, a fossil used to calibrate the minimum age of the ancestor of the living catarrhines must be attributed by a reasonable consensus of primate paleontologists to the crown catarrhines. This seems obvious, but look through recently used calibrations (Table 2). It should be clear by now that any molecular systematist who attempts to estimate divergence dates using fossil calibration points should be conversant enough with the paleontological literature to be able to cite specific fossil taxa or really must seek out some paleontologist colleagues. Fossils can only constrain the most recent age of a clade (Hedges and Kumar 2004; Raaum et al. 2005; Benton et al. 2009). If a fossil is properly identified as the earliest member of a clade, then it is not possible for the common ancestor of that clade to have lived more recently. However, there is nothing that can conclusively and usefully constrain the earliest age of a clade. It is possible to absolutely constrain the ancestor of the living catarrhines to sometime after the earliest evidence for land animals, but this is not useful. Despite this, upper bounds on calibration points are common. This ubiquity exists because most divergence dating algorithms require an upper boundary to provide reasonable estimates. For instance, the popular MCMCTree software requires either at least one lower and one upper bound or a calibration distribution that can act as both upper and lower bound (e.g., a normally distributed calibration prior) (Yang and Rannala 2006). The most commonly used divergence dating algorithms allow the use of probability distributions for calibrations. These probability distributions are an estimate of the likelihood that the true divergence falls within a particular range of dates. For instance, most paleontological data suggests that the most recent common ancestor of humans and chimpanzees lived prior to 5 Ma with no fossils suggestive of common ancestors prior to about 7 Ma. Given these data, it is possible to construct a prior belief (probability distribution) on the likely date of the human-chimpanzee divergence. It is the responsibility of the investigator to ensure that the calibration distribution that is chosen reflects paleontological understanding. For commonly chosen calibration nodes, it might be reasonable to believe that investigators would 1086 R.L. Raaum","In this chapter, the most recent molecular evidence on the higher level relationships of primates is reviewed, from their nearest interordinal relatives to relationships among families and some subfamilies, and presents the most recently published estimates of divergence times."
"Whole Mitochondrial Genomic and Y-Chromosomal Phylogenies of Burmese Long-Tailed Macaque (Macaca fascicularis aurea) Suggest Ancient Hybridization between fascicularis and sinica Species Groups.","https://scispace.com/paper/whole-mitochondrial-genomic-and-y-chromosomal-phylogenies-of-15vcmkjwd0","2018","Journal Article","Journal of Heredity","Kazunari Matsudaira
Yuzuru Hamada
Srichan Bunlungsup
Takafumi Ishida
Aye Mi San
Suchinda Malaivijitnond","10.1093/JHERED/ESX108","","Macaca fascicularis aurea (Burmese long-tailed macaque) is 1 of the 10 subspecies of Macaca fascicularis. Despite having few morphological differences from other subspecies, a recent phylogeographic study showed that M. f. aurea is clearly distinct genetically from Macaca fascicularis fascicularis (common long-tailed macaque) and suggests that M. f. aurea experienced a disparate evolutionary pathway versus other subspecies. To construct a detailed evolutionary history of M. f. aurea and its relationships with other macaque species, we performed phylogenetic analyses and divergence time estimation of whole mitochondrial genomes (2 M. f. aurea, 8 M. f. fascicularis, and 16 animals of 12 macaque species) and 2871 bp of the Y chromosome (1 M. f. aurea, 2 M. f. fascicularis, and 5 animals of 5 macaque species) and haplotype network analysis of 758 bp of the Y chromosome (1 M. f. aurea, 2 M. f. fascicularis, and 21 animals of 19 macaque species). Whereas the Y chromosome of M. f. aurea clustered with those of the fascicularis species group in the phylogenetic and haplotype network analyses, its mtDNA clustered within the clade of the sinica species group. Based on this phylogenetic incongruence and the estimated divergence times, we propose that proto-M. f. aurea underwent hybridization with a population of the sinica species group between 2.5 and 0.95 MYA after divergence from the common ancestor of M. fascicularis. Hybridization and introgression might have been central in the evolution of M. f. aurea, similar to what occurred in the evolution of other macaque species and subspecies.","It is proposed that proto-M."
"Mitochondrial Genome and Nuclear Markers Provide New Insight into the Evolutionary History of Macaques.","https://scispace.com/paper/mitochondrial-genome-and-nuclear-markers-provide-new-insight-4m5ib6gs0t","2016","Journal Article","PLOS ONE","Juan Jiang
Jianqiu Yu
Jing Li
Peng Li
Zhenxin Fan
Lili Niu
Jiabo Deng
Bisong Yue","10.1371/JOURNAL.PONE.0154665","","The evolutionary history of macaques, genus Macaca, has been under debate due to the short times of divergence. In this study, maternal, paternal, and biparental genetic systems were applied to infer phylogenetic relationships among macaques and to trace ancient hybridization events in their evolutionary history. Using a PCR display method, 17 newly phylogenetically informative Alu insertions were identified from M. assamensis. We combined presence/absence analysis of 84 Alu elements with mitochondrial genomes as well as nuclear sequences (five autosomal genes, two Y chromosomal genes, and one X chromosomal fragment) to reconstruct a robust macaque phylogeny. Topologies generated from different inherited markers were similar supporting six well defined species groups and a close relationship of M. assamensis and M. thibetana, but differed in the placing of M. arctoides. Both Alu elements and nuclear genes supported that M. arctoides was close to the sinica group, whereas the mitochondrial data clustered it into the fascicularis/mulatta lineage. Our results reveal that a sex-biased hybridization most likely occurred in the evolutionary history of M. arctoides, and suggest an introgressive pattern of male-mediated gene flow from the ancestors of M. arctoides to the M. mulatta population followed by nuclear swamping. According to the estimation of divergence dates, the hybridization occurred around 0.88~1.77 mya (nuclear data) or 1.38~2.56 mya (mitochondrial data). In general, our study indicates that a combination of various molecular markers could help explain complicated evolutionary relationships. Our results have provided new insights into the evolutionary history of macaques and emphasize that hybridization might play an important role in macaque evolution.","The results reveal that a sex-biased hybridization most likely occurred in the evolutionary history of M. arctoides, and suggest an introgressive pattern of male-mediated gene flow from the ancestors of M., which emphasize that hybridization might play an important role in macaque evolution."
"Multi-locus reassessment of a striking discord between mtDNA gene trees and taxonomy across two congeneric species complexes.","https://scispace.com/paper/multi-locus-reassessment-of-a-striking-discord-between-mtdna-4pwxrax5pe","2018","Journal Article","Molecular Phylogenetics and Evolution","Sergei V. Drovetski
Andrew B. Reeves
Yaroslav A. Red'kin
Igor V. Fadeev
Evgeniy A. Koblik
Vladimir N. Sotnikov
Gary Voelker","10.1016/J.YMPEV.2017.11.023","","","The multi-locus data suggest that despite the presence of strongly supported, geographically structured mtDNA variation, the mtDNA gene tree misrepresents the evolutionary history of the yellow and citrine wagtail complexes."
"A Large Panel of Microsatellite Markers for Genetic Studies in the Infra-Order Catarrhini","https://scispace.com/paper/a-large-panel-of-microsatellite-markers-for-genetic-studies-1234753zqs","2009","Journal Article","Folia Primatologica","Amy D. Roeder
Maxime Bonhomme
Corrine M. C. Heijmans
Michael William Bruford
Brigitte Crouau-Roy
Gaby G. M. Doxiadis
Nel Otting","10.1159/000211121","","Many genetic studies on catarrhines use microsatellite markers that were isolated from human DNA. A large number of these markers have been characterized in the great apes, macaques and baboons. However, there are few or no markers available for other members of this group. In this study, an extensive literature search was performed to find microsatellite markers that had been successfully amplified across a range of catarrhine species. These conserved loci can provide a valuable starting point for characterizing loci in other catarrhines. Finally, microsatellite markers were tested in a range of species that are not well represented in the literature.","An extensive literature search was performed to find microsatellite markers that had been successfully amplified across a range of catarrhine species, finding conserved loci that can provide a valuable starting point for characterizing loci in other catarrHines."
"Molecular polymorphisms for phylogeny, pedigree and population structure studies","https://scispace.com/paper/molecular-polymorphisms-for-phylogeny-pedigree-and-3zp1mq247z","2006","Dissertation","","Yean Wang","","","A number of types of molecular polymorphisms can be used for studying genetic relationship and evolutionary history. Microsatellites are hypervariable and can be very useful tools to determine population structure, distinguish sibling species, as well as verifying parental relationships and pedigrees. However, while microsatellite polymorphisms are useful for solving relationships between populations within a species, relations among species or genera will probably be obscured due to a high degree of homoplasy —identity arising from evolutionary convergence not by descent. For long range evolutionary history, such as phylogeny from old world monkey to human, mtDNA markers may be better candidates. The aim of this thesis is to assess molecular polymorphisms of different types and their optimal use in different situations. Two widely separated taxa were used for testing –the green monkey Chlorocebus sabaeus, and the sibling dipteran flies Bactrocera tryoni and B. neohumeralis, known collectively as the Queensland fruit fly. In the present study a complete 16,550 bp mtDNA sequence of the green monkey Chlorocebus sabaeus is reported for the fist time and has been annotated (Chapter 2). Knowledge of the mtDNA genome contributes not only to identification of large scale single nucleotide polymorphisms (SNPs) (Chapter 4) or other mtDNA polymorphisms development, but also to primate phylogenetic and evolutionary study (Chapter 3). Microsatellites used for the green monkey paternity and pedigree studies were developed by cross-amplification using human primers (Chapter 5). For studies of population","A complete 16,550 bp mtDNA sequence of the green monkey Chlorocebus sabaeus is reported for the fist time and has been annotated and contributes to primate phylogenetic and evolutionary study."
"Performance of distance-based DNA barcoding in the molecular identification of primates.","https://scispace.com/paper/performance-of-distance-based-dna-barcoding-in-the-molecular-4i1oizvl2q","2010","Journal Article","Comptes Rendus Biologies","Vincent Nijman
Mansour Aliabadian
Mansour Aliabadian","10.1016/J.CRVI.2009.10.003","","","In this article, the authors compared the performance of cox1 and 16S ribosomal RNA (RRNA) with that of two other mitochondrial markers, including cob and cytochrome b (cob)."
"A Simulation Study to Examine the Information Content in Phylogenomic Data Sets under the Multispecies Coalescent Model.","https://scispace.com/paper/a-simulation-study-to-examine-the-information-content-in-27zsb4hc1w","2020","Journal Article","Molecular Biology and Evolution","Jun Huang
Jun Huang
Tomas Flouri
Ziheng Yang","10.1093/MOLBEV/MSAA166","","We use computer simulation to examine the information content in multilocus data sets for inference under the multispecies coalescent model. Inference problems considered include estimation of evolutionary parameters (such as species divergence times, population sizes, and cross-species introgression probabilities), species tree estimation, and species delimitation based on Bayesian comparison of delimitation models. We found that the number of loci is the most influential factor for almost all inference problems examined. Although the number of sequences per species does not appear to be important to species tree estimation, it is very influential to species delimitation. Increasing the number of sites and the per-site mutation rate both increase the mutation rate for the whole locus and these have the same effect on estimation of parameters, but the sequence length has a greater effect than the per-site mutation rate for species tree estimation. We discuss the computational costs when the data size increases and provide guidelines concerning the subsampling of genomic data to enable the application of full-likelihood methods of inference.","It is found that the number of loci is the most influential factor for almost all inference problems examined, and the sequence length has a greater effect than the per-site mutation rate for species tree estimation."
