"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"ABGD, Automatic Barcode Gap Discovery for primary species delimitation","https://scispace.com/paper/abgd-automatic-barcode-gap-discovery-for-primary-species-3zg7ls4agz","2012","Journal Article","Molecular Ecology","Nicolas Puillandre
Amaury Lambert
S. Brouillet
Guillaume Achaz","10.1111/J.1365-294X.2011.05239.X","","Within uncharacterized groups, DNA barcodes, short DNA sequences that are present in a wide range of species, can be used to assign organisms into species. We propose an automatic procedure that sorts the sequences into hypothetical species based on the barcode gap, which can be observed whenever the divergence among organisms belonging to the same species is smaller than divergence among organisms from different species. We use a range of prior intraspecific divergence to infer from the data a model-based one-sided confidence limit for intraspecific divergence. The method, called Automatic Barcode Gap Discovery (ABGD), then detects the barcode gap as the first significant gap beyond this limit and uses it to partition the data. Inference of the limit and gap detection are then recursively applied to previously obtained groups to get finer partitions until there is no further partitioning. Using six published data sets of metazoans, we show that ABGD is computationally efficient and performs well for standard prior maximum intraspecific divergences (a few per cent of divergence for the five data sets), except for one data set where less than three sequences per species were sampled. We further explore the theoretical limitations of ABGD through simulation of explicit speciation and population genetics scenarios. Our results emphasize in particular the sensitivity of the method to the presence of recent speciation events, via (unrealistically) high rates of speciation or large numbers of species. In conclusion, ABGD is fast, simple method to split a sequence alignment data set into candidate species that should be complemented with other evidence in an integrative taxonomic approach.","Automatic Barcode Gap Discovery is fast, simple method to split a sequence alignment data set into candidate species that should be complemented with other evidence in an integrative taxonomic approach."
"Integrating DNA barcode data and taxonomic practice: Determination, discovery, and description","https://scispace.com/paper/integrating-dna-barcode-data-and-taxonomic-practice-248qlcvwyh","2011","Journal Article","BioEssays","Paul Z. Goldstein
Rob DeSalle","10.1002/BIES.201000036","","DNA barcodes, like traditional sources of taxonomic information, are potentially powerful heuristics in the identification of described species but require mindful analytical interpretation. The role of DNA barcoding in generating hypotheses of new taxa in need of formal taxonomic treatment is discussed, and it is emphasized that the recursive process of character evaluation is both necessary and best served by understanding the empirical mechanics of the discovery process. These undertakings carry enormous ramifications not only for the translation of DNA sequence data into taxonomic information but also for our comprehension of the magnitude of species diversity and its disappearance. This paper examines the potential strengths and pitfalls of integrating DNA sequence data, specifically in the form of DNA barcodes as they are currently generated and analyzed, with taxonomic practice.","The role of DNA barcoding in generating hypotheses of new taxa in need of formal taxonomic treatment is discussed, and it is emphasized that the recursive process of character evaluation is both necessary and best served by understanding the empirical mechanics of the discovery process."
"SpedeSTEM: a rapid and accurate method for species delimitation","https://scispace.com/paper/spedestem-a-rapid-and-accurate-method-for-species-3egj0u9l5u","2011","Journal Article","Molecular Ecology Resources","Daniel D. Ence
Bryan C. Carstens","10.1111/J.1755-0998.2010.02947.X","","We describe a software package (SpedeSTEM) that allows researchers to conduct a species delimitation analysis using intraspecific genetic data. Our method operates under the assumption that a priori information regarding group membership is available, for example that samples are drawn from some number of described subspecies, races or distinct morphotypes. SpedeSTEM proceeds by calculating the maximum likelihood species tree from all hierarchical arrangements of the sampled alleles and uses information theory to quantify the model probability of each permutation. SpedeSTEM is tested here against empirical and simulated data; results indicate that evolutionary lineages that diverged as few as 0.5N generations in the past can be validated as distinct using sequence data from little as five loci. This work enables speciation investigations to identify lineages that are evolutionarily distinct and thus have the potential to form new species before these lineages acquire secondary characteristics such as reproductive isolation or morphological differentiation that are commonly used to define species.","This work enables speciation investigations to identify lineages that are evolutionarily distinct and thus have the potential to form new species before these lineages acquire secondary characteristics such as reproductive isolation or morphological differentiation that are commonly used to define species."
"Coalescent-based species delimitation in an integrative taxonomy","https://scispace.com/paper/coalescent-based-species-delimitation-in-an-integrative-3xkcvsjlwh","2012","Journal Article","Trends in Ecology and Evolution","Matthew K. Fujita
Adam D. Leaché
Frank T. Burbrink
Jimmy A. McGuire
Craig Moritz","10.1016/J.TREE.2012.04.012","","The statistical rigor of species delimitation has increased dramatically over the past decade. Coalescent theory provides powerful models for population genetic inference, and is now increasingly important in phylogenetics and speciation research. By applying probabilistic models, coalescent-based species delimitation provides clear and objective testing of alternative hypotheses of evolutionary independence. As acquisition of multilocus data becomes increasingly automated, coalescent-based species delimitation will improve the discovery, resolution, consistency, and stability of the taxonomy of species. Along with other tools and data types, coalescent-based species delimitation will play an important role in an integrative taxonomy that emphasizes the identification of species limits and the processes that have promoted lineage diversification.","Along with other tools and data types, coalescent-based species delimitation will play an important role in an integrative taxonomy that emphasizes the identification of species limits and the processes that have promoted lineage diversification."
"Species Delimitation Using a Combined Coalescent and Information-Theoretic Approach: An Example from North American Myotis Bats","https://scispace.com/paper/species-delimitation-using-a-combined-coalescent-and-68irirg8kn","2010","Journal Article","Systematic Biology","Bryan C. Carstens
Tanya A. Dewey","10.1093/SYSBIO/SYQ024","","Coalescent model-based methods for phylogeny estimation force systematists to confront issues related to the identification of species boundaries. Unlike conventional phylogenetic analysis, where species membership can be assessed qualitatively after the phylogeny is estimated, the phylogenies that are estimated under a coalescent model treat aggregates of individuals as the operational taxonomic units and thus require a priori definition of these sets because the models assume that the alleles in a given lineage are sampled from a single panmictic population. Fortunately, the use of coalescent model-based approaches allows systematists to conduct probabilistic tests of species limits by calculating the probability of competing models of lineage composition. Here, we conduct the first exploration of the issues related to applying such tests to a complex empirical system. Sequence data from multiple loci were used to assess species limits and phylogeny in a clade of North American Myotis bats. After estimating gene trees at each locus, the likelihood of models representing all hierarchical permutations of lineage composition was calculated and Akaike information criterion scores were computed. Metrics borrowed from information theory suggest that there is strong support for several models that include multiple evolutionary lineages within the currently described species Myotis lucifugus and M. evotis. Although these results are preliminary, they illustrate the practical importance of coupled species delimitation and phylogeny estimation.","Metrics borrowed from information theory suggest that there is strong support for several models that include multiple evolutionary lineages within the currently described species Myotis lucifugus and M. evotis."
"BEAST: Bayesian evolutionary analysis by sampling trees","https://scispace.com/paper/beast-bayesian-evolutionary-analysis-by-sampling-trees-2t1t8jmg8x","2007","Journal Article","BMC Evolutionary Biology","Alexei J. Drummond
Andrew Rambaut","10.1186/1471-2148-7-214","","The evolutionary analysis of molecular sequence variation is a statistical enterprise. This is reflected in the increased use of probabilistic models for phylogenetic inference, multiple sequence alignment, and molecular population genetics. Here we present BEAST: a fast, flexible software architecture for Bayesian analysis of molecular sequences related by an evolutionary tree. A large number of popular stochastic models of sequence evolution are provided and tree-based models suitable for both within- and between-species sequence data are implemented. BEAST version 1.4.6 consists of 81000 lines of Java source code, 779 classes and 81 packages. It provides models for DNA and protein sequence evolution, highly parametric coalescent analysis, relaxed clock phylogenetics, non-contemporaneous sequence data, statistical alignment and a wide range of options for prior distributions. BEAST source code is object-oriented, modular in design and freely available at http://beast-mcmc.googlecode.com/
 under the GNU LGPL license. BEAST is a powerful and flexible evolutionary analysis package for molecular sequence variation. It also provides a resource for the further development of new models and statistical methods of evolutionary analysis.","BEAST is a fast, flexible software architecture for Bayesian analysis of molecular sequences related by an evolutionary tree that provides models for DNA and protein sequence evolution, highly parametric coalescent analysis, relaxed clock phylogenetics, non-contemporaneous sequence data, statistical alignment and a wide range of options for prior distributions."
"Recent advances in DNA taxonomy","https://scispace.com/paper/recent-advances-in-dna-taxonomy-2gaovwa6du","2007","Journal Article","Journal of Zoological Systematics and Evolutionary Research","Alfried P. Vogler
Alfried P. Vogler
Michael T. Monaghan
Michael T. Monaghan","10.1111/J.1439-0469.2006.00384.X","","Large-scale DNA sequencing of living species holds great promise in taxonomy, but has been controversial. In this article, we review the recent advances that follow the dramatic increase in data generation. We distinguish DNA taxonomy from DNA barcoding, where the former directly concerns the circumscription and delineation of species using evolutionary species concepts and the latter is a means of identifying a priori entities by sequence similarity. A key finding from recent studies in animals is that variation in mitochondrial DNA (mtDNA) is partitioned as tight clusters of closely related genotypes, which group specimens largely according to traditionally recognized species limits, and which are congruent with nuclear markers. This finding provides confidence to use sequence variation as the primary information for species delimitation in poorly known groups. A number of recent, large-scale studies support the power of mtDNA in species recognition, and previous application of molecular techniques to taxonomically complicated cases has likely led to an overestimate of the proportion of species with polyphyletic mtDNA haplotypes. The continued development of DNA taxonomy will lead to more refined sampling strategies and data analyses than those that are presently used. Sophisticated statistical methods of grouping have already been developed based on sequence similarity; yet, the units defined in this way have largely unknown evolutionary relevance. In future, a standard DNA taxonomic analysis will include broad sampling of the target taxa across their geographic range, followed by large-scale sequencing of representative samples for a DNA profile of the group, and algorithmic procedures for delineating species limits. The taxonomic system will be derived from the data rather than expert opinion, and hypothesized species entities can be tested against morphology, biogeography and other data, providing an evolutionary justification of the procedures used for species delimitation. Discrepancies between DNA and other data are used to refine species delimitations via a feedback loop that incorporates new data. We argue, however, that the use of DNA methodology in taxonomy (including DNA barcoding) will remain controversial until it is better founded in existing theory of evolutionary biology and phylogenetics.","It is argued that the use of DNA methodology in taxonomy (including DNA barcoding) will remain controversial until it is better founded in existing theory of evolutionary biology and phylogenetics."
"Delimiting species: a Renaissance issue in systematic biology","https://scispace.com/paper/delimiting-species-a-renaissance-issue-in-systematic-biology-u1rj2sotol","2003","Journal Article","Trends in Ecology and Evolution","Jack W. Sites
Jonathon C. Marshall","10.1016/S0169-5347(03)00184-8","","The literature about species concepts might be larger than that about any other subject in evolutionary biology, but the issue of empirically testing species boundaries has been given little attention relative to seemingly endless debates over what species are. The practical issue of delimiting species boundaries is nevertheless of central importance to many areas of evolutionary biology. The number of recently described methods for delimiting species suggests renewed interest in the topic, and some methods are explicitly quantitative. Here, we review nine of these methods by summarizing the relevant biological properties of species amenable to empirical evaluation, the classes of data required and some of the strengths and limitations of each.","Nine methods for delimiting species boundaries are reviewed by summarizing the relevant biological properties of species amenable to empirical evaluation, the classes of data required and some of the strengths and limitations of each."
"Operational criteria for delimiting species","https://scispace.com/paper/operational-criteria-for-delimiting-species-1bx946v9oa","2004","Journal Article","Annual Review of Ecology, Evolution, and Systematics","Jr . Jack W. Sites
Jonathon C. Marshall","10.1146/ANNUREV.ECOLSYS.35.112202.130128","","▪ Abstract Species are routinely used as fundamental units of analysis in biogeography, ecology, macroevolution, and conservation biology. A large literature focuses on defining species conceptually, but until recently little attention has been given to the issue of empirically delimiting species. Researchers confronted with the task of delimiting species in nature are often unsure which method(s) is (are) most appropriate for their system and data type collected. Here, we review twelve of these methods organized into two general categories of tree- and nontree-based approaches. We also summarize the relevant biological properties of species amenable to empirical evaluation, the classes of data required, and some of the strengths and limitations of each method. We conclude that all methods will sometimes fail to delimit species boundaries properly or will give conflicting results, and that virtually all methods require researchers to make qualitative judgments. These facts, coupled with the fuzzy nature o...","It is concluded that all methods will sometimes fail to delimit species boundaries properly or will give conflicting results, and that virtually all methods require researchers to make qualitative judgments."
"Delimiting Species Using Single-Locus Data and the Generalized Mixed Yule Coalescent Approach: A Revised Method and Evaluation on Simulated Data Sets","https://scispace.com/paper/delimiting-species-using-single-locus-data-and-the-hm4cqi657w","2013","Journal Article","Systematic Biology","Tomochika Fujisawa
Timothy G. Barraclough","10.1093/SYSBIO/SYT033","","DNA barcoding-type studies assemble single-locus data from large samples of individuals and species, and have provided new kinds of data for evolutionary surveys of diversity. An important goal of many such studies is to delimit evolutionarily significant species units, especially in biodiversity surveys from environmental DNA samples. The Generalized Mixed Yule Coalescent (GMYC) method is a likelihood method for delimiting species by fitting within- and between-species branching models to reconstructed gene trees. Although the method has been widely used, it has not previously been described in detail or evaluated fully against simulations of alternative scenarios of true patterns of population variation and divergence between species. Here, we present important reformulations to the GMYC method as originally specified, and demonstrate its robustness to a range of departures from its simplifying assumptions. The main factor affecting the accuracy of delimitation is the mean population size of species relative to divergence times between them. Other departures from the model assumptions, such as varying population sizes among species, alternative scenarios for speciation and extinction, and population growth or subdivision within species, have relatively smaller effects. Our simulations demonstrate that support measures derived from the likelihood function provide a robust indication of when the model performs well and when it leads to inaccurate delimitations. Finally, the so-called single-threshold version of the method outperforms the multiple-threshold version of the method on simulated data: we argue that this might represent a fundamental limit due to the nature of evidence used to delimit species in this approach. Together with other studies comparing its performance relative to other methods, our findings support the robustness of GMYC as a tool for delimiting species when only single-locus information is available.","These findings support the robustness of GMYC as a tool for delimiting species when only single-locus information is available and argue that this might represent a fundamental limit due to the nature of evidence used to delimit species in this approach."
