"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Hierarchical heuristic species delimitation under the multispecies coalescent model with migration","https://scispace.com/paper/hierarchical-heuristic-species-delimitation-under-the-2zdmtyy9ux","2023","Journal Article","bioRxiv","Daniel Kornai
Tomas Flouri
Ziheng Yang","10.1101/2023.09.10.557025","","The multispecies coalescent (MSC) model accommodates genealogical fluctuations across the genome and provides a natural framework for comparative analysis of genomic sequence data to infer the history of species divergence and gene flow. Given a set of populations, hypotheses of species delimitation (and species phylogeny) may be formulated as instances of MSC models (e.g., MSC for one species versus MSC for two species) and compared using Bayesian model selection. This approach, implemented in the program bpp, has been found to be prone to over-splitting. Alternatively heuristic criteria based on population parameters under the MSC model (such as population/species divergence times, population sizes, and migration rates) estimated from genomic sequence data may be used to delimit species. Here we extend the approach of species delimitation using the genealogical divergence index (gdi) to develop hierarchical merge and split algorithms for heuristic species delimitation, and implement them in a python pipeline called hhsd. Applied to data simulated under a model of isolation by distance, the approach was able to recover the correct species delimitation, whereas model comparison by bpp failed. Analyses of empirical datasets suggest that the procedure may be less prone to over-splitting. We discuss possible strategies for accommodating paraphyletic species in the procedure, as well as the challenges of species delimitation based on heuristic criteria.","Applied to data simulated under a model of isolation by distance, the approach was able to recover the correct species delimitation, whereas model comparison by bpp failed, suggesting that the procedure may be less prone to over-splitting."
"Primate phylogenomics uncovers multiple rapid radiations and ancient interspecific introgression.","https://scispace.com/paper/primate-phylogenomics-uncovers-multiple-rapid-radiations-and-2s8iofshef","2020","Journal Article","PLOS Biology","Dan Vanderpool
Bui Quang Minh
Robert Lanfear
Daniel S.T. Hughes
Shwetha C. Murali
R. Alan Harris
Muthuswamy Raveendran
Donna M. Muzny
Mark S. Hibbins
Robert J. Williamson
Richard A. Gibbs
Kim C. Worley
Jeffrey Rogers
Matthew W. Hahn","10.1371/JOURNAL.PBIO.3000954","","Our understanding of the evolutionary history of primates is undergoing continual revision due to ongoing genome sequencing efforts. Bolstered by growing fossil evidence, these data have led to increased acceptance of once controversial hypotheses regarding phylogenetic relationships, hybridization and introgression, and the biogeographical history of primate groups. Among these findings is a pattern of recent introgression between species within all major primate groups examined to date, though little is known about introgression deeper in time. To address this and other phylogenetic questions, here, we present new reference genome assemblies for 3 Old World monkey (OWM) species: Colobus angolensis ssp. palliatus (the black and white colobus), Macaca nemestrina (southern pig-tailed macaque), and Mandrillus leucophaeus (the drill). We combine these data with 23 additional primate genomes to estimate both the species tree and individual gene trees using thousands of loci. While our species tree is largely consistent with previous phylogenetic hypotheses, the gene trees reveal high levels of genealogical discordance associated with multiple primate radiations. We use strongly asymmetric patterns of gene tree discordance around specific branches to identify multiple instances of introgression between ancestral primate lineages. In addition, we exploit recent fossil evidence to perform fossil-calibrated molecular dating analyses across the tree. Taken together, our genome-wide data help to resolve multiple contentious sets of relationships among primates, while also providing insight into the biological processes and technical artifacts that led to the disagreements in the first place.","New reference genome assemblies for 3 Old World monkey species are presented and strongly asymmetric patterns of gene tree discordance around specific branches are used to identify multiple instances of introgression between ancestral primate lineages."
"Computational Performance and Statistical Accuracy of *BEAST and Comparisons with Other Methods","https://scispace.com/paper/computational-performance-and-statistical-accuracy-of-beast-zggk2vzo66bp","2022","Repository","","Ogilvie, Huw A.
Heled, Joseph
Xie Dong
Drummond, Alexei J.","10.48550/arxiv.1506.06446","","Under the multispecies coalescent model of molecular evolution, gene trees have independent evolutionary histories within a shared species tree. In comparison, supermatrix concatenation methods assume that gene trees share a single common genealogical history, thereby equating gene coalescence with species divergence. The multispecies coalescent is supported by previous studies which found that its predicted distributions fit empirical data, and that concatenation is not a consistent estimator of the species tree. *BEAST, a fully Bayesian implementation of the multispecies coalescent, is popular but computationally intensive, so the increasing size of phylogenetic data sets is both a computational challenge and an opportunity for better systematics. Using simulation studies, we characterize the scaling behaviour of *BEAST, and enable quantitative prediction of the impact increasing the number of loci has on both computational performance and statistical accuracy. Follow up simulations over a wide range of parameters show that the statistical performance of *BEAST relative to concatenation improves both as branch length is reduced and as the number of loci is increased. Finally, using simulations based on estimated parameters from two phylogenomic data sets, we compare the performance of a range of species tree and concatenation methods to show that using *BEAST with tens of loci can be preferable to using concatenation with thousands of loci. Our results provide insight into the practicalities of Bayesian species tree estimation, the number of loci required to obtain a given level of accuracy and the situations in which supermatrix or summary methods will be outperformed by the fully Bayesian multispecies coalescent. ",""
"The Multilocus Multispecies Coalescent: A Flexible New Model of Gene Family Evolution","https://scispace.com/paper/the-multilocus-multispecies-coalescent-a-flexible-new-model-57pniwolzh","2020","Posted Content","bioRxiv","Qiuyi Li
Celine Scornavacca
Nicolas Galtier
Yao-ban Chan","10.1101/2020.05.07.081836","","Incomplete lineage sorting (ILS), the interaction between coalescence and speciation, is a process which generates incongruences between gene trees and species trees, as do gene duplication (D), transfer (T) and loss (L). These processes are usually modelled independently, but in reality, ILS can affect gene copy number polymorphism, i.e., interfere with DTL. This has been previously recognised, but not treated in a satisfactory way, mainly because DTL events are naturally modelled forward-in-time, while ILS requires backward-in-time coalescent modelling. Here we consider the joint action of ILS and DTL on the gene tree/species tree problem in all its complexity. In particular, we show that the interaction between ILS and duplications/transfers only can result in patterns usually interpreted as resulting from gene loss, and that the realised rate of D, T and L
becomes non-homogeneous in time when ILS is taken into account. We introduce algorithmic solutions to these problems. Our new model, the multilocus multispecies coalescent (MLMSC), which also accounts for any level of linkage between loci, generalises the multispecies coalescent model and offers a versatile, powerful framework for proper simulation and inference of gene family evolution.","This work shows that the interaction between ILS and duplications/transfers (without losses) can result in patterns usually interpreted as resulting from gene loss, and that the realised rate of D, T and L becomes non-homogeneous in time when ILS is taken into account."
"Scalable Species Tree Inference with External Constraints","https://scispace.com/paper/scalable-species-tree-inference-with-external-constraints-3whv6gfrbi","2021","Posted Content","bioRxiv","Baqiao Liu
Tandy Warnow","10.1101/2021.11.05.467436","","Species tree inference under the multi-species coalescent (MSC) model is a basic step in biological discovery. Despite the developments in recent years of methods that are proven statistically consistent and that have high accuracy, large datasets create computational challenges. Although there is gener- ally some information available about the species trees that could be used to speed up the estimation, only one method, ASTRAL-J, a recent development in the ASTRAL family of methods, is able to use this information. Here we describe two new methods, NJst-J and FASTRAL-J, that can estimate the species tree given partial knowledge of the species tree in the form of a non-binary unrooted constraint tree.. We show that both NJst-J and FASTRAL-J are much faster than ASTRAL-J and we prove that all three methods are statistically consistent under the multi-species coalescent model subject to this constraint. Our extensive simulation study shows that both FASTRAL-J and NJst-J provide advantages over ASTRAL-J: both are faster (and NJst-J is particularly fast), and FASTRAL-J is generally at least as accurate as ASTRAL-J. An analysis of the Avian Phylogenomics project dataset with 48 species and 14,446 genes presents additional evidence of the value of FASTRAL-J over ASTRAL-J (and both over ASTRAL), with dramatic reductions in running time (20 hours for default ASTRAL, and minutes or seconds for ASTRAL-J and FASTRAL-J, respectively). Availability: FASTRAL-J and NJst-J are available in open source form at https://github.com/ RuneBlaze/FASTRAL-constrained and https://github.com/RuneBlaze/NJst-constrained. Locations of the datasets used in this study and detailed commands needed to reproduce the study are provided in the supplementary materials at http://tandy.cs.illinois.edu/baqiao-suppl.pdf.","In this article, the authors proposed two new methods, NJst-J and FASTRAL-J, that can estimate the species tree given partial knowledge of the species trees in the form of a non-binary unrooted constraint tree."
"Efficient Bayesian inference under the multispecies coalescent with migration.","https://scispace.com/paper/efficient-bayesian-inference-under-the-multispecies-127kvi5a8p","2023","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Tomas Flouri
Xiyun Jiao
Jun Huang
Bruce Rannala
Ziheng Yang","10.1073/pnas.2310708120","","Analyses of genome sequence data have revealed pervasive interspecific gene flow and enriched our understanding of the role of gene flow in speciation and adaptation. Inference of gene flow using genomic data requires powerful statistical methods. Yet current likelihood-based methods involve heavy computation and are feasible for small datasets only. Here, we implement the multispecies-coalescent-with-migration model in the Bayesian program bpp, which can be used to test for gene flow and estimate migration rates, as well as species divergence times and population sizes. We develop Markov chain Monte Carlo algorithms for efficient sampling from the posterior, enabling the analysis of genome-scale datasets with thousands of loci. Implementation of both introgression and migration models in the same program allows us to test whether gene flow occurred continuously over time or in pulses. Analyses of genomic data from Anopheles mosquitoes demonstrate rich information in typical genomic datasets about the mode and rate of gene flow.","This work developed Markov chain Monte Carlo algorithms under the MSC-M model and implement them in the Bayesian program bpp to achieve efficient computation and demonstrate the feasibility of using genomic data to test for gene flow and to estimate the rate of gene flow."
"TRAILS: Tree reconstruction of ancestry using incomplete lineage sorting","https://scispace.com/paper/trails-tree-reconstruction-of-ancestry-using-incomplete-2ul2o8istb","2024","Journal Article","PLOS Genetics","Iker Rivas-González
Mikkel Heide Schierup
John Wakeley
Asger Hobolth","10.1371/journal.pgen.1010836","","Genome-wide genealogies of multiple species carry detailed information about demographic and selection processes on individual branches of the phylogeny. Here, we introduce TRAILS, a hidden Markov model that accurately infers time-resolved population genetics parameters, such as ancestral effective population sizes and speciation times, for ancestral branches using a multi-species alignment of three species and an outgroup. TRAILS leverages the information contained in incomplete lineage sorting fragments by modelling genealogies along the genome as rooted three-leaved trees, each with a topology and two coalescent events happening in discretized time intervals within the phylogeny. Posterior decoding of the hidden Markov model can be used to infer the ancestral recombination graph for the alignment and details on demographic changes within a branch. Since TRAILS performs posterior decoding at the base-pair level, genome-wide scans based on the posterior probabilities can be devised to detect deviations from neutrality. Using TRAILS on a human-chimp-gorilla-orangutan alignment, we recover speciation parameters and extract information about the topology and coalescent times at high resolution. ","TRAILS accurately infers time-resolved population genetics parameters for ancestral branches using a multi-species alignment."
"Primate phylogenomics uncovers multiple rapid radiations and ancient interspecific introgression","https://scispace.com/paper/primate-phylogenomics-uncovers-multiple-rapid-radiations-and-41y7utrenw","2020","Posted Content","bioRxiv","Dan Vanderpool
Bui Quang Minh
Robert Lanfear
Daniel S.T. Hughes
Shwetha C. Murali
R. Alan Harris
Muthuswamy Raveendran
Donna M. Muzny
Richard A. Gibbs
Kim C. Worley
Jeffrey Rogers
Matthew W. Hahn","10.1101/2020.04.15.043786","","Our understanding of the evolutionary history of primates is undergoing continual revision due to ongoing genome sequencing efforts. Bolstered by growing fossil evidence, these data have led to increased acceptance of once controversial hypotheses regarding phylogenetic relationships, hybridization and introgression, and the biogeographical history of primate groups. Among these findings is a pattern of recent introgression between species within all major primate groups examined to date, though little is known about introgression deeper in time. To address this and other phylogenetic questions, here we present new reference genome assemblies for three Old World Monkey species: Colobus angolensis ssp. palliatus (the black and white colobus), Macaca nemestrina (southern pig-tailed macaque), and Mandrillus leucophaeus (the drill). We combine these data with 23 additional primate genomes to estimate both the species tree and individual gene trees using thousands of loci. While our species tree is largely consistent with previous phylogenetic hypotheses, the gene trees reveal high levels of genealogical discordance associated with multiple primate radiations. We use strongly asymmetric patterns of gene tree discordance around specific branches to identify multiple instances of introgression between ancestral primate lineages. In addition, we exploit recent fossil evidence to perform fossil-calibrated molecular dating analyses across the tree. Taken together, our genome-wide data help to resolve multiple contentious sets of relationships among primates, while also providing insight into the biological processes and technical artifacts that led to the disagreements in the first place.","New reference genome assemblies for three Old World Monkey species are presented and strongly asymmetric patterns of gene tree discordance around specific branches are used to identify multiple instances of introgression between ancestral primate lineages."
"TRAILS: tree reconstruction of ancestry using incomplete lineage sorting","https://scispace.com/paper/trails-tree-reconstruction-of-ancestry-using-incomplete-oyqenwqd","2023","Posted Content","bioRxiv","Iker Rivas-González
Mikkel H. Schierup
John Wakeley
Asger Hobolth","10.1101/2023.06.22.546039","","Genome-wide genealogies of multiple species carry detailed information about demographic and selection processes on individual branches of the phylogeny. Here, we introduce TRAILS, a hidden Markov model that accurately infers time-resolved population genetics parameters, such as ancestral effective population sizes and speciation times, for ancestral branches using a multi-species alignment of three species and an outgroup. TRAILS leverages the information contained in incomplete lineage sorting fragments by modelling genealogies along the genome as rooted three-leaved trees, each with a topology and two coalescent events happening in discretized time intervals within the phylogeny. Posterior decoding of the hidden Markov model can be used to infer the ancestral recombination graph for the alignment and details on demographic changes within a branch. Since TRAILS performs posterior decoding at the base-pair level, genome-wide scans based on the posterior probabilities can be devised to detect deviations from neutrality. Using TRAILS on a human-chimp-gorilla-orangutan alignment, we recover speciation parameters and extract information about the topology and coalescent times at high resolution.","In this article , a hidden Markov model is proposed to infer time-resolved population genetics parameters, such as ancestral effective population sizes and speciation times, for ancestral branches using a multi-species alignment of three species and an outgroup."
"StarBeast3: Adaptive Parallelized Bayesian Inference under the Multispecies Coalescent","https://scispace.com/paper/starbeast3-adaptive-parallelized-bayesian-inference-under-o79fqsdh","2022","Journal Article","Systematic Biology","Jordan Douglas
Cinthy Lorena Jiménez-Silva
Remco R. Bouckaert","10.1093/sysbio/syac010","","Abstract As genomic sequence data become increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent (MSC) methods address these issues. This is achieved by constraining a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3—a software package for efficient Bayesian inference under the MSC model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene-tree inference is parallelized, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic data sets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes. StarBeast3 is open-source and is easy to set up with a friendly graphical user interface. [Adaptive; Bayesian inference; BEAST 2; effective population sizes; high performance; multispecies coalescent; parallelization; phylogenetics.]","The results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes."
