"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Distribution, Population Density, and Behavior of Dwarf Galagos (Paragalago sp.) in Taita Hills, Kenya","https://scispace.com/paper/distribution-population-density-and-behavior-of-dwarf-1kekxnt25h","2023","Journal Article","International Journal of Primatology","Hanna Rosti
Janne Heiskanen
Simon K. Bearder
Benson Lombo
Henry Sebastian Pihlström
Petri Pellikka
Jouko Rikkinen","10.1007/s10764-023-00390-7","","Abstract A good understanding of taxonomy, distribution, and population density is needed for conservation. Scientific knowledge of dwarf galagos ( Paragalago sp.) remains limited. Two populations of Taita dwarf galagos survive in the largest remnants of moist montane forest in Taita Hills, Kenya. We obtained acoustic data on the two remaining populations using AudioMoths—small, passive recorders—more than 231 h in January and February 2021. We measured forest structure by using airborne LiDAR and ground-level observations and tested the influence of forest size and height, canopy coverage, and density on calls per hour as an indicator of population density. Forest size significantly affected population size. Taita dwarf galagos prefer dense canopy coverage, and they prefer the lower 20–30-m tall forest. Mbololo forest (185 ha) has steady population, whereas dwarf galagos are nearly extinct in Ngangao forest (120 ha). The calls of Taita dwarf galagos resemble those of Kenya coast dwarf galagos ( Paragalago cocos ). DNA studies are urgently needed to resolve the taxonomic status of both surviving populations of dwarf galagos in the Taita Hills. This simple study design should be conducted across African forests to obtain crucial knowledge for galago conservation. ","A simple study design should be conducted across African forests to obtain crucial knowledge for galago conservation and test the influence of forest size and height, canopy coverage, and density on calls per hour as an indicator of population density."
"Introduction to the Special Issue on What They Do in the Shadows: New Perspectives on Africa’s Nocturnal Bushbabies","https://scispace.com/paper/introduction-to-the-special-issue-on-what-they-do-in-the-4b6h94xrvie1","2024","Journal Article","International Journal of Primatology","Frank P. Cuozzo
Michelle L. Sauther
Luca Pozzi
John K. Dalton","10.1007/s10764-024-00476-w","","a summary of their evolution and divergence from other primate clades, comments on their conservation status","This special issue explores Africa's nocturnal bushbabies, focusing on their evolutionary divergence from other primates and conservation status, providing new perspectives on these enigmatic creatures and their ecological niches."
"Quantitatively defining species boundaries with more efficiency and more biological realism","https://scispace.com/paper/quantitatively-defining-species-boundaries-with-more-ap81yfv5","2022","Journal Article","Communications biology","Jordan Douglas
Remco R. Bouckaert","10.1038/s42003-022-03723-z","","Abstract We introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods. We extend a threshold-based method to allow the ancestral speciation rate to vary through time as a smooth piecewise function. Furthermore, we introduce the cutting-edge proposal kernels of StarBeast3 to this model, thus enabling rapid species delimitation on large molecular datasets and allowing the use of relaxed molecular clock models. We validate these methods with genomic sequence data and SNP data, and show they are more efficient than existing methods at achieving parameter convergence during Bayesian MCMC. Lastly, we apply these methods to two datasets ( Hemidactylus and Galagidae ) and find inconsistencies with the published literature. Our methods are powerful for rapid quantitative testing of species boundaries in large multilocus datasets and are implemented as an open source BEAST 2 package called SPEEDEMON. ","In this article , a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods is introduced. But this method does not support the use of relaxed molecular clock models."
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene.","This study suggests that galagid evolution and diversification was affected by three major climatic episodes: the global cooling and forest contraction in the Early Oligocene, the forest expansion and the uplift of the African rifts in the Miocene, and the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex.","https://scispace.com/paper/cryptic-diversity-and-species-boundaries-within-the-35mpmiaq7i","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/J.YMPEV.2020.106887","","","This study explores species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods and concludes that these three lineages represent valid cryptic species."
"The primates of the Udzungwa Mountains: diversity, ecology and conservation.","https://scispace.com/paper/the-primates-of-the-udzungwa-mountains-diversity-ecology-and-13xsli61gr","2009","","","Francesco Rovero
Andrew R. Marshall
Trevor Jones
Andrew Perkin","","","The Udzungwa Mountains are one of the most important areas in Africa for primate diversity and conservation, with two endemic monkeys (Udzungwa red colobus Procolobus gordonorum and Sanje mangabey Cercocebus [galeritus] sanjei), and the near-endemic kipunji monkey Rungwecebus kipunji, a new genus and species discovered in 2004 and found in Udzungwa and Southern Highlands. With six species of galagos, or bushbabies, the area is also of exceptional importance for nocturnal primates. The form of Mountain galago Galagoides orinus occurring in the Udzungwa Mountains appears to be distinct on the base of vocalizations, and further work will be required to assess its taxonomic status. The primate community reflects the overall, exceptional biodiversity of these isolated and ancient mountains. The Udzungwa are part of the Eastern Arc mountain chain, a centre of global importance for biodiversity and endemism. Of all the Eastern Arc Mountain blocks, the Udzungwa have the largest forested area, widest altitudinal gradient and greatest habitat diversity. We review current knowledge on the diversity and distribution of the primate community of the Udzungwa Mountains, with an emphasis on ecology and conservation.","The form of Mountain galago Galagoides orinus occurring in the Udzungwa Mountains appears to be distinct on the base of vocalizations, and further work will be required to assess its taxonomic status."
"Primate phylogenetic relationships and divergence dates inferred from complete mitochondrial genomes.","https://scispace.com/paper/primate-phylogenetic-relationships-and-divergence-dates-2vtyhnl6qw","2014","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Luca Pozzi
Jason A. Hodgson
Jason A. Hodgson
Andrew S. Burrell
Kirstin N. Sterner
Ryan L. Raaum
Todd R. Disotell","10.1016/J.YMPEV.2014.02.023","","","The divergence date estimates of the Strepsirrhine/Haplorhine split support an origin of crown primates in the Late Cretaceous, at around 74Ma, which supports a short-fuse model of primate origins, whereby relatively little time passed between the origin of the order and the diversification of its major clades."
"A new galago species for South Africa (Primates: Strepsirhini: Galagidae)","https://scispace.com/paper/a-new-galago-species-for-south-africa-primates-strepsirhini-3g1xv05v6b","2016","Journal Article","African Zoology","Fabien Génin
Ayabulela Yokwana
Nokuthula Kom
Sébastien Couette
Thibault Dieuleveut
Stephen D. Nash
Judith C. Masters","10.1080/15627020.2016.1232602","","The primate fauna of South Africa has historically been viewed as comprising three diurnal cercopithecoid taxa — chacma baboons (Papio ursinus), vervet (Chlorocebus pygerythrus) and samango monkeys (Cercopithecus albogularis) — and two nocturnal lorisoid species — the thick-tailed greater galago (Otolemur crassicaudatus) and the southern lesser galago (Galago moholi). Here we report the positive identification of a third galago species within South Africa's borders: the Mozambique dwarf galago or Grant's galago, Galagoides granti (Thomas and Wroughton, 1907). The taxon was previously held to be restricted to Mozambique, eastern Zimbabwe, Malawi and Tanzania, but we have also observed it in the sand forest of Tembe Elephant Park and the Tshanini Community Reserve, near the Mozambique border. The species was formerly mistaken for Galago moholi, erroneously (we believe) extending the range of the latter species into northern KwaZulu-Natal. In South Africa the two small galagos are unlikely to have overlappin...","In this article, the authors reported the positive identification of a third Galago species within South Africa's borders: the Mozambique dwarf Galago or Grant's Galago, Galagoides granti (Thomas and Wroughton, 1907)."
"Speciation by Sensory Drive in the Paragalago zanzibaricus Species Complex","https://scispace.com/paper/speciation-by-sensory-drive-in-the-paragalago-zanzibaricus-2bdhffs73s","2021","Journal Article","International Journal of Primatology","Fabien Génin","10.1007/S10764-021-00213-7","","Cryptic animal species are often distinguishable by nonvisual communication signals used in specific-mate recognition. The three cryptic taxa comprising the Paragalago zanzibaricus species complex use distinct loud calls that do not obviously reflect molecular phylogenetic relationships. Paragalago granti and P. cocos both have incremental calls but are not sister taxa; P. cocos is the sister taxon to P. zanzibaricus, which has a rolling (trilling) call like that of P. rondoensis, one of the outliers to the complex. To test current hypotheses of species delimitation, I conducted 378 playback trials, using conspecific and heterospecific loud calls and recording both vocal responses and movement toward the speaker. To investigate the sensory drive hypothesis (acoustic adaptation), I measured reverberation duration of 215 short “yap” mobbing calls and examined 282 sonotopes (local soundscapes). I tested the hypothesis that different species’ ear lengths allow the animals to filter out interfering frequencies in local background noise. On Zanzibar Island, P. zanzibaricus responded solely to conspecific calls (23/32). In South Africa, P. granti individuals responded to conspecific calls (12/22) but also sometimes to P. cocos calls (9/22). In Kenya, P. cocos individuals responded to conspecific calls (34/40) but also sometimes to P. zanzibaricus calls (8/40). The three habitats showed differences in reverberation duration, and soundscapes differed in background orthopteran frequencies. Incremental calls probably evolved in the ancestor of the complex, in response to high levels of reverberation and a continuous backdrop of katydid stridulation in dry forest. Secondary evolution of trilling and decreased ear size probably evolved as result of decreased reverberation and higher frequency katydid interference in the P. cocos–P. zanzibaricus ancestor. A loss of short units in P. zanzibaricus probably occurred as result of decreased reverberation in thicket. The study validates the three species of the complex and provides information supporting speciation by sensory drive.","The study validates the three species of the Paragalago zanzibaricus species complex and provides information supporting speciation by sensory drive, and tests the hypothesis that different species’ ear lengths allow the animals to filter out interfering frequencies in local background noise."
"A giant among dwarfs: a new species of galago (Primates: Galagidae) from Angola","https://scispace.com/paper/a-giant-among-dwarfs-a-new-species-of-galago-primates-x2xt8i6re3","2017","Journal Article","American Journal of Physical Anthropology","Magdalena S. Svensson
Elena Bersacola
Michael S L Mills
Rachel A. Munds
Vincent Nijman
Andrew Perkin
Judith C. Masters
Sébastien Couette
K. Anne-Isola Nekaris
Simon K. Bearder","10.1002/AJPA.23175","","Objectives
Based on vocalization recordings of an unknown galago species, our main objectives were to compare morphology and call structure with known closely-related taxa and describe a new species of galago.

Materials and methods
We conducted field surveys in three forest habitats along the escarpment region in western Angola (Kumbira Forest, Bimbe Area, and Northern Scarp Forest), and examined galago specimens from museums worldwide. We digitized and analyzed calls using Avisoft SASLab Pro software. We also compared museum specimens from Angola with other Galago and Galagoides specimens, and conducted comparative analyses (ANOVA and between group principle component analysis) based on a set of twelve linear measurements of skulls and teeth.

Results
We describe the new species to which we give the name Angolan dwarf galago, Galagoides kumbirensis sp. nov. The new species has a loud and characteristic crescendo call, used by other Galagoides spp. (sensu stricto) in West Africa to attract companions and repel rivals. However, this call shows species-typical differences from its closest relatives. Galagoides kumbirensis sp. nov. is also distinguished by differences in the skull morphology, pelage color and facial markings, as well as a larger body size, similar to that of Galago moholi, which is not known to be sympatric.

Conclusion
This discovery points to the importance of Angolan forests as refuges for endemic biodiversity. These forests are under severe threat from overexploitation, and there is an urgent need to establish conservation measures and designate protected areas.","This discovery points to the importance of Angolan forests as refuges for endemic biodiversity and there is an urgent need to establish conservation measures and designate protected areas."
