"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"Vanishing refuge? Testing the forest refuge hypothesis in coastal East Africa using genome-wide sequence data for seven amphibians.","https://scispace.com/paper/vanishing-refuge-testing-the-forest-refuge-hypothesis-in-2gkjxwncf2","2018","Journal Article","Molecular Ecology","Christopher D. Barratt
Beryl A. Bwong
Robert Jehle
H. Christoph Liedtke
H. Christoph Liedtke
Peter Nagel
Renske E. Onstein
Daniel M. Portik
Daniel M. Portik
Jeffrey W. Streicher
Simon P. Loader
Simon P. Loader","10.1111/MEC.14862","","High‐throughput sequencing data have greatly improved our ability to understand the processes that contribute to current biodiversity patterns The “vanishing refuge” diversification model is speculated for the coastal forests of eastern Africa, whereby some taxa have persisted and diversified between forest refugia, while others have switched to becoming generalists also present in non‐forest habitats Complex arrangements of geographical barriers (hydrology and topography) and ecological gradients between forest and non‐forest habitats may have further influenced the region's biodiversity, but elucidation of general diversification processes has been limited by lack of suitable data Here, we explicitly test alternative diversification modes in the coastal forests using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest (Arthroleptis xenodactyloides, Leptopelis flavomaculatus and Afrixalus sylvaticus) and four generalist (Afrixalus fornasini, A delicatus, Leptopelis concolor, L argenteus) amphibians Multiple analyses provide insight about divergence times, spatial population structure, dispersal barriers, environmental stability and demographic history We reveal highly congruent intra‐specific diversity and population structure across taxa, with most divergences occurring during the late Pliocene and Pleistocene Although stability models support the existence of some forest refugia, dispersal barriers and demographic models point toward idiosyncratic diversification modes across taxa We identify a consistent role for riverine barriers in the diversification of generalist taxa, but mechanisms of diversification are more complex for forest taxa and potentially include topographical barriers, forest refugia and ecological gradients Our work demonstrates the complexity of diversification processes in this region, which vary between forest and generalist taxa, but also for ecologically similar species with shared population boundaries","This work tests alternative diversification modes in the coastal forests of eastern Africa using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest and four generalist amphibians and reveals highly congruent intra‐specific diversity and population structure across taxa."
"How to cross the desert if you are small and need mountains? Out‐of‐Ethiopia dispersal in Afromontane shrews","https://scispace.com/paper/how-to-cross-the-desert-if-you-are-small-and-need-mountains-1bx3rrue3h","2023","Journal Article","Journal of Biogeography","Malahatosadat Dianat
Adam Konečný
Leonid A. Lavrenchenko
Julian C. Kerbis Peterhans
Terrence C. Demos
Violaine Nicolas
David Jude Ortiz
Josef Bryja","10.1111/jbi.14748","","The Eastern Afromontane Biodiversity Hotspot (EABH) offers an ideal location to investigate the evolutionary mechanisms producing a high level of endemic biodiversity. We tested the hypothesis that the cradle of Eastern Afromontane diversity is in the largest sub‐region of the EABH montane archipelago, that is the Ethiopian Highlands. Further, we expected that climate oscillations followed by elevational shifts in montane habitats facilitated the dispersal of small mammal populations across unsuitable arid lowlands.Mountains and highlands of East Africa.Shrews of the genus Crocidura (Eastern Afromontane phylogenetic clade).We collected comprehensive genetic data from 511 (mitochondrial gene for cytochrome b) and 147 (double digest Restriction‐Associated DNA sequencing) samples of Crocidura shrews across the EABH. We estimated phylogenetic relationships with Bayesian and Maximum Likelihood approaches. Population genetic analyses were performed in STRUCTURE to evaluate the internal structure of species outside Ethiopia. Ancestral area and dispersal routes were analysed by the BioGeoBears package.Six major phylogenomic clades were delimited based on concatenated nuclear loci. The mitochondrial phylogeny roughly matches nuclear phylogenies, but with poorer resolution. Five of the six revealed clades are restricted to the Ethiopian Highlands, which is unambiguously the cradle of the diversity of this group of mammals (also confirmed by the biogeographic analysis). All non‐Ethiopian and a single Ethiopian species fall into the sixth clade with poorly resolved internal relationships. Detailed population genetic analysis of SNP data revealed a pronounced structure with multiple gene pools in this clade; however, this structure only partly corresponds with the current taxonomy.Eastern Afromontane Crocidura shrews originated in the Ethiopian Highlands. They radiated there, and through a single southward dispersal event across the Turkana depression, they colonised the rest of the EABH in response to diverse geomorphology and climatic changes during the Plio‐Pleistocene.","The hypothesis that the cradle of Eastern Afromontane diversity is in the largest sub‐region of the EABH montane archipelago, that is the Ethiopian Highlands, is tested."
"From Pleistocene Corridors to Isolated Peaks and Back: Biogeography of <i>Afrocarduus</i> (Compositae) in the Afromontane Archipelago","https://scispace.com/paper/from-pleistocene-corridors-to-isolated-peaks-and-back-bu6z4vncqvps","2025","Journal Article","Journal of Biogeography","Lucía D. Moreyra
Cristina Roquet
Alfonso Susanna
Siri Birkeland
Carme Blanco‐Gavaldà
Christian Brochmann
Desalegn Chala
Mercè Galbany‐Casals
Abel Gizaw
Juan Antonio Calleja","10.1111/jbi.70045","","ABSTRACT Aim We investigated the biogeographic history and diversification dynamics of Afrocarduus , an Afromontane–Afroalpine genus endemic to eastern Africa. We aimed to assess the roles of geographic isolation, habitat transitions, and ecological speciation in shaping current diversity. Location The Afromontane and Afroalpine regions of East Africa and Ethiopia are situated along the Great Rift Valley system. Taxon Afrocarduus (Compositae: Carduinae), a genus comprising 18 endemic species. Methods We conducted a comprehensive taxonomic and geographic sampling of Afrocarduus , generating data from 489 nuclear loci. Phylogenomic and biogeographic ancestral estimation analyses were performed to infer the evolutionary history and historical biogeography of the genus. Results Afrocarduus originated in the Afromontane zone of eastern Africa during the Late Miocene (~10.7 Ma), with major diversification events occurring in the Early Pleistocene (~2.3 Ma). Most dispersal events occurred between neighbouring massifs, though occasional long‐distance dispersal between disjunct mountain systems was detected. The Turkana Depression and the Great Rift Valley have acted as major biogeographic barriers. Phylogenetic structure shows distinct clades occupying different regions. Ecological divergence between Afromontane and Afroalpine environments contributed to speciation, with at least six independent adaptations to Afroalpine conditions and multiple cases of ecological reversal. Stem loss, a trait associated with alpine habitats, evolved convergently in two clades. Closely related species often segregate by elevation or microhabitat within the same massif. Main Conclusions The diversification of Afrocarduus has been shaped by a combination of historical climate change, geographic isolation, and ecological adaptation. Our results emphasise the importance of ecological speciation and habitat transitions in Afrotemperate plant evolution and highlight the need for further research on understudied Afromontane taxa, especially under the threat of ongoing climate change. ","This study investigates the biogeographic history of Afrocarduus, an eastern African genus, revealing Late Miocene origins, Early Pleistocene diversification, and ecological speciation driven by habitat transitions and geographic isolation."
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"The role of dispersal and vicariance in the Pleistocene history of an East African mountain rodent, **Praomys delectorum**","https://scispace.com/paper/the-role-of-dispersal-and-vicariance-in-the-pleistocene-558eu4z1u4","2014","Journal Article","Journal of Biogeography","Josef Bryja
Ondřej Mikula
Hana Patzenhauerová
Nicholas Oguge
Radim Šumbera
Erik Verheyen
Erik Verheyen","10.1111/JBI.12195","","Aim Species living in East African montane forests have highly fragmented dis-tributions. Plio-Pleistocene climatic cycles, however, may have allowed tempo-rary contact between forest blocks, thereby allowing gene ﬂow. Our aim was toreconstruct the colonization history of Praomys delectorum, a rodent speciesadapted to montane forests. We tested two alternative scenarios: (1) the occur-rence of a series of vicariance events related to Quaternary climatic changes;and (2) colonization from a single origin through successive dispersal events.Location Montane forests of East Africa.Methods Analyses were based on large-scale sampling covering the completerange of the species distribution. We assessed genetic structure and historicaldemography using a combination of mitochondrial and nuclear markers. Mor-phological differences between allopatric populations were analysed using ageometric morphometric approach.Results Populations of P. delectorum are genetically differentiated along thenorth–south axis of the distribution range, consistent with postulated vicari-ance events. The oldest vicariance event, which separated the species into threemain genetic groups, dates to the beginning of the Pleistocene. Further frag-mentation within the three main lineages is consistent with successive vicari-ance events, probably linked to Pleistocene climatic cycles. Morphologicalvariation between geographically structured populations may indicate localenvironmental adaptations.Main conclusions The most likely explanation for the strong genetic differen-tiation among fragmented populations is a series of vicariance events caused byperiodic fragmentation of montane forests that resulted from climatic oscilla-tions in the Pleistocene, rather than successive dispersal events. The recentlyproposed splitting of P. delectorum into three allopatric morphospecies onlypartly reﬂects the observed genetic structure.KeywordsCytochrome b, Eastern Arc Mountains, microsatellites, montane forests,Pleistocene climate changes, Praomys delectorum, Muridae, Southern Rift.INTRODUCTIONPleistocene climatic ﬂuctuations have signiﬁcantly inﬂuencedthe composition of current biota across the globe. For exam-ple, the role of Quaternary glaciations on contemporary bio-diversity distribution has been well described for the WesternPalaearctic and the Nearctic regions (Stewart et al., 2010).On the other hand, less research has been performed in trop-ical regions, including Africa (Beheregaray, 2008). Despite arecent increase in the number of phylogeographical studiesfrom this region, understanding of the role of climaticchange over the Pleistocene (last c. 2.6 Myr) on the forma-tion of contemporary diversity in African species remainsincomplete. Additional studies are needed, therefore, in order","The most likely explanation for the strong genetic differen-tiation among fragmented populations is a series of vicariance events caused by periodic fragmentation of montane forests that resulted from climatic oscilla-tions in the Pleistocene, rather than successive dispersal events."
"Persistence and stability of Eastern Afromontane forests: evidence from brevicipitid frogs","https://scispace.com/paper/persistence-and-stability-of-eastern-afromontane-forests-35zn64fcs3","2014","Journal Article","Journal of Biogeography","Simon P. Loader
F. Sara Ceccarelli
Michele Menegon
Kim M. Howell
Roman Kassahun
Abebe Ameha Mengistu
Samy A. Saber
Fikirte Gebresenbet
Rafael O. de Sá
Tim R.B. Davenport
Joanna G. Larson
Hendrik Müller
Mark Wilkinson
David J. Gower","10.1111/JBI.12331","","Aim

The persistence and stability of habitats through time are considered predictors of high levels of biodiversity in some environments. Long-term habitat persistence and stability may explain the species-rich, endemic forest fauna and flora of the Eastern Afromontane Biodiversity Region (EABR). Using complementary phylogenetic and biogeographical approaches, we examine evolutionary patterns in EABR brevicipitid frogs. Using these data, we test whether brevicipitid history reflects patterns of long-term forest persistence and/or stability across the EABR.



Location

East Africa.



Methods

A dated phylogeny for brevicipitids was constructed using two nuclear and three mitochondrial markers. Alternative diversification models were used to determine signal for constant or varying net diversification rates. Using our dated tree, we identified areas of high phylogenetic diversity (PD), and inferred ancestral areas using likelihood and Bayesian approaches.



Results

Brevicipitids have a long history, with generic diversification among extant lineages pre-dating the Oligocene (> 33 Ma). Ancestral-area reconstructions indicate the presence of brevicipitids in the EABR since the Oligocene, and support a scenario of palaeoendemics surviving in EABR refugia. Ancestral-area reconstructions indicate that the central Eastern Arc Mountains (EAM) formed the initial centre of diversification of forest brevicipitids. Measures of PD show that diversity varies across the EABR but is highest in the EAM. Constant net diversification rate in brevicipitids is a significantly better fit than alternative, rate-variable models.



Main conclusions

The degree of persistence of forest habitats appears to be a contributing factor to the varying levels of diversity across the EABR in brevicipitids (and other organisms). In contrast to the Southern Highlands and Ethiopian Bale Mountains, the EAM stands out as an area that enabled the constant accumulation of brevicipitid species over a long period of time.","The degree of persistence of forest habitats appears to be a contributing factor to the varying levels of diversity across the EABR in brevicipitids (and other organisms)."
"At the crossroads of two biodiversity hotspots : the biogeographic patterns of Shimba Hills, Kenya","https://scispace.com/paper/at-the-crossroads-of-two-biodiversity-hotspots-the-55qbjg87rl","2017","Dissertation","","Beryl A. Bwong","10.5451/UNIBAS-006767203","","At the crossroads of two biodiversity hotspots; the biogeographic patterns of Shimba Hills, Kenya
Beryl A. Bwong
The Shimba Hills of Kenya (SHK) is geographically located at the cross roads of two major biodiversity hotspots; the Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region, specifically the neighbouring Eastern Arc Mountains (EAM). Results from old and recent collections of its flora and fauna indicate that Shimba Hills harbour species associated with EAM and CFEA as well as taxa that have affinity with West African Guineo-Congolian forest. However, the link between SHK and these biodiversity hotspots has never been tested appropriately using phylogenetic approaches. Using 16S mtDNA, demographic analysis and species distribution modelling, I sought to understand the phylogeographic affiliation of Shimba Hills with the neighbouring CFEA and EAM using its amphibian assemblage. Three main questions were explored, namely: a) Which are the closest relatives of SHK amphibian populations? b) Do amphibian species currently occurring in SHK have similar phylogeographic patterns to each other? c) Which historical processes, if any, account for the observed patterns of genetic diversity? I found that SHK and indeed the entire study area have a complex biogeographic history and no single pattern can explain the current amphibian assemblage in the area. Shimba Hills are more closely affiliated to the CFEA than to the EAM. Two previously undocumented putative phylogeographic breaks are recovered from the study area; one from the Kenya north coast and another in the Tanga region in Tanzania. Historical habitat stability and connectivity appear to play a significant role in species diversification in the area. Additionally, I also report on some fundamental findings on Shimba Hills amphibians during this study; Using a combination of molecular, morphological, spatial and bioacoustics methods the taxonomic status of the only endemic amphibian from Shimba Hills, Hyperolius rubrovermiculatus, is confirmed and description of a new species from the north eastern Tanzania is proposed. Secondly the taxonomic status of a Callulina rediscovered in Shimba Hills after 50 years is confirmed and I also propose the description of three new species of Callulina from the neighbouring Eastern Arc Mountains in Tanzania. Finally, I took the opportunity to compile the first ever annotated checklist of amphibians of Shimba Hills National Reserve where a new country record for the Ribbon Caecilian (Scolecomorphus vittatus) and other interesting discoveries are discussed. The reserve plus the entire SHK area contains the highest number of amphibian diversity for any known locality in Kenya. Therefore its continued conservation will ensure about 30% of Kenya’s amphibian species are preserved.

Key words: Coastal forests, Eastern Arc Mountains, Phylogeography, species distribution modelling, checklist, Amphibians.","Bwong et al. as discussed by the authors used 16S mtDNA, demographic analysis and species distribution modeling to understand the phylogenetic affiliation of Shimba Hills with the neighbouring Coastal Forests of Eastern Africa (CFEA) and the Eastern Afromontane Biodiversity Region (EAM)."
"Diversification of the Balloon bushcrickets (Orthoptera, Hexacentrinae, Aerotegmina) in the East African mountains.","https://scispace.com/paper/diversification-of-the-balloon-bushcrickets-orthoptera-5gm3s7dx4h","2021","Journal Article","Scientific Reports","Beata Grzywacz
Elżbieta Warchałowska-Śliwa
Maciej Kociński
Klaus-Gerhard Heller
Claudia Hemp","10.1038/S41598-021-89364-4","","East African mountains constitute a network of isolated habitat islands among dry savannah and are thus ideal for studying species diversification processes. This study elucidated the phylogenetic and phylogeographic relationships of all bushcricket species comprising the genus Aerotegmina. Our analysis indicated that large-scale climatic and topographic processes in Africa are likely to have driven speciation in this group, and revealed the cytogenetic traits of the species. Molecular phylogeny supported the monophyly of Aerotegmina and showed that the genus probably originated in the old Eastern Arc Mountains of Tanzania and Kenya. Two lineages were distinguished: small- and large-sized species with geographically distinct habitats. The underlying processes are thought to be eight dispersals, ten vicariance events, and one extinction event linked to repeated fragmentation of the African rainforest. Those processes, in conjunction with habitat change, probably also led to the spatial separation of the species into a northern clade with a diploid number of chromosomes 2n = 32 + X0 or 2n = 30 + neo-XY and a southern clade with a reduced number of chromosomes (2n = 28 + X0 or 24 + neo-X1X2Y). Karyotype analysis suggests that Aerotegmina is currently in the process of speciation.","It is indicated that large-scale climatic and topographic processes in Africa are likely to have driven speciation in bushcricket species comprising the genus Aerotegmina, and cytogenetic traits of the species were revealed."
"Biogeographical Importance of the Livingstone Mountains in Southern Tanzania: Comparative Genetic Structure of Small Non-volant Mammals","https://scispace.com/paper/biogeographical-importance-of-the-livingstone-mountains-in-3poohbt0","2022","Journal Article","Frontiers in Ecology and Evolution","Laura N Cuypers
Christopher A. Sabuni
Radim Šumbera
Tatiana Aghová
Edita Lišková
Herwig Leirs
Stuart J. E. Baird
Joëlle Goüy de Bellocq
Josef Bryja","10.3389/fevo.2021.742851","","The Livingstone Mountains (LM; also known as the Kipengere Range) found in south-western Tanzania at the northern end of Lake Nyasa are an important region for understanding the biogeography of Eastern Africa. The two branches of the East African Rift Valley meet here and the mountains might represent stepping stones for colonization and migration between different parts of the Eastern Afromontane Biodiversity Hotspot (especially the link between the Eastern Arc Mountains, EAM, and the Southern Rift Mountains, SRM), as well as an efficient barrier to gene flow for taxa living in drier savannahs in lower elevations. Here we combine new mitochondrial sequence data from 610 recently sampled rodents and shrews with available georeferenced genetic data (3538 specimens) from southern Tanzania, northern Malawi/Zambia and northern Mozambique and compare the spatial genetic structure among different taxa. There is no universal phylogeographic pattern in taxa preferring humid montane habitats. For some of them, the Makambako Gap acts as a barrier between the SRM and the EAM, but other taxa can bridge this gap. Barriers within the EAM (frequently) and within the SRM (sometimes) appear more important. The Rukwa rift between the SRM and the ARM is an important barrier that perhaps can only be crossed by taxa that are not that strictly tied to humid montane environments. For mammals living in lower-elevation savannah-like habitats, the LM can act as a strict barrier to gene flow, and together with the Ufipa Plateau, Lake Nyasa and the EAM create a very similar phylogeographic pattern with three recognizable genetic groups in most savannah-dwellers. The Livingstone Mountains thus appear to be one of the most important biogeographic crossroads in Eastern Africa.","The Livingstone Mountains (LM; also known as the Kipengere Range) found in south-western Tanzania at the northern end of Lake Nyasa are an important region for understanding the biogeography of Eastern Africa as discussed by the authors ."
