"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Biogeographic patterns of the East African coastal forest vertebrate fauna","https://scispace.com/paper/azeria-et-al-2007-biogeographic-patterns-of-the-east-african-cka7zndd","2007","","Biodiversity and Conservation","Ermias T. Azeria
Isabel Sanmartín
Stefan Ås
Allan Carlson
Neil Burgess","10.1007/s10531-006-9022-0","https://scispace.com/records/azeria-et-al-2007-biogeographic-patterns-of-the-east-african-cka7zndd","1. Conclusions:
 Finally, the variation in biogeographical patterns across taxonomic and habitat specialization elucidates the need for a variety of conservation strategies to protect the vertebrate fauna of the East African coastal forests.

2. Conclusions:
 The East African coastal forests have been described as a diverse and heterogeneous forest ecosystem. Both current and historic factors have had a profound effect on the distribution of species ).

3. Abstract:
 Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme.","The archipelago-like coastal forest of East Africa is one of the highest priority ecosystems for biodiversity conservation worldwide. Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme. Birds and mammals species were divided into forest specialists and generalists, and forest specialist reptiles into 'coastal' and 'forest' endemics. The species richness of birds and generalist mammals increased with area, and is probably a result of area-dependent extinction. Only in birds, however, species richness increased with decreasing isolation, suggesting possible isolation-dependent colonization. Forest diversity, associated to altitudinal range, is important for specialist birds and mammals, whose species richness increased with wider altitudinal range. The number of relict coastal endemic and forest endemic reptiles was higher in forests with wider altitudinal ranges and on relatively higher altitude, respectively. Such forests have probably provided a suitable (and perhaps stable) environment for these species through time, thus increasing their persistence. Parsimony"
"The forest batis, Batis mixta, is two species: description of a new, narrowly distributed Batis species in the Eastern Arc biodiversity hotspot","https://scispace.com/paper/fjeldsa-et-al-2006-the-forest-batis-batis-mixta-is-two-lud7aams","2006","","J Ornithol","Jon Fjeldså
Rauri C. K. Bowie
Jacob Kiure","10.1007/s10336-006-0082-4","https://scispace.com/records/fjeldsa-et-al-2006-the-forest-batis-batis-mixta-is-two-lud7aams","1. Discussion:
 The Eastern Arc Mountains and adjacent coastal zone are under a constant climatic influence from the Indian Ocean  and seem to be a centre of diversification, or ''species pump'', as populations of different phylogenetic ages could persist in suitable places, and could eventually disperse and enrich the regional biota .","The forest batis, Batis mixta, is a common bird of the forests of the Eastern Arc Mountains of Tanzania and in some adjacent montane and coastal forests. Through new collecting efforts in most of this range we documented a well-marked change in morphology in the middle of the range. Supplementary genetic studies of the historical population structure suggest connectivity among the south-western and northern/coastal populations, but not between these parapatric groups. It is concluded that two species are involved, and a new name B. crypta is proposed for the south-western populations. A marked genetic break also exists towards B. capensis sola in northern Malawi. The morphologically distinctive form reichenowi in south-eastern Tanzania is genetically nested within B. mixta, and for now we keep it as a subspecies of B. mixta."
"The biological importance of the Eastern Arc Mountains of Tanzania and Kenya","https://scispace.com/paper/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","2006","","Biological Conservation","N.D. Burgess
T.M. Butynski
N.J. Cordeiro
N.H. Doggart
J. Fjeldså
K.M. Howell
F.B. Kilahama
S.P. Loader
J.C. Lovett
B. Mbilinyi
M. Menegon
D.C. Moyer
E. Nashanda
A. Perkin
F. Rovero
W.T. Stanley
S.N. Stuart","10.1016/j.biocon.2006.08.015","https://scispace.com/records/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","1. The Eastern Arc is as an area where species avoid extinction:
 Marine drill-core data has suggested that the coastal waters of Tanzania were less influenced by Pleistocene climatic changes than elsewhere , maintaining warm and seasonally humid conditions in the coastal regions and presumably the near-shore Eastern Arc Mountains.

2. The Eastern Arc is as an area where species avoid extinction:
 Thirdly, despite there being strong evidence that climatic regimes in East Africa highly fluctuated, and as a result so did the floral composition , it is likely that montane habitats, such as those in EAM, were subject to less intensive climatic changes and remained ecologically stable.

3. The Eastern Arc is as an area where species avoid extinction:
 Within the period covered by rainfall records, the African climate has shown marked annual fluctuations in both wet and dry areas, with the climate in some places having a much greater inter-annual variability than others .","The Eastern Arc Mountains are renown in Africa for high concentrations of endemic species of animals and plants. Thirteen separate mountain blocks comprise the Eastern Arc, supporting around 3300 km² of sub-montane, montane and upper montane forest, less than 30% of the estimated original forested area. At least 96 vertebrate species are endemic, split as follows: 10 mammal, 19 bird, 29 reptile and 38 amphibian species. This includes four endemic or nearly endemic species of primate – the Sanje Mangabey, the Iringa Red Colobus, the Mountain Galago and the new Kipunji monkey that forms its own monotypic genus. A further 71 vertebrate species are near-endemic. At least 800 vascular plant species are endemic, almost 10% of these being trees. These endemics include the majority of the species of African violet – Saintpaulia, a well-known flowering plant in Western households. An additional 32 species of bryophytes are also endemic. Many hundreds of invertebrates are also likely to be endemic, with data for butterflies, millipedes and dragonflies indicating potential trends in importance. Seventy-one of the endemic or near-endemic vertebrates are threatened by extinction (8 critical, 27 endangered, 36 vulnerable), with an additional seven wide ranging threatened species. Hundreds of plant species are also threatened."
"Coastal forests of eastern Africa: status, endemism patterns and their potential causes","https://scispace.com/paper/burgess-et-al-1998-coastal-forests-of-eastern-africa-status-ygejnvbh","1998","","Biological Journal of the Linnean Society","N. D. Burgess
G. P. Clarke
W. A. Rodgers","10.1111/j.1095-8312.1998.tb01511.x","https://scispace.com/records/burgess-et-al-1998-coastal-forests-of-eastern-africa-status-ygejnvbh","1. Hypothe.ris 2. Species distribution patterns in the endemic coastal forest fauna are caused L y climatic hisky:
 has previously suggested that the nearby mountain ('Eastern Arc') forests may be ""fragmented relicts of a primitive and formerly more widespread forest flora not clearly recognisable elsewhere in Africa today"". A similar conclusion for many of the Eastern Arc endemic plants was reached by Lovett & Friis (1996).

2. Hypothe.ris 2. Species distribution patterns in the endemic coastal forest fauna are caused L y climatic hisky:
 In summary, there is considerable although often circumstantial evidence to indicate that the climate of eastern Africa has been gradually desiccating since the Eocene, with a consequent reduction in forest cover and division of the Pan African forest block into western (Guineo-Congolian) and eastern portions.

3. Hypothe.ris 2. Species distribution patterns in the endemic coastal forest fauna are caused L y climatic hisky:
 The more severe climatic fluctuations during the Holocene (Ice Ages) have further reduced forest cover inland of the eastern African coast, although close to the coast relatively moist and warm climatic conditions are believed to have persisted as the Indian Ocean remained a similar temperature as today .","Eastern African coastal forests are located within the Swahili regional centre of endemism and Swahili-Maputaland regional transition zone in eastern Africa, between 1º North and 25º South, and 34-41º East. Approximately 3167 km² coastal forest remains: 2 km² in Somalia, 660 km² in Kenya, 697 km² in Tanzania, 16 km² in Malawi, 3 km² in Zimbabwe and perhaps 1790 km² in Mozambique. Most forests are small (≤20 km²), and all but 19 are under 30 km² in area. Over 80% of coastal forest is located on government land, principally Forest Reserves; only 8.3 km² is found in National Parks (6.2 km² in Kenya (Arabuko-Sokoke), 2 km² in Tanzania (Mafia Island) and tiny patches in Zimbabwe). Coastal forests are an important and highly threatened centre of endemism for plants (c. 550 endemic species), mammals (6 species), birds (9 species), reptiles (26 species), frogs (2 species), butterflies (79 species), snails (>86 species) and millipedes (>>20 species). Endemic species are concentrated in the forests of the Tana River, between Malindi in Kenya to Tanga in northern Tanzania, and in southern Tanzania. Forests with highest numbers of endemics are: lower Tana River, Arabuko-Sokoke, Shimba Hills (Kenya); lowland East Usambara, Pugu Hills, Matumbi Hills, Rondo and Litipo and other plateaux near Lindi (Tanzania); the Tanzanian offshore island of Pemba; Bazaruto archipelago (Mozambique), and tiny forest remnants of southern Malawi, eastern Zimbabwe and Mozambique. Most coastal forest endemics have a narrow distributional range, often exhibiting single-site endemism or with scattered or disjunct distributional patterns. They are best interpreted as relicts and not the result of recent evolution. Relictualization probably started with the separation of the ancient Pan African rainforest into two parts during the Miocene. The coastal forests are interpreted as a 'vanishing refuge' with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction."
"Ecosystem Profile: Eastern Arc Mountains & Coastal Forests of Tanzania & Kenya","https://scispace.com/paper/2005cepfeasternarccoastalreport-wvu9noiy","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2005cepfeasternarccoastalreport-wvu9noiy","1. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

2. CONCLUSION:
 The biological importance of the Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya is well recognized. There have been a considerable number of biodiversity investigations and conservation efforts in this hotspot during the last three decades. Despite this investment, there are significant gaps in our biological knowledge.

3. The Eastern Arc Mountains:
 The high rainfall and long-term climatic stability, together with the fragmentation of the mountain blocks, have resulted in forests that are both ancient and biologically diverse.","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"ECOSYSTEM PROFILE: EASTERN ARC MOUNTAINS & COASTAL FORESTS OF TANZANIA & KENYA","https://scispace.com/paper/2003ecosystemprofiletanzaniakenya-n5klb7ny","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2003ecosystemprofiletanzaniakenya-n5klb7ny","1. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

2. CONCLUSION:
 The biological importance of the Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya is well recognized. There have been a considerable number of biodiversity investigations and conservation efforts in this hotspot during the last three decades. Despite this investment, there are significant gaps in our biological knowledge.

3. BACKGROUND:
 During this time, awareness of the biodiversity values of the East African coastal forests had also grown.","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"New Dabaga/Ulangambi Forest Reserve Zoological Report","https://scispace.com/paper/2001frontiernewdabagreportzoological-xkavp27p","2001","","Udzungwa Mountains Biodiversity Survey","K Doody
K M Howell
E Fanning","","https://scispace.com/records/2001frontiernewdabagreportzoological-xkavp27p","1. Results:
 During fieldwork in 1999/2000, a total of 86 species have been recorded, including 34 forest dependent species and 12 endemic to the Eastern Arc, Tanzanian coastal forests and Malawi (Appendix 7.7A and Table .7B).","Three reports present management recommendations and the results of forest use, botanical and zoological surveys of New Dabaga/Ulangambi Forest Reserve (NDUFR) in Iringa region, south-central Tanzania. Fieldwork was carried out by Frontier Tanzania as part of its “Udzungwa Mountains Biodiversity Survey.” The findings are intended for use by Danida's MEMA project “Udzungwa Mountains Forest Management and Conservation"" in the preparation of Joint Forest Management Plans. New Dabaga/Ulangambi Forest Reserve is a montane forest fragment of 37km², at altitudes of 1740-2100m. It is set in a human dominated landscape with six villages nearby. Farmland, grassland and plantation forests occur right up to the Forest Reserve boundary. Fieldwork was divided into forest use and botanical surveys from July to September 1999 and zoological surveys from October to November 2000. The following summary provides information on all of these surveys and suggested input to Joint Forest Management plans. Detailed findings of the surveys are presented in separate reports (Frontier Tanzania, 2001a,c&e)."
"The forest types of Kenya","https://scispace.com/paper/peltorinne-2004-the-forest-types-of-kenya-pdf-o8n6h03b","2004","","Expedition reports of the Department of Geography, University of Helsinki","Piritta Peltorinne","","https://scispace.com/records/peltorinne-2004-the-forest-types-of-kenya-pdf-o8n6h03b","1. Kenyan forests:
 Highest diversities are in the coastal forests, the western plateau forests such as Kakamega, and especially in the tiny, geologically older mountains at the northern end of the Eastern Arc of block mountains -the Taita hills and Kasigau .","Kenyan forests are biologically rich and harbour high concentrations of endemic species. Forests contain lowland rainforest in western Kenya, and montane forest in the central and western highlands and on higher hills and mountains. Forest classification done by describing dominant species and environmental features of different forest types summarises these forests in six main blocks: the volcanic mountains, the western plateau, the northern mountains, the coastal forests, the southern hills and the riverine forests. Since Kenyan forests are influenced by the farming and herding practices of the local inhabitants, many Kenyan forests are cultural rather than natural entities. However, they still support a forest cover of solely or mainly indigenous species. This is also why most forests are highly fragmented and under pressure – lowland forests are the first forests to be cleared for agriculture and present population pressure is making the forests more and more fragmented and degraded."
"EASTERN AFRICA COASTAL FOREST PROGRAMME REGIONAL WORKSHOP REPORT NAIROBI FEBRUARY 4-7 2002","https://scispace.com/paper/younge-eastern-african-coastal-forests-pdf-wd0u00cq","2002","","","Amanda Younge
Gezahegn Negussie
Neil Burgess","","https://scispace.com/records/younge-eastern-african-coastal-forests-pdf-wd0u00cq","1. EXECUTIVE SUMMARY:
 The eastern African coastal forest ecoregion is recognised as one of Africa's centres of species endemism, and is distributed over six countries (Somalia, Kenya, Tanzania, Mozambique, Zimbabwe and Malawi). Most is found in Kenya, Tanzania and Mozambique, which form our focal region.

2. WORKSHOP INTRODUCTION:
 The coastal forests of Eastern Africa (EACF) are small highly fragmented remnants, consisting of over 250 separate forest patches most of which are less than 500 ha in size. They are distributed over six African countries: Somalia, Kenya, Tanzania, Mozambique, Zimbabwe and Malawi.

3. EXECUTIVE SUMMARY:
 In order to address the threats facing this region effectively, conservation of the Eastern African Coastal Forests needs to happen within a coherent framework, developed with partners and stakeholders.","The eastern African coastal forest ecoregion is recognised as one of Africa's centres of species endemism, and is distributed over six countries (Somalia, Kenya, Tanzania, Mozambique, Zimbabwe and Malawi). Most is found in Kenya, Tanzania and Mozambique, which form our focal region. The coastal forests are fragmented, small and surrounded by poor communities that have a high demand for land and forest resources. Although coastal forests have significant cultural and traditional values for local communities, they do not receive adequate support from the relevant government authorities and international conservation institutions. WWF has over 10 years research and conservation experience on the eastern Africa coastal forests in Kenya, Tanzania and Mozambique and would like to build on its past successes by supporting the Eastern Africa Coastal Programme development processes. The major challenges to conserving these forests through the EACFP are dealing with three different countries with different policies, attracting and maintaining government and donor interests, identifying major stakeholders and their role in the programme and integrating and sustaining existing coastal forest initiatives in the region. In order to address the threats facing this region effectively, conservation of the Eastern African Coastal Forests needs to happen within a coherent framework, developed with partners and stakeholders. To initiate the regional partnership-based programme, WWF Eastern African Regional Programme Office (WWF-EARPO) held a workshop with stakeholders from Kenya, Mozambique and Tanzania in February 2002. Thirty-one people attended the workshop from Tanzania, Mozambique and Kenya., and were drawn from government, NGOs and universities. The programme aimed to update existing maps on the region, undertake a threats and root causes analysis, develop a vision statement and a set of regional and country conservation targets and actions plans, and to set out the next steps for putting the plan into action. After receiving reports on the status of coastal forest conservation in each country, a mapping exercise was undertaken to update and correct existing maps of the eastern African coastal forests. In order to guide the development of the strategy, the workshop developed a draft Biodiversity Vision for the EACF as follows: “Coastal Forests of eastern and south-eastern Africa are conserved, managed and sustainably utilized for the benefit of present and future generations.” Working in country groups, participants updated maps of distribution and extent of forests using GIS and identified new forest areas and biodiversity hotspots along the eastern and south eastern African coast, especially in Mozambique. After discussions, they also agreed on the terms and definitions used in relation to coastal forests."
"Primates on Mt. Kasigau, Kaya Rabai, and along the Tana River, Kenya: Preparing for Red List Assessments and Conservation Action","https://scispace.com/paper/butynski-and-box-primates-on-mt-kasigau-kaya-rabai-and-along-0spcxx9z","2004","","","Thomas M. Butynski
Yvonne A. de Jong","","https://scispace.com/records/butynski-and-box-primates-on-mt-kasigau-kaya-rabai-and-along-0spcxx9z","1. Introduction & Background:
 Indeed, the endemic and highly threatened primates have been highly instrumental in bringing the biological importance and plight of the Eastern Arc Mountains and the coastal forests of East Africa to the attention of the conservation community over the past 20 years.","The Kenya coast galago Galagoides cocos is a recently designated species, and one with a complicated history of binomial and trinomial name changes, and synonymy. This article provides a summary review of these name changes. The upgrading of Galagoides zanzibaricus cocos to a species is based primarily upon the great difference recently found between the species-specific loud call of lesser galagos at Diani, Kenya (that were assumed to be G. cocos but for which identity needed confirmation), and the loud call of the nominotypical Zanzibar galago G. zanzibaricus zanzibaricus. The loud call of C. cocos at the type locality, Mazeras, remained unknown. Diani and Mazeras are ca. 40 km apart. Here we confirm that the loud call of G. cocos at Mazeras is the same as that for the lesser galago at Diani. In short the lesser galagos at these two localities are conspecific. As such, the name 'cocos' is the correct name to apply to the Kenya coastal galago."
