"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Biogeographic patterns of the East African coastal forest vertebrate fauna","https://scispace.com/paper/azeria-et-al-2007-biogeographic-patterns-of-the-east-african-cka7zndd","2007","","Biodiversity and Conservation","Ermias T. Azeria
Isabel Sanmartín
Stefan Ås
Allan Carlson
Neil Burgess","10.1007/s10531-006-9022-0","https://scispace.com/records/azeria-et-al-2007-biogeographic-patterns-of-the-east-african-cka7zndd","1. Conclusions:
 Finally, the variation in biogeographical patterns across taxonomic and habitat specialization elucidates the need for a variety of conservation strategies to protect the vertebrate fauna of the East African coastal forests.

2. Conclusions:
 The East African coastal forests have been described as a diverse and heterogeneous forest ecosystem. Both current and historic factors have had a profound effect on the distribution of species ).

3. Biogeographical affinities among the East African coastal forest faunas:
 The remaining groups at the base of the tree do not follow so clearly a geographical pattern but are better explained by similarities in vegetation and other ecological factors.","The archipelago-like coastal forest of East Africa is one of the highest priority ecosystems for biodiversity conservation worldwide. Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme. Birds and mammals species were divided into forest specialists and generalists, and forest specialist reptiles into 'coastal' and 'forest' endemics. The species richness of birds and generalist mammals increased with area, and is probably a result of area-dependent extinction. Only in birds, however, species richness increased with decreasing isolation, suggesting possible isolation-dependent colonization. Forest diversity, associated to altitudinal range, is important for specialist birds and mammals, whose species richness increased with wider altitudinal range. The number of relict coastal endemic and forest endemic reptiles was higher in forests with wider altitudinal ranges and on relatively higher altitude, respectively. Such forests have probably provided a suitable (and perhaps stable) environment for these species through time, thus increasing their persistence. Parsimony"
"A new species of Congosorex from the Eastern Arc Mountains, Tanzania, with significant biogeographical implications","https://scispace.com/paper/stanley-et-al-2005-a-new-species-of-congosorex-from-the-matrna1w","2004","","J. Zool., Lond.","W. T. Stanley
M. A. Rogers
R. Hutterer","10.1017/S0952836904006314","https://scispace.com/records/stanley-et-al-2005-a-new-species-of-congosorex-from-the-matrna1w","1. INTRODUCTION:
 The Eastern Arc Mountains are a chain of ancient crystalline mountains extending from south-eastern Kenya to southern Tanzania and have been the subject of several biotic surveys because of the high level of endemism exhibited by organisms occurring in the forests of this area .","A new species of Congosorex is described. The new species occurs in Tanzania and is larger in external characteristics than the other two known species in the genus, with the longer tail being especially distinctive. The skull of the new species is wider, on average, than other Congosorex, but intermediate in greatest length. Previously undocumented characteristics that differentiate Congosorex from Myosorex are described. The presence of Congosorex in the Eastern Arc Mountains supports the theory that these mountains are refuges of ancient lineages of organisms with ties to the Guineo-Congolian region of Africa and that there was once a continuous swath of forest connecting these two areas."
"Ecosystem Profile: Eastern Arc Mountains & Coastal Forests of Tanzania & Kenya","https://scispace.com/paper/2005cepfeasternarccoastalreport-wvu9noiy","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2005cepfeasternarccoastalreport-wvu9noiy","1. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

2. CONCLUSION:
 The biological importance of the Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya is well recognized. There have been a considerable number of biodiversity investigations and conservation efforts in this hotspot during the last three decades. Despite this investment, there are significant gaps in our biological knowledge.

3. The East African Coastal Forest Mosaic:
 Geologically, the coastal forest strip has been subject to considerable tectonic activity and to sedimentation and erosion associated with movements of the shoreline . Most coastal forests are found between 0-50 m and 300-500 m, although in Tanzania they occur up to 1040 m .","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"ECOSYSTEM PROFILE: EASTERN ARC MOUNTAINS & COASTAL FORESTS OF TANZANIA & KENYA","https://scispace.com/paper/2003ecosystemprofiletanzaniakenya-n5klb7ny","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2003ecosystemprofiletanzaniakenya-n5klb7ny","1. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

2. CONCLUSION:
 The biological importance of the Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya is well recognized. There have been a considerable number of biodiversity investigations and conservation efforts in this hotspot during the last three decades. Despite this investment, there are significant gaps in our biological knowledge.

3. The East African Coastal Forest Mosaic:
 Geologically, the coastal forest strip has been subject to considerable tectonic activity and to sedimentation and erosion associated with movements of the shoreline . Most coastal forests are found between 0-50 m and 300-500 m, although in Tanzania they occur up to 1040 m .","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"The forest batis, Batis mixta, is two species: description of a new, narrowly distributed Batis species in the Eastern Arc biodiversity hotspot","https://scispace.com/paper/fjeldsa-et-al-2006-the-forest-batis-batis-mixta-is-two-lud7aams","2006","","J Ornithol","Jon Fjeldså
Rauri C. K. Bowie
Jacob Kiure","10.1007/s10336-006-0082-4","https://scispace.com/records/fjeldsa-et-al-2006-the-forest-batis-batis-mixta-is-two-lud7aams","1. Discussion:
 The Eastern Arc Mountains and adjacent coastal zone are under a constant climatic influence from the Indian Ocean  and seem to be a centre of diversification, or ''species pump'', as populations of different phylogenetic ages could persist in suitable places, and could eventually disperse and enrich the regional biota .

2. Molecular methods:
 Fig.  The Eastern Arc Mountains form a chain of isolated ancient montane fault-blocks across the savannah plains of Tanzania, flanked to the north and south by younger volcanic mountains.

3. Methods:
 Specimens used in this project were drawn from several years of collecting effort, covering a large number of montane forests in Tanzania (J.","The forest batis, Batis mixta, is a common bird of the forests of the Eastern Arc Mountains of Tanzania and in some adjacent montane and coastal forests. Through new collecting efforts in most of this range we documented a well-marked change in morphology in the middle of the range. Supplementary genetic studies of the historical population structure suggest connectivity among the south-western and northern/coastal populations, but not between these parapatric groups. It is concluded that two species are involved, and a new name B. crypta is proposed for the south-western populations. A marked genetic break also exists towards B. capensis sola in northern Malawi. The morphologically distinctive form reichenowi in south-eastern Tanzania is genetically nested within B. mixta, and for now we keep it as a subspecies of B. mixta."
"Conservation priorities for the forests of the Udzungwa Mountains, Tanzania, based on primates, duikers and birds","https://scispace.com/paper/dinesen-et-al-2001-conservation-priorities-for-the-forests-p6qoz4tp","2000","","Biological Conservation","Lars Dinesen
Thomas Lehmberg
Marcel C. Rahner
Jon Fjeldså","","https://scispace.com/records/dinesen-et-al-2001-conservation-priorities-for-the-forests-p6qoz4tp","1. Introduction:
 The Eastern Arc Mountains have probably supported humid forest throughout the Pleistocene, and this favoured recent speciation as well as persistence of old relict taxa . The area is known for its high level of endemism in many taxonomic groups .","Results are presented from 14 surveys in the Udzungwa Mountains, Tanzania. Forest fragments are ranked by occurrence of key species of primates, duikers and birds. Taken together, the West Kilombero Scarp forests, Mwanihana and Udzungwa Scarp have presumably viable populations of four Udzungwa endemics with the following total population estimates: Udzungwa colobus (Procolobus badius gordonorum 15,400), Sanje mangabey (Cercocebus galeritus sanjei 1350), Udzungwa forest partridge (Xenoperdix udzungwensis 3700) and rufous-winged sunbird (Nectarinia rufipennis 6850). The mountains are also strongholds for Swynnerton's robin (Swynnertonia swynnertoni), Iringa akalat (Sheppardia lowei), dapple-throat (Arcanator orostruthus), white-winged apalis (Apalis chariessa), Usambara weaver (Ploceus nicolli), and for Abbott's duiker (Cephalophus spadix). Appropriate village based conservation measures need to address questions about sustainable forest use, hunting and possibilities for forest regeneration in large tracts of fire-maintained grasslands. © 2001 Elsevier Science Ltd. All rights reserved."
"Coastal forests of eastern Africa: status, endemism patterns and their potential causes","https://scispace.com/paper/burgess-et-al-1998-coastal-forests-of-eastern-africa-status-ygejnvbh","1998","","Biological Journal of the Linnean Society","N. D. Burgess
G. P. Clarke
W. A. Rodgers","10.1111/j.1095-8312.1998.tb01511.x","https://scispace.com/records/burgess-et-al-1998-coastal-forests-of-eastern-africa-status-ygejnvbh","1. Hypothe.ris 2. Species distribution patterns in the endemic coastal forest fauna are caused L y climatic hisky:
 has previously suggested that the nearby mountain ('Eastern Arc') forests may be ""fragmented relicts of a primitive and formerly more widespread forest flora not clearly recognisable elsewhere in Africa today"". A similar conclusion for many of the Eastern Arc endemic plants was reached by Lovett & Friis (1996).

2. Hypothe.ris 2. Species distribution patterns in the endemic coastal forest fauna are caused L y climatic hisky:
 The more severe climatic fluctuations during the Holocene (Ice Ages) have further reduced forest cover inland of the eastern African coast, although close to the coast relatively moist and warm climatic conditions are believed to have persisted as the Indian Ocean remained a similar temperature as today .

3. 3 e physical background:
 Coastal forests are found in eastern Africa between 1"" North and 25"" South and 34"" and 41"" East. In addition to coastal forests this area also supports montane forest, savannah-woodland, thicket, bushland, mangrove, grassland and farmland vegetation (see .","Eastern African coastal forests are located within the Swahili regional centre of endemism and Swahili-Maputaland regional transition zone in eastern Africa, between 1º North and 25º South, and 34-41º East. Approximately 3167 km² coastal forest remains: 2 km² in Somalia, 660 km² in Kenya, 697 km² in Tanzania, 16 km² in Malawi, 3 km² in Zimbabwe and perhaps 1790 km² in Mozambique. Most forests are small (≤20 km²), and all but 19 are under 30 km² in area. Over 80% of coastal forest is located on government land, principally Forest Reserves; only 8.3 km² is found in National Parks (6.2 km² in Kenya (Arabuko-Sokoke), 2 km² in Tanzania (Mafia Island) and tiny patches in Zimbabwe). Coastal forests are an important and highly threatened centre of endemism for plants (c. 550 endemic species), mammals (6 species), birds (9 species), reptiles (26 species), frogs (2 species), butterflies (79 species), snails (>86 species) and millipedes (>>20 species). Endemic species are concentrated in the forests of the Tana River, between Malindi in Kenya to Tanga in northern Tanzania, and in southern Tanzania. Forests with highest numbers of endemics are: lower Tana River, Arabuko-Sokoke, Shimba Hills (Kenya); lowland East Usambara, Pugu Hills, Matumbi Hills, Rondo and Litipo and other plateaux near Lindi (Tanzania); the Tanzanian offshore island of Pemba; Bazaruto archipelago (Mozambique), and tiny forest remnants of southern Malawi, eastern Zimbabwe and Mozambique. Most coastal forest endemics have a narrow distributional range, often exhibiting single-site endemism or with scattered or disjunct distributional patterns. They are best interpreted as relicts and not the result of recent evolution. Relictualization probably started with the separation of the ancient Pan African rainforest into two parts during the Miocene. The coastal forests are interpreted as a 'vanishing refuge' with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction."
"The biological importance of the Eastern Arc Mountains of Tanzania and Kenya","https://scispace.com/paper/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","2006","","Biological Conservation","N.D. Burgess
T.M. Butynski
N.J. Cordeiro
N.H. Doggart
J. Fjeldså
K.M. Howell
F.B. Kilahama
S.P. Loader
J.C. Lovett
B. Mbilinyi
M. Menegon
D.C. Moyer
E. Nashanda
A. Perkin
F. Rovero
W.T. Stanley
S.N. Stuart","10.1016/j.biocon.2006.08.015","https://scispace.com/records/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","1. Abstract:
 The Eastern Arc Mountains are renown in Africa for high concentrations of endemic species of animals and plants. Thirteen separate mountain blocks comprise the Eastern Arc, supporting around 3300 km 2 of sub-montane, montane and upper montane forest, less than 30% of the estimated original forested area.

2. The Eastern Arc is as an area where species avoid extinction:
 These 'primitive' groups that are also referred to as ancient relict lineages, are well represented in the Eastern Arc forests and, therefore, suggest a prolonged history of forest habitats .

3. The Eastern Arc is as an area where species avoid extinction:
 The elevated topography afforded montane regions more stable climates , buffering forest habitats during extreme arid phases.","The Eastern Arc Mountains are renown in Africa for high concentrations of endemic species of animals and plants. Thirteen separate mountain blocks comprise the Eastern Arc, supporting around 3300 km² of sub-montane, montane and upper montane forest, less than 30% of the estimated original forested area. At least 96 vertebrate species are endemic, split as follows: 10 mammal, 19 bird, 29 reptile and 38 amphibian species. This includes four endemic or nearly endemic species of primate – the Sanje Mangabey, the Iringa Red Colobus, the Mountain Galago and the new Kipunji monkey that forms its own monotypic genus. A further 71 vertebrate species are near-endemic. At least 800 vascular plant species are endemic, almost 10% of these being trees. These endemics include the majority of the species of African violet – Saintpaulia, a well-known flowering plant in Western households. An additional 32 species of bryophytes are also endemic. Many hundreds of invertebrates are also likely to be endemic, with data for butterflies, millipedes and dragonflies indicating potential trends in importance. Seventy-one of the endemic or near-endemic vertebrates are threatened by extinction (8 critical, 27 endangered, 36 vulnerable), with an additional seven wide ranging threatened species. Hundreds of plant species are also threatened."
"Biodiversity Research and Awareness in the Lesser-Known Eastern Arc Mountains Volume I: Mahenge Mountains Ulanga District","https://scispace.com/paper/owen-et-al-mahenge-mountains-ulanga-district-pdf-btt7jj6z","2007","","Frontier Tanzania Forest Research Programme Technical Report 113","Nisha Owen
Victoria Wilkins
Eibleis Fanning
Kim M. Howell","","https://scispace.com/records/owen-et-al-mahenge-mountains-ulanga-district-pdf-btt7jj6z","1. THE EASTERN ARC MOUNTAINS:
 Another 71 species are near endemics, found either in the adjacent montane forests of the Southern Rift (southern Tanzania to Malawi, Mozambique and Zimbabwe) or in the north (from Mt. Hanang north to the Kenyan highlands), or the lowland Coastal Forests.

2. THE EASTERN ARC MOUNTAINS:
 Part of the uniqueness of this area is attributed to the presence of ancient (and possibly contiguous) forest cover, allowing the accumulation and survival of taxa with ancient affinities with West Africa, Madagascar, S. America and S.E.","Funded by the Critical Ecosystem Partnership Fund (CEPF), the Biodiversity Research and Awareness in the lesser-known Eastern Arc Mountains (BREAM) project is an initiative of Frontier Tanzania (a collaboration between the Society for Environmental Exploration and the University of Dar es Salaam); in partnership with the WWF-Tanzania Program Office and the Forestry and Beekeeping Division of the Ministry of Natural Resources and Tourism; in collaboration with Missouri Botanical Gardens, USA; Michele Menegon and Francesco Rovero of the Museo Tridentino Di Scienze Naturali, Trento, Italy; and Andrew Perkin of the Nocturnal Primate Research Group, Oxford Brookes University, UK. The BREAM project aims to increase knowledge and assist in the conservation of the lesser-known Eastern Arc Mountain forests, through biodiversity surveys, human resource-use assessments and community and institutional capacity building and awareness raising."
"Dispersal to or from an African biodiversity hotspot?","https://scispace.com/paper/blackburn-and-measey-2009-dispersal-to-or-from-an-african-463lwhsu","2009","","Molecular Ecology","D. C. Blackburn
G. J. Measey","10.1111/j.1365-294X.2009.04156.x","https://scispace.com/records/blackburn-and-measey-2009-dispersal-to-or-from-an-african-463lwhsu","1. Comparative phylogeography in the Eastern Arc:
 This pattern was found in akalats , double-collared sunbirds , the green barbet (Stactolaema olivacea; , the streaky canary (Serinus striolatus; , and olive thrushes , all of which are found in montane forests, although the latter has a broader distribution including woodlands and more disturbed habitats.

2. Comparative phylogeography in the Eastern Arc:
 The second hypothesis is that forest-restricted animals dispersed to, and then spread within, coastal forests via forested riparian habitats and then gradually retreated to higher elevations in other basins as the forests receded with increasing aridification.

3. Estimating the timing of origin within and dispersal from the Eastern Arc:
 During the Pleistocene, Africa's climate became more sensitive to high-latitude climatic changes, which resulted in patterns of cyclical climatic change and several aridification events (deMenocal 1995). Furthermore, these estimates of divergence times indicate that both bird and frog montane populations diverged well before the Last Glacial Maximum (e.g. .","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution."
