"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Oceanic islands as cradles for plant diversification: A global phylogeny and biogeography of the Neottopteris clade (Asplenium; Aspleniaceae).","https://scispace.com/paper/42163795","2026","Journal Article","Annals of botany","Han
Zhang
Zhang
Zhou
Pollawat
Lu
Mao
Zhang
Xu","10.1093/aob/mcag140","","The Neottopteris clade, comprising over 150 species distributed across pantropical and subtropical regions, represents a morphologically distinct and ecologically significant group within the largest fern genus Asplenium. Although earlier studies have established the monophyly of this clade, they were based on limited regional sampling, leaving its major phylogenetic relationships and biogeographic history unresolved. This study aims to reconstruct a comprehensive phylogeny of the Neottopteris clade, estimate its divergence times, infer its ancestral distribution, and evaluate the role of oceanic islands in its diversification."
"Diversification and biogeographic history of African dormice (genus Graphiurus) revealed by ultraconserved elements and mitochondrial data.","https://scispace.com/paper/41565127","2026","Journal Article","Molecular phylogenetics and evolution","Onditi
Demos
Kerbis Peterhans
Nicolas
Mikula
Bryjová
Hounmavo
Monadjem
Bryja","10.1016/j.ympev.2026.108549","","The sub-Saharan Africa endemic dormouse genus Graphiurus is a morphologically diverse group of rodents that has lacked a genus-wide genetic framework, hindering inference of their evolution and biogeography. Here, we assembled the first comprehensive, range-wide genomic dataset for Graphiurus, including ultraconserved elements and the cytochrome b gene. We used phylogenetic reconstruction, divergence-time estimation, and ancestral area reconstruction to clarify biogeographic histories and evaluate how historical range dynamics may have influenced lineage diversification. Graphiurus is the earliest-diverging lineage within Gliridae sister to all other extant genera. Within Graphiurus, we recovered 24 molecular operational taxonomic units (MOTUs) forming two reciprocally monophyletic, deeply divergent clades: a West African lineage comprising three MOTUs and a pan-sub-Saharan Africa lineage comprising 21 MOTUs. Genetic distances between these clades are equal to or greater than those used to distinguish genera. Diversification within Graphiurus started in the middle Miocene, peaking in a rapid radiation during the Plio-Pleistocene. These diversification events coincided with increased climatic instability that fragmented forests into isolated refugia. Ancestral-area reconstructions suggest a Graphiurus origin in the Upper Guinean rainforest, followed by jump dispersal across the Afrotropics, with most subsequent divergences occurring in East Africa. As the first comprehensive phylogenetic analysis of Graphiurus, our study underscores the urgent need for an integrated taxonomic revision of the genus that couples genomic data with detailed morphology and critical re-examination of type material to resolve species limits and formally describe the recovered MOTUs. Many MOTUs appear range restricted, underscoring vulnerability to ongoing habitat loss within montane refugia."
"Phylogeny and Historical Biogeography of the Scorpion Genus ","https://scispace.com/paper/41898901","2026","Journal Article","Insects","Mirshamsi
Amiri
Aliabadian
Prendini","10.3390/insects17030239","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13027193/pdf","The scorpion genus "
"Towards a monophyletic Cynoglossum: a dated molecular phylogeny and historical biogeography of Cynoglossinae (Boraginaceae).","https://scispace.com/paper/40657840","2025","Journal Article","Cladistics : the international journal of the Willi Hennig Society","Pourghorban
Salmaki
Böhnert
Weigend","10.1111/cla.70004","","Cynoglossoideae is the largest subfamily of Boraginaceae, and Cynoglosseae is its largest tribe, with the eponymous subtribe Cynoglossinae (ca. 200 spp.) being the most taxonomically challenging group. Cynoglossum remains problematic, especially regarding its relationships to a range of satellite genera (e.g. Paracaryum, Lindelofia, Mattiastrum, Rindera). We aim to elucidate the evolutionary relationships among Cynoglossinae and their historical biogeography by analyzing ca. 80 species of the subtribe. We employed PacBio sequencing of four plastid markers (trnL-trnF, rps16, rpl16, trnK-psbA) and one nuclear marker (nrITS), and reconstructed molecular phylogenies utilizing maximum parsimony, maximum likelihood, and Bayesian inference. Our analyses demonstrated a more highly resolved tree for the major clades of Cynoglossinae, strongly supporting a broader taxonomic circumscription of Cynoglossum. Our biogeographic reconstruction suggests that Cynoglossinae diverged from its sister group, Bothriosperminae, during the late Oligocene in East Asia and likely originated during the middle Miocene in an extensive area encompassing East Asia and the Irano-Turanian region. The lineage rapidly diversified, expanding its range towards Europe, including the Mediterranean region, and Africa, as well as southward to Australia from the middle Miocene to Pleistocene. The data indicate that the epichorous fruits of Cynoglossum have significantly contributed to multiple long-distance dispersal events and subsequent diversification."
"Large range sizes link fast life histories with high species richness across wet tropical tree floras.","https://scispace.com/paper/39922807","2025","Journal Article","Scientific reports","Baker
Adu-Bredu
Affum-Baffoe
Aiba
Akite
Alexiades
Almeida
de Oliveira
Davila
Amani
Andrade
Aragao
Araujo-Murakami
Arets
Arroyo
Ashton
Ifo
Aymard
Baisie
Balee
Balinga
Banin
Banki
Baraloto
Barroso
Bastin
Beeckman
Begne
Bengone
Berry
Betian
Bezard
Blanc
Boeckx
Bonal
Bongers
Brearley
Brienen
Brown
Nasaradin
Burban
Burslem
Camargo
Camargo
Castro
Ceron
Moscoso
Chapman
Chave
Chezeaux
Collins
Comiskey
Coomes
Valverde
Costa
Cuni-Sanchez
da Costa
Daly
Dančák
Daniels
Dargie
Davies
De Canniere
de Haulleville
Del Aguila Pasquel
Derroire
Dexter
Di Fiore
Djuikouo
Doucet
Droissart
Eilu
Emillio
Engel
Enock
Ondo
Ewango
Fauset
Feldpausch
Fitriadi
Llampazo
Foli
Fredriksson
Galbraith
Gilpin
Gloor
Gonmadje
Villaroel
Hall
Hamer
Hamilton
Hardy
Hart
Hédl
Herrera
Higuchi
Hladik
Coronado
Huamantupa-Chuquimaco
Huasco
Hubau
Idhamsyah
Ismail
Jeffery
Jimenez
Jucker
Kearsley
Kho
Killeen
Kitayama
Laurance
Laurance
Leal
Lewis
Lhota
Lindsell
Lopez-Gonzalez
Lovett
Lowe
Magnusson
Makana
Malhi
Marimon
Junior
Marshall
Maycock
Mbayu
Mendoza
Polo
Metali
Mihindou
Monteagudo-Mendoza
Moore
Mucunguzi
Mukinzi
Munishi
Nagy
Naisso
Neill
Lima
Vargas
Ojo
Palacios
Camacho
Gutierrez
Peacock
Peh
Cruz
Pendry
Pennington
Penuela-Mora
Petronelli
Phillips
Pickavance
Pipoly
Pitman
Poulsen
Prance
Prieto
Primack
Qie
Queenborough
Sunderland
Quesada
Arevalo
Ramirez-Angulo
Reitsma
Réjou-Méchain
Roopsind
Rovero
Rutishauser
Salim
Salomao
Samsoedin
Saparudin
Schietti
Segovia
Serrano
Serudia
Sheil
Silva
Espejo
Silveira
Simo-Droissart
Singh
Sonké
De Sousa
Stropp
Sukri
Sunderland
Svátek
Swaine
Taedoumg
Talbot
Tan
Taplin
Taylor
Ter Steege
Terborgh
Torres-Lezama
Mukendi
Tuagben
van de Meer
van der Heijden
van der Hout
van Nieuwstadt
van Ulft
Martinez
Vernimmen
Vinceti
Vieira
Vieira
Torre
Vleminckx
White
Willcock
Williams
Woods
Yao
Yassir
Zagt
Zemagho","10.1038/s41598-024-84367-3","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11807110/pdf","Understanding how the traits of lineages are related to diversification is key for elucidating the origin of variation in species richness. Here, we test whether traits are related to species richness among lineages of trees from all major biogeographical settings of the lowland wet tropics. We explore whether variation in mortality rate, breeding system and maximum diameter are related to species richness, either directly or via associations with range size, among 463 genera that contain wet tropical forest trees. For Amazonian genera, we also explore whether traits are related to species richness via variation among genera in mean species-level range size. Lineages with higher mortality rates-faster life-history strategies-have larger ranges in all biogeographic settings and have higher mean species-level range sizes in Amazonia. These lineages also have smaller maximum diameters and, in the Americas, contain dioecious species. In turn, lineages with greater overall range size have higher species richness. Our results show that fast life-history strategies influence species richness in all biogeographic settings because lineages with these ecological strategies have greater range sizes. These links suggest that dispersal has been a key process in the evolution of the tropical forest flora."
"Phylogenomics, historical biogeography, and diversification of leaf traits in the Malagasy-endemic genus Uncarina (Pedaliaceae).","https://scispace.com/paper/40176314","2025","Journal Article","American journal of botany","Rose
Zaborsky
Karimi
Sytsma","10.1002/ajb2.70028","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12012797/pdf","Uncarina contains 14 species of woody plants endemic to Madagascar. Its occurrence across dryland biomes on the island make it an interesting system to study the diversification of the flora."
"Genomic Introgression and Adaptation of Southern Seabird Species Facilitate Recent Polar Colonization.","https://scispace.com/paper/40111469","2025","Journal Article","Molecular biology and evolution","Jorquera
Morales
Ng
Noll
Pertierra
Pliscoff
Balza
Boulinier
Gamble
Kasinsky
McInnes
Marín
Olmastroni
Pistorius
Phillips
González-Solís
Emmerson
Poulin
Bowie
Burridge
Vianna","10.1093/molbev/msaf053","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11954569/pdf","Genomic adaptation and introgression can occur during the speciation process, enabling species to diverge in their frequencies of adaptive alleles or acquire new alleles that may promote adaptation to environmental changes. There is limited information on introgression in organisms from extreme environments and their responses to climate change. To address these questions, we focused on the 3 southern skua species, selected for their widespread distribution across the Southern Hemisphere and their complex history of speciation and introgression events. Our genomic data reveal that these skuas underwent diversification around the Penultimate Glacial Period, followed by subsequent demographic expansion. We identified a geographic region of introgression among species that followed a directional pattern sourced from the Antarctic continent, South America, and east to west in subantarctic islands, all converging towards the Antarctic Peninsula. The 3 skua species and admixed individuals exhibited a unique pattern of putative genes under selection, allowing adaptation to extreme conditions. Individuals with a higher proportion of Brown Skua ancestry showed signs of selection on genes related to reproductive isolation, while admixed individuals with a higher proportion of South Polar Skua ancestry displayed patterns resembling those of the South Polar Skua. Introgression may be a key mechanism of adaptation for many species that may help buffer against the ongoing climate change."
"﻿An eastern Congolian endemic, or widespread but secretive? New data on the recently described ","https://scispace.com/paper/39881664","2025","Journal Article","ZooKeys","Nečas
Badjedjea
Czurda
Gvoždík","10.3897/zookeys.1224.128761","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11775575/pdf","The Great Lakes spiny reed frog ("
"Rapid Radiation of a Plant Lineage Sheds Light on the Assembly of Dry Valley Biomes.","https://scispace.com/paper/39823311","2025","Journal Article","Molecular biology and evolution","Chen
Sunojkumar
Spicer
Hodel
Soltis
Soltis
Paton
Sun
Drew
Xiang","10.1093/molbev/msaf011","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11817785/pdf","Southwest China is characterized by high plateaus, large mountain systems, and deeply incised dry valleys formed by major rivers and their tributaries. Despite the considerable attention given to alpine plant radiations in this region, the timing and mode of diversification of the numerous dry valley plant lineages remain unknown. To address this knowledge gap, we investigated the macroevolution of Isodon (Lamiaceae), a lineage commonly distributed in the dry valleys in southwest China and wetter areas of Asia and Africa. We reconstructed a robust phylogeny encompassing nearly 90% of the approximately 140 extant Isodon species using transcriptome and genome-resequencing data. Our results suggest a rapid radiation of Isodon during the Pliocene that coincided with a habit shift from herbs to shrubs and a habitat shift from humid areas to dry valleys. The shrubby growth form likely acted as a preadaptation allowing for the movement of Isodon species into these dry valleys. Ecological analyses highlight drought-related factors as key drivers influencing the niche preferences of different growth forms and species richness of Isodon. The interplay between topography and the development of the East Asian monsoon since the middle Miocene likely contributed to the formation of the dry valley biome in southwest China. This study enhances our understanding of evolutionary dynamics and ecological drivers shaping the distinctive flora of southwest China and reveals the strategies employed by montane plants in response to climate change and dryland expansion, thus facilitating conservation efforts globally."
"A thorny tale: The origin and diversification of Cirsium (Compositae).","https://scispace.com/paper/39800129","2025","Journal Article","Molecular phylogenetics and evolution","Moreyra
Susanna
Calleja
Ackerfield
Arabacı
Blanco-Gavaldà
Brochmann
Dirmenci
Fujikawa
Galbany-Casals
Gao
Gizaw
Mehregan
Vilatersana
Viruel
Yıldız
Leliaert
Seregin
Roquet","10.1016/j.ympev.2025.108285","","Widely distributed plant genera offer insights into biogeographic processes and biodiversity. The Carduus-Cirsium group, with over 600 species in eight genera, is diverse across the Holarctic regions, especially in the Mediterranean Basin, Southwest Asia, Japan, and North America. Despite this diversity, evolutionary and biogeographic processes within the group, particularly for the genus Cirsium, remain underexplored. This study examines the biogeographic history and diversification of the group, focusing on Cirsium, using the largest molecular dataset for the group (299 plants from 251 taxa). Phylogenomic analyses based on 350 nuclear loci, derived from target capture sequencing, revealed highly resolved and consistent phylogenetic trees, with some incongruences likely due to hybridization and incomplete lineage sorting. Ancestral range estimations suggest that the Carduus-Cirsium group originated during the Late Miocene in the Western Palearctic, particularly in the Mediterranean, Eastern Europe, or Southwest Asia. A key dispersal event to tropical eastern Africa around 10.7 million years ago led to the genera Afrocarduus and Afrocirsium, which later diversified in the Afromontane region. The two subgenera of Cirsium-Lophiolepis and Cirsium-began diversifying around 7.2-7.3 million years ago in the Western Palearctic. During the Early Pliocene, diversification rates increased, with both subgenera dispersing to Southwest Asia, where extensive in situ diversification occurred. Rapid radiations in North America and Japan during the Pleistocene were triggered by jump-dispersals events from Asia, likely driven by geographic isolation and ecological specialization. This added further layers of complexity to the already challenging taxonomic classification of Cirsium.Keywords: Biogeography; Carduinae; Cirsium; Diversification; North Hemisphere; Target-enrichment; Taxonomy."
