"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Emerging Dolutegravir Resistance Among Children on Antiretroviral Therapy With Virological Failure in Malawi: Results From a 2023 National Cross-Sectional Survey.","https://scispace.com/paper/42175669","2026","Journal Article","Journal of the International AIDS Society","Bello
Kabaghe
Pals
Kalata
Bighignoli
van Oosterhout
Mkungudza
Agyemang
Zheng
Panja
Matola
Chitenje
Kampira
Zeh
Mvula
Alvarez
Kagoli
Mzumara
Simon
Namakhoma
O'Malley
Chipeta
Nyirenda
da Silva
Wadonda","10.1002/jia2.70108","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13238817/pdf","Malawi began transitioning children living with HIV (CLHIV) to dolutegravir-based regimens (DBRs) in 2020, and 99.9% were on a DBR by September 2023. With nearly universal use of DBR, surveillance of HIV drug resistance (HIVDR) to dolutegravir is essential. We describe the prevalence and patterns of HIVDR among CLHIV on DBR with confirmed virological failure (viral load [VL] twice ≥1000 copies/mL)."
"Genomic Evidence for Novel Introduction and Intra-Host Diversity of DENV-2 in Dar es Salaam, Tanzania.","https://scispace.com/paper/42198786","2026","Journal Article","Viruses","Hälg
Tenywa
Liechti
Beuret
Moore
Müller","10.3390/v18050585","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13211437/pdf","Dengue virus (DENV) poses a growing risk in Tanzania, yet its genetic diversity in mosquito populations remains poorly understood. Using Nanopore sequencing, we recovered full coding sequences from six DENV-2 positive mosquito pools collected in Dar es Salaam outside recognized outbreak periods. Phylogenetic analysis placed these sequences in a distinct monophyletic clade within genotype II, separate from strains linked to Tanzania's 2014 outbreak. Instead, they clustered with Asian lineages and showed the closest relatedness to DENV-2 strains from Kenya (2013) and India (2014), with divergence estimated to have occurred around 2010. Variant profiling identified 212 low-frequency intra-pool variants, predominantly non-synonymous changes in the NS3, NS4B, and NS5 coding regions. These results suggest a previously unrecognized introduction of genotype II that is now circulating silently within local mosquito populations. Our findings highlight the value of genomic surveillance in mosquito vectors for early detection of arboviral threats, even in the absence of reported human cases."
"Updated trends in the global prevalence and burden of mental disorders, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.","https://scispace.com/paper/42167272","2026","Journal Article","Lancet (London, England)","No authors available","10.1016/S0140-6736(26)00519-2","","The 2023 iteration of the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) estimated prevalence, incidence, and health burden for 375 diseases and injuries, including 12 mental disorders. We assess past, current, and emerging trends in the prevalence and burden of mental disorders across sexes and age groups, for 21 regions, 204 countries and territories, and by Socio-demographic Index (SDI) quintile, from 1990 to 2023."
"Genomic analysis of ","https://scispace.com/paper/42149110","2026","Journal Article","Microbial genomics","Kutambe
Patel
Chizani
Silungwe
Kukacha
Carey
Meiring
Laurens
Gordon
Ashton","10.1099/mgen.0.001721","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13183295/pdf",""
"Contribution of nosocomial transmission to Klebsiella pneumoniae neonatal sepsis in Africa and South Asia: An observational study of infection clusters inferred from pathogen genomics and temporal data.","https://scispace.com/paper/42127138","2026","Journal Article","PLoS medicine","Odih
Abdulahi
Amulele
Bates
Heinz
Hu
Jain
Magobo
Olwagen
Tembo
Sonda
Strysko
Tigoi
Bittinger
Cornick
Foster-Nyarko
Gumbi
Jones
Musyani
McGann
Moustafa
Musicha
Mwansa
Ndumba
Stanton
Omuoyo
Pearse
Phillips
Planet
Rodrigues
Secka
Sands
Theiller
Zuza
Basu
Chan
Iregbu
Mazarati
Alemayehu
Walsh
Zahra
Dramowski
Fwoloshi
Labi
Madrid
Obeng-Nkrumah
Ojok
Wadugu
Whitelaw
Bhargava
Jindal
Agarwal
Aiken
Berkley
Coffin
Feasey
Govender
Hamer
Madhi
Sankar
Wyres
Holt","10.1371/journal.pmed.1005077","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13186336/pdf","Klebsiella pneumoniae is the leading cause of sepsis among neonates in low- and middle-income countries (LMICs) in Africa and Asia, contributing substantially to the overall burden of antimicrobial-resistant infections and mortality among neonates globally. Pathogen sequencing has been used to investigate case clusters and confirm nosocomial transmission in a small number of neonatal units. Here we utilise pathogen sequence data to estimate the fraction of K. pneumoniae neonatal sepsis attributable to nosocomial transmission in African and South Asian countries."
"Are parenting programmes effective at scale? Associations with violence against adolescent girls, parenting and mental health in real-world delivery across eight African countries: a meta-analysis of pre-post surveys.","https://scispace.com/paper/42086299","2026","Journal Article","BMJ global health","Cluver
Ward
Little
Vallance
Haupt Ronnie
Shenderovich
Gwebu
Okop
Gardner
Ngcobo
Tomlinson
Oliver
Fang
Davidson
Janowski
Van Zyl
Booij
Manjengenja
Tsoanyane
Kabuyaya
Nethavhakone
Mutembedza
Koler
Exavery
Schley
Bibuya
Kisyombe
Nydetabura
Charasika
Mavise
Mbuyi
Ngangula
Rieff
Wamoyi
Jamu
Monare
Savo
Bojo
Jamu
Kipingili
Mujuru
Lachman","10.1136/bmjgh-2025-020422","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13141112/pdf","Evidence-based parenting programmes are widely used to prevent violence against children and improve parenting and mental health. Despite hundreds of randomised trials, little is known about their outcomes when delivered at scale within routine delivery. This study assesses the WHO-endorsed and UNICEF-endorsed Parenting for Lifelong Health programme for caregivers and adolescents, delivered through non-governmental organisation and government in Botswana, the Democratic Republic of the Congo, Eswatini, South Africa, South Sudan, Tanzania, Zambia and Zimbabwe, with support from the President's Emergency Plan for AIDS Relief (PEPFAR), the United States Agency for International Development (USAID) and the European Union."
"The continuing importance of the IARC's international remit in cancer research.","https://scispace.com/paper/42008730","2026","Journal Article","Journal of the National Cancer Institute. Monographs","McCormack
Simba
Abnet
Buckle
Middleton
Menya
Muchengeti
Kantelhardt
Addissie
Mmbaga
Lemmens
Sheils
Boucheron
Kim
Schüz","10.1093/jncimonographs/lgaf042","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13094937/pdf","On the International Agency for Research on Cancer's 60th birthday, we reflect on the continuing importance of the agency's international remit in cancer research, driven by its founding principle that the discovery of carcinogenic agents is relevant to all humans globally. The present narrative elaborates on this continued stimulus through the discussion of three themes: (1) trust and independence, especially amid vested interests and misinformation; (2) equity and efficiency as essential elements of progress in cancer research, achieved by prioritizing research in underserved and understudied areas and locations where exposure doses or contrasts are high; and (3) a commitment to context-relevant research through strong local collaborations and capacity building. We demonstrate that the international research conducted at the International Agency for Research on Cancer is a core means to advance carcinogenic discovery, building reciprocal partnerships where all countries benefit when discoveries are shared across borders. If we do not attempt to understand cancer everywhere, we will never fully understand it anywhere."
"Evolutionary history of the endangered Sanje mangabey (Cercocebus sanjei) in the Udzungwa Mountains, Tanzania: inferences from phylogeography and historical niche modelling.","https://scispace.com/paper/41961350","2026","Journal Article","Primates; journal of primatology","Paddock
Ferreira da Silva
McCabe
Fernández
McGraw
Bruford","10.1007/s10329-026-01255-2","","Understanding whether a species' distribution results from recent and/or anthropogenic events or ancient vicariant factors is critical for conservation planning. The Endangered Sanje mangabey (Cercocebus sanjei), endemic to Tanzania's Udzungwa Mountains, is currently divided into two populations located approximately 100 km apart. These represent distinct evolutionary lineages that diverged around 0.77 million years ago (MYA). We aimed to investigate i) the phylogeographic history and recent changes in size and range of the two Sanje mangabey populations, and ii) whether lack of suitable habitat between populations and consequent difficulty to disperse may have influenced the 0.77 MYA divergence time. We used 64 mitochondrial control region sequences obtained from non-invasive DNA. The probability of suitable habitat across Tanzania and the Udzungwa Mountains was modelled at three time points: Mid-Holocene (6,000 YA), Last Glacial Maximum (22,000 YA), and the Last Interglacial period (120,000-140,000 YA). We found six haplotypes, clustered into two haplogroups. Significant differentiation was estimated between populations, which show no evidence for recent range expansion or contraction. The ecological niche modelling revealed fluctuating extents of suitable habitat across southern Tanzania. Large genetic differentiation between populations may have been influenced by a general trend in aridification in East Africa across the last 40,000 years, resulting in a shift of montane forests to gradually higher elevations. Intermediate populations may have become extinct as suitable habitat retracted, leaving relict populations with relatively stable demographic histories ancestral to the present-day populations. This study supports their preliminary designation as separate evolutionary significant units, a conclusion with conservation management implications."
"A multi-country head-to-head accuracy comparison of automated chest X-ray algorithms for tuberculosis.","https://scispace.com/paper/41973983","2026","Journal Article","Annals of the American Thoracic Society","Worodria
Castro
Kik
Dalay
Derendinger
Festo
Nguyen
Raberahona
Sudarsan
Andama
Thangakunam
Lyimo
Nguyen
Rakotoarivelo
Theron
Yu
Denkinger
Lapierre
Cattamanchi
Christopher
Jaganath","10.1093/annalsats/aaoag011","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13152663/pdf","Computer-aided detection algorithms for automated chest X-ray reading have been endorsed by the World Health Organization for tuberculosis triage, but independent, multi-country assessment of current products is needed to guide implementation."
"Whole-genome analysis of a multidrug-resistant Klebsiella michiganensis environmental isolate from an orthopedic ward in Mwanza, Tanzania reveals IncF-family plasmid replicon signatures associated with resistance determinants.","https://scispace.com/paper/41957580","2026","Journal Article","BMC genomics","Mboowa
Kidenya
Sserwadda
Kanyerezi
Seni","10.1186/s12864-026-12837-1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13173886/pdf","Klebsiella michiganensis, a member of the Klebsiella oxytoca species complex, is increasingly recognized in healthcare-associated infection and can persist in hospital environmental reservoirs. However, genome-resolved data on environmental K. michiganensis from Africa remain limited."
