"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Globally threatened biodiversity of the Eastern Arc Mountains and coastal forests of Kenya and Tanzania","https://scispace.com/paper/globally-threatened-biodiversity-of-the-eastern-arc-1apxdekmxn","2016","Journal Article","Journal of East African Natural History","Roy E. Gereau
Neil Cumberlidge
Claudia Hemp
Axel Hochkirch
Trevor Jones
Mercy Kariuki
Charles N. Lange
Simon P. Loader
Patrick K. Malonza
Michele Menegon
P. Kariuki Ndang’ang’a
Francesco Rovero
Phillip Shirk","10.2982/028.105.0104","https://commons.nmu.edu/cgi/viewcontent.cgi?article=1278&context=facwork_journalarticles","… the central EAMs as the initial centre of diversification of the forest species. Due to persistence … The population is suspected to be in decline as the species' montane forest habitat has …","We present an account of the 909 globally threatened taxa (793 species, 74 subspecies, 42 varieties) of animals and plants in the Eastern Arc Mountains and Coastal Forests of Kenya and Tanzania and the sites in which they occur based upon a review of the 2015 IUCN Red List of Threatened Species. Results for animals are summarised by Class (Amphibia, Aves, Gastropoda, Insecta, Malacostraca, Mammalia, Reptilia) and presented for plants as a whole (Classes Bryopsida, Cycadopsida, Jungermanniopsida, Liliopsida, Lycopodiopsida, Magnoliopsida, Pinopsida, Polypodiopsida). We analyse the status of previously known and newly identified sites in which globally threatened biodiversity occurs and summarise the current state of research on the globally threatened and ecologically critical biodiversity of the EACF. We then provide recommendations for future research, environmental regulations, and management regimes based upon comprehensive and reliable data to ensure the continued survival of the EACF's biodi..."
"Vanishing refuge? Testing the forest refuge hypothesis in coastal East Africa using genome‐wide sequence data for seven amphibians","https://scispace.com/paper/vanishing-refuge-testing-the-forest-refuge-hypothesis-in-2gkjxwncf2","2018","Journal Article","Molecular Ecology","Christopher D. Barratt
Beryl A. Bwong
Robert Jehle
H. Christoph Liedtke
H. Christoph Liedtke
Peter Nagel
Renske E. Onstein
Daniel M. Portik
Daniel M. Portik
Jeffrey W. Streicher
Simon P. Loader
Simon P. Loader","10.1111/MEC.14862","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/mec.14862","… in the diversification of generalist taxa, but mechanisms of … border of Tanzania and Kenya, and within southern Tanzania. … Zanzibar-Inhambane coastal forest ecoregion have remained …","High‐throughput sequencing data have greatly improved our ability to understand the processes that contribute to current biodiversity patterns The “vanishing refuge” diversification model is speculated for the coastal forests of eastern Africa, whereby some taxa have persisted and diversified between forest refugia, while others have switched to becoming generalists also present in non‐forest habitats Complex arrangements of geographical barriers (hydrology and topography) and ecological gradients between forest and non‐forest habitats may have further influenced the region's biodiversity, but elucidation of general diversification processes has been limited by lack of suitable data Here, we explicitly test alternative diversification modes in the coastal forests using genome‐wide single nucleotide polymorphisms, mtDNA, spatial and environmental data for three forest (Arthroleptis xenodactyloides, Leptopelis flavomaculatus and Afrixalus sylvaticus) and four generalist (Afrixalus fornasini, A delicatus, Leptopelis concolor, L argenteus) amphibians Multiple analyses provide insight about divergence times, spatial population structure, dispersal barriers, environmental stability and demographic history We reveal highly congruent intra‐specific diversity and population structure across taxa, with most divergences occurring during the late Pliocene and Pleistocene Although stability models support the existence of some forest refugia, dispersal barriers and demographic models point toward idiosyncratic diversification modes across taxa We identify a consistent role for riverine barriers in the diversification of generalist taxa, but mechanisms of diversification are more complex for forest taxa and potentially include topographical barriers, forest refugia and ecological gradients Our work demonstrates the complexity of diversification processes in this region, which vary between forest and generalist taxa, but also for ecologically similar species with shared population boundaries"
"Evolutionary and ecological explanations for the elevational flexibility of several East African bird species complexes","https://scispace.com/paper/evolutionary-and-ecological-explanations-for-the-elevational-v7av5a0pd8zo","","","","Jon Fjeldsa
Rauri C. K. Bowie","10.3389/fevo.2021.768062","","… the Eastern Arc Mountains of Tanzania and the northern part of the coastal forest mosaic. … has likely played a role in facilitating the diversification of East Africa bird species. We urgently …","Africa’s montane areas are broken up into several large and small units, each isolated as forest-capped “sky islands” in a “sea” of dry lowland savanna. Many elements of their biota, including montane forest birds, are shared across several disjunct mountains, yet it has been difficult to rigorously define an Afromontane forest avifauna, or determine its evolutionary relationships with the birds of the surrounding lowland forests. In order to trace the historical relationship between lowland and highland avifaunas, we review cases of species or groups of closely related species with breeding populations at different elevations, and use phylogeographic methods to explore the historical connections between such populations within the biodiversity hotspot of East Africa. The study reveals several idiosyncratic patterns, but also a prominent number of cases of gene flow between populations in southern areas, mainly around the Malawi Rift, and mountains and coastal forests to the north, close to the equator. This may reflect more continuous past distributions through northern Mozambique and coastal Tanzania, or seasonal migrations between areas with different rainfall regimes. Over time, these distributional dynamics have resulted in a higher persistence of lineages, and an accumulation of forest-dependent lineages within the Eastern Arc Mountains of Tanzania and the northern part of the coastal forest mosaic."
"… diversity and divergence dating of Angolan colobus monkeys (Colobus angolensis) in the eastern forests of Kenya and Tanzania: Implications for subspeciation and …","https://scispace.com/paper/VIx9fkSWwzoJ","","","","MM McDonald
PMK Cunneyworth","","","… angolensis in the Kenya-Tanzania region range in the coastal forest fragments from southeastern Kenya to the Rufiji River, Tanzania, and the riverine forest on the Rufiji River's north …",""
"… , phylogeography and geographical variation in the Crocidura monax (Soricidae) species complex from the montane islands of Tanzania, with descriptions of three …","https://scispace.com/paper/Xc5llKzThcsJ","","","","WT Stanley
R Hutterer
TC Giarla","","https://esselstyn.github.io/publications/2015/Stanley-2015.pdf","… mammals in montane habitats of Tanzania have produced series of specimens that now allow investigation of the phylogeny, phylogeography and geographical variation of populations …",""
"Genetic variation of the most abundant forest‐dwelling rodents in Central Africa (Praomys jacksoni complex): Evidence for Pleistocene refugia in both montane and …","https://scispace.com/paper/sWH_pDSFAy4J","","","","D Mizerovská
V Nicolas
TC Demos","","","… Specifically, we ask how their diversification was influenced … and one in Mbizi forest in Tanzania), while IIb was found only … much more widespread than montane forest specialists are. …",""
"Distribution of highland forest birds across a potential dispersal barrier in the Eastern Arc Mountains of Tanzania","https://scispace.com/paper/N17kCK7lvncJ","","","","J Fjeldså
J Kiure
N Doggart
LA Hansen
A Perkin","","https://www.academia.edu/download/72202218/Distribution_of_highland_forest_birds_ac20211011-15090-pn2fbl.pdf","… identical faunas of resident montane forest birds, and many range-… process of biological diversification within this biodiversity … 1500 m (montane and upper montane forest) in the eastern …",""
"Genetic divergence during long‐term isolation in highly diverse populations of tropical trees across the Eastern Arc Mountains of Tanzania","https://scispace.com/paper/genetic-divergence-during-long-term-isolation-in-highly-3mywl1xumi","2014","Journal Article","Biotropica","Alistair S. Jump
Martin Carr
Antje Ahrends
Rob Marchant","10.1111/BTP.12139","https://www.academia.edu/download/38231598/Jump_et_al._2014.pdf","… instead a pattern of past isolation and ongoing diversification. Our findings substantially add to … monospora are generally found at higher altitudes (montane and upper montane forest). …","The Eastern Arc Mountains are believed to support some of the oldest tropical forest in the world The current distribution of this forest is highly fragmented due to a combination of long-term effects of past changes in global climate and more recent deforestation We sought to explore the hypothesized antiquity and long-term isolation of the Eastern Arc montane forests based on an assessment of the geographical distribution and interspecies similarity of chloroplast DNA sequence variation in five forest trees Data were used to investigate regional patterns of diversity and population structure based on intraspecific phylogenies, and results were interpreted against hypotheses on ecosystem age and connectivity Regional diversity was high, with up to 22 chloroplast DNA haplotypes being recorded within a species across the sampled populations Geographical concordance of genetic and geographic structure was weak to absent in all species and there was little similarity of genetic structure between species Haplotype sharing between mountain blocks was extremely limited The generally weak phylogeographical structure, in conjunction with high regional diversity and genetic uniqueness of individual mountain forests does not support the assumption of widespread genetic connectivity of the mountain forests, indicating instead a pattern of past isolation and ongoing diversification Our findings substantially add to understanding patterns of diversity in this region and lend weight to calls to use more sophisticated biodiversity assessments when setting regional conservation and research funding priorities"
"Biogeography and diversity among montane populations of mouse shrew (Soricidae: Myosorex) in Tanzania","https://scispace.com/paper/biogeography-and-diversity-among-montane-populations-of-17j7rwfk29","2010","Journal Article","Biological Journal of The Linnean Society","William T. Stanley
Jacob A. Esselstyn","10.1111/J.1095-8312.2010.01448.X","https://esselstyn.github.io/publications/2010/Stanley-2010.pdf","… of Myosorex across the mountains of Tanzania and its affinity for high… Herein, we use specimens from montane areas of Tanzania to: (1) … hypotheses for montane organisms in …","We assess variation in morphological and molecular characters among three species of Myosorex (the mouse shrew) –Myosorex geata, Myosorex kihaulei, and Myosorex zinki– as a means to test previously proposed biogeographic hypotheses for Tanzanian ‘sky islands’ and systematic hypotheses for Tanzanian mouse shrews. We analyse 17 cranial and dental variables using multivariate statistics and perform phylogenetic and phylogeographic analyses on sequences of mitochondrial and nuclear DNA; samples are drawn from every known Tanzanian population of Myosorex. Morphometric and phylogenetic analyses reveal that M. zinki is distinct, but that currently isolated populations of M. geata and M. kihaulei are relatively similar to one another, and may not have been isolated over geological time scales. Analyses of molecular variance identify statistically significant, but limited, genetic variation within and between isolated populations of M. geata and M. kihaulei. Between two putative regional biogeographic boundaries, greater genetic variation is explained by grouping populations on either side of the Ruaha River than by grouping populations on either side of the Makambako Gap. Our results are in agreement with recent studies illustrating the close relationship between faunas of the Southern Highlands and southern Eastern Arc Mountains, diminishing the apparent importance of the Makambako Gap as a historical biogeographic barrier. © 2010 The Linnean Society of London, Biological Journal of the Linnean Society, 2010, 100, 669–680."
"Human influences on tree diversity and composition of a coastal forest ecosystem: The case of Ngumburuni forest reserve, Rufiji, Tanzania","https://scispace.com/paper/human-influences-on-tree-diversity-and-composition-of-a-2rvfnkxsok","2013","Journal Article","International Journal of Forestry Research","J. Kimaro
L. Lulandala","10.1155/2013/305874","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2013/305874","… rich forest reserve within the coastal forests of Tanzania. The main goal of this study was to … of useful plants, enhanced species diversification impacts to the forest ecosystem, and …","This paper reports on the findings of an ecological survey conducted in Ngumburuni Forest Reserve, a biodiversity rich forest reserve within the coastal forests of Tanzania. The main goal of this study was to determine the influence of uncontrolled anthropogenic activities on tree species diversity and composition within the forest ecosystem. It was revealed that economic activities including logging, charcoaling, and shifting cultivation were the most important disturbing activities affecting ecological functioning and biodiversity integrity of the forest. Further to this, we noted that the values of species diversity, composition, and regeneration potential within the undisturbed forest areas were significantly different from those in heavily disturbed areas. These observations confirm that the ongoing human activities have already caused size quality degradation of useful plants, enhanced species diversification impacts to the forest ecosystem, and possibly negatively affected the livelihoods of the adjacent local communities. Despite these disturbances, Ngumburuni forest reserve still holds important proportions of both endemic and threatened animal and plant species. The study suggests urgent implementation of several conservation measures in order to limit accessibility to the forest resources so as to safeguard the richness and abundance of useful biodiversity stocks in the reserve."
