"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex","https://scispace.com/paper/cryptic-diversity-and-species-boundaries-within-the-35mpmiaq7i","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/J.YMPEV.2020.106887","https://drive.google.com/file/d/1JK5suoNTciNp_IjKUh6I4VVLk4Yfcnm8/view","… The recently described genus Paragalago is a complex of several nocturnal and … In this study, we explore species diversity within the zanzibaricus-complex using a combination of …",""
"Assessing Ecological Divergence and Speciation Scenarios of the Paragalago zanzibaricus Species Complex Through Climatic Niche Modeling","https://scispace.com/paper/assessing-ecological-divergence-and-speciation-scenarios-of-2l45qn80","2023","Journal Article","International Journal of Primatology","Evan Miller
Averee M. Luhrs
Amanda N. Mancini
Mary E. Blair
Luca Pozzi","10.1007/s10764-023-00374-7","https://par.nsf.gov/servlets/purl/10510335","… divergence within the Paragalago zanzibaricus species complex in East Africa. We expected … to the taxonomy of the Galagidae involves the splitting of the former dwarf galago genus …",""
"Species boundaries within morphologically cryptic galagos: Evidence from acoustic and genetic data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","… The taxonomy and systematics of dwarf galagos has been … Kenya, Paragalago zanzibaricus in mainland Tanzania and … The analyses conducted in this study included 50 Paragalago …","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/a-new-genus-for-the-eastern-dwarf-galagos-primates-galagidae-41i8wkex5w","2017","Journal Article","Zoological Journal of the Linnean Society","Judith C. Masters
Judith C. Masters
Fabien Génin
Sébastien Couette
Sébastien Couette
Colin P. Groves
Stephen D. Nash
Massimiliano Delpero
Luca Pozzi
Luca Pozzi","10.1093/ZOOLINNEAN/ZLW028","https://iris.unito.it/bitstream/2318/1618044/2/Paragalago_ZJLS_accepted_4aperto.pdf","… and Galagoides zanzibaricus) be placed in their own genus, for which we propose the name Paragalago. biogeography, bushbaby, craniodental morphometrics, Galagoides, molecular …",""
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew Perkin
Simon K. Bearder
Paul Honess","10.1896/0898-6207.21.1.63","https://bioone.org/journals/primate-conservation/volume-2006/issue-21/0898-6207.21.1.63/Taxonomy-Distribution-and-Conservation-Status-of-Three-Species-of-Dwarf/10.1896/0898-6207.21.1.63.pdf","… granti from southern Tanzan a to southern Mozamb que; and … matched that recorded for the dwarf galago at D an , as well as … as that recorded from the dwarf galago at Diani is confirmed …","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Speciation by sensory drive in the Paragalago zanzibaricus species complex","https://scispace.com/paper/speciation-by-sensory-drive-in-the-paragalago-zanzibaricus-2bdhffs73s","2021","Journal Article","International Journal of Primatology","Fabien Génin","10.1007/S10764-021-00213-7","","… zanzibaricus (Zanzibar Island and eastern Tanzania), the … , focussing on the Paragalago zanzibaricus complex. Five … molecular clock estimates link the diversification of the clade to …","Cryptic animal species are often distinguishable by nonvisual communication signals used in specific-mate recognition. The three cryptic taxa comprising the Paragalago zanzibaricus species complex use distinct loud calls that do not obviously reflect molecular phylogenetic relationships. Paragalago granti and P. cocos both have incremental calls but are not sister taxa; P. cocos is the sister taxon to P. zanzibaricus, which has a rolling (trilling) call like that of P. rondoensis, one of the outliers to the complex. To test current hypotheses of species delimitation, I conducted 378 playback trials, using conspecific and heterospecific loud calls and recording both vocal responses and movement toward the speaker. To investigate the sensory drive hypothesis (acoustic adaptation), I measured reverberation duration of 215 short “yap” mobbing calls and examined 282 sonotopes (local soundscapes). I tested the hypothesis that different species’ ear lengths allow the animals to filter out interfering frequencies in local background noise. On Zanzibar Island, P. zanzibaricus responded solely to conspecific calls (23/32). In South Africa, P. granti individuals responded to conspecific calls (12/22) but also sometimes to P. cocos calls (9/22). In Kenya, P. cocos individuals responded to conspecific calls (34/40) but also sometimes to P. zanzibaricus calls (8/40). The three habitats showed differences in reverberation duration, and soundscapes differed in background orthopteran frequencies. Incremental calls probably evolved in the ancestor of the complex, in response to high levels of reverberation and a continuous backdrop of katydid stridulation in dry forest. Secondary evolution of trilling and decreased ear size probably evolved as result of decreased reverberation and higher frequency katydid interference in the P. cocos–P. zanzibaricus ancestor. A loss of short units in P. zanzibaricus probably occurred as result of decreased reverberation in thicket. The study validates the three species of the complex and provides information supporting speciation by sensory drive."
"Phylogeography and evolutionary lineage diversity in the small-eared greater galago, Otolemur garnettii (Primates: Galagidae)","https://scispace.com/paper/BAezYRdAwHsJ","","","","A Penna
R Dillon
SK Bearder","","https://par.nsf.gov/servlets/purl/10647470","… g panganiensis from mainland Tanzania do not constitute two independent lineages. A … studies conducted on the Zanzibar dwarf galago (Paragalago zanzibaricus), a species sympatric …",""
"Climate Change Raises Concerns for the Conservation of the Threatened Mountain Dwarf Galago (Paragalago orinus)","https://scispace.com/paper/De_jG7zoXY4J","","","","E Miller","","https://www.researchgate.net/profile/Evan-Miller-14/publication/392237537_Climate_Change_Raises_Concerns_for_the_Conservation_of_the_Threatened_Mountain_Dwarf_Galago_Paragalago_orinus/links/683a0f34df0e3f544f5c02c3/Climate-Change-Raises-Concerns-for-the-Conservation-of-the-Threatened-Mountain-Dwarf-Galago-Paragalago-orinus.pdf","… And in Tanzania, habitat regions of the Critically Endangered Rondo dwarf galago (Paragalago rondoensis) are expected to increase substantially in average temperature, which will …",""
"Hidden in the dark: A review of galagid systematics and phylogenetics","https://scispace.com/paper/hidden-in-the-dark-a-review-of-galagid-systematics-and-an33f2bfw6","2024","Journal Article","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://par.nsf.gov/servlets/purl/10510328","… In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our … the systematics of the Paragalago zanzibaricus species complex (P. cocos, P. zanzibaricus, and P. …",""
"Weak association between ecological niche divergence and speciation in galagos (Primates: Galagidae)","https://scispace.com/paper/qJBLuNtoeVAJ","","","","E Miller
L Pozzi","","https://www.researchgate.net/profile/Evan-Miller-14/publication/403933685_Weak_association_between_ecological_niche_divergence_and_speciation_in_galagos_Primates_Galagidae/links/69e27e0368c2b872dfd59622/Weak-association-between-ecological-niche-divergence-and-speciation-in-galagos-Primates-Galagidae.pdf","… Niches for Paragalago sister species were more similar than … to unique adaptational diversification processes in the Gulf of … zanzibaricus), processed occurrence data, consisting of …",""
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://link.springer.com/content/pdf/10.1186/1471-2148-14-72.pdf","… Africa, several of the dwarf galago species recognized more … nyasae inland near Lake Malawi; Galagoides zanzibaricus … to infer dates for the diversification of the galagid family. The …","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group."
