"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Geographic barriers and Pleistocene climate change shaped patterns of genetic variation in the Eastern Afromontane biodiversity hotspot","https://scispace.com/paper/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp","2017","Journal Article","Scientific Reports","Mario Mairal
Isabel Sanmartín
Alberto Herrero
Lisa Pokorny
Pablo Vargas
Juan José Aldasoro
Juan José Aldasoro
Marisa Alarcón","10.1038/SREP45749","https://scispace.com/pdf/geographic-barriers-and-pleistocene-climate-change-shaped-1nftfyh4rp.pdf","The Eastern African Afromontane forest is getting increased attention in conservation studies because of its high endemicity levels and shrinking geographic distribution. Phylogeographic studies have found evidence of high levels of genetic variation structured across the Great Rift System. Here, we use the epiphytic plant species Canarina eminii to explore causal explanations for this pattern. Phylogeographic analyses were undertaken using plastid regions and AFLP fragments. Population genetic analyses, Statistical Parsimony, and Bayesian methods were used to infer genetic diversity, genealogical relationships, structure, gene flow barriers, and the spatiotemporal evolution of populations. A strong phylogeographic structure was found, with two reciprocally monophyletic lineages on each side of the Great Rift System, high genetic exclusivity, and restricted gene flow among mountain ranges. We explain this pattern by topographic and ecological changes driven by geological rifting in Eastern Africa. Subsequent genetic structure is attributed to Pleistocene climatic changes, in which sky-islands acted as long-term refuges and cradles of genetic diversity. Our study highlights the importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest.","The importance of climate change and geographic barriers associated with the African Rift System in shaping population genetic patterns, as well as the need to preserve the high levels of exclusive and critically endangered biodiversity harboured by current patches of the Afromontane forest, are highlighted."
"Dispersal to or from an African biodiversity hotspot","https://scispace.com/paper/dispersal-to-or-from-an-african-biodiversity-hotspot-11v619fdks","2009","Journal Article","Molecular Ecology","David C. Blackburn
G. J. Measey","10.1111/J.1365-294X.2009.04156.X","","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution.","Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution, and is compared with contrasting hypotheses of latitudinal range expansion using bayes factors."
"Niche divergence promotes rapid diversification of East African sky island white‐eyes (Aves: Zosteropidae)","https://scispace.com/paper/niche-divergence-promotes-rapid-diversification-of-east-ha66ox8vzd","2014","Journal Article","Molecular Ecology","Siobhan C. Cox
Siobhan C. Cox
Robert Prys-Jones
Jan Christian Habel
Bernard A Amakobe
Julia J. Day","10.1111/MEC.12840","https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.12840","The Eastern Afromontane biodiversity hotspot composed of highly fragmented forested highlands (sky islands) harbours exceptional diversity and endemicity, particularly within birds. To explain their elevated diversity within this region, models founded on niche conservatism have been offered, although detailed phylogeographic studies are limited to a few avian lineages. Here, we focus on the recent songbird genus Zosterops, represented by montane and lowland members, to test the roles of niche conservatism versus niche divergence in the diversification and colonization of East Africa's sky islands. The species-rich white-eyes are a typically homogeneous family with an exceptional colonizing ability, but in contrast to their diversity on oceanic islands, continental diversity is considered depauperate and has been largely neglected. Molecular phylogenetic analysis of ~140 taxa reveals extensive polyphyly among different montane populations of Z. poliogastrus. These larger endemic birds are shown to be more closely related to taxa with divergent habitat types, altitudinal distributions and dispersal abilities than they are to populations of restricted endemics that occur in neighbouring montane forest fragments. This repeated transition between lowland and highland habitats over time demonstrate that diversification of the focal group is explained by niche divergence. Our results also highlight an underestimation of diversity compared to morphological studies that has implications for their taxonomy and conservation. Molecular dating suggests that the spatially extensive African radiation arose exceptionally rapidly (1–2.5 Ma) during the fluctuating Plio-Pleistocene climate, which may have provided the primary driver for lineage diversification.","Molecular dating suggests that the spatially extensive African radiation arose exceptionally rapidly during the fluctuating Plio‐Pleistocene climate, which may have provided the primary driver for lineage diversification."
"Endangered species in small habitat patches can possess high genetic diversity: the case of the Tana River red colobus and mangabey","https://scispace.com/paper/endangered-species-in-small-habitat-patches-can-possess-high-2u72v18myt","2010","Journal Article","Conservation Genetics","David N. M. Mbora
David N. M. Mbora
Mark A. McPeek","10.1007/S10592-010-0065-0","","We used mtDNA sequence data from the Tana River red colobus and mangabey to determine how their population genetic structure was influenced by dispersal and habitat fragmentation. The colobus and mangabey are critically endangered primates endemic to gallery forests in eastern Kenya. The forests are a Pliocene-Pleistocene refugium that has recently undergone significant habitat loss and fragmentation due to human activities. We expected both primates to exhibit low levels of genetic diversity due to elevated genetic drift in their small populations, and to show a strong correspondence between genetic and geographic distance due to disruption of gene flow between forests by habitat fragmentation. Additionally, because mangabey females are philopatric, we expected their mtDNA variation to be homogeneous within forest patches but to be heterogeneous between patches. In contrast, colobus have a female-biased dispersal and so we expected their mtDNA variation to be homogeneous within and between forest patches. We found high levels of haplotype and nucleotide diversity as well as high levels of sequence divergence between haplotype groups in both species. The red colobus had significantly higher genetic variation than the mangabey did. Most of the genetic variation in both primates was found within forest fragments. Although both species showed strong inter-forest patch genetic structure we found no correspondence between genetic and geographic distances for the two primates. We attributed the high genetic diversity to recent high effective population size, and high sequence divergence and strong genetic structures to long-term habitat changes in the landscape.","The red colobus had significantly higher genetic variation than the mangabey did and was attributed to recent high effective population size, and high sequence divergence and strong genetic structures to long-term habitat changes in the landscape."
"Speciation of tropical rainforest primates of Africa: insular biogeography","https://scispace.com/paper/speciation-of-tropical-rainforest-primates-of-africa-insular-3lkx53zxta","1983","Journal Article","African Journal of Ecology","Colin A. Chapman","10.1111/J.1365-2028.1983.TB00329.X","","Summary The climatic fluctuations that occurred throughout the Quaternary resulted repeatedly in the fragmentation of the rainforests of tropical Africa. This fragmentation would have facilitated allopatric speciation in each tropical rainforest refugium. The location and area of the tropical rainforest refugia that existed during the last glacial maximum have been estimated from the analysis of palaeoenvironmental information, present climatic information and the present distribution of tropical rainforest primates. The predictive value of island biogeographical theory is analysed, based upon the present nature of the African rainforest, as well as the hypothetical nature of the rainforest refugia present during the last glacial maximum. The gradual slope of the species area curve indicates that the distribution of primate fauna in the African rainforests does not represent an equilibrium between the rates of colonization and extinction. Resume","The gradual slope of the species area curve indicates that the distribution of primate fauna in the African rainforests does not represent an equilibrium between the rates of colonization and extinction."
"Diversification across an altitudinal gradient in the Tiny Greenbul (Phyllastrephus debilis) from the Eastern Arc Mountains of Africa","https://scispace.com/paper/diversification-across-an-altitudinal-gradient-in-the-tiny-4bf25jvkqg","2011","Journal Article","BMC Evolutionary Biology","Jérôme Fuchs
Jérôme Fuchs
Jérôme Fuchs
Jon Fjeldså
Rauri C. K. Bowie
Rauri C. K. Bowie","10.1186/1471-2148-11-117","https://scispace.com/pdf/diversification-across-an-altitudinal-gradient-in-the-tiny-4bf25jvkqg.pdf","The Eastern Arc Mountains of Africa have become one of the focal systems with which to explore the patterns and mechanisms of diversification among montane species and populations. One unresolved question is the extent to which populations inhabiting montane forest interact with those of adjacent lowland forest abutting the coast of eastern Africa. The Tiny Greenbul (Phyllastephus debilis) represents the only described bird species within the Eastern Arc/coastal forest mosaic, which is polytypic across an altitudinal gradient: the subspecies albigula (green head) is distributed in the montane Usambara and Nguru Mountains whereas the subspecies rabai (grey head) is found in Tanzanian lowland and foothill forest. Using a combination of morphological and genetic data, we aim to establish if the pattern of morphological differentiation in the Tiny Greenbul (Phyllastrephus debilis) is the result of disruptive selection along an altitudinal gradient or a consequence of secondary contact following population expansion of two differentiated lineages. We found significant biometric differences between the lowland (rabai) and montane (albigula) populations in Tanzania. The differences in shape are coupled with discrete differences in the coloration of the underparts. Using multi-locus data gathered from 124 individuals, we show that lowland and montane birds form two distinct genetic lineages. The divergence between the two forms occurred between 2.4 and 3.1 Myrs ago. Our coalescent analyses suggest that limited gene flow, mostly from the subspecies rabai to albigula, is taking place at three mid-altitude localities, where lowland and montane rainforest directly abut. The extent of this introgression appears to be limited and is likely a consequence of the recent expansion of rabai further inland. The clear altitudinal segregation in morphology found within the Tiny Greenbul is the result of secondary contact of two highly differentiated lineages rather than disruptive selection in plumage pattern across an altitudinal gradient. Based on our results, we recommend albigula be elevated to species rank.","It is shown that lowland and montane birds form two distinct genetic lineages, and albigula is recommended to be elevated to species rank based on the results."
"Small Mammals of the Eastern Arc Mountains, Tanzania","https://scispace.com/paper/small-mammals-of-the-eastern-arc-mountains-tanzania-18f5q81qhy","1998","Journal Article","Journal of East African Natural History","William T. Stanley
Philip M. Kihaule
Kim M. Howell
Rainer Hutterer","10.2982/0012-8317(1998)87[91:SMOTEA]2.0.CO;2","https://bioone.org/journals/Journal-of-East-African-Natural-History/volume-87/issue-1/0012-8317(1998)87[91:SMOTEA]2.0.CO;2/Small-Mammals-of-the-Eastern-Arc-Mountains-Tanzania/10.2982/0012-8317(1998)87[91:SMOTEA]2.0.CO;2.pdf","The Eastern Arc Mountains (EAM) contain some of the most biologically diverse and endemic-rich montane ecosystems in all of Africa. Because of the staggering degree of biodiversity, how little we know about the biota of the EAM and the rapid degradation of the remaining montane forests of these mountains, we are studying the natural history and biogeography of the small mammals (shrews and rodents) of this archipelago. We are also interested in specific questions such as the effects of forest fragmentation on and elevational distribution of EAM small mammals. To date we have surveyed the South Pare, East Usambara, West Usambara, Nguru, Uluguru and Udzungwa Mountains. We have documented a rodent fauna that is widespread across the archipelago, although restricted to montane and submontane habitats. Shrew species are much more patchy in distribution with each EAM or subset of mountains holding at least one seemingly endemic species, suggesting that speciation has contributed to the current pattern ...","The Eastern Arc Mountains (EAM) contain some of the most biologically diverse and endemic-rich montane ecosystems in all of Africa as mentioned in this paper, and the authors of this paper are interested in specific questions such as the effects of forest fragmentation on and elevational distribution of EAM small mammals."
"Climate Cycles, Habitat Stability, and Lineage Diversification in an African Biodiversity Hotspot","https://scispace.com/paper/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r","2023","Journal Article","Diversity","Rauri C. K. Bowie
William B. Monahan
Jon Fjeldså","10.3390/d15030394","https://scispace.com/pdf/climate-cycles-habitat-stability-and-lineage-diversification-3u9d3p5r.pdf","The Eastern Arc Mountains of Tanzania and Kenya, a montane archipelago of 13 uplifted fault blocks (sky islands) isolated by lowland arid savanna, are a center of exceptional biological endemism. Under the influence of humid winds from the Indian Ocean, forests and associated species may have persisted in this region since the final uplift of these blocks in the late Miocene. Today, these mountains are inhabited by a remarkable diversity of bird species. To better understand the evolutionary processes behind this diversity, we combined molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests. Across its largest lowland barrier, the 125 km between the Usambara and Nguru/Nguu Mountains, 10 of the 14 bird lineages exhibited a phylogeographic break. Using Bayesian methods, we established that at least three periods of forest contraction and expansion affected the diversification of Eastern Arc birds. Habitat distribution models suggest that lower-elevation hills may have acted as stepping-stones connecting isolated highlands to allow for the dispersal of montane forest-dependent species across them. Periods of vicariance during paleoclimatic cycles extending back through the Last Glacial Maximum would have then isolated these populations within the highlands they had reached. The broad distribution of neoendemic species across the mountains of East Africa provides evidence of climate cycling as a driver of lineage diversification. The high incidence of narrow-range endemism of paleoendemic species on the Usambara, Uluguru, and Udzungwa Mountains of this region is harder to explain. Our paleoclimate models retrodicted the persistence of montane forest during climate cycles on several Eastern Arc sky islands but not on the Southern Tanzania Volcanic Highlands. Consistent with recent theoretical work, different rates of local extinction rather than increased rates of lineage diversification may explain the pattern of excessive narrow-range endemism on some sky islands over others. Thus, a regional filtering effect is generated, with paleoendemics maintaining populations through time only in areas where habitat persisted, providing a credible explanation for the dramatic variance in levels of endemism among different East African sky islands.","In this paper , the evolutionary processes behind the diversity of birds in the Eastern Arc Mountains of Tanzania and Kenya were investigated using molecular phylogenetic studies of East African montane birds with paleoclimate modeling of its montane forests, and it was shown that three periods of forest contraction and expansion affected the diversification of Eastern Arc birds."
"Impact of habitat fragmentation on the spatial structure of the Eastern Arc forests in East Africa: implications for biodiversity conservation","https://scispace.com/paper/impact-of-habitat-fragmentation-on-the-spatial-structure-of-2qe0ebznxe","2018","Journal Article","Biodiversity and Conservation","William D. Newmark
Phoebe B. McNeally","10.1007/S10531-018-1498-X","","The Eastern Arc Mountains in Tanzania and Kenya are one of 35 global biodiversity hotspots. The Eastern Arc forests are, as are many other tropical biodiversity hotspots, highly fragmented. Understanding the impact of habitat fragmentation (i.e., habitat loss and subdivision) on the spatial structure of the Eastern Arc forests is important because forest spatial structure highly influences species richness, persistence, and extinction debt. Here we examine the impact of habitat fragmentation on the spatial structure of the Eastern Arc forests at a patch scale using very high resolution aerial imagery having a spatial resolution of 0.5–1.5 m. Forest area across the 13 Eastern Arc Mountains is 405,852 ha and is distributed into 311 fragments ≥ 10 ha in size with a median fragment size of 84 ha. The 18 largest forest fragments in the Eastern Arc Mountains contain greater than three-quarters of total forest area. Average fragment isolation, as assessed by median distance to nearest fragment and median distance to the nearest larger fragment, is 867 and 1533 m, respectively. Of total forest area, 14% is < 100 m from the forest edge and 33% is < 300 m from the forest edge. Establishing forested linkages among the largest and closest forest fragments through forest regeneration and protection of secondary regenerating forest as well as providing protected area status to the remaining non-protected forest including unprotected smaller forest fragments are important to enhancing the long-term persistence of many plant and animal species here.","In this paper, the authors examined the impact of habitat fragmentation on the spatial structure of the Eastern Arc forests at a patch scale using very high resolution aerial imagery having a spatial resolution of 0.5-1.5m."
"Phylogeny, phylogeography, and geographic variation of Sylvisorex howelli (Soricidae), an endemic shrew of the Eastern Arc Mountains, Tanzania","https://scispace.com/paper/phylogeny-phylogeography-and-geographic-variation-of-1tx2ynukhv","2005","Journal Article","Journal of Zoology","William T. Stanley
Link E. Olson","10.1017/S0952836905007016","","The Eastern Arc Mountains of eastern Africa are notable for the high levels of endemism exhibited by various forest-dwelling organisms of this ancient montane archipelago. There has been virtually no assessment of the variation among populations of small mammal species living on these unique mountains, but recent faunal surveys have produced sufficient material to initiate such studies. Cranial morphometric and DNA sequence data were examined from six populations of Sylvisorex howelli Jenkins, 1984, an endemic shrew found in several different massifs of the Eastern Arc Mountains, to assess variation across the archipelago in the context of various hypotheses of historical biogeography. Twenty-two cranial measurements were analysed using principal components analysis. Age classes (based on tooth wear) and sex had little effect on the variation exhibited by the variables studied. Overall, specimens of S. howelli from the East Usambara Mountains are smaller than specimens from other known populations. The mitochondrial ND2 and 12S rRNA genes from representatives of each montane population of S. howelli in addition to several crocidurine taxa from eastern Africa and three soricine outgroup species were sequenced to assess phylogenetic relationships among these taxa. Neither maximum likelihood, maximum parsimony, nor Bayesian analyses support monophyly of the genus Sylvisorex, but S. howelli populations were consistently recovered as a well-supported clade. Over 40 individuals of S. howelli from six disjunct montane ranges, comprising the entire known distribution of the species, were sequenced for 504 base pairs of ND2 to investigate phylogeographic patterns. Phylogenetic analysis recovered six reciprocally monophyletic haplotype clades grouped by locality. Branch lengths are consistent with relatively long periods of isolation among populations from the Uluguru, Ukaguru, Nguru, Nguu, East Usambara and West Usambara Mountains, with low levels of diversity observed within each population. These results are interpreted within the historical context of the Eastern Arc Mountains.","Neither maximum likelihood, maximum parsimony, nor Bayesian analyses support monophyly of the genus Sylvisorex, but S. howelli populations were consistently recovered as a well-supported clade, and specimens from the East Usambara Mountains are smaller than specimens from other known populations."
