"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Primates on Mt. Kasigau, Kaya Rabai, and along the Tana River, Kenya: Preparing for Red List Assessments and Conservation Action","https://scispace.com/paper/butynski-and-box-primates-on-mt-kasigau-kaya-rabai-and-along-0spcxx9z","2004","","","Thomas M. Butynski
Yvonne A. de Jong","","https://scispace.com/records/butynski-and-box-primates-on-mt-kasigau-kaya-rabai-and-along-0spcxx9z","1. Introduction & Background:
 Primates are an especially important taxonomic group for the focus of conservation actions in the ""Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya Biodiversity Hotspot"" (EACF Hotspot). The EACF Hotspot supports no fewer than nine endemic species and five endemic (or near-endemic) subspecies of primates.

2. Introduction & Background:
 Indeed, the endemic and highly threatened primates have been highly instrumental in bringing the biological importance and plight of the Eastern Arc Mountains and the coastal forests of East Africa to the attention of the conservation community over the past 20 years.","The Kenya coast galago Galagoides cocos is a recently designated species, and one with a complicated history of binomial and trinomial name changes, and synonymy. This article provides a summary review of these name changes. The upgrading of Galagoides zanzibaricus cocos to a species is based primarily upon the great difference recently found between the species-specific loud call of lesser galagos at Diani, Kenya (that were assumed to be G. cocos but for which identity needed confirmation), and the loud call of the nominotypical Zanzibar galago G. zanzibaricus zanzibaricus. The loud call of C. cocos at the type locality, Mazeras, remained unknown. Diani and Mazeras are ca. 40 km apart. Here we confirm that the loud call of G. cocos at Mazeras is the same as that for the lesser galago at Diani. In short the lesser galagos at these two localities are conspecific. As such, the name 'cocos' is the correct name to apply to the Kenya coastal galago."
"The biological importance of the Eastern Arc Mountains of Tanzania and Kenya","https://scispace.com/paper/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","2006","","Biological Conservation","N.D. Burgess
T.M. Butynski
N.J. Cordeiro
N.H. Doggart
J. Fjeldså
K.M. Howell
F.B. Kilahama
S.P. Loader
J.C. Lovett
B. Mbilinyi
M. Menegon
D.C. Moyer
E. Nashanda
A. Perkin
F. Rovero
W.T. Stanley
S.N. Stuart","10.1016/j.biocon.2006.08.015","https://scispace.com/records/burgess-et-al-2007-the-biological-importance-of-the-eastern-vxejtyx3","1. Introduction:
 The Eastern Arc is also home to four endemic or near-endemic species of primates -the Sanje Mangabey Cercocebus sanjei, Iringa Red Colobus Procolobus gordonorum, the Mountain Galago Galagoides orinus and the new Kipunji monkey Rungwecebus kipunji that is the sole representative of its genus  -and most of the known species of African violet -Saintpaulia spp.

2. Introduction:
 These and other data have been used in several global analyses of biodiversity priority to show that the Eastern Arc Mountains rank among the most important areas of the world for the conservation of endemic birds , endemic plants , and a combined set of taxonomic groups .

3. The Arc is as a centre of speciation:
 One of the possible explanations for the high number of endemics in the Eastern Arc is that the area has had elevated rates of speciation in situ. .","The Eastern Arc Mountains are renown in Africa for high concentrations of endemic species of animals and plants. Thirteen separate mountain blocks comprise the Eastern Arc, supporting around 3300 km² of sub-montane, montane and upper montane forest, less than 30% of the estimated original forested area. At least 96 vertebrate species are endemic, split as follows: 10 mammal, 19 bird, 29 reptile and 38 amphibian species. This includes four endemic or nearly endemic species of primate – the Sanje Mangabey, the Iringa Red Colobus, the Mountain Galago and the new Kipunji monkey that forms its own monotypic genus. A further 71 vertebrate species are near-endemic. At least 800 vascular plant species are endemic, almost 10% of these being trees. These endemics include the majority of the species of African violet – Saintpaulia, a well-known flowering plant in Western households. An additional 32 species of bryophytes are also endemic. Many hundreds of invertebrates are also likely to be endemic, with data for butterflies, millipedes and dragonflies indicating potential trends in importance. Seventy-one of the endemic or near-endemic vertebrates are threatened by extinction (8 critical, 27 endangered, 36 vulnerable), with an additional seven wide ranging threatened species. Hundreds of plant species are also threatened."
"Dispersal to or from an African biodiversity hotspot?","https://scispace.com/paper/blackburn-and-measey-2009-dispersal-to-or-from-an-african-463lwhsu","2009","","Molecular Ecology","D. C. Blackburn
G. J. Measey","10.1111/j.1365-294X.2009.04156.x","https://scispace.com/records/blackburn-and-measey-2009-dispersal-to-or-from-an-african-463lwhsu","1. Discussion:
 Appropriate phylogeographic evidence for evaluating the 'speciation pump' hypothesis , including the relative importance of the Eastern Arc in the origin of East African biodiversity, is currently available for very few species.

2. Introduction:
 To date, molecular phylogenetics has played only a limited role in the identification of new species or evolutionarily significant units within species in the Eastern Arc (e.g. .

3. Introduction:
 Previous work indicates that the Eastern Arc is both a centre of endemism and a historically important centre of diversification . This suggests that the combination of geological and climatic processes underlying species diversity in this hotspot have functioned as a 'speciation pump' (sensu Terborgh 1992; e.g. ).","Biodiversity hotspots are centres of endemism and thus contain many range-restricted species. In addition, within these hotspots occur widespread species that might have originated within a hotspot before dispersing to neighbouring or distant regions. We test this hypothesis with a phylogeographic analysis of a miniature leaf litter frog, Arthroleptis xenodactyloides, that has a large distribution throughout the Eastern Arc biodiversity hotspot and other regions in East Africa. Maximum-likelihood and Bayesian estimates of the mitochondrial gene phylogeny are used as a proxy for understanding the evolutionary history of diversification and the historical relationships between populations. The north-south range of this species extends for approximately 1900 km; our sampling covers approximately 85% of this range. Using phylogenetic comparative methods, we estimate the region of origin and direction of dispersal within A. xenodactyloides. We compare contrasting hypotheses of latitudinal range expansion using bayes factors. The ancestral region of origin of A. xenodactyloides is reconstructed as having occurred within the Eastern Arc before dispersing southwards into the southern Rift Mountains, probably in the Pleistocene. The phylogeographic structure within this leaf litter frog is surprisingly similar to that of forest birds, revealing that similar geographic features might have had a driving role in diversification of these very dissimilar taxa. Latitudinal expansion occurred early in the evolutionary history of A. xenodactyloides, which may indicate that physiological adaptation facilitated its wide geographic distribution."
"Conservation priorities for the forests of the Udzungwa Mountains, Tanzania, based on primates, duikers and birds","https://scispace.com/paper/dinesen-et-al-2001-conservation-priorities-for-the-forests-p6qoz4tp","2000","","Biological Conservation","Lars Dinesen
Thomas Lehmberg
Marcel C. Rahner
Jon Fjeldså","","https://scispace.com/records/dinesen-et-al-2001-conservation-priorities-for-the-forests-p6qoz4tp","1. Introduction:
 The Eastern Arc Mountains have probably supported humid forest throughout the Pleistocene, and this favoured recent speciation as well as persistence of old relict taxa . The area is known for its high level of endemism in many taxonomic groups .","Results are presented from 14 surveys in the Udzungwa Mountains, Tanzania. Forest fragments are ranked by occurrence of key species of primates, duikers and birds. Taken together, the West Kilombero Scarp forests, Mwanihana and Udzungwa Scarp have presumably viable populations of four Udzungwa endemics with the following total population estimates: Udzungwa colobus (Procolobus badius gordonorum 15,400), Sanje mangabey (Cercocebus galeritus sanjei 1350), Udzungwa forest partridge (Xenoperdix udzungwensis 3700) and rufous-winged sunbird (Nectarinia rufipennis 6850). The mountains are also strongholds for Swynnerton's robin (Swynnertonia swynnertoni), Iringa akalat (Sheppardia lowei), dapple-throat (Arcanator orostruthus), white-winged apalis (Apalis chariessa), Usambara weaver (Ploceus nicolli), and for Abbott's duiker (Cephalophus spadix). Appropriate village based conservation measures need to address questions about sustainable forest use, hunting and possibilities for forest regeneration in large tracts of fire-maintained grasslands. © 2001 Elsevier Science Ltd. All rights reserved."
"Changing places: how the results of new field work in the Rubeho Mountains influence conservation priorities in the Eastern Arc Mountains of Tanzania","https://scispace.com/paper/doggart-et-al-2006-changing-places-how-the-results-of-new-x45qc3z0","2006","","East African Wild Life Society, Afr. J. Ecol.","Nike Doggart
Andrew Perkin
Jacob Kiure
Jon Fjeldså
John Poynton
Neil Burgess","","https://scispace.com/records/doggart-et-al-2006-changing-places-how-the-results-of-new-x45qc3z0","1. Analysis:
 We used the vertebrate data collected in the Rubeho Mountains to update analyses of biodiversity priorities in the Eastern Arc Mountains.

2. Introduction:
 Differences in research effort across the thirteen Eastern Arc Mountains were recently clarified in a published bibliography of biodiversity research in the region . The Rubehos ranks third from bottom in this list in terms of research effort.

3. Introduction:
 The habitats of the Eastern Arc Mountains support a high concentration of endemic species . As a result of this exceptional endemism, these mountains have been identified as a priority region for the conservation of biodiversity in several global conservation prioritization exercises .","The Rubeho Mountains are a poorly studied mountain block within the Eastern Arc Mountain range of Tanzania and Kenya. We present the results of field surveys for vertebrates undertaken during the period February 2000 to December 2002. One hundred and twelve man-days of surveys recorded 35 mammal, 107 bird, ten reptile and nine amphibian species, including eleven species endemic and seven near-endemic to the Eastern Arc, with one species new to science. Of these, nine species are regarded as threatened with extinction. The new survey data significantly elevate the biological importance of the Rubehos within the Eastern Arc range. Further analyses highlight how the overall bio-logical ranking of the Eastern Arc mountain blocks is correlated with survey effort. The majority of the forest habitat on the Rubehos is contained in three national (Central Government) Forest Reserves (Mang'alisa, Mafwomero and Ukwiva). Our surveys recorded high levels of disturbance to the forest habitat in all three reserves and we draw attention to the need for additional conservation investment in this area."
"The forest batis, Batis mixta, is two species: description of a new, narrowly distributed Batis species in the Eastern Arc biodiversity hotspot","https://scispace.com/paper/fjeldsa-et-al-2006-the-forest-batis-batis-mixta-is-two-lud7aams","2006","","J Ornithol","Jon Fjeldså
Rauri C. K. Bowie
Jacob Kiure","10.1007/s10336-006-0082-4","https://scispace.com/records/fjeldsa-et-al-2006-the-forest-batis-batis-mixta-is-two-lud7aams","1. Molecular methods:
 Fig.  The Eastern Arc Mountains form a chain of isolated ancient montane fault-blocks across the savannah plains of Tanzania, flanked to the north and south by younger volcanic mountains.

2. Discussion:
 The Eastern Arc Mountains and adjacent coastal zone are under a constant climatic influence from the Indian Ocean  and seem to be a centre of diversification, or ''species pump'', as populations of different phylogenetic ages could persist in suitable places, and could eventually disperse and enrich the regional biota .","The forest batis, Batis mixta, is a common bird of the forests of the Eastern Arc Mountains of Tanzania and in some adjacent montane and coastal forests. Through new collecting efforts in most of this range we documented a well-marked change in morphology in the middle of the range. Supplementary genetic studies of the historical population structure suggest connectivity among the south-western and northern/coastal populations, but not between these parapatric groups. It is concluded that two species are involved, and a new name B. crypta is proposed for the south-western populations. A marked genetic break also exists towards B. capensis sola in northern Malawi. The morphologically distinctive form reichenowi in south-eastern Tanzania is genetically nested within B. mixta, and for now we keep it as a subspecies of B. mixta."
"Ecosystem Profile: Eastern Arc Mountains & Coastal Forests of Tanzania & Kenya","https://scispace.com/paper/2005cepfeasternarccoastalreport-wvu9noiy","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2005cepfeasternarccoastalreport-wvu9noiy","1. CONCLUSION:
 The biological importance of the Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya is well recognized. There have been a considerable number of biodiversity investigations and conservation efforts in this hotspot during the last three decades. Despite this investment, there are significant gaps in our biological knowledge.

2. INTRODUCTION:
 The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots. It qualifies by virtue of its high endemicity and a severe degree of threat.

3. BACKGROUND:
 Current concerns for the conservation of the Eastern Arc Mountains date back to the 1978 Fourth East African Wildlife Symposium at Arusha. The conference was attended by 150 delegates, most of whom were not especially interested in forest conservation.","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"ECOSYSTEM PROFILE: EASTERN ARC MOUNTAINS & COASTAL FORESTS OF TANZANIA & KENYA","https://scispace.com/paper/2003ecosystemprofiletanzaniakenya-n5klb7ny","2003","","Critical Ecosystem Partnership Fund","Neil Burgess
Tom Butynski
Ian Gordon
Quentin Luke
Peter Sumbi
John Watkin","","https://scispace.com/records/2003ecosystemprofiletanzaniakenya-n5klb7ny","1. CONCLUSION:
 The biological importance of the Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya is well recognized. There have been a considerable number of biodiversity investigations and conservation efforts in this hotspot during the last three decades. Despite this investment, there are significant gaps in our biological knowledge.

2. Biodiversity in the Eastern Arc Mountains:
 Biogeographical affinities indicate ancient connections to Madagascar (45 species of bryophytes shared) (Pocs 1998), West Africa (many birds and plant genera) ) and even Southeast Asia (where close relatives of the Udzungwa forest partridge and the African tailorbird are found) .

3. BACKGROUND:
 Current concerns for the conservation of the Eastern Arc Mountains date back to the 1978 Fourth East African Wildlife Symposium at Arusha. The conference was attended by 150 delegates, most of whom were not especially interested in forest conservation.","The Critical Ecosystem Partnership Fund (CEPF) is designed to safeguard the world's threatened biodiversity hotspots in developing countries. It is a joint initiative of Conservation International (CI), the Global Environment Facility (GEF), the Government of Japan, the MacArthur Foundation and the World Bank. CEPF supports projects in hotspots, the biologically richest and most endangered areas on Earth. A fundamental purpose of CEPF is to ensure that civil society is engaged in efforts to conserve biodiversity in the hotspots. An additional purpose is to ensure that those efforts complement existing strategies and frameworks established by local, regional and national governments. CEPF aims to promote working alliances among community groups, nongovernmental organizations (NGOs), government, academic institutions and the private sector, combining unique capacities and eliminating duplication of efforts for a comprehensive approach to conservation. CEPF is unique among funding mechanisms in that it focuses on biological areas rather than political boundaries and examines conservation threats on a corridor-wide basis to identify and support a regional, rather than a national, approach to achieving conservation outcomes. Corridors are determined through a process of identifying important species, site and corridor-level conservation outcomes for the hotspot. CEPF targets transboundary cooperation when areas rich in biological value straddle national borders, or in areas where a regional approach will be more effective than a national approach. The Eastern Arc Mountains and Coastal Forests of Tanzania and Kenya hotspot (hereafter referred to as the Eastern Arc Mountains and Coastal Forests hotspot) is one of the smallest of the 25 global biodiversity hotspots.¹ It qualifies by virtue of its high endemicity and a severe degree of threat. Although the hotspot ranks low compared to other hotspots in total numbers of endemic species, it ranks first among the 25 hotspots in the number of endemic plant and vertebrate species per unit area (Myers et al. 2000). It also shows a high degree of congruence for plants and vertebrates. It is also considered as the hotspot most likely to suffer the most plant and vertebrate extinction for a given loss of habitat and as one of 11 “hyperhot” priorities for conservation investment (Brooks et al. 2002). The purpose of the ecosystem profile is to provide an overview of biodiversity values, conservation targets or “outcomes,” the causes of biodiversity loss and current conservation investments in a particular hotspot. Its purpose is to identify the niche where CEPF investments can provide the greatest incremental value. The ecosystem profile recommends strategic opportunities, called “strategic funding directions.” Civil society organizations then propose projects and actions that fit into these strategic directions and contribute to the conservation of biodiversity in the hotspot. Applicants propose specific projects consistent with these funding directions and investment criteria. The ecosystem profile does not define the specific activities that prospective implementers may propose, but outlines the conservation strategy that guides those activities. Applicants for CEPF grants are required to prepare detailed proposals identifying and describing the interventions and performance indicators that will be used to evaluate the success of the project."
"A new species of Congosorex from the Eastern Arc Mountains, Tanzania, with significant biogeographical implications","https://scispace.com/paper/stanley-et-al-2005-a-new-species-of-congosorex-from-the-matrna1w","2004","","J. Zool., Lond.","W. T. Stanley
M. A. Rogers
R. Hutterer","10.1017/S0952836904006314","https://scispace.com/records/stanley-et-al-2005-a-new-species-of-congosorex-from-the-matrna1w","1. INTRODUCTION:
 The Eastern Arc Mountains are a chain of ancient crystalline mountains extending from south-eastern Kenya to southern Tanzania and have been the subject of several biotic surveys because of the high level of endemism exhibited by organisms occurring in the forests of this area .

2. Keywords: Congosorex, shrews, Eastern Arc Mountains, Tanzania, biogeography

3. DISCUSSION:
 The Eastern Arc Mountains are renowned for the high level of endemism exhibited by the flora and fauna that occur in the forests of this montane archipelago . Several of these taxa are representatives of old lineages whose closest relatives are geographically very distant .","A new species of Congosorex is described. The new species occurs in Tanzania and is larger in external characteristics than the other two known species in the genus, with the longer tail being especially distinctive. The skull of the new species is wider, on average, than other Congosorex, but intermediate in greatest length. Previously undocumented characteristics that differentiate Congosorex from Myosorex are described. The presence of Congosorex in the Eastern Arc Mountains supports the theory that these mountains are refuges of ancient lineages of organisms with ties to the Guineo-Congolian region of Africa and that there was once a continuous swath of forest connecting these two areas."
"Changes in tropical forest vegetation along an altitudinal gradient in the Udzungwa Mountains National Park, Tanzania","https://scispace.com/paper/lovett-et-al-2006-changes-in-tropical-forest-vegetation-49uu458b","2006","","African Journal of Ecology","Jon C. Lovett
Andrew R. Marshall
Jeff Carr","10.1111/j.1365-2028.2006.00660.x","https://scispace.com/records/lovett-et-al-2006-changes-in-tropical-forest-vegetation-49uu458b","1. Study area:
 The biological importance of the southern part of the Eastern Arc was recognized following discovery of a new primate species in the Udzungwa mountains and a proposal put forward for establishment of a national park .","This study describes changes in woody vegetation in the Mwanihana forest, Udzungwa Mountains National Park, Tanzania, over an altitude range of 470–1700 m. Two methods, fixed- and variable-area plots, are compared to elucidate altitudinal variation in tropical forest structure, diversity and community composition. Six 25 m × 100 m fixed area plots recorded a total of 2143 woody stems of ≥3 cm d.b.h. from 204 species. The 78 variable-area plots recorded the nearest twenty trees of ≥20 cm d.b.h. to an objectively chosen point, giving a total of 1560 stems in 9.1 ha from 156 species. A linear trend of increasing stem density with altitude was seen for variable-area plots. Species diversity is highest at high elevations. There was no clear zonation of elevational vegetation types. Restricted range taxa occur at all altitudes sampled. The study also revealed some methodological considerations. Bias in sample size and plot area can be tested by employing two sampling methods. Of the two methods used, fixed area plots are preferred as variable area plots are impractical in tangled understorey. Plot size must be controlled for in order to make reliable observations of diversity. Sampling along a continuous or near-continuous altitudinal gradient with sufficient replication is also important."
