"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://www.wildsolutions.nl/wp-content/uploads/Three-Galagoides-Butynski-et-al-2006.pdf","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://www.wildsolutions.nl/wp-content/uploads/Three-Galagoides-Butynski-et-al-2006.pdf","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Comparative penile morphology of East African galagos (Family Galagidae): Implications for taxonomy","https://scispace.com/paper/5HVVM87Q","","Journal Article","","","","https://www.zotero.org/johankarlssonk9/items/5HVVM87Q/attachment/EC36SEUT/reader",""
"EASTERN AFRICAN COASTAL FORESTS","https://scispace.com/paper/Q4U347YQ","","Journal Article","","Amanda Younge","","https://www.zotero.org/johankarlssonk9/items/Q4U347YQ/attachment/EQ2JSZTI/reader",""
"Biogeographic patterns of the East African coastal forest vertebrate fauna","https://scispace.com/paper/biogeographic-patterns-of-the-east-african-coastal-forest-33hd3t8cvx","4/2007","Journal Article","Biodiversity and Conservation","Ermias T. Azeria
Isabel Sanmartín
Stefan Ås
Allan Carlson
Neil Burgess","10.1007/s10531-006-9022-0","https://www.zotero.org/johankarlssonk9/items/GRULFPA7/attachment/CL8LAILN/reader","The archipelago-like coastal forest of East Africa is one of the highest priority ecosystems for biodiversity conservation worldwide. Here we investigate patterns of species richness and biogeographic distribution among birds, mammals and reptiles of these forests, using distribution data obtained from recently published reviews and information collated by the WWF Eastern Africa Coastal Forest Ecoregion Programme. Birds and mammals species were divided into forest specialists and generalists, and forest specialist reptiles into ‘coastal’ and ‘forest’ endemics. The species richness of birds and generalist mammals increased with area, and is probably a result of area-dependent extinction. Only in birds, however, species richness increased with decreasing isolation, suggesting possible isolation-dependent colonization. Forest diversity, associated to altitudinal range, is important for specialist birds and mammals, whose species richness increased with wider altitudinal range. The number of relict coastal endemic and forest endemic reptiles was higher in forests with wider altitudinal ranges and on relatively higher altitude, respectively. Such forests have probably provided a suitable (and perhaps stable) environment for these species through time, thus increasing their persistence. Parsimony analysis of distributions (PAD) and cluster analyses showed geographical distance and general ecological similarity among forests as a determinant factor in bird distribution patterns, with compositional similarity decreasing with increasing inter-forest distance. Compositional similarity patterns of mammals among the forests did not show a strong geographical correspondence or a significant correlation with inter-forest distance, and those of reptiles were not resolved, with very low similarity levels among forest faunas. Our results suggest that the relative importance (and causal relationship) of forest attributes affecting the distribution of the East African coastal forest vertebrate fauna varies depending on life history traits such as dispersal ability and forest specialization. The groupings in PAD are partly congruent with some of the previous classifications of areas of endemism for this region, supporting the ‘naturalness’ of these regions."
"Conserving biodiversity in East African forests: a study of the Eastern Arc Mountains ; with 31 tables","https://scispace.com/paper/YJSHCBS5","2002","Book","","William D. Newmark
William Dubois Newmark","","https://www.zotero.org/johankarlssonk9/items/YJSHCBS5/attachment/2X5PV7X8/reader",""
"Coastal forests of eastern Africa: status, endemism patterns and their potential causes","https://scispace.com/paper/coastal-forests-of-eastern-africa-status-endemism-patterns-5a6b1762ew","07/1998","Journal Article","Biological Journal of The Linnean Society","N. D. Burgess
G. P. Clarke
W. A. Rodgers","10.1111/j.1095-8312.1998.tb00337.x","https://www.zotero.org/johankarlssonk9/items/J96KFH8K/attachment/TZN3527N/reader","Eastern African coastal forests are located within the Swahili regional centre of endemism and Swahili-Maputaland regional transition zone in eastern Africa, between 1° North and 25° South, and 34–41° East. Approximately 3167 km 2 coastal forest remains: 2 km 2 in Somalia, 660 km 2 in Kenya, 697 km 2 in Tanzania, 16 km 2 in Malawi, 3 km 2 in Zimbabwe and perhaps 1790 km 2 in Mozambique. Most forests are small (≤20 km 2 ), and all but 19 are under 30 km 2 in area. Over 80% of coastal forest is located on government land, principally Forest Reserves; only 8.3 km 2 is found in National Parks (6.2 km 2 in Kenya (Arabuko-Sokoke), 2 km 2 in Tanzania (Mafia Island) and tiny patches in Zimbabwe). Coastal forests are an important and highly threatened centre of endemism for plants ( c 550 endemic species), mammals (6 species), birds (9 species), reptiles (26 species), frogs (2 species), butterflies (79 species), snails (>86 species) and millipedes (>>20 species). Endemic species are concentrated in the forests of the Tana River, between Malindi in Kenya to Tanga in northern Tanzania, and in southern Tanzania. Forests with highest numbers of endemics are: lower Tana River, Arabuko-Sokoke, Shimba Hills (Kenya); lowland East Usambara, Pugu Hills, Matumbi Hills, Rondo and Litipo and other plateaux near Lindi (Tanzania); the Tanzanian offshore island of Pemba; Bazaruto archipelago (Mozambique), and tiny forest remnants of southern Malawi, eastern Zimbabwe and Mozambique. Most coastal forest endemics have a narrow distributional range, often exhibiting single-site endemism or with scattered or disjunct distributional patterns. They are best interpreted as relicts and not the result of recent evolution. Relictualization probably started with the separation of the ancient Pan African rainforest into two parts during the Miocene. The coastal forests are interpreted as a «vanishing refuge» with the endemic species gradually becoming more and more relict (and presumably extinct) due historically to climatic desiccation and more recently to human destruction."
"Comparative penile morphology of East African galagos of the genus <i>Galagoides</i> (family Galagidae): implications for taxonomy","https://scispace.com/paper/EYA9YKSR","01/2007","Journal Article","American Journal of Primatology","Andrew Perkin","10.1002/ajp.20323","https://www.zotero.org/johankarlssonk9/items/EYA9YKSR/attachment/SIQCT3EZ/reader","Abstract
            
              Recent studies on the comparative penile morphology of galagos have revealed complex patterns that vary among both genera and species, and help with species identification. So far the penile morphologies of 14 galago species have been described and an identification key has been proposed. The present study extends and revises previous work. Wild
              Galagoides cocos, G. granti, G. zanzibaricus
              and
              G. rondoensis
              from the Eastern Arc Mountains and coastal forests of Tanzania and Kenya were live‐trapped, and one species (
              G. orinus
              ) was examined using a museum specimen. Penile morphology was photographed, traced, and described qualitatively. All of the mature males had penile spines. Spines were absent or indistinct in immature males of all of the species. The penile morphologies of
              G. cocos, G. granti
              , and
              G. zanzibaricus
              are similar in their overall distribution and type of spines, but differ in the shape of the glans penis. Both
              G. orinus
              and
              G. rondoensis
              have divergent penile morphologies compared to all other galagos, and are probably phylogenetically distinct. The results support other recent morphological and behavioral studies that consider these five galagos to be distinct species. The evolution of the baculum and spines is thought to be linked to sexual selection in multimale mating systems, but the mechanisms involved are not entirely understood. Adult male
              G. rondoensis
              appear to display the penile spines by exposing the distal section of the penis. Am. J. Primatol. 68:16–26, 2007. © 2006 Wiley‐Liss, Inc."
"Globally threatened biodiversity of the eastern arc mountains and coastal forests of kenya and tanzania journal of east african natural history","https://scispace.com/paper/globally-threatened-biodiversity-of-the-eastern-arc-1apxdekmxn","2016","Document","Journal of East African Natural History","Gereau et al. 2016","10.2982/028.105.0104","https://scispace.com/pdf/globally-threatened-biodiversity-of-the-eastern-arc-1apxdekmxn.pdf","We present an account of the 909 globally threatened taxa (793 species, 74 subspecies, 42 varieties) of animals and plants in the Eastern Arc Mountains and Coastal Forests of Kenya and Tanzania and the sites in which they occur based upon a review of the 2015 IUCN Red List of Threatened Species. Results for animals are summarised by Class (Amphibia, Aves, Gastropoda, Insecta, Malacostraca, Mammalia, Reptilia) and presented for plants as a whole (Classes Bryopsida, Cycadopsida, Jungermanniopsida, Liliopsida, Lycopodiopsida, Magnoliopsida, Pinopsida, Polypodiopsida). We analyse the status of previously known and newly identified sites in which globally threatened biodiversity occurs and summarise the current state of research on the globally threatened and ecologically critical biodiversity of the EACF. We then provide recommendations for future research, environmental regulations, and management regimes based upon comprehensive and reliable data to ensure the continued survival of the EACF's biodi..."
"Climatic history and forest distribution in eastern Africa","https://scispace.com/paper/EXBMPYPB","1993","Book Section","","Jon C. Lovett
Jon C. Lovett
Steven K. Wasser","","",""
