"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"The structure of biodiversity – insights from molecular phylogeography","https://scispace.com/paper/JQQF8K3T","2004","Journal Article","Frontiers in Zoology","Godfrey M Hewitt","10.1186/1742-9994-1-4","https://www.zotero.org/johankarlssonk9/items/JQQF8K3T/attachment/5PE8YGLW/reader","DNA techniques, analytical methods and palaeoclimatic studies are greatly advancing our knowledge of the global distribution of genetic diversity, and how it evolved. Such phylogeographic studies are reviewed from Arctic, Temperate and Tropical regions, seeking commonalities of cause in the resulting genetic patterns. The genetic diversity is differently patterned within and among regions and biomes, and is related to their histories of climatic changes. This has major implications for conservation science."
"Phylogeography’s past, present, and future: 10 years after Avise, 2000","https://scispace.com/paper/XV8I4RRX","01/2010","Journal Article","Molecular Phylogenetics and Evolution","M.J. Hickerson
B.C. Carstens
J. Cavender-Bares
K.A. Crandall
C.H. Graham
J.B. Johnson
L. Rissler
P.F. Victoriano
A.D. Yoder","10.1016/j.ympev.2009.09.016","https://www.zotero.org/johankarlssonk9/items/XV8I4RRX/attachment/NSMK6J76/reader","Approximately 20 years ago, Avise and colleagues proposed the integration of phylogenetics and population genetics for investigating the connection between micro- and macroevolutionary phenomena. The new ﬁeld was termed phylogeography. Since the naming of the ﬁeld, the statistical rigor of phylogeography has increased, in large part due to concurrent advances in coalescent theory which enabled model-based parameter estimation and hypothesis testing. The next phase will involve phylogeography increasingly becoming the integrative and comparative multi-taxon endeavor that it was originally conceived to be. This exciting convergence will likely involve combining spatially-explicit multiple taxon coalescent models, genomic studies of natural selection, ecological niche modeling, studies of ecological speciation, community assembly and functional trait evolution. This ambitious synthesis will allow us to determine the causal links between geography, climate change, ecological interactions and the evolution and composition of taxa across whole communities and assemblages. Although such integration presents analytical and computational challenges that will only be intensiﬁed by the growth of genomic data in non-model taxa, the rapid development of ‘‘likelihood-free” approximate Bayesian methods should permit parameter estimation and hypotheses testing using complex evolutionary demographic models and genomic phylogeographic data. We ﬁrst review the conceptual beginnings of phylogeography and its accomplishments and then illustrate how it evolved into a statistically rigorous enterprise with the concurrent rise of coalescent theory. Subsequently, we discuss ways in which model-based phylogeography can interface with various subﬁelds to become one of the most integrative ﬁelds in all of ecology and evolutionary biology."
"Phylogeography: retrospect and prospect","https://scispace.com/paper/D3KH2KES","01/2009","Journal Article","Journal of Biogeography","John C. Avise","10.1111/j.1365-2699.2008.02032.x","https://www.zotero.org/johankarlssonk9/items/D3KH2KES/attachment/WXVMVYBX/reader","Phylogeography has grown explosively in the two decades since the word was coined and the discipline was outlined in 1987. Here I summarize the many achievements and novel perspectives that phylogeography has brought to population genetics, phylogenetic biology and biogeography. I also address future directions for the ﬁeld. From the introduction of mitochondrial DNA assays in the late 1970s, to the key distinction between gene trees and species phylogenies, to the ongoing era of multi-locus coalescent theory, phylogeographic perspectives have consistently challenged conventional genetic and evolutionary paradigms, and they have forged empirical and conceptual bridges between the formerly separate disciplines of population genetics (microevolutionary analysis) and phylogenetic biology (in macroevolution)."
"What is modern biogeography without phylogeography?","https://scispace.com/paper/what-is-modern-biogeography-without-phylogeography-y9luy9qmcl","01/2009","Journal Article","Journal of Biogeography","Brett R. Riddle","10.1111/j.1365-2699.2008.02073.x","https://www.zotero.org/johankarlssonk9/items/JXJRPDKN/attachment/WD6SGW96/reader","Somewhere around 26 years ago, I was beginning my doctoral research on the systematics and biogeography of grasshopper mice (genus Onychomys). I had fully intended to rely heavily on estimates of geographical variation derived from allozyme (protein) electrophoresis, which had become a method of choice among mammalogists during the 1970s for estimating genetic variation within and among closely related species. But before I began data collection in earnest, I stumbled upon a paper (Avise et al., 1979) that used mitochondrial DNA (mtDNA) restriction fragment analyses to address geographical variation across the range of a species of pocket gopher (Geomys pinetis) in the south-eastern United States. I recall my epiphany upon seeing the level of resolution this method offered in not only defining and delineating geographically discrete western vs. eastern sets of populations, but also in how nicely the demarcation between groups seemed to be aligned with a plausible historical isolating event. I went on to read another mtDNA paper (Lansman et al., 1983) that revealed surprising levels of geographical structure in the widespread North American rodent Peromyscus maniculatus – a species within a genus closely related to my own Onychomys. At that point there was no question that this new mtDNA-based assay of geographical variation was going to be my method of choice, and a very good one it turned out to be (see e.g. Riddle & Honeycutt, 1990). While John Avise, along with his students and colleagues, continued throughout the 1980s to develop the theory behind and empirical utility of mtDNA-based assays of geographical structure in vertebrate species (Brown et al., 1979; Brown, 1983; Wilson et al., 1985) and chloroplast DNA (cpDNA) in plants (Palmer, 1985), ‘phylogeography’ was not described and defined formally until 1987 (Avise et al., 1987). In over two decades since that seminal paper, phylogeography has blossomed – a November 2008 topic search of the ISI Web of Science using ‘phylogeograph*’ revealed 5076 studies to date. Now phylogeography is not only a fundamental component of a core modern biogeography (Lomolino et al., 2006), being employed across vertebrate, invertebrate, aquatic and terrestrial systems (as demonstrated in an exemplar set of papers bundled into a phylogeography section in this issue) – but perhaps just as importantly, is also an ever-expanding bridge between biogeography and related disciplines (Riddle et al., 2008). John Avise could be described as the ‘father of phylogeography’, and as such, he is the latest deserving recipient of the International Biogeography Society’s Alfred Russel Wallace Award for lifetime contributions to biogeography. In recognition of the sponsorship of this award by Journal of Biogeography, and as a lead-in to his scheduled keynote address at the January 2009 International Biogeography Society (IBS) conference in Mérida, Mexico, he has generously provided in this issue (Avise, 2009) a retrospective and prospective vision for phylogeography. As Avise observes herein, phylogeography has traditionally emphasized, for good theoretical and empirical reasons, geographical variation in organellar genomes – mtDNA in animals and cpDNA in plants. It is generally acknowledged that mtDNAor cpDNA-based studies have led to a revolution in our insights into the evolutionary and geographical responses of species and populations to (generally Quaternary and climatic) dynamics in Earth history (Zink & Barrowclough, 2008). However, legitimate concern has emerged over the extent to which organellar gene trees approximate the underlying organism or species tree (Edwards & Beerli, 2000), resulting in rapidly growing trends to develop, first, informative nuclear DNA loci (helped immensely by tapping into the databases being made available from whole genome-sequencing projects; Townsend et al., 2008); and, second, multi-locus and multi-taxon analytical and computational approaches that can efficiently accommodate enormous and complex data sets (Hickerson et al., 2007). In a practical context, a key question for phylogeographers faced with limited resources will be how to optimize their sampling of individuals, localities and genes so as to recover the best obtainable signature of organism and biotic responses to events in Earth history; some answers should come from the continued development of multilocus and multi-taxon coalescent theory and modelling, combined with a growing body of empirical studies. Phylogeography has facilitated a revolution in the biodiversity sciences through its role in establishing the ‘microevolutionary– macroevolutionary’ nexus that Avise (2009) outlines in his Figure 2. I see a missing box, however, that should be nested within the Biogeography box in this figure in order to complete a more broadly satisfying depiction of the role of phylogeography within a modern biogeography. While I agree with the importance of the Phylogeography and Ecogeography boxes, I suspect that many of today’s biogeographers will wonder why there is not another box that draws from and informs the macroevolutionary disciplines, but additionally emphasizes historical patterns and processes above the levels of ‘conspecific organisms and closely related species’. I would redraw this figure to include a higher-taxon Historical biogeography box that incorporates concepts (and approaches based on them) such as areas of endemism, ancestral areas and the geography of speciation, and I would align these three boxes to form a triad, with doubleheaded arrows between all three. Further, I would expand the scope of the Ecogeography box beyond that reviewed by Gaston et al. (2008) to recognize the expanding role of biogeography in understanding, for example, community assembly and structure (Emerson & Gillespie, 2008). In my view, the critical role played by phylogeography would become even more relevant within this more inclusive vision of the purview of modern biogeography. Finally, phylogeography promises to continue to play an important role in the expansion and integration of biogeography Journal of Biogeography (J. Biogeogr.) (2009) 36, 1–2"
"Coalescent-based, maximum likelihood inference in phylogeography","https://scispace.com/paper/coalescent-based-maximum-likelihood-inference-in-385cbvopvz","02/2010","Journal Article","Molecular Ecology","Alan R. Templeton","10.1111/j.1365-294X.2009.04514.x","https://www.zotero.org/johankarlssonk9/items/D2U2M2MG/attachment/A3I3IRYT/reader","Nielsen and Beaumont (2009) extol the virtues of a coalescent-based, likelihood approach to phylogeographic inference. In contrast, they compare the inferences drawn from nested-clade, phylogeographic analysis (NCPA) as similar to an “interest in newspaper horoscopes”. I fully agree with Nielsen and Beaumont (2009) on the desirability of a coalescent-based, likelihood approach to phylogeographic inference. Where I disagree with them is in their description of the inference structure of NCPA, which is both inaccurate and incomplete."
"The history and purview of phylogeography: a personal reflection","https://scispace.com/paper/WSFSDMGZ","04/1998","Journal Article","Molecular Ecology","John C. Avise","10.1046/j.1365-294x.1998.00391.x","https://www.zotero.org/johankarlssonk9/items/WSFSDMGZ/attachment/QN4SPYNA/reader","Last year marked the 10th anniversary of the birth of phylogeography as a formal discipline. However, the field’s gestation began in the mid-1970s with the introduction of mitochondrial (mt) DNA analyses to population genetics, and to the profound shift toward genealogical thought at the intraspecific level (now formalized as coalescent theory) that these methods prompted. This paper traces the early history and explosive growth of phylogeography, and closes with predictions about future challenges for the field that centre on several facets of genealogical concordance."
"Statistical inferences in phylogeography","https://scispace.com/paper/IS8ZM93Z","03/2009","Journal Article","Molecular Ecology","Rasmus Nielsen
Mark A. Beaumont","10.1111/j.1365-294X.2008.04059.x","https://www.zotero.org/johankarlssonk9/items/IS8ZM93Z/attachment/86T7YYWG/reader","In conventional phylogeographic studies, historical demographic processes are elucidated from the geographical distribution of individuals represented on an inferred gene tree. However, the interpretation of gene trees in this context can be difficult as the same demographic/geographical process can randomly lead to multiple different genealogies. Likewise, the same gene trees can arise under different demographic models. This problem has led to the emergence of many statistical methods for making phylogeographic inferences. A popular phylogeographic approach based on nested clade analysis is challenged by the fact that a certain amount of the interpretation of the data is left to the subjective choices of the user, and it has been argued that the method performs poorly in simulation studies. More rigorous statistical methods based on coalescence theory have been developed. However, these methods may also be challenged by computational problems or poor model choice. In this review, we will describe the development of statistical methods in phylogeographic analysis, and discuss some of the challenges facing these methods."
"Phylogeography of red deer ( <i>Cervus elaphus</i> ) in Europe","https://scispace.com/paper/VL8SGSG8","01/2009","Journal Article","Journal of Biogeography","A. Skog
F. E. Zachos
E. K. Rueness
P. G. D. Feulner
A. Mysterud
R. Langvatn
R. Lorenzini
S. S. Hmwe
I. Lehoczky
G. B. Hartl
N. C. Stenseth
K. S. Jakobsen","10.1111/j.1365-2699.2008.01986.x","https://www.zotero.org/johankarlssonk9/items/VL8SGSG8/attachment/TCR6MXNY/reader","Aim To investigate the phylogeographical patterns of red deer (Cervus elaphus) in Europe, and to disentangle the inﬂuence of ancient (e.g. Pleistocene ice ages) from more recent processes (e.g. human translocations)."
"Systematics and Phylogeography of the Non-Ethiopian Speckled-Pelage Brush-Furred Rats (Lophuromys Flavopunctatus Group) Inferred from Integrative Genetics and Morphometry","https://scispace.com/paper/systematics-and-phylogeography-of-the-non-ethiopian-speckled-2iqojoix7b","2021","Journal Article","","Kenneth Onditi
Julian Kerbis Peterhans
Chen Zhongzheng
Terrence Demos
Josef Bryja
Leonid Lavrenchenko
Simon Musila
Erik Verheyen
Jiang Xuelong","10.21203/RS.3.RS-157741/V1","https://www.zotero.org/johankarlssonk9/items/UB69XBDV/attachment/NIRMVXCS/reader","
 Background: The speckled-pelage brush-furred rats (Lophuromys flavopunctatus group) has been difficult to define given conflicting genetic, morphological, and distributional records that combine to obscure meaningful accounts of its taxonomic diversity. In this study, we inferred the systematics, phylogeography, and evolutionary history of the L. flavopunctatus group using maximum likelihood and Bayesian phylogenetic inference, divergence times, historical biogeographic reconstruction, and morphometric discriminant tests. We compiled comprehensive datasets of three loci (two mitochondrial [mtDNA] and one nuclear) and two morphometric datasets (linear and geometric) from across the known range of the genus Lophuromys.Results: The mtDNA phylogeny supported the division of the genus Lophuromys into three primary groups with nearly equidistant pairwise differentiation: one group corresponding to the subgenus Kivumys (Kivumys group) and two groups corresponding to the subgenus Lophuromys (L. sikapusi group and L. flavopunctatus group). The L. flavopunctatus group comprised the speckled-pelage brush-furred Lophuromys endemic to Ethiopia (Ethiopian L. flavopunctatus members [ETHFLAVO]) and the non-Ethiopian ones (non-Ethiopian L. flavopunctatus members [NONETHFLAVO]) in deeply nested relationships. There were distinctly geographically structured mtDNA clades among the NONETHFLAVO, which were incongruous with the nuclear tree where several clades were unresolved. The morphometric datasets did not systematically assign samples to meaningful taxonomic units or agreed with the mtDNA clades. The divergence dating and ancestral range reconstructions showed the NONETHFLAVO colonized the current ranges over two independent dispersal events out of Ethiopia in the early Pleistocene.Conclusion: The phylogenetic associations and divergence times of the L. flavopunctatus group conform to demonstrated hypotheses surrounding the paleoclimatic and ecosystem refugium impacts on the evolutionary radiation of rodents dependent on stably humid conditions in the East Africa region. The overlap in craniodental variation between distinct mtDNA clades among the NONETHFLAVO suggests unraveling underlying ecomorphological drivers is key to reconciling taxonomically informative morphological characters. The genus Lophuromys requires a taxonomic reassessment based on extensive genomic evidence to elucidate the patterns and impacts of genetic isolation at clade contact zones."
"Systematics and phylogeography of the non-ethiopian speckled-pelage brush-furred rats (lophuromys flavopunctatus group) inferred from integrative genetics and morphometry posted content","https://scispace.com/paper/systematics-and-phylogeography-of-the-non-ethiopian-speckled-2iqojoix7b","2021","Document","","Onditi et al. 2021","10.21203/RS.3.RS-157741/V1","https://scispace.com/pdf/systematics-and-phylogeography-of-the-non-ethiopian-speckled-2iqojoix7b.pdf","
 Background: The speckled-pelage brush-furred rats (Lophuromys flavopunctatus group) has been difficult to define given conflicting genetic, morphological, and distributional records that combine to obscure meaningful accounts of its taxonomic diversity. In this study, we inferred the systematics, phylogeography, and evolutionary history of the L. flavopunctatus group using maximum likelihood and Bayesian phylogenetic inference, divergence times, historical biogeographic reconstruction, and morphometric discriminant tests. We compiled comprehensive datasets of three loci (two mitochondrial [mtDNA] and one nuclear) and two morphometric datasets (linear and geometric) from across the known range of the genus Lophuromys.Results: The mtDNA phylogeny supported the division of the genus Lophuromys into three primary groups with nearly equidistant pairwise differentiation: one group corresponding to the subgenus Kivumys (Kivumys group) and two groups corresponding to the subgenus Lophuromys (L. sikapusi group and L. flavopunctatus group). The L. flavopunctatus group comprised the speckled-pelage brush-furred Lophuromys endemic to Ethiopia (Ethiopian L. flavopunctatus members [ETHFLAVO]) and the non-Ethiopian ones (non-Ethiopian L. flavopunctatus members [NONETHFLAVO]) in deeply nested relationships. There were distinctly geographically structured mtDNA clades among the NONETHFLAVO, which were incongruous with the nuclear tree where several clades were unresolved. The morphometric datasets did not systematically assign samples to meaningful taxonomic units or agreed with the mtDNA clades. The divergence dating and ancestral range reconstructions showed the NONETHFLAVO colonized the current ranges over two independent dispersal events out of Ethiopia in the early Pleistocene.Conclusion: The phylogenetic associations and divergence times of the L. flavopunctatus group conform to demonstrated hypotheses surrounding the paleoclimatic and ecosystem refugium impacts on the evolutionary radiation of rodents dependent on stably humid conditions in the East Africa region. The overlap in craniodental variation between distinct mtDNA clades among the NONETHFLAVO suggests unraveling underlying ecomorphological drivers is key to reconciling taxonomically informative morphological characters. The genus Lophuromys requires a taxonomic reassessment based on extensive genomic evidence to elucidate the patterns and impacts of genetic isolation at clade contact zones."
