"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Multispecies Weighted Hurwitz Numbers","https://scispace.com/paper/http://arxiv.org/abs/1504.07512v7","2015","Preprint","","J. Harnad","10.3842/SIGMA.2015.097","https://arxiv.org/pdf/1504.07512v7","The construction of hypergeometric $2D$ Toda $τ$-functions as generating functions for weighted Hurwitz numbers is extended to multispecies families. Both the enumerative geometrical significance of multispecies weighted Hurwitz numbers, as weighted enumerations of branched coverings of the Riemann sphere, and their combinatorial significance in terms of weighted paths in the Cayley graph of $S_n$ are derived. The particular case of multispecies quantum weighted Hurwitz numbers is studied in detail."
"Characterization of Multispecies Living Ecosystems With Cellular Automata","https://scispace.com/paper/http://arxiv.org/abs/1003.5288v1","2010","Preprint","","Xin-She Yang","","https://arxiv.org/pdf/1003.5288v1","A multispecies artificial ecosystem is formulated using cellular automata with species interactions and food chain hierarchy. The constructed finite state automaton can simulate the complexity and self-organized characteristics of the evolving multispecies living ecosystems. Numerical experiments show that a small perturbation or extinction event may affect many other species in the ecosystem in an avalanche manner. Both the avalanches and the extinction arising from these changes follow a power law, reflecting that the multispecies living ecosytems have the characteristics of self-organized criticality."
"Multispecies quantum Hurwitz numbers","https://scispace.com/paper/http://arxiv.org/abs/1410.8817v4","2014","Preprint","","J. Harnad","","https://arxiv.org/pdf/1410.8817v4","The construction of hypergeometric 2D Toda $τ$-functions as generating functions for quantum Hurwitz numbers is extended here to multispecies families. Both the enumerative geometrical significance of these multispecies quantum Hurwitz numbers as weighted enumerations of branched coverings of the Riemann sphere and their combinatorial significance in terms of weighted paths in the Cayley graph of $S_n$ are derived."
"Universality in multispecies traffic","https://scispace.com/paper/http://arxiv.org/abs/2501.02980v1","2025","Preprint","","Georg Anagnostopoulos
Nikolas Geroliminis","","https://arxiv.org/pdf/2501.02980v1","Understanding the nature of traffic heterogeneity is of major importance, given the widespread adoption of micromobility in cities. Based on massive field data and a nonequilibrium model, we demonstrate that heterogeneous, multispecies traffic is a member of an inherently nonequilibrium universality class associated with porous flows, namely directed percolation (DP) in one spatial dimension. Our central finding is that, macroscopically, multispecies traffic behaves like water percolating through a porous medium. This hypothesis remained unresolved for years mainly due to the incompatibility of equilibrium approaches with phenomena that are quite far from equilibrium and the limited resonance of complexity theory in the transportation literature. DP entails the existence of a nontrivial phase transition from a disordered subcritical phase to an ordered supercritical phase that depends on a temperature-like control parameter and is governed by a universal power-law. Our model explains the large scatter found in experimental data by taking into account the nonlinear, stochastic perturbations present in multispecies traffic configurations due to coupling of a predominantly lane-based host system with a layer of lane-free parasitic flows."
"Correlations in the continuous multispecies TASEP on a ring","https://scispace.com/paper/http://arxiv.org/abs/2212.05689v3","2022","Preprint","","Nimisha Pahuja
Surjadipta de Sarkar","10.4171/AIHPD/209","https://arxiv.org/pdf/2212.05689v3","In this paper, we prove a conjecture by Aas and Linusson on the two-point correlations of adjacent particles in a continuous multispecies TASEP on a ring (AIHPD, 2018). We use the theory of multiline queues as devised by Ferrari and Martin (AOP, 2008) to interpret the conjectures in terms of placements of numbers in triangular arrays. Further, we use projections to calculate correlations in the continuous multispecies TASEP using a distribution on these placements."
"A particle method for the multispecies Landau equation","https://scispace.com/paper/http://arxiv.org/abs/2310.16143v1","2023","Preprint","","José A. Carrillo
Jingwei Hu
Samuel Q. Van Fleet","","https://arxiv.org/pdf/2310.16143v1","The multispecies Landau collision operator describes the two-particle, small scattering angle or grazing collisions in a plasma made up of different species of particles such as electrons and ions. Recently, a structure preserving deterministic particle method arXiv:1910.03080 has been developed for the single species spatially homogeneous Landau equation. This method relies on a regularization of the Landau collision operator so that an approximate solution, which is a linear combination of Dirac delta distributions, is well-defined. Based on a weak form of the regularized Landau equation, the time dependent locations of the Dirac delta functions satisfy a system of ordinary differential equations. In this work, we extend this particle method to the multispecies case, and examine its conservation of mass, momentum, and energy, and decay of entropy properties. We show that the equilibrium distribution of the regularized multispecies Landau equation is a Maxwellian distribution, and state a critical condition on the regularization parameters that guarantees a species independent equilibrium temperature. A convergence study comparing an exact multispecies BKW solution to the particle solution shows approximately 2nd order accuracy. Important physical properties such as conservation, decay of entropy, and equilibrium distribution of the particle method are demonstrated with several numerical examples."
"Correlations in the multispecies PASEP on a ring","https://scispace.com/paper/http://arxiv.org/abs/2304.13696v2","2023","Preprint","","Nimisha Pahuja","10.1214/25-ECP666","https://arxiv.org/pdf/2304.13696v2","Ayyer and Linusson studied correlations in the multispecies TASEP on a ring (Trans AMS, 2017) using a combinatorial analysis of the multiline queues construction defined by Ferrari and Martin (AOP, 2008). It is natural to explore whether an analogous application of appropriate multiline queues could give similar results for the partially asymmetric case. In this paper, we solve this problem of correlations of adjacent particles on the first two sites in the multispecies PASEP on a finite ring. We use the multiline processes defined by Martin (EJP, 2020), the dynamics of which also depend on the asymmetry parameter $q$, to compute the correlations."
"A multispecies Calogero-Sutherland model","https://scispace.com/paper/http://arxiv.org/abs/cond-mat/9512014v3","1995","Preprint","","Diptiman Sen","10.1016/0550-3213(96)00420-8","https://arxiv.org/pdf/cond-mat/9512014v3","Motivated by the concept of ideal mutual statistics, we study a multispecies Calogero-Sutherland model in which the interaction parameters and masses satisfy some specific relations. The ground state is exactly solvable if those relations hold, both on a circle and on a line with a simple harmonic potential. In the latter case, the one-particle densities can be obtained using a generalization of the Thomas-Fermi method. We calculate the second virial coefficients in the high temperature expansion for the pressure. We show that the low-energy excitations are the same as those of a Gaussian conformal field theory. Finally, we discuss similar relations between the statistics parameters and charges for a multispecies anyon model in a magnetic field."
"Cross-diffusion limits in multispecies kinetic models","https://scispace.com/paper/http://arxiv.org/abs/2509.14046v1","2025","Preprint","","Ansgar Jüngel
Annamaria Pollino
Satoshi Taguchi","","https://arxiv.org/pdf/2509.14046v1","Cross-diffusion systems are formally derived from multispecies kinetic models in the diffusion limit. The first limit in the multispecies BGK model of Gross and Krook leads to a variant of the non-isothermal Maxwell-Stefan equations. The second limit in a BGK model with Brinkman-type force term yields generalized Busenberg-Travis equations, which reduce for constant temperature to the classical Busenberg-Travis system for segregating population species. Entropy equalities are derived for the kinetic and cross-diffusion equations."
"A DSMC method for the space homogeneous multispecies Landau equation","https://scispace.com/paper/http://arxiv.org/abs/2511.17286v2","2025","Preprint","","Andrea Medaglia","","https://arxiv.org/pdf/2511.17286v2","We present a Direct Simulation Monte Carlo (DSMC) method for the spatially homogeneous multispecies Landau-Fokker-Planck equation. The scheme is derived from a first-order approximation of the multispecies Boltzmann operator in the grazing collision limit and employs a regularized, easy-to-sample scattering kernel that removes the need for iterative solvers while preserving the fundamental invariants of the Landau dynamics. The method is fully mesh-free -- being a Monte Carlo particle algorithm -- which makes it naturally scalable to high-dimensional velocity spaces and straightforward to couple with particle-in-cell (PIC) solvers via operator splitting. A notable feature of our approach is its ability to treat realistic mass ratios: we show accurate simulations up to the physical proton-electron ($p$-$e$) mass ratio $m_p/m_e \approx 1836$. We validate the method against the multispecies BKW benchmark for Maxwellian interactions and study collisional relaxation for Coulomb interactions, showing conservation of mass, momentum, and energy, and the expected trend towards Maxwellian equilibria."
"Effect of antibiotic spectrum on the abundance of resistant bacteria in multispecies communities","https://scispace.com/paper/http://arxiv.org/abs/2604.18345v1","2026","Preprint","","Magnus Aspenberg
Erik Andreas Martens
Kristofer Wollein Waldetoft","","https://arxiv.org/pdf/2604.18345v1","Antibiotic resistance is a major threat to global health. It emerges in multispecies microbial communities under antibiotic exposure. This makes antibiotic spectrum -- a drug's distribution of effects across species -- a potential key parameter in resistance management. However, we currently lack evolutionary theory for resistance dynamics in a multispecies setting. Analysing established community ecology theory, we develop a simple mathematical measure for how one taxon (strain or species) affects another taxon through all direct and indirect interactions in a complex interaction network. Using this, we derive the expected effects of different antibiotic spectra on the abundance of resistant taxa in microbial communities. This furthers our understanding of microbial evolutionary ecology in multispecies communities, and provides a formal theoretical basis for empirical work on optimal antibiotic choice."
"The inhomogeneous multispecies PushTASEP: Dynamics and symmetry","https://scispace.com/paper/http://arxiv.org/abs/2310.09740v2","2023","Preprint","","Arvind Ayyer
James B. Martin","","https://arxiv.org/pdf/2310.09740v2","We introduce and study a natural multispecies variant of the inhomogeneous PushTASEP with site-dependent rates on the finite ring. We show that the stationary distribution of this process is proportional to the ASEP polynomials at $q = 1$ and $t = 0$. This is done by constructing a multiline process which projects to the multispecies PushTASEP, and identifying its stationary distribution using time-reversal arguments. We also study symmetry properties of the process under interchange of the rates associated to the sites. These results hold not just for events depending on the configuration at a single time in equilibrium, but also for systems out of equilibrium and for events depending on the path of the process over time. Lastly, we give explicit formulas for nearest-neighbour two-point correlations in terms of Schur functions."
