"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Multispecies coalescent analysis of the early diversification of neotropical primates: phylogenetic inference under strong gene trees/species tree conflict","https://scispace.com/paper/multispecies-coalescent-analysis-of-the-early-1kj4qh4cbg","2014","Journal Article","Genome Biology and Evolution","Carlos G. Schrago
Albert N. Menezes
Carolina Furtado
Cibele R. Bonvicino
Héctor N. Seuánez","10.1093/GBE/EVU244","https://academic.oup.com/gbe/article-pdf/6/11/3105/7115091/evu244.pdf","… on their phylogeny and timescale. However, despite major efforts, the phylogenetic relationship … We show, by multispecies coalescent analyses of selected genome segments, spanning …","Neotropical primates (NP) are presently distributed in the New World from Mexico to northern Argentina, comprising three large families, Cebidae, Atelidae, and Pitheciidae, consequently to their diversification following their separation from Old World anthropoids near the Eocene/Oligocene boundary, some 40 Ma. The evolution of NP has been intensively investigated in the last decade by studies focusing on their phylogeny and timescale. However, despite major efforts, the phylogenetic relationship between these three major clades and the age of their last common ancestor are still controversial because these inferences were based on limited numbers of loci and dating analyses that did not consider the evolutionary variation associated with the distribution of gene trees within the proposed phylogenies. We show, by multispecies coalescent analyses of selected genome segments, spanning along 92,496,904 bp that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids. The molecular phylogeny of NP has been difficult to solve because of population-level phenomena at the early evolution of the lineage. The association of evolutionary variation with the distribution of gene trees within proposed phylogenies is crucial for distinguishing the mean genetic divergence between species (the mean coalescent time between loci) from speciation time. This approach, based on extensive genomic data provided by new generation DNA sequencing, provides more accurate reconstructions of phylogenies and timescales for all organisms."
"Resolving conflict in eutherian mammal phylogeny using phylogenomics and the multispecies coalescent model","https://scispace.com/paper/resolving-conflict-in-eutherian-mammal-phylogeny-using-2ebuzji3p6","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Sen Song
Liang Liu
Scott V. Edwards
Shaoyuan Wu
Shaoyuan Wu","10.1073/PNAS.1211733109","https://www.pnas.org/doi/pdf/10.1073/pnas.1211733109","… indeed yield strong incongruence in the phylogeny of eutherian mammals, as revealed by … It is an expectation of phylogenetic methodology that nodal support values should increase …","The reconstruction of the Tree of Life has relied almost entirely on concatenation methods, which do not accommodate gene tree heterogeneity, a property that simulations and theory have identified as a likely cause of incongruent phylogenies. However, this incongruence has not yet been demonstrated in empirical studies. Several key relationships among eutherian mammals remain controversial and conflicting among previous studies, including the root of eutherian tree and the relationships within Euarchontoglires and Laurasiatheria. Both Bayesian and maximum-likelihood analysis of genome-wide data of 447 nuclear genes from 37 species show that concatenation methods indeed yield strong incongruence in the phylogeny of eutherian mammals, as revealed by subsampling analyses of loci and taxa, which produced strongly conflicting topologies. In contrast, the coalescent methods, which accommodate gene tree heterogeneity, yield a phylogeny that is robust to variable gene and taxon sampling and is congruent with geographic data. The data also demonstrate that incomplete lineage sorting, a major source of gene tree heterogeneity, is relevant to deep-level phylogenies, such as those among eutherian mammals. Our results firmly place the eutherian root between Atlantogenata and Boreoeutheria and support ungulate polyphyly and a sister-group relationship between Scandentia and Primates. This study demonstrates that the incongruence introduced by concatenation methods is a major cause of long-standing uncertainty in the phylogeny of eutherian mammals, and the same may apply to other clades. Our analyses suggest that such incongruence can be resolved using phylogenomic data and coalescent methods that deal explicitly with gene tree heterogeneity."
"Species discovery and validation in a cryptic radiation of endangered primates: coalescent‐based species delimitation in M adagascar's mouse lemurs","https://scispace.com/paper/d7c3vsxt9Y8J","","","","S Hotaling
ME Foley
NM Lawrence","","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/mec.13604","… divergence we performed a Bayesian reconstruction of the species tree using *beast v1.8.0 (… in reconstructed gene trees with haplotypes sampled from multiple species (Figs S1–S4). …",""
"A comparative approach for species delimitation based on multiple methods of multi-locus DNA sequence analysis: A case study of the genus Giraffa (Mammalia …","https://scispace.com/paper/OfBDwFDku9QJ","","","","A Petzold
A Hassanin","","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0217956&type=printable","… for giraffes using multispecies coalescent (MSC: *BEAST, … be misleading for species delimitation in mammals, because … are hence restricted to the validation of proposed delimitations […",""
"Efficient Bayesian species tree inference under the multispecies coalescent","https://scispace.com/paper/efficient-bayesian-species-tree-inference-under-the-multi-19pj5xqjpp","2015","Posted Content","arXiv: Populations and Evolution","Bruce Rannala
Ziheng Yang","","https://academic.oup.com/sysbio/article-pdf/66/5/823/40857755/sysbio_66_5_823.pdf","… species phylogeny under the multispecies coalescent (MSC) … that traverses the space of species trees, we implement two … propose changes to the species tree, while simultaneously …","A method was developed for Bayesian inference of species phylogeny using the multi-species coalescent model. To improve the mixing properties of the Markov chain Monte Carlo (MCMC) algorithm that traverses the space of species trees, we implement two efficient MCMC proposals: the first is based on the Subtree Pruning and Regrafting (SPR) algorithm and the second is based on a novel node-slider algorithm. Like the Nearest-Neighbor Interchange (NNI) algorithm we implemented previously, both algorithms propose changes to the species tree, while simultaneously altering the gene trees at multiple genetic loci to automatically avoid conflicts with the newly-proposed species tree. The method integrates over gene trees, naturally taking account of the uncertainty of gene tree topology and branch lengths given the sequence data. A simulation study was performed to examine the statistical properties of the new method. We found that it has excellent statistical performance, inferring the correct species tree with near certainty when analyzing 10 loci. The prior on species trees has some impact, particularly for small numbers of loci. An empirical dataset (for rattlesnakes) was reanalyzed. While the 18 nuclear loci and one mitochondrial locus support largely consistent species trees under the multi-species coalescent model estimates of parameters suggest drastically different evolutionary dynamics between the nuclear and mitochondrial loci."
"Species in the Time of Big Data: The multi-Species Coalescent, the General Lineage Concept, and Species Delimitation","https://scispace.com/paper/PE_2zcKROa8J","","","","A Quinn","","","… Ideally, uses of this data will fit into established best practices for species delimitation, … : Epidemiology, phylogeny and biology of isolates from naturally SIV infected nonhuman primates (…",""
"The multispecies coalescent model outperforms concatenation across diverse phylogenomic data sets","https://scispace.com/paper/the-multispecies-coalescent-model-outperforms-concatenation-1ehjhojrdl","2019","Posted Content","bioRxiv","Xiaodong Jiang
Scott V. Edwards
Liang Liu","10.1101/860809","https://academic.oup.com/sysbio/article-pdf/69/4/795/33403314/syaa008.pdf","… When the 47 data sets are grouped into six categories mammals (11), birds (11), insects (6), fish (5)… In this study, model validation and species tree analyses were conducted on reduced …","A statistical framework of model comparison and model validation is essential to resolving the debates over concatenation and coalescent models in phylogenomic data analysis. A set of statistical tests are here applied and developed to evaluate and compare the adequacy of substitution, concatenation, and multispecies coalescent (MSC) models across 47 phylogenomic data sets collected across tree of life. Tests for substitution models and the concatenation assumption of topologically concordant gene trees suggest that a poor fit of substitution models (44% of loci rejecting the substitution model) and concatenation models (38% of loci rejecting the hypothesis of topologically congruent gene trees) is widespread. Logistic regression shows that the proportions of GC content and informative sites are both negatively correlated with the fit of substitution models across loci. Moreover, a substantial violation of the concatenation assumption of congruent gene trees is consistently observed across 6 major groups (birds, mammals, fish, insects, reptiles, and others, including other invertebrates). In contrast, among those loci adequately described by a given substitution model, the proportion of loci rejecting the MSC model is 11%, significantly lower than those rejecting the substitution and concatenation models, and Bayesian model comparison strongly favors the MSC over concatenation across all data sets. Species tree inference suggests that loci rejecting the MSC have little effect on species tree estimation. Due to computational constraints, the Bayesian model validation and comparison analyses were conducted on the reduced data sets. A complete analysis of phylogenomic data requires the development of efficient algorithms for phylogenetic inference. Nevertheless, the concatenation assumption of congruent gene trees rarely holds for phylogenomic data with more than 10 loci. Thus, for large phylogenomic data sets, model comparison analyses are expected to consistently and more strongly favor the coalescent model over the concatenation model. Our analysis reveals the value of model validation and comparison in phylogenomic data analysis, as well as the need for further improvements of multilocus models and computational tools for phylogenetic inference."
"Novel integrative modeling of molecules and morphology across evolutionary timescales","https://scispace.com/paper/novel-integrative-modeling-of-molecules-and-morphology-492rq5shd5","2021","Posted Content","bioRxiv","Huw A. Ogilvie
Fábio K. Mendes
Timothy G. Vaughan
Timothy G. Vaughan
Nicholas J. Matzke
Tanja Stadler
Tanja Stadler
David Welch
Alexei J. Drummond","10.1101/242875","https://academic.oup.com/sysbio/article-pdf/71/1/208/41794194/syab054.pdf","… the multispecies coalescent (MSC) is used to model gene tree evolution within the species tree. … We also carried out critical validation of the FBD-MSC model and related operators, in a …","Evolutionary models account for either population- or species-level processes, but usually not both. We introduce a new model, the FBD-MSC, which makes it possible for the first time to integrate both the genealogical and fossilization phenomena, by means of the multispecies coalescent (MSC) and the fossilized birth-death (FBD) processes. Using this model, we reconstruct the phylogeny representing all extant and many fossil Caninae, recovering both the relative and absolute time of speciation events. We quantify known inaccuracy issues with divergence time estimates using the popular strategy of concatenating molecular alignments, and show that the FBD-MSC solves them. Our new integrative method and empirical results advance the paradigm and practice of probabilistic total evidence analyses in evolutionary biology."
"Phylogenomic discordance in the eared seals is best explained by incomplete lineage sorting following explosive radiation in the southern hemisphere","https://scispace.com/paper/phylogenomic-discordance-in-the-eared-seals-is-best-2le3p6zb9b","2021","Journal Article","Systematic Biology","Fernando Lopes
Fernando Lopes
Larissa Rosa de Oliveira
Amanda Kessler
Yago Beux
Enrique A. Crespo
Susana Cárdenas-Alayza
Patricia Majluf
Maritza Sepúlveda
Robert L. Brownell
Valentina Franco-Trecu
Diego Páez-Rosas
Jaime A. Chaves
Jaime A. Chaves
Carolina Loch
Bruce C. Robertson
Karina Acevedo-Whitehouse
Fernando R. Elorriaga-Verplancken
Stephen P. Kirkman
Claire R. Peart
Jochen B. W. Wolf
Sandro L. Bonatto","10.1093/SYSBIO/SYAA099","https://www.biorxiv.org/content/biorxiv/early/2020/12/17/2020.08.11.246108.full.pdf","… approaches, including multispecies coalescent models, to … used our species tree as estimated by StarBEAST2, which … dmv parameter in the StarBEAST2 species tree) for all internal …","The phylogeny and systematics of fur seals and sea lions (Otariidae) have long been studied with diverse data types, including an increasing amount of molecular data. However, only a few phylogenetic relationships have reached acceptance because of strong gene-tree species tree discordance. Divergence times estimates in the group also vary largely between studies. These uncertainties impeded the understanding of the biogeographical history of the group, such as when and how trans-equatorial dispersal and subsequent speciation events occurred. Here, we used high-coverage genome-wide sequencing for 14 of the 15 species of Otariidae to elucidate the phylogeny of the family and its bearing on the taxonomy and biogeographical history. Despite extreme topological discordance among gene trees, we found a fully supported species tree that agrees with the few well-accepted relationships and establishes monophyly of the genus Arctocephalus. Our data support a relatively recent trans-hemispheric dispersal at the base of a southern clade, which rapidly diversified into six major lineages between 3 and 2.5 Ma. Otaria diverged first, followed by Phocarctos and then four major lineages within Arctocephalus. However, we found Zalophus to be nonmonophyletic, with California (Zalophus californianus) and Steller sea lions (Eumetopias jubatus) grouping closer than the Galapagos sea lion (Zalophus wollebaeki) with evidence for introgression between the two genera. Overall, the high degree of genealogical discordance was best explained by incomplete lineage sorting resulting from quasi-simultaneous speciation within the southern clade with introgresssion playing a subordinate role in explaining the incongruence among and within prior phylogenetic studies of the family. [Hybridization; ILS; phylogenomics; Pleistocene; Pliocene; monophyly.]."
"Bayesian phylogenetic inference using relaxed-clocks and the multispecies coalescent","https://scispace.com/paper/bayesian-phylogenetic-inference-using-relaxed-clocks-and-the-281ymo3i","2022","Journal Article","Molecular Biology and Evolution","Tomas Flouri
Jun Huang
Xiyun Jiao
Paschalia Kapli
Bruce Rannala
Ziheng Yang","10.1093/molbev/msac161","https://academic.oup.com/mbe/article-pdf/39/8/msac161/45322973/msac161.pdf","… topologies can identify internal branch lengths in coalescent units on the species tree but these cannot be directly translated into geological time units. Important parameters in the …","Abstract The multispecies coalescent (MSC) model accommodates both species divergences and within-species coalescent and provides a natural framework for phylogenetic analysis of genomic data when the gene trees vary across the genome. The MSC model implemented in the program bpp assumes a molecular clock and the Jukes–Cantor model, and is suitable for analyzing genomic data from closely related species. Here we extend our implementation to more general substitution models and relaxed clocks to allow the rate to vary among species. The MSC-with-relaxed-clock model allows the estimation of species divergence times and ancestral population sizes using genomic sequences sampled from contemporary species when the strict clock assumption is violated, and provides a simulation framework for evaluating species tree estimation methods. We conducted simulations and analyzed two real datasets to evaluate the utility of the new models. We confirm that the clock-JC model is adequate for inference of shallow trees with closely related species, but it is important to account for clock violation for distant species. Our simulation suggests that there is valuable phylogenetic information in the gene-tree branch lengths even if the molecular clock assumption is seriously violated, and the relaxed-clock models implemented in bpp are able to extract such information. Our Markov chain Monte Carlo algorithms suffer from mixing problems when used for species tree estimation under the relaxed clock and we discuss possible improvements. We conclude that the new models are currently most effective for estimating population parameters such as species divergence times when the species tree is fixed."
