"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Multispecies coalescent analysis of the early diversification of neotropical primates: phylogenetic inference under strong gene trees/species tree conflict","https://scispace.com/paper/multispecies-coalescent-analysis-of-the-early-1kj4qh4cbg","2014","Journal Article","Genome Biology and Evolution","Carlos G. Schrago
Albert N. Menezes
Carolina Furtado
Cibele R. Bonvicino
Héctor N. Seuánez","10.1093/GBE/EVU244","https://academic.oup.com/gbe/article-pdf/6/11/3105/7115091/evu244.pdf","… By employing a multispecies coalescent analysis, we contribute to clarifying why molecular … have resulted from an incorrect equivalence of mean coalescent time and speciation time, a …","Neotropical primates (NP) are presently distributed in the New World from Mexico to northern Argentina, comprising three large families, Cebidae, Atelidae, and Pitheciidae, consequently to their diversification following their separation from Old World anthropoids near the Eocene/Oligocene boundary, some 40 Ma. The evolution of NP has been intensively investigated in the last decade by studies focusing on their phylogeny and timescale. However, despite major efforts, the phylogenetic relationship between these three major clades and the age of their last common ancestor are still controversial because these inferences were based on limited numbers of loci and dating analyses that did not consider the evolutionary variation associated with the distribution of gene trees within the proposed phylogenies. We show, by multispecies coalescent analyses of selected genome segments, spanning along 92,496,904 bp that the early diversification of extant NP was marked by a 2-fold increase of their effective population size and that Atelids and Cebids are more closely related respective to Pitheciids. The molecular phylogeny of NP has been difficult to solve because of population-level phenomena at the early evolution of the lineage. The association of evolutionary variation with the distribution of gene trees within proposed phylogenies is crucial for distinguishing the mean genetic divergence between species (the mean coalescent time between loci) from speciation time. This approach, based on extensive genomic data provided by new generation DNA sequencing, provides more accurate reconstructions of phylogenies and timescales for all organisms."
"Species discovery and validation in a cryptic radiation of endangered primates: coalescent‐based species delimitation in M adagascar's mouse lemurs","https://scispace.com/paper/d7c3vsxt9Y8J","","","","S Hotaling
ME Foley
NM Lawrence","","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/mec.13604","… tests of species delimitation hypotheses using multilocus DNA sequence … First, we evaluated the phylogenetic placement of mtDNA … sampled from multiple species (Figs S1–S4). Across …",""
"A comparative approach for species delimitation based on multiple methods of multi-locus DNA sequence analysis: A case study of the genus Giraffa (Mammalia …","https://scispace.com/paper/OfBDwFDku9QJ","","","","A Petzold
A Hassanin","","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0217956&type=printable","… all multi-locus DNA sequences available for giraffes using multispecies coalescent (MSC: *… conspecificity matrix) and phylogenetic (MrBayes, PhyML, SuperTRI) methods to identify the …",""
"Cryptic patterns of speciation in cryptic primates: microendemic mouse lemurs and the multispecies coalescent","https://scispace.com/paper/cryptic-patterns-of-speciation-in-cryptic-primates-2vr2onff84","2019","Posted Content","bioRxiv","Dominik Schüßler
Jordi Salmona
Marina B. Blanco
Jelmer W. Poelstra
George P. Tiley
Jean B Andriambeloson
Olivier Bouchez
C. Ryan Campbell
Paul D. Etter
Amaia Iribar
Paul A. Hohenlohe
Kelsie E. Hunnicutt
Eric A. Johnson
Peter A. Larsen
Jasmin Mantilla-Contreras
Sophie Manzi
Alexandra Miller
Blanchard Randrianambinina
David W. Rasolofoson
Amanda R. Stahlke
David W. Weisrock
Rachel C. Williams
Lounès Chikhi
Edward E. Louis
Anne D. Yoder
Ute Radespiel","10.1101/742361","https://academic.oup.com/sysbio/advance-article-pdf/doi/10.1093/sysbio/syaa053/36230419/syaa053.pdf","… multispecies coalescent (MSC) species delimitation methods … framework starting with phylogenetic placement of lineages and … We assembled approximately 2.5 Gb of nuclear genome …","Species delimitation is ever more critical for assessing biodiversity in threatened regions of the world, with cryptic species and rapid radiations offering two of the greatest challenges, especially when they occur in conjunction. Mouse lemurs (Microcebus) are an example of a rapid, cryptic radiation and here we study five phylogenetic lineages that are found within a restricted geographic area in northeastern Madagascar. To delimit and characterize species diversity we utilize a conceptual framework based on the multispecies coalescent (MSC). Morphometric analyses reveal only minute phenotypic differences among lineages, thus confirming the cryptic nature of taxa. By analyzing genome-wide SNP data, we assess effective population sizes (Ne), divergence times, and patterns of gene flow to inform hypotheses of species delimitation in the context of geographic distribution, ecology and morphological distinction. Differences in Ne have a significant impact on MSC-based species delimitation, particularly with regard to the recently introduced genealogical divergence index (gdi). Lineages with low Ne pass the heuristic gdi test while high Ne lineages fail to delimit a previously recognized species pair. Further, we find that incorporating gene flow into the MSC can greatly affect divergence time estimates. Even so, we are confident that speciation occurred recently and rapidly in this cryptic radiation with reproductive isolation apparent from two areas where divergent lineages occur sympatrically. Finally, we conclude that a previously identified mitochondrial lineage warrants full species status, and provide a species description for this lineage, naming it M. jonahi. Alarmingly, analyses of both whole-genome and RADseq data show a precipitous decline in Ne in this newly described microendemic, thus indicating a high risk of extinction even in the moment of its recognition as a new species."
"Species tree estimation for a deep phylogenetic divergence in the New World monkeys (Primates: Platyrrhini)","https://scispace.com/paper/species-tree-estimation-for-a-deep-phylogenetic-divergence-3v889ijlxb","2012","Journal Article","Molecular Phylogenetics and Evolution","S. Ivan Perez
Julia Klaczko
Sérgio F. dos Reis","10.1016/J.YMPEV.2012.07.014","","… chain Monte Carlo method for the multispecies coalescent (∗BEAST) for the first … phylogenetic analysis. Our species tree, based on all available sequences, shows a closer phylogenetic …",""
"Primate molecular phylogenetics in a genomic era","https://scispace.com/paper/primate-molecular-phylogenetics-in-a-genomic-era-126it2htcw","2013","Journal Article","Molecular Phylogenetics and Evolution","Nelson Ting
Kirstin N. Sterner","10.1016/J.YMPEV.2012.08.021","https://molecular-anthro.uoregon.edu/downloads/Ting_and_Sterner_2012.pdf","… We discuss the use of multi-locus data to infer species trees. … a multi-species coalescent approach to infer primate species … re-evaluating primate molecular phylogenetic relationships …",""
"A RAD-sequencing approach to genome-wide marker discovery, genotyping, and phylogenetic inference in a diverse radiation of primates","https://scispace.com/paper/a-rad-sequencing-approach-to-genome-wide-marker-discovery-1ydsclnk79","2018","Journal Article","PLOS ONE","Lina M. Valencia
Amely B. Martins
Edgardo M. Ortiz
Anthony Di Fiore","10.1371/JOURNAL.PONE.0201254","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0201254&type=printable","… DNA and/or a small number of nuclear DNA markers, which … likelihood and quartet-based coalescent methods. Our … our study based on quartet multispecies coalescent analyses of loci …","Until recently, most phylogenetic and population genetics studies of nonhuman primates have relied on mitochondrial DNA and/or a small number of nuclear DNA markers, which can limit our understanding of primate evolutionary and population history. Here, we describe a cost-effective reduced representation method (ddRAD-seq) for identifying and genotyping large numbers of SNP loci for taxa from across the New World monkeys, a diverse radiation of primates that shared a common ancestor ~20-26 mya. We also estimate, for the first time, the phylogenetic relationships among 15 of the 22 currently-recognized genera of New World monkeys using ddRAD-seq SNP data using both maximum likelihood and quartet-based coalescent methods. Our phylogenetic analyses robustly reconstructed three monophyletic clades corresponding to the three families of extant platyrrhines (Atelidae, Pitheciidae and Cebidae), with Pitheciidae as basal within the radiation. At the genus level, our results conformed well with previous phylogenetic studies and provide additional information relevant to the problematic position of the owl monkey (Aotus) within the family Cebidae, suggesting a need for further exploration of incomplete lineage sorting and other explanations for phylogenetic discordance, including introgression. Our study additionally provides one of the first applications of next-generation sequencing methods to the inference of phylogenetic history across an old, diverse radiation of mammals and highlights the broad promise and utility of ddRAD-seq data for molecular primatology."
"Molecular evidence on primate origins and evolution","https://scispace.com/paper/_-U_5efytswJ","","","","RL Raaum","","https://www.researchgate.net/profile/Ryan-Raaum/publication/283483354_Molecular_evidence_on_primate_origins_and_evolution/links/57a0a66608aeb16048326f83/Molecular-Evidence-on-Primate-Origins-and-Evolution.pdf","… phylogenetic research in primates was based on the … It is universally agreed across recent molecular dating studies … al. repeated their multispecies coalescent analysis with data from …",""
"Resolving conflict in eutherian mammal phylogeny using phylogenomics and the multispecies coalescent model","https://scispace.com/paper/resolving-conflict-in-eutherian-mammal-phylogeny-using-2ebuzji3p6","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Sen Song
Liang Liu
Scott V. Edwards
Shaoyuan Wu
Shaoyuan Wu","10.1073/PNAS.1211733109","https://www.pnas.org/doi/pdf/10.1073/pnas.1211733109","… -likelihood analysis of genome-wide data of 447 nuclear … of concatenation estimates for eutherian phylogeny. (A) … using coalescent methods for three clades: Scandentia–Primates within …","The reconstruction of the Tree of Life has relied almost entirely on concatenation methods, which do not accommodate gene tree heterogeneity, a property that simulations and theory have identified as a likely cause of incongruent phylogenies. However, this incongruence has not yet been demonstrated in empirical studies. Several key relationships among eutherian mammals remain controversial and conflicting among previous studies, including the root of eutherian tree and the relationships within Euarchontoglires and Laurasiatheria. Both Bayesian and maximum-likelihood analysis of genome-wide data of 447 nuclear genes from 37 species show that concatenation methods indeed yield strong incongruence in the phylogeny of eutherian mammals, as revealed by subsampling analyses of loci and taxa, which produced strongly conflicting topologies. In contrast, the coalescent methods, which accommodate gene tree heterogeneity, yield a phylogeny that is robust to variable gene and taxon sampling and is congruent with geographic data. The data also demonstrate that incomplete lineage sorting, a major source of gene tree heterogeneity, is relevant to deep-level phylogenies, such as those among eutherian mammals. Our results firmly place the eutherian root between Atlantogenata and Boreoeutheria and support ungulate polyphyly and a sister-group relationship between Scandentia and Primates. This study demonstrates that the incongruence introduced by concatenation methods is a major cause of long-standing uncertainty in the phylogeny of eutherian mammals, and the same may apply to other clades. Our analyses suggest that such incongruence can be resolved using phylogenomic data and coalescent methods that deal explicitly with gene tree heterogeneity."
"Multilocus coalescent analyses reveal the demographic history and speciation patterns of mouse lemur sister species","https://scispace.com/paper/multilocus-coalescent-analyses-reveal-the-demographic-21jgh5y7s6","2014","Journal Article","BMC Evolutionary Biology","Christopher Blair
Kellie L. Heckman
Amy L. Russell
Anne D. Yoder","10.1186/1471-2148-14-57","https://link.springer.com/content/pdf/10.1186/1471-2148-14-57.pdf","… Mouse lemurs (Microcebus spp.) are small, nocturnal primates … alleles from both multiple species and multiple individuals … likelihood (ML) phylogenetic analysis of each locus using …","Background: Debate continues as to whether allopatric speciation or peripatric speciation through a founder effect is the predominant force driving evolution in vertebrates. The mouse lemurs of Madagascar are a system in which evolution has generated a large number of species over a relatively recent time frame. Here, we examine speciation patterns in a pair of sister species of mouse lemur, Microcebus murinus and M. griseorufus. These two species have ranges that are disparately proportioned in size, with M. murinus showing a much more extensive range that marginally overlaps that of M. griseorufus. Given that these two species are sister taxa, the asymmetric but overlapping geographic ranges are consistent with a model of peripatric speciation. To test this hypothesis, we analyze DNA sequence data from four molecular markers using coalescent methods. If the peripatric speciation model is supported, we predict substantially greater genetic diversity in M. murinus, relative to M. griseorufus. Further, we expect a larger effective population size in M. murinus and in the common ancestor of the two species than in M. griseorufus, with a concomitant decrease in gene tree/species tree incongruence in the latter and weak signs of demographic expansion in M. murinus. Results: Our results reject a model of peripatric divergence. Coalescent effective population size estimates were similar for both extant species and larger than that estimated for their most recent common ancestor. Gene tree results show similar levels of incomplete lineage sorting within species with respect to the species tree, and locus-specific estimates of genetic diversity are concordant for both species. Multilocus demographic analyses suggest range expansions for M. murinus, with this species also experiencing more recent population declines over the past 160 thousand years. Conclusions: Results suggest that speciation occurred in allopatry from a common ancestor narrowly distributed throughout southwest Madagascar, with subsequent range expansion for M. murinus. Population decline in M. murinus is likely related to patterns of climate change in Madagascar throughout the Pleistocene, potentially exacerbated by continual anthropogenic perturbation. Genome-level data are needed to quantify the role of niche specialization and adaptation in shaping the current ranges of these species."
"Molecular phylogenetic analysis of the Papionina using concatenation and species tree methods","https://scispace.com/paper/molecular-phylogenetic-analysis-of-the-papionina-using-3esr691t49","2014","Journal Article","Journal of Human Evolution","Elaine E. Guevara
Michael E. Steiper","10.1016/J.JHEVOL.2013.09.003","https://www.academia.edu/download/51375347/j.jhevol.2013.09.00320170116-20811-or54wz.pdf","… of African cercopithecid monkeys whose evolutionary history … recent concatenated phylogenetic analyses of multilocus datasets … A coalescent-based Bayesian method resulted in a very …",""
"Molecular phylogenetic inference of the howler monkey radiation (Primates: Alouatta)","https://scispace.com/paper/molecular-phylogenetic-inference-of-the-howler-monkey-vt6c8mnc8u","2021","Journal Article","Primates","Esmeralda D. Doyle
Ivan Prates
Ivan Prates
Iracilda Sampaio
Célia Priszkulnik Koiffmann
Wilson A. Silva
Ana Carolina Carnaval
Ana Carolina Carnaval
Eugene E. Harris","10.1007/S10329-020-00854-X","https://drive.google.com/file/d/1S40F0RltJ4-8LlMFkKNGCV5EGuurD67r/view","… positions for coalescent-based phylogenetic inference (see … the concatenated and multispecies coalescent approaches … to those in other multi-locus studies of primates (Pozzi et al. 2014…","Howler monkeys (Alouatta), comprising between nine and 14 species and ranging from southern Mexico to northern Argentina, are the most widely distributed platyrrhines. Previous phylogenetic studies of howlers have used chromosomal and morphological characters and a limited number of molecular markers; however, branching patterns conflict between studies or remain unresolved. We performed a new phylogenetic analysis of Alouatta using both concatenated and coalescent-based species tree approaches based on 14 unlinked non-coding intergenic nuclear regions. Our taxon sampling included five of the seven South American species (Alouatta caraya, Alouatta belzebul, Alouatta guariba, Alouatta seniculus, Alouatta sara) and the two recognized species from Mesoamerica (Alouatta pigra, Alouatta palliata). Similarly to previous studies, our phylogenies supported a Mesoamerican clade and a South American clade. For the South American howlers, both methods recovered the Atlantic Forest endemic A. guariba as sister to all remaining South American species, albeit with moderate support. Moreover, we found no support for the previously proposed sister relationship between A. guariba and A. belzebul. For the first time, a clade composed of A. sara and A. caraya was identified. The relationships among the other South American howlers, however, were not fully supported. Our estimates for divergence times within Alouatta are generally older compared to estimates in earlier studies. However, they conform to recent studies proposing a Miocene age for the Isthmus of Panama and for the uplift of the northern Andes. Our results also point to an early genetic isolation of A. guariba in the Atlantic Forest, in agreement with the hypothesis of biotic exchange across South American rain forests in the Miocene. Collectively, these findings contribute to a better understanding of the diversification processes among howler monkey species; however, they also suggest that further comprehension of the evolutionary history of the Alouatta radiation will rely on broadened taxonomic, geographic, and genomic sampling."
"Dating primate divergences through an integrated analysis of palaeontological and molecular data","https://scispace.com/paper/dating-primate-divergences-through-an-integrated-analysis-of-5a28cjqics","2011","Journal Article","Systematic Biology","Richard D. Wilkinson
Michael E. Steiper
Christophe Soligo
Robert D. Martin
Ziheng Yang
Simon Tavaré","10.1093/SYSBIO/SYQ054","https://academic.oup.com/sysbio/article-pdf/60/1/16/24207304/syq054.pdf","… This is the phylogeny used for the molecular dating analysis. Note that 2 species (Colobus guereza and Aotus nancymaae) are missing data for locus 1, whereas 6 species are missing …","Estimation of divergence times is usually done using either the fossil record or sequence data from modern species. We provide an integrated analysis of palaeontological and molecular data to give estimates of primate divergence times that utilize both sources of information. The number of preserved primate species discovered in the fossil record, along with their geological age distribution, is combined with the number of extant primate species to provide initial estimates of the primate and anthropoid divergence times. This is done by using a stochastic forwards-modeling approach where speciation and fossil preservation and discovery are simulated forward in time. We use the posterior distribution from the fossil analysis as a prior distribution on node ages in a molecular analysis. Sequence data from two genomic regions (CFTR on human chromosome 7 and the CYP7A1 region on chromosome 8) from 15 primate species are used with the birth-death model implemented in mcmctree in PAML to infer the posterior distribution of the ages of 14 nodes in the primate tree. We find that these age estimates are older than previously reported dates for all but one of these nodes. To perform the inference, a new approximate Bayesian computation (ABC) algorithm is introduced, where the structure of the model can be exploited in an ABC-within-Gibbs algorithm to provide a more efficient analysis. (Approximate Bayesian computation; molecular phylogeny; palaeontological data; primate divergence.) Fossil evidence is the only direct source of infor- mation about long-extinct species and their evolution. Morphological similarities between extant species and fossil remains are used to infer the existence of ancestral species during the geological period to which the fossil is allocated. Conditional on there being no classification or dating error, the fossil's age provides a minimum bound for the divergence time of the evolutionary lin- eage it represents. Sequence data from extant species provide an indi- rect source of information about evolutionary history. The pattern and variability observed in homologous sequences of DNA from different species contain traces of the history of the divergence and evolution of the phylogeny, and mathematical models of evolution can be used to combine our knowledge of genetics with the sequence data to extract information about evolu- tionary history, particularly divergence times. Many methods and models have been proposed with this aim, but all rely in some way on fossil evidence, as an ex- ternal source of information must be used to calibrate"
"… of Robust Capuchin Monkey (Sapajus) Evolutionary History Using Genome-Wide SNP Marker Data and a Bayesian Approach to Species Delimitation","https://scispace.com/paper/NGqI62oHU9cJ","","","","AB Martins
MM Valença-Montenegro
MGM Lima","","","… likelihood, multispecies coalescent phylogenetic inference, … data from mitochondrial and certain nuclear markers (… also applied a species delimitation approach within our MSC analysis, …",""
"Primate phylogenomics uncovers multiple rapid radiations and ancient interspecific introgression","https://scispace.com/paper/primate-phylogenomics-uncovers-multiple-rapid-radiations-and-41y7utrenw","2020","Posted Content","bioRxiv","Dan Vanderpool
Bui Quang Minh
Robert Lanfear
Daniel S.T. Hughes
Shwetha C. Murali
R. Alan Harris
Muthuswamy Raveendran
Donna M. Muzny
Richard A. Gibbs
Kim C. Worley
Jeffrey Rogers
Matthew W. Hahn","10.1101/2020.04.15.043786","https://journals.plos.org/plosbiology/article/file?id=10.1371%2Fjournal.pbio.3000954&type=printable","… To address this and other phylogenetic questions, here, we … Table), as well as multiple species with population samples of whole … fossil-calibrated molecular dating analyses to estimate …","Our understanding of the evolutionary history of primates is undergoing continual revision due to ongoing genome sequencing efforts. Bolstered by growing fossil evidence, these data have led to increased acceptance of once controversial hypotheses regarding phylogenetic relationships, hybridization and introgression, and the biogeographical history of primate groups. Among these findings is a pattern of recent introgression between species within all major primate groups examined to date, though little is known about introgression deeper in time. To address this and other phylogenetic questions, here we present new reference genome assemblies for three Old World Monkey species: Colobus angolensis ssp. palliatus (the black and white colobus), Macaca nemestrina (southern pig-tailed macaque), and Mandrillus leucophaeus (the drill). We combine these data with 23 additional primate genomes to estimate both the species tree and individual gene trees using thousands of loci. While our species tree is largely consistent with previous phylogenetic hypotheses, the gene trees reveal high levels of genealogical discordance associated with multiple primate radiations. We use strongly asymmetric patterns of gene tree discordance around specific branches to identify multiple instances of introgression between ancestral primate lineages. In addition, we exploit recent fossil evidence to perform fossil-calibrated molecular dating analyses across the tree. Taken together, our genome-wide data help to resolve multiple contentious sets of relationships among primates, while also providing insight into the biological processes and technical artifacts that led to the disagreements in the first place."
"An In Silico Comparison of Protocols for Dated Phylogenomics","https://scispace.com/paper/an-in-silico-comparison-of-protocols-for-dated-phylogenomics-4a8burakpx","2018","Journal Article","Systematic Biology","Rupert A. Collins
Rupert A. Collins
Tomas Hrbek
Tomas Hrbek","10.1093/SYSBIO/SYX089","https://academic.oup.com/sysbio/article-pdf/67/4/633/25055698/syx089.pdf","… with the exception of the mitochondrial genome data set and … the two methods in terms of their phylogenetic performance … To facilitate this in silico study we will use 23 primate species …","In the age of genome-scale DNA sequencing, choice of molecular marker arguably remains an important decision in planning a phylogenetic study. Using published genomes from 23 primate species, we make a standardized comparison of four of the most frequently used protocols in phylogenomics, viz., targeted sequence-enrichment using ultraconserved element and exon-capture probes, and restriction-site-associated DNA sequencing (RADseq and ddRADseq). Here, we present a procedure to perform in silico extractions from genomes and create directly comparable data sets for each class of marker. We then compare these data sets in terms of both phylogenetic resolution and ability to consistently and precisely estimate clade ages using fossil-calibrated molecular-clock models. Furthermore, we were also able to directly compare these results to previously published data sets from Sanger-sequenced nuclear exons and mitochondrial genomes under the same analytical conditions. Our results show-although with the exception of the mitochondrial genome data set and the smallest ddRADseq data set-that for uncontroversial nodes all data classes performed equally well, that is they recovered the same well supported topology. However, for one difficult-to-resolve node comprising a rapid diversification, we report well supported but conflicting topologies among the marker classes consistent with the mismodeling of gene tree heterogeneity as demonstrated by species tree analyses of single nucleotide polymorphisms. Likewise, clade age estimates showed consistent discrepancies between data sets under strict and relaxed clock models; for recent nodes, clade ages estimated by nuclear exon data sets were younger than those of the UCE, RADseq and mitochondrial data, but vice versa for the deepest nodes in the primate phylogeny. This observation is explained by temporal differences in phylogenetic informativeness (PI), with the data sets with strong PI peaks toward the present underestimating the deepest node ages. Finally, we conclude by emphasizing that while huge numbers of loci are probably not required for uncontroversial phylogenetic questions-for which practical considerations such as ease of data generation, sharing, and aggregating, therefore become increasingly important-accurately modeling heterogeneous data remains as relevant as ever for the more recalcitrant problems."
"Mitochondrial Genome Sequences Effectively Reveal the Phylogeny of Hylobates Gibbons","https://scispace.com/paper/mitochondrial-genome-sequences-effectively-reveal-the-4u3zfjrpzk","2010","Journal Article","PLOS ONE","Yi-Chiao Chan
Christian Roos
Miho Inoue-Murayama
Eiji Inoue
Chih-Chin Shih
Kurtis Jai-Chyi Pei
Linda Vigilant","10.1371/JOURNAL.PONE.0014419","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0014419&type=printable","… Moreover, molecular dating of the mitogenomic divergence times … relationships among gibbons and six outgroup primates were … Our analysis of mtDNAs from six of seven species of …","Background: Uniquely among hominoids, gibbons exist as multiple geographically contiguous taxa exhibiting distinctive behavioral, morphological, and karyotypic characteristics. However, our understanding of the evolutionary relationships of the various gibbons, especially among Hylobates species, is still limited because previous studies used limited taxon sampling or short mitochondrial DNA (mtDNA) sequences. Here we use mtDNA genome sequences to reconstruct gibbon phylogenetic relationships and reveal the pattern and timing of divergence events in gibbon evolutionary history. Methodology/Principal Findings: We sequenced the mitochondrial genomes of 51 individuals representing 11 species belonging to three genera (Hylobates, Nomascus and Symphalangus) using the high-throughput 454 sequencing system with the parallel tagged sequencing approach. Three phylogenetic analyses (maximum likelihood, Bayesian analysis and neighbor-joining) depicted the gibbon phylogenetic relationships congruently and with strong support values. Most notably, we recover a well-supported phylogeny of the Hylobates gibbons. The estimation of divergence times using Bayesian analysis with relaxed clock model suggests a much more rapid speciation process in Hylobates than in Nomascus. Conclusions/Significance: Use of more than 15 kb sequences of the mitochondrial genome provided more informative and robust data than previous studies of short mitochondrial segments (e.g., control region or cytochrome b) as shown by the reliable reconstruction of divergence patterns among Hylobates gibbons. Moreover, molecular dating of the mitogenomic divergence times implied that biogeographic change during the last five million years may be a factor promoting the speciation of Sundaland animals, including Hylobates species."
