"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://link.springer.com/content/pdf/10.1186/1471-2148-14-72.pdf","… Africa, several of the dwarf galago species recognized more recently are restricted to East Africa [3]… applied a coalescence-based species tree approach to phylogenetic inference within …","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group."
"Phylogeography and evolutionary lineage diversity in the small-eared greater galago, Otolemur garnettii (Primates: Galagidae)","https://scispace.com/paper/BAezYRdAwHsJ","","","","A Penna
R Dillon
SK Bearder","","https://par.nsf.gov/servlets/purl/10647470","… in rates of coalescence among species and … Africa, we employed multiple species-delimitation algorithms, haplotype network analyses and divergence-time estimation in a phylogenetic …",""
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex","https://scispace.com/paper/cryptic-diversity-and-species-boundaries-within-the-35mpmiaq7i","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/J.YMPEV.2020.106887","https://drive.google.com/file/d/1JK5suoNTciNp_IjKUh6I4VVLk4Yfcnm8/view","… Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. … data and comparing multiple species delimitation methods. …",""
"Using a multi-gene approach to infer the complicated phylogeny and evolutionary history of lorises (Order Primates: Family Lorisidae)","https://scispace.com/paper/using-a-multi-gene-approach-to-infer-the-complicated-296tx7lpi9","2018","Journal Article","Molecular Phylogenetics and Evolution","Rachel A. Munds
Rachel A. Munds
Chelsea L. Titus
Lori S. Eggert
Gregory E. Blomquist","10.1016/J.YMPEV.2018.05.025","","… Past phylogenetic loris studies resulted in lorises being monophyletic, paraphyletic, or an … related galagos. The purpose of our study is to improve our understanding of loris phylogeny …",""
"Molecular evidence on primate origins and evolution","https://scispace.com/paper/_-U_5efytswJ","","","","RL Raaum","","https://www.researchgate.net/profile/Ryan-Raaum/publication/283483354_Molecular_evidence_on_primate_origins_and_evolution/links/57a0a66608aeb16048326f83/Molecular-Evidence-on-Primate-Origins-and-Evolution.pdf","… The most recent molecular phylogenetic studies of primate … reciprocal monophyly of the living galagos and lorises, but the … al. repeated their multispecies coalescent analysis with data …",""
"Quantitatively defining species boundaries with more efficiency and more biological realism","https://scispace.com/paper/quantitatively-defining-species-boundaries-with-more-ap81yfv5","2022","Journal Article","Communications biology","Jordan Douglas
Remco R. Bouckaert","10.1038/s42003-022-03723-z","https://www.nature.com/articles/s42003-022-03723-z.pdf","… method based on the multispecies coalescent model that is more … to two datasets (Hemidactylus and Galagidae) and find … pitfalls underlying traditional phylogenetic analyses which …","Abstract We introduce a widely applicable species delimitation method based on the multispecies coalescent model that is more efficient and more biologically realistic than existing methods. We extend a threshold-based method to allow the ancestral speciation rate to vary through time as a smooth piecewise function. Furthermore, we introduce the cutting-edge proposal kernels of StarBeast3 to this model, thus enabling rapid species delimitation on large molecular datasets and allowing the use of relaxed molecular clock models. We validate these methods with genomic sequence data and SNP data, and show they are more efficient than existing methods at achieving parameter convergence during Bayesian MCMC. Lastly, we apply these methods to two datasets ( Hemidactylus and Galagidae ) and find inconsistencies with the published literature. Our methods are powerful for rapid quantitative testing of species boundaries in large multilocus datasets and are implemented as an open source BEAST 2 package called SPEEDEMON. "
"Cryptic patterns of speciation in cryptic primates: microendemic mouse lemurs and the multispecies coalescent","https://scispace.com/paper/cryptic-patterns-of-speciation-in-cryptic-primates-2vr2onff84","2019","Posted Content","bioRxiv","Dominik Schüßler
Jordi Salmona
Marina B. Blanco
Jelmer W. Poelstra
George P. Tiley
Jean B Andriambeloson
Olivier Bouchez
C. Ryan Campbell
Paul D. Etter
Amaia Iribar
Paul A. Hohenlohe
Kelsie E. Hunnicutt
Eric A. Johnson
Peter A. Larsen
Jasmin Mantilla-Contreras
Sophie Manzi
Alexandra Miller
Blanchard Randrianambinina
David W. Rasolofoson
Amanda R. Stahlke
David W. Weisrock
Rachel C. Williams
Lounès Chikhi
Edward E. Louis
Anne D. Yoder
Ute Radespiel","10.1101/742361","https://academic.oup.com/sysbio/advance-article-pdf/doi/10.1093/sysbio/syaa053/36230419/syaa053.pdf","… In this study, we use a structured framework starting with phylogenetic placement of lineages and culminating with the MSC to delimit species, estimate divergence times, identify …","Species delimitation is ever more critical for assessing biodiversity in threatened regions of the world, with cryptic species and rapid radiations offering two of the greatest challenges, especially when they occur in conjunction. Mouse lemurs (Microcebus) are an example of a rapid, cryptic radiation and here we study five phylogenetic lineages that are found within a restricted geographic area in northeastern Madagascar. To delimit and characterize species diversity we utilize a conceptual framework based on the multispecies coalescent (MSC). Morphometric analyses reveal only minute phenotypic differences among lineages, thus confirming the cryptic nature of taxa. By analyzing genome-wide SNP data, we assess effective population sizes (Ne), divergence times, and patterns of gene flow to inform hypotheses of species delimitation in the context of geographic distribution, ecology and morphological distinction. Differences in Ne have a significant impact on MSC-based species delimitation, particularly with regard to the recently introduced genealogical divergence index (gdi). Lineages with low Ne pass the heuristic gdi test while high Ne lineages fail to delimit a previously recognized species pair. Further, we find that incorporating gene flow into the MSC can greatly affect divergence time estimates. Even so, we are confident that speciation occurred recently and rapidly in this cryptic radiation with reproductive isolation apparent from two areas where divergent lineages occur sympatrically. Finally, we conclude that a previously identified mitochondrial lineage warrants full species status, and provide a species description for this lineage, naming it M. jonahi. Alarmingly, analyses of both whole-genome and RADseq data show a precipitous decline in Ne in this newly described microendemic, thus indicating a high risk of extinction even in the moment of its recognition as a new species."
"Cryptic patterns of speciation in cryptic primates: microendemic mouse lemurs and the multispecies coalescent","https://scispace.com/paper/cryptic-patterns-of-speciation-in-cryptic-primates-2vr2onff84","2019","Posted Content","bioRxiv","Dominik Schüßler
Jordi Salmona
Marina B. Blanco
Jelmer W. Poelstra
George P. Tiley
Jean B Andriambeloson
Olivier Bouchez
C. Ryan Campbell
Paul D. Etter
Amaia Iribar
Paul A. Hohenlohe
Kelsie E. Hunnicutt
Eric A. Johnson
Peter A. Larsen
Jasmin Mantilla-Contreras
Sophie Manzi
Alexandra Miller
Blanchard Randrianambinina
David W. Rasolofoson
Amanda R. Stahlke
David W. Weisrock
Rachel C. Williams
Lounès Chikhi
Edward E. Louis
Anne D. Yoder
Ute Radespiel","10.1101/742361","https://www.biorxiv.org/content/biorxiv/early/2019/10/27/742361.full.pdf","… In this study, we use a structured framework starting with phylogenetic placement of lineages and culminating with the MSC to delimit species, estimate divergence times, identify post-…","Species delimitation is ever more critical for assessing biodiversity in threatened regions of the world, with cryptic species and rapid radiations offering two of the greatest challenges, especially when they occur in conjunction. Mouse lemurs (Microcebus) are an example of a rapid, cryptic radiation and here we study five phylogenetic lineages that are found within a restricted geographic area in northeastern Madagascar. To delimit and characterize species diversity we utilize a conceptual framework based on the multispecies coalescent (MSC). Morphometric analyses reveal only minute phenotypic differences among lineages, thus confirming the cryptic nature of taxa. By analyzing genome-wide SNP data, we assess effective population sizes (Ne), divergence times, and patterns of gene flow to inform hypotheses of species delimitation in the context of geographic distribution, ecology and morphological distinction. Differences in Ne have a significant impact on MSC-based species delimitation, particularly with regard to the recently introduced genealogical divergence index (gdi). Lineages with low Ne pass the heuristic gdi test while high Ne lineages fail to delimit a previously recognized species pair. Further, we find that incorporating gene flow into the MSC can greatly affect divergence time estimates. Even so, we are confident that speciation occurred recently and rapidly in this cryptic radiation with reproductive isolation apparent from two areas where divergent lineages occur sympatrically. Finally, we conclude that a previously identified mitochondrial lineage warrants full species status, and provide a species description for this lineage, naming it M. jonahi. Alarmingly, analyses of both whole-genome and RADseq data show a precipitous decline in Ne in this newly described microendemic, thus indicating a high risk of extinction even in the moment of its recognition as a new species."
"Phylogenomics reveals the origin of mammal lice out of Afrotheria","https://scispace.com/paper/phylogenomics-reveals-the-origin-of-mammal-lice-out-of-9w7qpi7f","2022","Journal Article","Nature Ecology and Evolution","Kevin P. Johnson
Conrad A. Matthee
Jorge Doña","10.1038/s41559-022-01803-1","https://par.nsf.gov/servlets/purl/10345580","… within primates (galagos and Madagascan lemurs, coalescent louse tree). … coalescent) estimated for this group against a phylogeny for their mammal hosts. For the mammal phylogeny…",""
"Not one, but multiple radiations underlie the biodiversity of Madagascar's endangered lemurs","https://scispace.com/paper/not-one-but-multiple-radiations-underlie-the-biodiversity-of-1miwahr9","2023","Posted Content","bioRxiv","Kathryn M. Everson
Luca Pozzi
Meredith A. Barrett
Mary E. Blair
Mariah E. Donohue
Peter M. Kappeler
Andrew C. Kitchener
Alan R. Lemmon
Emily Moriarty Lemmon
Carlos J. Pavón-Vázquez
Ute Radespiel
Blanchard Randrianambinina
Rodin M. Rasoloarison
Solofonirina Rasoloharijaona
Christian Roos
Jordi Salmona
Anne D. Yoder
Rosana Zenil-Ferguson
Dietmar Zinner
David W. Weisrock","10.1101/2023.04.26.537867","https://scispace.com/pdf/not-one-but-multiple-radiations-underlie-the-biodiversity-of-1miwahr9.pdf","… Given abiding uncertainty about phylogenetic 95 … the family Galagidae (specifically the genera Galago and Paragalago), … We analyzed RADseq data with multispecies coalescent (MSC) …","Lemurs are a well-known example of adaptive radiation. Since colonizing Madagascar, more than 100 extant lemur species have evolved to fill the variety of ecological niches on the island. However, recent work suggests that lemurs do not exhibit one of the hallmarks of adaptive radiations: explosive speciation rates that decline over time. We test this idea using a phylogenomic dataset with broad taxonomic sampling of lemurs and their sister group, the lorisiforms of Asia and continental Africa. We find higher rates of speciation in Madagascar’s lemurs compared to lorisiforms and we confirm that lemurs did not experience an “early burst” of speciation after colonizing Madagascar. Instead, we identify three independent bursts of speciation approximately 15 million years ago that underly much of today’s lemur diversity. We demonstrate that the lemur clades with exceptionally high diversification rates have higher rates of introgression. This suggests that hybridization in these primates is not an evolutionary dead- end, but a driving force for diversification. Considering the conservation crisis affecting strepsirrhine primates, with approximately 95% of species being threatened with extinction, this phylogenomic study offers a new perspective for explaining Madagascar’s exceptional primate diversity and reveals patterns of speciation, extinction, and gene flow that will help inform future conservation decisions."
