"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Estimating phylogenetic trees from genome-scale data","https://scispace.com/paper/estimating-phylogenetic-trees-from-genome-scale-data-mn6gj2gai905","2022","Repository","","Liu Liang
Xi Zhenxiang
Wu Shaoyuan
Davis Charles
Edwards, Scott V., ","10.48550/arxiv.1501.03578","","As researchers collect increasingly large molecular data sets to reconstruct the Tree of Life, the heterogeneity of signals in the genomes of diverse organisms poses challenges for traditional phylogenetic analysis. A class of phylogenetic methods known as ""species tree methods"" have been proposed to directly address one important source of gene tree heterogeneity, namely the incomplete lineage sorting or deep coalescence that occurs when evolving lineages radiate rapidly, resulting in a diversity of gene trees from a single underlying species tree. Although such methods are gaining in popularity, they are being adopted with caution in some quarters, in part because of an increasing number of examples of strong phylogenetic conflict between concatenation or supermatrix methods and species tree methods. Here we review theory and empirical examples that help clarify these conflicts. Thinking of concatenation as a special case of the more general model provided by the multispecies coalescent can help explain a number of differences in the behavior of the two methods on phylogenomic data sets. Recent work suggests that species tree methods are more robust than concatenation approaches to some of the classic challenges of phylogenetic analysis, including rapidly evolving sites in DNA sequences, base compositional heterogeneity and long branch attraction. We show that approaches such as binning, designed to augment the signal in species tree analyses, can distort the distribution of gene trees and are inconsistent. Computationally efficient species tree methods that incorporate biological realism are a key to phylogenetic analysis of whole genome data. ",""
"Estimating phylogenetic trees from genome-scale data.","https://scispace.com/paper/estimating-phylogenetic-trees-from-genome-scale-data-2ibwr1gw2b","2015","Journal Article","Annals of the New York Academy of Sciences","Liang Liu
Zhenxiang Xi
Shaoyuan Wu
Charles C. Davis
Scott V. Edwards","10.1111/NYAS.12747","https://arxiv.org/pdf/1501.03578.pdf","The heterogeneity of signals in the genomes of diverse organisms poses challenges for traditional phylogenetic analysis. Phylogenetic methods known as ""species tree"" methods have been proposed to directly address one important source of gene tree heterogeneity, namely the incomplete lineage sorting that occurs when evolving lineages radiate rapidly, resulting in a diversity of gene trees from a single underlying species tree. Here we review theory and empirical examples that help clarify conflicts between species tree and concatenation methods, and misconceptions in the literature about the performance of species tree methods. Considering concatenation as a special case of the multispecies coalescent model helps explain differences in the behavior of the two methods on phylogenomic data sets. Recent work suggests that species tree methods are more robust than concatenation approaches to some of the classic challenges of phylogenetic analysis, including rapidly evolving sites in DNA sequences and long-branch attraction. We show that approaches, such as binning, designed to augment the signal in species tree analyses can distort the distribution of gene trees and are inconsistent. Computationally efficient species tree methods incorporating biological realism are a key to phylogenetic analysis of whole-genome data.","It is shown that approaches, such as binning, designed to augment the signal in species tree analyses can distort the distribution of gene trees and are inconsistent, and that Computationally efficient species tree methods incorporating biological realism are a key to phylogenetic analysis of whole‐genome data."
"ASTRAL: genome-scale coalescent-based species tree estimation","https://scispace.com/paper/astral-genome-scale-coalescent-based-species-tree-estimation-g0hyfzwq1y","2014","Journal Article","Bioinformatics","Siavash Mirarab
Rezwana Reaz
Md. Shamsuzzoha Bayzid
Théo Zimmermann
M. S. Swenson
Tandy Warnow","10.1093/BIOINFORMATICS/BTU462","https://scispace.com/pdf/astral-genome-scale-coalescent-based-species-tree-estimation-g0hyfzwq1y.pdf","Motivation: Species trees provide insight into basic biology, including the mechanisms of evolution and how it modifies biomolecular function and structure, biodiversity and co-evolution between genes and species. Yet, gene trees often differ from species trees, creating challenges to species tree estimation. One of the most frequent causes for conflicting topologies between gene trees and species trees is incomplete lineage sorting (ILS), which is modelled by the multi-species coalescent. While many methods have been developed to estimate species trees from multiple genes, some which have statistical guarantees under the multi-species coalescent model, existing methods are too computationally intensive for use with genome-scale analyses or have been shown to have poor accuracy under some realistic conditions.

Results: We present ASTRAL, a fast method for estimating species trees from multiple genes. ASTRAL is statistically consistent, can run on datasets with thousands of genes and has outstanding accuracy—improving on MP-EST and the population tree from BUCKy, two statistically consistent leading coalescent-based methods. ASTRAL is often more accurate than concatenation using maximum likelihood, except when ILS levels are low or there are too few gene trees.

Availability and implementation: ASTRAL is available in open source form at https://github.com/smirarab/ASTRAL/. Datasets studied in this article are available at http://www.cs.utexas.edu/users/phylo/datasets/astral.

Contact: ude.sionilli@wonraw

Supplementary information: Supplementary data are available at Bioinformatics online.","ASTRAL is a fast method for estimating species trees from multiple genes that is statistically consistent, can run on datasets with thousands of genes and has outstanding accuracy—improving on MP-EST and the population tree from BUCKy, two statistically consistent leading coalescent-based methods."
"Phylogenies from concatenated data: Is the end nigh?","https://scispace.com/paper/phylogenies-from-concatenated-data-is-the-end-nigh-2jy10mdh9i","2015","Journal Article","Taxon","Michael D. Pirie","10.12705/643.1","","Gene trees from independent molecular markers often differ. Simple data matrix concatenation cannot represent the various biologically meaningful processes that underlie these differences, and in an age of high-throughput DNA sequencing and coalescent-based species tree inference methods, the approach seems increasingly quaint. I argue that concatenation still has its place in our suite of approaches, but that care should be taken when deciding which data might be combined under what circumstances. I present recommendations for avoiding the worst pitfalls of the approach.","This work argues that concatenation still has its place in the authors' suite of approaches, but that care should be taken when deciding which data might be combined under what circumstances, and presents recommendations for avoiding the worst pitfalls of the approach."
"ASTRAL-II: coalescent-based species tree estimation with many hundreds of taxa and thousands of genes.","https://scispace.com/paper/astral-ii-coalescent-based-species-tree-estimation-with-many-1pe5ofd91g","2015","Journal Article","Bioinformatics","Siavash Mirarab
Tandy Warnow","10.1093/BIOINFORMATICS/BTV234","https://scispace.com/pdf/astral-ii-coalescent-based-species-tree-estimation-with-many-1pe5ofd91g.pdf","MOTIVATION The estimation of species phylogenies requires multiple loci, since different loci can have different trees due to incomplete lineage sorting, modeled by the multi-species coalescent model. We recently developed a coalescent-based method, ASTRAL, which is statistically consistent under the multi-species coalescent model and which is more accurate than other coalescent-based methods on the datasets we examined. ASTRAL runs in polynomial time, by constraining the search space using a set of allowed 'bipartitions'. Despite the limitation to allowed bipartitions, ASTRAL is statistically consistent. RESULTS We present a new version of ASTRAL, which we call ASTRAL-II. We show that ASTRAL-II has substantial advantages over ASTRAL: it is faster, can analyze much larger datasets (up to 1000 species and 1000 genes) and has substantially better accuracy under some conditions. ASTRAL's running time is [Formula: see text], and ASTRAL-II's running time is [Formula: see text], where n is the number of species, k is the number of loci and X is the set of allowed bipartitions for the search space. AVAILABILITY AND IMPLEMENTATION ASTRAL-II is available in open source at https://github.com/smirarab/ASTRAL and datasets used are available at http://www.cs.utexas.edu/~phylo/datasets/astral2/. CONTACT smirarab@gmail.com SUPPLEMENTARY INFORMATION Supplementary data are available at Bioinformatics online.","A new version of ASTRAL is presented, which is statistically consistent under the multi-species coalescent model and which is more accurate than other coalescent-based methods on the datasets the authors examined, and has substantially better accuracy under some conditions."
"Phylogenetic Model Choice: Justifying a Species Tree or Concatenation","https://scispace.com/paper/phylogenetic-model-choice-justifying-a-species-tree-or-2mw5w7dqhm","2013","","","AnalysisDavid McVay
Bryan C. Carstens","","","There are two paradigms for the phylogenetic analysis of multi-locus sequence data: one which forces all genes to share the same underlying history, and another that allows genes to follow idiosyncratic patterns of descent from ancestral alleles. The first of these approaches (concatenation) is clearly a simplified model of the actual process of genome evolution while the second (species-tree methods) may be overly complex for histories characterized by long divergence times between cladogenesis. Rather than making an a priori determination concerning which of these phylogenetic models to apply to our data, we seek to provide a framework for choosing between concatenation and species-tree methods that treat genes as independently evolving lineages. We demonstrate that parametric bootstrapping can be used to assess the extent to which genealogical incongruence across loci can be attributed to phylogenetic estimation error, and demonstrate the application of our approach using an empirical dataset from 10 species of the Natricine snake sub-family. Since our data exhibit incongruence across loci that are clearly caused by a mixture of coalescent stochasticity and phyogenetic estimation error, we also develop an approach for choosing among species tree estimation methods that take gene trees as input and those that simultaneously estimate gene trees and species trees.","In this article, a framework for choosing between concatenation and species-tree methods that treat genes as independently evolving lineages is proposed, and the authors demonstrate that parametric bootstrapping can be used to assess the extent to which genealogical incongruence across loci can be attributed to phylogenetic estimation error."
"Phylogenetic Model Choice: Justifying a Species Tree or Concatenation Analysis","https://scispace.com/paper/phylogenetic-model-choice-justifying-a-species-tree-or-4rqrs6zu2i","2013","Journal Article","","John D. McVay
Bryan C. Carstens","10.4172/2329-9002.1000114","","There are two paradigms for the phylogenetic analysis of multi-locus sequence data: one which forces all genes to share the same underlying history, and another that allows genes to follow idiosyncratic patterns of descent from ancestral alleles. The first of these approaches (concatenation) is clearly a simplified model of the actual process of genome evolution while the second (species-tree methods) may be overly complex for histories characterized by long divergence times between cladogenesis. Rather than making an a priori determination concerning which of these phylogenetic models to apply to our data, we seek to provide a framework for choosing between concatenation and species-tree methods that treat genes as independently evolving lineages. We demonstrate that parametric bootstrapping can be used to assess the extent to which genealogical incongruence across loci can be attributed to phylogenetic estimation error, and demonstrate the application of our approach using an empirical dataset from 10 species of the Natricine snake sub-family. Since our data exhibit incongruence across loci that are clearly caused by a mixture of coalescent stochasticity and phyogenetic estimation error, we also develop an approach for choosing among species tree estimation methods that take gene trees as input and those that simultaneously estimate gene trees and species trees.","It is demonstrated that parametric bootstrapping can be used to assess the extent to which genealogical incongruence across loci can be attributed to phylogenetic estimation error, and an approach for choosing among species tree estimation methods that take gene trees as input and those that simultaneously estimate gene trees and species trees is developed."
"Species Tree Estimation Using ASTRAL: Practical Considerations","https://scispace.com/paper/species-tree-estimation-using-astral-practical-1azvychfr0","2019","Posted Content","arXiv: Populations and Evolution","Siavash Mirarab","","https://arxiv.org/pdf/1904.03826.pdf","ASTRAL is a method for reconstructing species trees after inferring a set of gene trees and is increasingly used in phylogenomic analyses. It is statistically consistent under the multi-species coalescent model, is scalable, and has shown high accuracy in simulated and empirical studies. This chapter discusses practical considerations in using ASTRAL, starting with a review of published results and pointing to the strengths and weaknesses of species tree estimation using ASTRAL. It then continues to detail the best ways to prepare input gene trees, interpret ASTRAL outputs, and perform follow-up analyses.","This chapter discusses practical considerations in using ASTRAL, starting with a review of published results and pointing to the strengths and weaknesses of species tree estimation using ASTAR, then continuing to detail the best ways to prepare input gene trees, interpret ASTRal outputs, and perform follow-up analyses."
"Recombination and Phylogenetic Inference","https://scispace.com/paper/recombination-and-phylogenetic-inference-zrn9nwgey8h4","2025","Journal Article","Evolutionary Journal of the Linnean Society","Bruce Rannala","10.1093/evolinnean/kzaf016","","I explore the problem of inferring phylogenetic trees in the presence of recombination. Two widely used approaches are considered: concatenation methods assume all loci have one underlying gene tree; and species tree inference methods assume one gene tree underlies each locus (no intralocus recombination) and loci have independent gene trees (high interlocus recombination). The impact of recombination is different under these two approaches. Three strategies for addressing the impacts of recombination are considered: (i) studies of the statistical robustness of phylogenetic inference methods when recombination occurs and is not accounted for (if impacts are minimal, recombination can be safely ignored); (ii) methods that accommodate recombination by identifying recombinant regions to either eliminate recombinant loci (to reduce intralocus recombination) or to choose loci that are separated by multiple recombinations (to increase interlocus recombination); and (iii) methods for phylogenetic inference that aim to accommodate recombination by inferring breakpoints between regions of sequences with different gene trees or allow varying topology along a sequence. I conclude that recombination is likely to be more detrimental for concatenation methods, having little impact on topology or divergence time estimates for species tree inference methods. Recombination detection may not be necessary when performing species tree inference, and eliminating recombinant loci may bias parameter estimates. Methods allowing gene trees to vary across the genome still lack theory-based criteria for combining inferred gene trees to estimate a species tree; this could in principle be done using a multispecies coalescent model with recombination but is a considerable technical challenge. ","This study examines the impact of recombination on phylogenetic inference, concluding that recombination is more detrimental to concatenation methods, but has minimal effect on species tree inference methods, which may not require recombination detection or elimination of recombinant loci."
"Evaluating Summary Methods for Multilocus Species Tree Estimation in the Presence of Incomplete Lineage Sorting.","https://scispace.com/paper/evaluating-summary-methods-for-multilocus-species-tree-112dh3y411","2016","Journal Article","Systematic Biology","Siavash Mirarab
Shamsuzzoha Bayzid
Tandy Warnow
Tandy Warnow","10.1093/SYSBIO/SYU063","https://scispace.com/pdf/evaluating-summary-methods-for-multilocus-species-tree-112dh3y411.pdf","Species tree estimation is complicated by processes, such as gene duplication and loss and incomplete lineage sorting (ILS), that cause discordance between gene trees and the species tree. Furthermore, while concatenation, a traditional approach to tree estimation, has excellent performance under many conditions, the expectation is that the best accuracy will be obtained through the use of species tree estimation methods that are specifically designed to address gene tree discordance. In this article, we report on a study to evaluate MP-EST-one of the most popular species tree estimation methods designed to address ILS-as well as concatenation under maximum likelihood, the greedy consensus, and two supertree methods (Matrix Representation with Parsimony and Matrix Representation with Likelihood). Our study shows that several factors impact the absolute and relative accuracy of methods, including the number of gene trees, the accuracy of the estimated gene trees, and the amount of ILS. Concatenation can be more accurate than the best summary methods in some cases (mostly when the gene trees have poor phylogenetic signal or when the level of ILS is low), but summary methods are generally more accurate than concatenation when there are an adequate number of sufficiently accurate gene trees. Our study suggests that coalescent-based species tree methods may be key to estimating highly accurate species trees from multiple loci.","A study to evaluate MP-EST-one of the most popular species tree estimation methods designed to address ILS-as well as concatenation under maximum likelihood, the greedy consensus, and two supertree methods (Matrix Representation with Parsimony and Matrix representation with Likelihood)."
