"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"On the Robustness to Gene Tree Estimation Error (or lack thereof) of Coalescent-Based Species Tree Methods","https://scispace.com/paper/on-the-robustness-to-gene-tree-estimation-error-or-lack-31yn854edd","2015","Journal Article","Systematic Biology","Sebastien Roch
Tandy Warnow","10.1093/sysbio/syv016","https://www.zotero.org/johankarlssonk9/items/AASK7WH8/attachment/NGP4FVFH/reader","The estimation of species trees using multiple loci has become increasingly common. Because dierent loci can have dierent phylogenetic histories (reected in dierent gene tree topologies) for multiple biological causes, new approaches to species tree"
"Gene tree discordance, phylogenetic inference and the multispecies coalescent","https://scispace.com/paper/gene-tree-discordance-phylogenetic-inference-and-the-4am74nkfjw","06/2009","Journal Article","Trends in Ecology and Evolution","James H. Degnan
Noah A. Rosenberg","10.1016/j.tree.2009.01.009","https://www.zotero.org/johankarlssonk9/items/P9GMKSZP/attachment/JQMXGQVZ/reader","The field of phylogenetics is entering a new era in which trees of historical relationships between species are increasingly inferred from multilocus and genomic data. A major challenge for incorporating such large amounts of data into inference of species trees is that conflicting genealogical histories often exist in different genes throughout the genome. Recent advances in genealogical modeling suggest that resolving close species relationships is not quite as simple as applying more data to the problem. Here we discuss the complexities of genealogical discordance and review the issues that new methods for multilocus species tree inference will need to address to account successfully for naturally occurring genomic variability in evolutionary histories."
"A coalescent perspective on delimiting and naming species: a reply to Bauer <i>et al.</i>","https://scispace.com/paper/a-coalescent-perspective-on-delimiting-and-naming-species-a-3rpz1wthwt","2011","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Matthew K. Fujita
Adam D. Leaché","10.1098/rspb.2010.1864","https://www.zotero.org/johankarlssonk9/items/3FR8XPQY/attachment/I449BFKA/reader","‘Our classifications will come to be, as far as they can be so made, genealogies … The rules for classifying will no doubt become simpler when we have a definite object in view.’ (Darwin [[1][1]], p. 486).

Our paper about species delimitation in African forest geckos ( Hemidactylus fasciatus"
"StarBEAST2 brings faster species tree inference and accurate estimates of substitution rates","https://scispace.com/paper/starbeast2-brings-faster-species-tree-inference-and-accurate-2jr2zj1xsf","2017","Journal Article","Molecular Biology and Evolution","Huw A. Ogilvie
Remco R. Bouckaert
Alexei J. Drummond","10.1093/molbev/msx126","https://scispace.com/pdf/starbeast2-brings-faster-species-tree-inference-and-accurate-2jr2zj1xsf.pdf","Fully Bayesian multispecies coalescent (MSC) methods like *BEAST estimate species trees from multiple sequence alignments. Today thousands of genes can be sequenced for a given study, but using that many genes with *BEAST is intractably slow. An alternative is to use heuristic methods which compromise accuracy or completeness in return for speed. A common heuristic is concatenation, which assumes that the evolutionary history of each gene tree is identical to the species tree. This is an inconsistent estimator of species tree topology, a worse estimator of divergence times, and induces spurious substitution rate variation when incomplete lineage sorting is present. Another class of heuristics directly motivated by the MSC avoids many of the pitfalls of concatenation but cannot be used to estimate divergence times. To enable fuller use of available data and more accurate inference of species tree topologies, divergence times, and substitution rates, we have developed a new version of *BEAST called StarBEAST2. To improve convergence rates we add analytical integration of population sizes, novel MCMC operators and other optimizations. Computational performance improved by 13.5× and 13.8× respectively when analyzing two empirical data sets, and an average of 33.1× across 30 simulated data sets. To enable accurate estimates of per-species substitution rates, we introduce species tree relaxed clocks, and show that StarBEAST2 is a more powerful and robust estimator of rate variation than concatenation. StarBEAST2 is available through the BEAUTi package manager in BEAST 2.4 and above."
"Visualizing multispecies coalescent trees drawing gene trees inside species trees arXiv","https://scispace.com/paper/Q9EHBZ5E","2022","Document","","Visualization 2022","10.48550/arxiv.2210.06744","",""
"Phylogenomics and the reconstruction of the tree of life","https://scispace.com/paper/IU7VISB3","5/2005","Journal Article","Nature Reviews Genetics","Frédéric Delsuc
Henner Brinkmann
Hervé Philippe","10.1038/nrg1603","https://www.zotero.org/johankarlssonk9/items/IU7VISB3/attachment/3VNXDIAU/reader","As more complete genomes are sequenced, phylogenetic analysis is entering a new era — that of phylogenomics. One branch of this expanding field aims to reconstruct the evolutionary history of organisms on the basis of the analysis of their genomes. Recent studies have demonstrated the power of this approach, which has the potential to provide answers to several fundamental evolutionary questions. However, challenges for the future have also been revealed. The very nature of the evolutionary history of organisms and the limitations of current phylogenetic reconstruction methods mean that part of the tree of life might prove difficult, if not impossible, to resolve with confidence."
"Coalescent models reveal the relative roles of ancestral polymorphism, vicariance, and dispersal in shaping phylogeographical structure of an African montane forest robin","https://scispace.com/paper/a-genetic-perspective-on-the-geographic-association-of-taxa-2jzk2w1cr8","2006","Journal Article","Molecular Phylogenetics and Evolution","Rauri C. K. Bowie
Jon Fjeldså
Shannon J. Hackett
John M. Bates
Timothy M. Crowe","10.1016/j.ympev.2005.04.033","https://people.clarkson.edu/~jschulte/Schulte_Lab_at_Clarkson_University/Publications_files/Schulteetal06MPE.pdf",""
"Coalescent models reveal the relative roles of ancestral polymorphism, vicariance, and dispersal in shaping phylogeographical structure of an African montane forest robin","https://scispace.com/paper/coalescent-models-reveal-the-relative-roles-of-ancestral-2c1w1u7rl3","2006","Journal Article","Molecular Phylogenetics and Evolution","Rauri CK Bowie
Jon Fjeldså
Shannon J. Hackett
John M. Bates
Timothy M. Crowe","10.1016/J.YMPEV.2005.06.001","https://www.zotero.org/johankarlssonk9/items/BH46P4NJ/attachment/P2EF57VB/reader",""
"Topics in Phylogenetic Species Tree Inference under the Coalescent Model","https://scispace.com/paper/topics-in-phylogenetic-species-tree-inference-under-the-4deiwwi86p","2016","Thesis","","Yuan Tian","","https://www.zotero.org/johankarlssonk9/items/Y32QHMXF/attachment/FY4ST3Z6/reader","Phylogenetic tree inference is a fundamental tool to estimate the ancestor-descendant relationships for di↵erent species. Currently, it is of great interest to explore the evolutionary relationships for a set of species for which DNA data have been collected and thus accurate and e cient methods are required to estimate phylogenetic trees. However, because the evolutionary relationships can be analyzed at two distinct levels (gene trees and species trees), and it is not necessary for the gene trees and species trees to agree with one another, phylogenetic inference has become increasingly complicated. Incomplete lineage sorting (ILS) is considered to be one of the major factors that cause disagreement between species trees and gene trees. The coalescent process is a widely-accepted model for ILS, and numerous genealogy-based phylogenetic inference methods have been established based on the coalescent model. In this thesis, coalescent-based methods for phylogenetic tree inference are studied. In Chapter 2, the expected amount of incongruence between gene trees under the same species tree is considered. More specifically, the extent of gene tree incongruence arising from incomplete lineage sorting, as modeled by the coalescent process, is computed. The results in Chapter 2 highlight the fact that substantial discordance among gene trees may occur, even when the number of species is very small. In Chapter 3, a coalescent model for three species that allows gene flow between both pairs of sister populations is proposed, and the resulting gene tree history distribution ii is derived. The results suggest conditions under which the species tree and associated parameters, such as the ancestral e↵ective population sizes and the rates of gene flow, are not identifiable from the gene tree topology distribution when gene flow is present, but indicate that the coalescent history distribution may identify the species tree and associated parameters. In Chapter 4, a rooting method based on the site pattern probabilities under the coalescent model is developed. The proposed technique provides a method to root every four-taxon species tree within a larger species tree of more than four taxa. The inferred roots for the four-taxon subtrees are then used together to estimate the root for the larger species tree. This rooting method is a computationally feasible method, and is the first method proposed to root a species tree that explicitly incorporates the coalescent process."
"Short branch attraction in phylogenomic inference under the multispecies coalescent Frontiers in Ecology and Evolution","https://scispace.com/paper/BKJ2PTS6","2023","Document","","Liu et al. 2023","10.3389/fevo.2023.1134764","",""
