"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Primate biogeography, diversity, taxonomy and conservation of the coastal forests of Kenya","https://scispace.com/paper/ikRYA3QV5yIJ","","","","YA De Jong
TM Butynski","","https://www.wildsolutions.nl/wp-content/uploads/De-JongButynski2009PrimatesCoastalForestKenya.pdf","… ”, 18% (n=2) as “Endangered”, while 18% (n=2) were not … forest of Kenya have been much reduced, fragmented and … conduct nocturnal primate surveys, surveys on foot within the forest (…",""
"Genetic censusing identifies an unexpectedly sizeable population of an endangered large mammal in a fragmented forest landscape","https://scispace.com/paper/genetic-censusing-identifies-an-unexpectedly-sizeable-6h1vfyhxua","2015","Journal Article","BMC Ecology","Maureen S. McCarthy
Maureen S. McCarthy
Jack D. Lester
Eric J. Howe
Milica Arandjelovic
Craig B. Stanford
Linda Vigilant","10.1186/S12898-015-0052-X","https://link.springer.com/content/pdf/10.1186/s12898-015-0052-x.pdf","… In East Africa, deforestation has led to increasing habitat fragmentation and poses a primary threat to the survival of eastern chimpanzees, Pan troglodytes schweinfurthii [14]. Eastern …","As habitat degradation and fragmentation continue to impact wildlife populations around the world, it is critical to understand the behavioral flexibility of species in these environments. In Uganda, the mostly unprotected forest fragment landscape between the Budongo and Bugoma Forests is a potential corridor for chimpanzees, yet little is known about the status of chimpanzee populations in these fragments. From 2011 through 2013, we noninvasively collected 865 chimpanzee fecal samples across 633 km2 and successfully genotyped 662 (77%) at up to 14 microsatellite loci. These genotypes corresponded to 182 chimpanzees, with a mean of 3.5 captures per individual. We obtained population size estimates of 256 (95% confidence interval 246–321) and 319 (288–357) chimpanzees using capture-with-replacement and spatially explicit capture–recapture models, respectively. The spatial clustering of associated genotypes suggests the presence of at least nine communities containing a minimum of 8–33 individuals each. Putative community distributions defined by the locations of associated genotypes correspond well with the distribution of 14 Y-chromosome haplotypes. These census figures are more than three times greater than a previous estimate based on an extrapolation from small-scale nest count surveys that tend to underestimate population size. The distribution of genotype clusters and Y-chromosome haplotypes together indicate the presence of numerous male philopatric chimpanzee communities throughout the corridor habitat. Our findings demonstrate that, despite extensive habitat loss and fragmentation, chimpanzees remain widely distributed and exhibit distinct community home ranges. Our results further imply that elusive and rare species may adapt to degraded habitats more successfully than previously believed. Their long-term persistence is unlikely, however, if protection is not afforded to them and habitat loss continues unabated."
"Phylogeography and evolutionary lineage diversity in the small-eared greater galago, Otolemur garnettii (Primates: Galagidae)","https://scispace.com/paper/BAezYRdAwHsJ","","","","A Penna
R Dillon
SK Bearder","","https://par.nsf.gov/servlets/purl/10647470","… We successfully amplified long fragments for 28 samples. … garnettii, the first analysis of this kind for this nocturnal primate. We … Most primates are threatened by habitat loss and the pet …",""
"Priority primate areas in Tanzania","https://scispace.com/paper/priority-primate-areas-in-tanzania-599jpgnlsk","2014","Journal Article","Oryx","Tim R.B. Davenport
Katarzyna Nowak
Andrew Perkin","10.1017/S0030605312001676","http://www.cf.tfcg.org/pubs/Davenport%20et%20al.%202014.%20Priority%20primate%20areas%20in%20Tz.pdf","… -restricted and threatened primate species and subspecies … fragmented and human-dominated landscape. Prioritization of … of sites for diurnal and nocturnal primate species, suggesting …","Priority Primate Areas are identified in Tanzania, mainland Africa's most important country for conservation of primates, on the basis of occupancy by globally rare, Red-Listed and range-restricted primate species and subspecies. We provide a comprehensive list and regional assessment of Tanzania's primate taxa, using IUCN Red List criteria, as well as the first national inventory of primates for 62 sites. The Priority Primate Areas, encompassing 102,513 km2, include nine national parks, one conservation area, seven game reserves, six nature reserves, 34 forest reserves and five areas with no official protection status. Primate species were evaluated and ranked on the basis of irreplaceability and vulnerability, using a combination of established and original criteria, resulting in a primate Taxon Conservation Score. Sites were ranked on the basis of summed primate scores. The majority (71%) of Priority Primate Areas are also Important Bird Areas (IBAs), or part of an IBA. Critical subsets of sites were derived through complementarity analyses. Adequate protection of just nine sites, including six national parks (Kilimanjaro, Kitulo, Mahale, Saadani, Udzungwa and Jozani-Chwaka Bay), one nature reserve (Kilombero) and two forest reserves (Minziro and Mgambo), totalling 8,679 km2, would protect all 27 of Tanzania's primate species. The addition of three forest reserves (Rondo, Kilulu Hill and Ngezi) and two game reserves (Grumeti and Biharamulo), results in a list of 14 Priority Primate Areas covering 10,561 km2 (1.1% of Tanzania's total land area), whose conservation would ensure the protection of all 43 of Tanzania's species and subspecies of primates."
"Conservation and ecology of nocturnal primates: night monkeys, galagos, pottos and Angwantibos as case studies","https://scispace.com/paper/conservation-and-ecology-of-nocturnal-primates-night-monkeys-24i4n3sps0a6","2017","Journal Article","","MS Svensson","10.24384/mtzm-7519","https://radar.brookes.ac.uk/radar/file/365a0c78-cc98-4fb2-bcdd-47a299933b4f/1/Svensson2017NocturnalPrimates.pdf","… fragmented habitat on the population biology of night … the conservation status of these cryptic, nocturnal primate species… the newly described galago to be more threatened than we think …","Nocturnal primates are generally understudied compared to their diurnal cousins, and in some\ngeographical areas there is an almost complete dearth of knowledge on nocturnal primates, for\nexample in Angola and the Gambia. Also well-studied species are less known in part of their\ndistribution, thick-tailed greater galago (Otolemur crassicaudatus) in Uganda and the\nPanamanian night monkey (Aotus zonalis) are both a case in point. Further there are topics\nwhere African nocturnal primates in particular previously have been overlooked: trade and\nethnozoological usage. My publications included in this PhD by Published Work document\nthe results of field surveys carried out between 2006 and 2016 across Africa (Uganda, the\nGambia and Angola) as well as Central and South America (Panama and Argentina). They\nfurther include results of desk based studies conducted between 2014 and 2016. My research\nhas focused on the conservation and ecology on often little known nocturnal primates, namely\nnight monkeys (Aotus spp.), galagos (Galago spp., Galagoides spp. and Otolemur spp.),\npottos (Perodicticus spp.) and angwantibos (Arctocebus spp.). The overall goal of my studies\nwas to fill the large information gaps on the ecology, biogeography and conservation status of\nnocturnal primates. Using systematic methods, conducting transects and behavioural\nobservation I have collected data on previously understudied nocturnal primates, including\ndata on their distribution, densities and ecology. These field studies were then combined with\ndata I extracted from the literature, questionnaires and online databases adding to what we\nknow on domestic and international trade in nocturnal primates. I have with my research\nshowed that nocturnal primates of Africa occur more frequently than previously thought\nwithin both the bushmeat and pet trades. I was also able to give an overview of the extent of\ninternational trade in the Neotropical nocturnal primates. Through my research and\nsubsequent publications I have managed to create baselines for further studies and hopefully it\nwill aid in promoting conservation of these nocturnal primates. "
"Leveraging museum genomics to unravel species boundaries and historical biogeography of nocturnal African primates (Galagidae)","https://scispace.com/paper/QT2eis9UqcgJ","","","","APC Penna","","","… of years ago is often fragmented and degraded, studies have … In this nocturnal primate clade, species-level taxa have … by collaborator Pozzi in Kenya and Tanzania. This dataset was …",""
"Priority Primate Areas in Tanzania","https://scispace.com/paper/priority-primate-areas-in-tanzania-599jpgnlsk","2014","Journal Article","Oryx","Tim R.B. Davenport
Katarzyna Nowak
Andrew Perkin","10.1017/S0030605312001676","https://www.academia.edu/download/33577332/Davenport_et_al_2013._Oryx.pdf","… -restricted and threatened primate species and subspecies … fragmented and human-dominated landscape. Prioritization of … of sites for diurnal and nocturnal primate species, suggesting …","Priority Primate Areas are identified in Tanzania, mainland Africa's most important country for conservation of primates, on the basis of occupancy by globally rare, Red-Listed and range-restricted primate species and subspecies. We provide a comprehensive list and regional assessment of Tanzania's primate taxa, using IUCN Red List criteria, as well as the first national inventory of primates for 62 sites. The Priority Primate Areas, encompassing 102,513 km2, include nine national parks, one conservation area, seven game reserves, six nature reserves, 34 forest reserves and five areas with no official protection status. Primate species were evaluated and ranked on the basis of irreplaceability and vulnerability, using a combination of established and original criteria, resulting in a primate Taxon Conservation Score. Sites were ranked on the basis of summed primate scores. The majority (71%) of Priority Primate Areas are also Important Bird Areas (IBAs), or part of an IBA. Critical subsets of sites were derived through complementarity analyses. Adequate protection of just nine sites, including six national parks (Kilimanjaro, Kitulo, Mahale, Saadani, Udzungwa and Jozani-Chwaka Bay), one nature reserve (Kilombero) and two forest reserves (Minziro and Mgambo), totalling 8,679 km2, would protect all 27 of Tanzania's primate species. The addition of three forest reserves (Rondo, Kilulu Hill and Ngezi) and two game reserves (Grumeti and Biharamulo), results in a list of 14 Priority Primate Areas covering 10,561 km2 (1.1% of Tanzania's total land area), whose conservation would ensure the protection of all 43 of Tanzania's species and subspecies of primates."
"Primates in peril: the world's 25 most endangered primates 2008–2010","https://scispace.com/paper/primates-in-peril-the-world-s-25-most-endangered-primates-41icnwjdzm","2006","Journal Article","Primate Conservation","Russell A. Mittermeier
Cláudio Valladares-Pádua
Anthony B. Rylands
Ardith A. Eudey
Thomas M. Butynski
Jörg U. Ganzhorn
Rebecca Kormos
John M. Aguiar
Sally Walker","10.1896/052.024.0101","https://bioone.org/journals/primate-conservation/volume-24/issue-1/052.024.0101/Primates-in-Peril--The-Worlds-25-Most-Endangered-Primates/10.1896/052.024.0101.pdf","… , a galago and the recently described kipunji from Tanzania, … current forest fragments to the corridor c.10 km to the west, … assemblage of 11 diurnal primate species. Researchers from …","Here we report on the ninth iteration of the biennial listing of a consensus of the 25 primate species considered to be among the most endangered worldwide and the most in need of conservation measures. The 2016–2018 list of the world’s 25 most endangered primates has five species from Africa, six from Madagascar, nine from Asia, and five from the Neotropics."
"Remarkable ancient divergences amongst neglected lorisiform primates","https://scispace.com/paper/remarkable-ancient-divergences-amongst-neglected-lorisiform-kqt7ukxfue","2015","Journal Article","Zoological Journal of the Linnean Society","Luca Pozzi
K. Anne-Isola Nekaris
Andrew Perkin
Simon K. Bearder
Elizabeth Pimley
Elizabeth Pimley
Helga Schulze
Ulrike Streicher
Tilo Nadler
Andrew C. Kitchener
Andrew C. Kitchener
Hans Zischler
Dietmar Zinner
Christian Roos","10.1111/ZOJ.12286","https://academic.oup.com/zoolinnean/article-pdf/175/3/661/17013207/zoj12286.pdf","… Although cytb represents only a relative small fragment of the … from GenBank (one galago–Galago matschiei–and 51 lemurs… galago (Galagoides rondoensis), one of the most …",""
"The Lorisiform primates of Asia and mainland Africa","https://scispace.com/paper/7PI1dQ2JfsoJ","","","","A Nekaris
SK Bearder","","https://www.researchgate.net/profile/Simon-Bearder/publication/262067793_Primates_in_Perspective_1st_edition/links/56b1161b08ae795dd5c4dde1/Primates-in-Perspective-1st-edition.pdf","… nocturnal primate species that ensured they avoided competition. Species that spent most time in the forest … 3) from Tanzania are considered critically endangered, and have been …",""
