"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Species boundaries within morphologically cryptic galagos: Evidence from acoustic and genetic data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","… samples are required to effectively address the taxonomic status of the Udzungwa galago. … The taxonomic status and distribution of bushbabies in Malawi with emphasis on the …","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew Perkin
Simon K. Bearder
Paul Honess","10.1896/0898-6207.21.1.63","https://bioone.org/journals/primate-conservation/volume-2006/issue-21/0898-6207.21.1.63/Taxonomy-Distribution-and-Conservation-Status-of-Three-Species-of-Dwarf/10.1896/0898-6207.21.1.63.pdf","… udzungwensis), but emphas ze that the taxonomic status of the Udzungwa galago is far … Approximate geographic distributions of the Mozambique galago (Galagoides granti). The …","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Phylogeography and evolutionary lineage diversity in the small-eared greater galago, Otolemur garnettii (Primates: Galagidae)","https://scispace.com/paper/BAezYRdAwHsJ","","","","A Penna
R Dillon
SK Bearder","","https://par.nsf.gov/servlets/purl/10647470","… g panganiensis from mainland Tanzania do not constitute two … a new taxonomic status for this unique mitochondrial group. … along the Kenya coast to northern Tanzania; and O. g. …",""
"Hidden in the dark: A review of galagid systematics and phylogenetics","https://scispace.com/paper/1qs2cwVO85wJ","","","","A Penna
L Pozzi","","https://par.nsf.gov/servlets/purl/10510328","… ; however, the taxonomic status of dwarf and squirrel galagos has been the focus of debate … only other galago species that strongly rely on gum feeding, the spectacled galago (Galago …",""
"Evolutionary history, systematics, and species boundaries in galagos (Primates: Galagidae)","https://scispace.com/paper/KfzZ_wstyi0J","","","","L Pozzi","","","… An additional species distributed in southern Malawi has also been described, Galagoides nyasae, but the taxonomic status is still uncertain. This species was removed from synonymy …",""
"Weak association between ecological niche divergence and speciation in galagos (Primates: Galagidae)","https://scispace.com/paper/qJBLuNtoeVAJ","","","","E Miller
L Pozzi","","https://www.researchgate.net/profile/Evan-Miller-14/publication/403933685_Weak_association_between_ecological_niche_divergence_and_speciation_in_galagos_Primates_Galagidae/links/69e27e0368c2b872dfd59622/Weak-association-between-ecological-niche-divergence-and-speciation-in-galagos-Primates-Galagidae.pdf","… Sister species in Galago and Euoticus exhibited non-equivalent niches, whereas Otolemur and Paragalago species exhibited equivalent niches. Niches for Paragalago sister species …",""
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://link.springer.com/content/pdf/10.1186/1471-2148-14-72.pdf","… assembled the largest molecular dataset for galagos to date by sequencing 27 independent … some specimens belonging to Galago senegalensis (Olduvai Gorge, Tanzania, ~1.8 Ma [33]…","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group."
"Low Geographic and Subspecific Variation in the Loud Call of the Widespread and Phenotypically Cryptic Northern Lesser Galago (Galago senegalensis) Suggests …","https://scispace.com/paper/JpU1P65xf8sJ","","","","MS Svensson
TM Butynski
YA de Jong","","","… species of galago (Galagidae) are phenotypically cryptic, making their taxonomic status difficult … calls of the small-eared greater galago (Otolemur garnettii) in Tanzania and Kenya. Folia …",""
"A giant among dwarfs: a new species of galago (Primates: Galagidae) from Angola","https://scispace.com/paper/a-giant-among-dwarfs-a-new-species-of-galago-primates-x2xt8i6re3","2017","Journal Article","American Journal of Physical Anthropology","Magdalena S. Svensson
Elena Bersacola
Michael S L Mills
Rachel A. Munds
Vincent Nijman
Andrew Perkin
Judith C. Masters
Sébastien Couette
K. Anne-Isola Nekaris
Simon K. Bearder","10.1002/AJPA.23175","https://sebastiencouette.wordpress.com/wp-content/uploads/2018/11/svensson_et_al-2017-american_journal_of_physical_anthropology-3.pdf","… granti occurring as far east as the shores of Mozambique, with some species and subspecies being … In order to assess the taxonomic status of the three specimens from Angola we ran a …","Objectives
Based on vocalization recordings of an unknown galago species, our main objectives were to compare morphology and call structure with known closely-related taxa and describe a new species of galago.

Materials and methods
We conducted field surveys in three forest habitats along the escarpment region in western Angola (Kumbira Forest, Bimbe Area, and Northern Scarp Forest), and examined galago specimens from museums worldwide. We digitized and analyzed calls using Avisoft SASLab Pro software. We also compared museum specimens from Angola with other Galago and Galagoides specimens, and conducted comparative analyses (ANOVA and between group principle component analysis) based on a set of twelve linear measurements of skulls and teeth.

Results
We describe the new species to which we give the name Angolan dwarf galago, Galagoides kumbirensis sp. nov. The new species has a loud and characteristic crescendo call, used by other Galagoides spp. (sensu stricto) in West Africa to attract companions and repel rivals. However, this call shows species-typical differences from its closest relatives. Galagoides kumbirensis sp. nov. is also distinguished by differences in the skull morphology, pelage color and facial markings, as well as a larger body size, similar to that of Galago moholi, which is not known to be sympatric.

Conclusion
This discovery points to the importance of Angolan forests as refuges for endemic biodiversity. These forests are under severe threat from overexploitation, and there is an urgent need to establish conservation measures and designate protected areas."
"The primates of East Africa: country lists and conservation priorities","https://scispace.com/paper/hZ0ptqrfTogJ","","","","YA De Jong
TM Butynski","","https://www.researchgate.net/profile/Yvonne-De-Jong-2/publication/232765950_The_Primates_of_East_Africa_Country_Lists_and_Conservation_Priorities/links/09e415094af22cd3bf000000/The-Primates-of-East-Africa-Country-Lists-and-Conservation-Priorities.pdf","… Nonetheless, the taxonomic status of many of the region’s primates … Tanzania. Tim Davenport (pers. comm.) recently observed C. … should focus on the galagos of Burundi and Rwanda. …",""
