"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"The Taxonomic Status and Distribution of Bushbabies (Primates, Galagidae) in the Uluguru Mountains","https://scispace.com/paper/perkin-the-taxonomic-status-and-distribution-of-bushbabies-fpq98yzx","","","","Andrew Perkin","","https://scispace.com/records/perkin-the-taxonomic-status-and-distribution-of-bushbabies-fpq98yzx","1. Galago taxonomy:
 Galagos, or bushbabies as they are sometimes known, occur only in Africa. They are nocturnal cryptic species, which makes identifying them in the field from morphological characteristics difficult. Recent research indicates that the number of 'species' may be underestimated when the differences in vocalizations, reproductive anatomy and genetics are considered.

2. Other Sites:
 Secondly, another galago, Galagoides udzungwensis, was trapped allowing for direct comparisons with G. orinus to further confirm the identifications and compare and contrast morphological differences.","The consultant was asked to collate information on the Galagos (Bushbabies) in the forests of the Uluguru Mountains. Three galago species are known to occur in the Uluguru Mountain forests, the Mountain galago Galagoides orinus, the Matundu galago G. udzungwensis and the Small Eared Greater Galago or Garnett's galago Otolemur garnetti. Of these, the Mountain galago G. orinus, an Eastern Arc endemic species, is of particular interest because the type locality for this species is located near Bagilo village close to Uluguru North Forest Reserve. A brief taxonomic review and history of research on this species is presented. New developments in species recognition methods are outlined and were employed in the fieldwork. The results indicate that only G. orinus occurs in Uluguru North and South Forest Reserves. This is a very significant population for the conservation of this species with more than 23,000 individuals estimated to occur. The data support the taxonomic status G. orinus as a valid species. Two other galago species O. garnetti and G. udzungwensis were found to occur in the lowland forests surrounding the Uluguru Mountains. Maintenance of forest habitat, even secondary habitat, will ensure these species survival in the Uluguru Mountains. Of notable conservation importance is Mkungwe Forest Reserve which contains the largest area of good sub-montane forest outside the Uluguru Mountains."
"Intraspecific Variation in the Vocalizations and Hand Pad Morphology of Southern Lesser Bush Babies (Galago moholi): A Comparison with G. senegalensis","https://scispace.com/paper/anderson-et-al-intraspecific-variation-in-the-vocalizations-8u5hn565","2000","","International Journal of Primatology","M. J. Anderson
L. Ambrose
S. K. Bearder
A. F. Dixson
S. Pullen","0164-0291/00/0600-0537$18.00/0","https://scispace.com/records/anderson-et-al-intraspecific-variation-in-the-vocalizations-8u5hn565","1. INTRODUCTION:
 The taxonomic status of bush babies (or galagos), a nocturnal prosimian group from Africa (Order Primates; Subfamily Galagoninae; nomenclature according to , has long been contentious because of considerable similarities among species. Studies of behavior, genetics and comparative morphology have begun to disentangle the confusion surrounding specific identity.

2. DISCUSSION:
 Analyses of volar pads in both Galago moholi and G. senegalensis also reveal low levels of variation within species and significant differences between them, and they, too, provide a useful means of separating cryptic species.","Previous studies have shown the taxonomic value of vocal repertoires and hand (volar) pad characteristics in the classification of cryptic nocturnal primates such as bush babies. However, no study included quantitative comparisons within the geographical range of any one species. We investigated levels of intraspecific variation in calls and hand pad characteristics of the southern lesser bush baby (Galago moholi), using the northern lesser bush baby (Galago senegalensis) for interspecific comparisons. Examination of calls recorded from different regions along a transect of 1500 km across southern Africa revealed low levels of intraspecific variation in Galago moholi, whereas comparisons with homologous call-types in G. senegalensis revealed them to be significantly different. Volar pad measurements across the ranges of both species also showed low levels of intraspecific variation and relatively high interspecific variation. These findings demonstrate that vocal and volar pad characteristics can be used as consistent measures of difference between species that look almost identical. These methods provide a practical means of distinguishing between cryptic species, whether in the field, in captivity, or, in the case of volar pads, of preserved specimens."
"Molecular Phylogeny of East African Dwarf Galagos (Galagidae; Galagoides)","https://scispace.com/paper/johan-karlsson-application-form-6pdpfcuf","2012","","Primate Society of Great Britain RESEARCH GRANT Application Form","Johan Karlsson","","https://scispace.com/records/johan-karlsson-application-form-6pdpfcuf","1. Aims:
 As with many nocturnal animals, dwarf galagos (Galagoides spp.) have a cryptic morphology that confounds full understanding of their true species diversity 1,2","As with many nocturnal animals, dwarf galagos (Galagoides spp.) have a cryptic morphology that confounds full understanding of their true species diversity. To fully quantify the extent of the taxonomic variety of the genus, it is necessary to conduct an assessment of the genetic diversity in an evolutionary perspective, i.e. create a genetically based phylogeny. However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding. We therefore suggest a survey of specific localities in Tanzania to collect genetic material from four species of dwarf galago (table 1). In combination with samples derived from previous surveys, the intent is to construct the most comprehensive molecular phylogeny made to date. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos."
"Phylogenetic Relationships Among the Galaginae as Indicated by Erythrocytic Allozymes","https://scispace.com/paper/masters-et-al-1994-phylogenetic-relationships-among-the-dtiqomez","1994","","PRIMATES","J. C. Masters
R. J. Rayner
H. Ludewick
E. Zimmermann
N. Molez-Verriere
F. Vincent
L. T. Nash","","https://scispace.com/records/masters-et-al-1994-phylogenetic-relationships-among-the-dtiqomez","1. INTRODUCTION:
 Assessments of phylogenetic affinity should ideally be based on concordances among several character sets. Within the African galagos (bushbabies), such consensus has so far been difficult to achieve. Four phylogenetic hypotheses have been proposed, based on karyology , general morphology , craniodental morphology .

2. DISCUSSION:
 Figures  summarize the phylogenetic hypotheses that have been put forward previously for the galagos.","At least four hypotheses regarding the phylogenetic relationships within the Galaginae have been proposed, based on features of karyology, morphology, and behaviour, but these hypotheses share few common elements. Here we investigate erythrocytic allozymes as potential phylogenetic markers, and subject our results to a cladistic analysis. Our study offers little support for the previous models, but suggests instead that the greater galagos and G. alleni form a clade since they share character states for eight of the ten systems examined. The two lesser galago species could not be distinguished using these enzymes, and character states common to them and the alleni-crassicaudatus-garnettii clade were found in only four systems. Our resultant cladogram accords well with the rather scant galagine fossil record. The data also show strong concordance with results obtained using highly repeated DNA sequences, which indicate that the galagos form a close-knit genetic group, while the Malagasy lemurids show considerably more inter-taxic variation."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-wiwdh4b7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-wiwdh4b7","1. GENERAL INTRODUCTION:
 In addition to behavioural ecology and taxonomy in Tanzania (this study), research on galagos has expanded in molecular bioiogy (M. Bayes and M. Bruford -Institute of Zoology, London), comparative morphology (M. Anderson) and bioacoustics and ecology of West African forms, particularly in Gabon (L. Ambrose).

2. I:
 of galagos have contributed to an overview of mammal diversity in East African ts .

3. BACKGROUND TO THE STUDY:
 Galagos, also called 'bushbabies', are small (50 gms -2.0 kg), arboreal, nocturnal primates found in a variety of habitats across Africa from south of the Sahara to Natal Province in South Africa .","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"Molecular phylogeny of East African dwarf galagos (Galagoides spp.)","https://scispace.com/paper/rwpgrantapplication-j-karlsson-2011-47gf2wi3","2011","","","Johan Karlsson","","https://scispace.com/records/rwpgrantapplication-j-karlsson-2011-47gf2wi3","1. Objective:
 As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity.

2. 03/04/2011:
 Molecular phylogeny of East African dwarf galagos (Galagoides spp.)","Non-human primate species belong to a group of generally well studied mammals. One of the more pertinent exceptions is the rarely seen but often heard African nocturnal primate, the dwarf galago (genus Galagoides). As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity. To fully quantify the extent of the taxonomic variety of the genus, it is necessary to conduct an assessment of the genetic diversity in an evolutionary perspective, i.e. create a genetically based phylogeny. However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding. Differences between species are often hard to discern, especially when it comes to cryptic species such as dwarf galagos. Morphology and behavior cannot always be used to differentiate between species and cannot, with any high accuracy, reveal ancestral relationships between species. We therefore suggest a survey of specific localities in the Eastern Afromountain Biodiversity Hotspots of Tanzania, Kenya and Malawi to collect genetic material from all known and all presumptive dwarf galago species (table 1; see table 2 for timeline for fieldwork). The intent is to construct the most comprehensive phylogeny made to date over the genus Galagoides derived from genetic markers. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos."
"The Use of Hair Morphology in the Classification of Galagos (Primates, Subfamily Galagoninae)","https://scispace.com/paper/anderson-2001-the-use-of-hair-morphology-in-the-z2x1wprf","2001","","PRIMATES","Matthew J. Anderson","","https://scispace.com/records/anderson-2001-the-use-of-hair-morphology-in-the-z2x1wprf","1. Abstract:
 The outer epidermal hair structure of bushbabies or galagos varies considerably between genera and species. Comparative morphology can therefore be useful in taxonomic studies, particularly when assessing the true status of newly nominated or misclassified species.

2. INTRODUCTION:
 Current classifications recognize four separate genera belonging to one of three body sizes: (1) Large: Greater galagos, (Otolemur); (2) Medium: Needle-clawed bushbabies, (Euoticus) and lesser galagos, (Galago); and (3) Small: Dwarf galagos, (Galagoides) .","The outer epidermal hair structure of bushbabies or galagos varies considerably between genera and species. Comparative morphology can therefore be useful in taxonomic studies, particularly when assessing the true status of newly nominated or misclassified species. Quantitative measurements of outer epidermal hair scales (scale frequency and scale complexity) were made for populations representing 13 taxa within the subfamily Galagoninae. Intraspecific variations in both measures of hair morphology were relatively minor. By contrast, significant interspecific differences were observed, even between closely related, well-established species (e.g. in the greater galagos Otolemur crassicaudatus and O. garnettii and lesser galagos Galago senegalensis and Galago moholi). Assessment of scale frequency resulted in the recognition of all species of the greater and needle-clawed galago genera and added support for nomination to species status of two former subspecies (O. argentatus and E. pallidus). Similar divisions were made in the lesser and dwarf galagos with respect to scale complexity. Possible explanations for the differences in outer epidermal hair scales are discussed. Characteristics of outer epidermal hair scales provide a useful guide to species identity in the subfamily Galagoninae, and the same may prove to be true for other groups of nocturnal mammals."
"Three acoustic forms of Allen's galagos (Primates; Galagonidae) in the Central African region","https://scispace.com/paper/ambrose-2003-three-acoustic-forms-of-allen-s-galagos-x94bfto6","2002","","Primates","Lesley Ambrose","10.1007/s10329-002-0004-x","https://scispace.com/records/ambrose-2003-three-acoustic-forms-of-allen-s-galagos-x94bfto6","1. Introduction:
 Galagos possess repertoires of loud calls relating to contact and alarm, which are thought to be species-specific . Vocal data may be correlated with other data such as reproductive anatomy  and DNA sequence data . This approach has led to the uncovering of a number of cryptic species .","This study identifies populations currently classified as Allen's galago (Galago alleni) at ten locations in Gabon, Cameroon and Bioko Island. Morphological diversity was evident both within and between populations. Attention to the loud calls revealed three distinct vocal profiles which are consistent within biogeographical regions. This work is based on the Recognition Concept of Species which refers to a Specific Mate Recognition System. Galagos rely less on visual signals than diurnal primates and recognise each other principally by means of auditory and olfactory signals. Galagos possess repertoires of loud calls relating to contact and alarm which are thought to be species-specific. Other studies of nocturnal prosimians (galagos, tarsiers) have demonstrated that the unique loud call repertoires are reliable indicators of species boundaries; whereas characters such as body size and pelage coloration are highly variable, even within populations. The vocal data in this study provide evidence of at least three acoustic forms of galago within the Allen's group which are predicted to represent three distinct species: the Allen's form on Bioko Island and south-west Cameroon, the Gabon form in southern Cameroon and northern Gabon and the Makandé form in Gabon south of the Ogooué river. Some populations may be vulnerable to extinction due to limited distributions and habitat destruction."
"AFRICAN PRIMATES: The Journal of the Africa Section of the IUCN/SSC Primate Specialist Group","https://scispace.com/paper/stoinski-the-journal-of-the-africa-section-of-the-iucnssc-9zfos27b","2002","","African Primates","","","https://scispace.com/records/stoinski-the-journal-of-the-africa-section-of-the-iucnssc-9zfos27b","1. Discussion:
 Generic support for Galago is consistent with the findings of recent molecular  and morphological  studies. suggest at least four synapomorphic morphological characters diagnosing a relationship  , . Bootstrap values (above nodes) were obtained heuristically from 100 bootstrap replicates and 10 random addition sequence replicates per bootstrap replicate.

2. Results:
 Robust support [BP=100] and long branch lengths characterise the divergence of the Galago clade (figures 2 & 3). Galago gallarum and Galago senegalensis are a strongly supported clade [BP=98/87]. Galago moholi is placed basally [BP=100] within the lesser bushbaby group (figures 2 & 3).

3. Discussion:
 Collapsing weak nodes gives intrafamilial relationships that are characterised by a polytomy with the potentially divergent Euoticus group emerging from the base of the galagid phylogeny in the current study. Although many studies have identified and discriminated between bushbaby taxa, the historical radiation of the living group is mostly unknown.",""
"Hidden in the Dark: A Review of Galagid Systematics and Phylogenetics","https://scispace.com/paper/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","2024","","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://scispace.com/records/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","1. Bridging systematics and conservation:
 Careful investigation of genetic diversity across the distribution of galagos will likely reveal narrow-range genotypically and morphologically unique lineages that may require special protection or management.

2. Introduction:
 In the 1970s, when Dorst and Dandelot published their field guide on African mammals , only five species of galagos (or bushbabies) were recognized, all part of the genus Galago: Galago alleni, Galago crassicaudatus, Galago demidoff, Galago elegantulus, and Galago senegalensis.

3. Introduction:
 Members of the family Galagidae, also known as galagos or bushbabies, are relatively small nocturnal primates with wooly fur, long tails, and elongated hind limbs that inhabit various ecosystems across sub-Saharan Africa.","An accurate representation of species diversity is critical in primatology; most of the questions in evolutionary biology, ecology, and conservation hinge on species as a fundamental unit of analysis. Galagos are among the least-known primates. Because of their cryptic morphology, broad distribution, and sampling challenges arising from elusive habits and political instability, substantial knowledge gaps about their taxonomy, evolutionary history, and biogeography remain. Despite these limitations, recent research that integrated field surveys, acoustic, morphological, and genetic analyses helped us to better understand the taxonomic diversity of this primate group. In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our current understanding of their phylogenetics, origins, and biogeography; and (3) explore current and future approaches to elucidate galagid cryptic species diversity. The onset of galago systematics dates back to the early 19th century, with taxonomic descriptions following natural history expeditions and comparative anatomy studies. Although morphology has historically dominated systematic research on galagos, the coupling of acoustic analyses with genetic data has revolutionized the field. Taxonomic rearrangements include the discovery of new species in the wild (e.g., Galagoides kumbirensis) and the description of a new genus (Paragalago). Technological advances have allowed the collection of acoustic data in remote areas, and molecular techniques have the potential to help researchers fill important geographic gaps. Improving the resolution of galago species diversity also has implications for the conservation of wild populations, as a better understanding of species boundaries and ranges can aid in the implementation of conservation strategies."
