"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Hidden in the Dark: A Review of Galagid Systematics and Phylogenetics","https://scispace.com/paper/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","2024","","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://scispace.com/records/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","1. Eastern dwarf galagos (Paragalago -Masters et al., 2017):
 In 1979, Olson recognized only two species of dwarf galago in eastern Africa (Galagoides demidoff and ""Galagoides"" zanzibaricus). Their taxonomy has been extensively revised over the past 20 years, particularly since the incorporation of acoustic communication data.

2. Historical perspective on galagid phylogeny:
 confirmed the polyphyletic status of the genus Galagoides . This phylogenetic hypothesis is now reflected in the new taxonomic arrangement proposed by , who assigned the eastern dwarf galagos to the genus Paragalago due to its close phylogenetic relatedness to the lesser galagos (genus Galago).

3. Western dwarf galagos (Galagoides -A. Smith, 1833):
 In contrast, ) merged all dwarf forms back into the genus Galago. A recent comprehensive taxonomic revision incorporating morphological, bioacoustic, biogeographical, and genetic data proposed the name Paragalago for eastern dwarf galagos .","An accurate representation of species diversity is critical in primatology; most of the questions in evolutionary biology, ecology, and conservation hinge on species as a fundamental unit of analysis. Galagos are among the least-known primates. Because of their cryptic morphology, broad distribution, and sampling challenges arising from elusive habits and political instability, substantial knowledge gaps about their taxonomy, evolutionary history, and biogeography remain. Despite these limitations, recent research that integrated field surveys, acoustic, morphological, and genetic analyses helped us to better understand the taxonomic diversity of this primate group. In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our current understanding of their phylogenetics, origins, and biogeography; and (3) explore current and future approaches to elucidate galagid cryptic species diversity. The onset of galago systematics dates back to the early 19th century, with taxonomic descriptions following natural history expeditions and comparative anatomy studies. Although morphology has historically dominated systematic research on galagos, the coupling of acoustic analyses with genetic data has revolutionized the field. Taxonomic rearrangements include the discovery of new species in the wild (e.g., Galagoides kumbirensis) and the description of a new genus (Paragalago). Technological advances have allowed the collection of acoustic data in remote areas, and molecular techniques have the potential to help researchers fill important geographic gaps. Improving the resolution of galago species diversity also has implications for the conservation of wild populations, as a better understanding of species boundaries and ranges can aid in the implementation of conservation strategies."
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex","https://scispace.com/paper/pozzi-et-al-2020-cryptic-diversity-and-species-boundaries-4ase77fu","2020","","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/j.ympev.2020.106887","https://scispace.com/records/pozzi-et-al-2020-cryptic-diversity-and-species-boundaries-4ase77fu","1. Introduction:
 Additionally, dwarf galagos-once clustered in a single genus-were recognized as two distinct polyphyletic clades, the western (Galagoides) and the eastern dwarf galagos (Paragalago; . Currently, the genus Paragalago includes six species: the rondo dwarf galago (P. rondoensis), the mountain dwarf galago (P. orinus), the Malawi dwarf galago (P.

2. Introduction:
 Until recently, genetic data were not available for this group and Paragalago systematics was solely based on their distinctive loud calls: members of the same species are thought to share a common specific mate recognition system that helps maintaining species cohesiveness .

3. Abstract:
 The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls.","The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls. However, molecular data are still lacking for this group and species boundaries remain unclear. In this study, we explore species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods. Our results consistently support the existence of three independent lineages, P. cocos, P. zanzibaricus, and P. granti, confirming previous hypotheses based on vocal data. We conclude that these three lineages represent valid cryptic species and we hypothesize that speciation within this complex was characterized by cycles of forest expansion and contraction in the Plio-Pleistocene."
"The phylogeny and conservation of nocturnal primates in Africa and Asia","https://scispace.com/paper/lane-institution-oxford-brookes-university-department-s9yblen6","2008","","Leverhulme Trust","K. Anne-Isola Nekaris","","https://scispace.com/records/lane-institution-oxford-brookes-university-department-s9yblen6","1. 2.3) Other Research Commitments:
 In East Africa the work will focus on the genus Galagoides, currently represented by seven species (orinus, zanzibaricus, rondoensis, cocos, granti, nyasae, and sp. nov. 1) and three isolated populations where the taxonomic status is disputed (Mount Rungwe, Misuku Hills and Taita Hills) .","Discovery of remarkable cryptic diversity in nocturnal primates living in two biodiversity hotspots, the Eastern Afromontane forests and the Wet Zone of Sri Lanka, has added two bushbabies and one loris to the Top 25 list of the world's most endangered primates. Primatologists have examined within- and between-species differences in anatomy, ecology and vocalizations within these regions, but little is known of comparative biogeography and genetics. This project maps distribution, geographical inter-relationships and DNA sequence divergence across these two nocturnal primate communities, providing resolution of their disputed evolutionary relationships and hard evidence for the application of effective conservation management."
"Identification, Abundance, and Behaviour of Galagos (Primates, Galagidae) in the Shire Highlands, Malawi","https://scispace.com/paper/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","2005","","","Graham Edward Wallace","","https://scispace.com/records/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","1. INTRODUCTION:
 Although assessment of taxonomic status is rarely a straightforward process across many primate genera , galago systematics continue to be particularly unclear and subject to ongoing revision .

2. BACKGROUND:
 Although galagos (Order Primates, Family Galagidae) are extensively distributed across sub-Saharan Africa as a taxonomic group, many species of galago continue to be only partially described both in terms of and throughout their range .

3. Abstract:
 Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range.","Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range. In particular, there is a lack of data for species occurring in the Shire Highlands of Malawi, and one form at Thyolo Mountain awaits description. The aims of the study where to address existing data deficiencies by (i) identifying and describing the species of galago occurring in Malawi's Shire Highlands, (ii) assessing their distribution and relative abundance, (iii) providing insights into their behaviour, and (iv) gathering information with regard to human impacts that impinge upon their current and future conservation status. Assessment of the inter-relationships between these factors is fundamental to ensuring the long-term viability of galago populations in the region. Vocalisation analysis, compilation of call profiles, descriptions of morphology, systematic surveys, behaviour observations, and assessments of substrate-use were completed to identify two species of galago in the Shire Highlands (Galagoides granti and Otolemur crassicaudatus), determine their distribution and relative abundance on the basis of encounter rates, construct activity budgets, and compile substrate-use profiles that reflect habitat preferences across the region. Vocal repertoires were compiled for each species, and preliminary information regarding human impacts and disturbance was acquired. The results of the study not only contribute to clarification of galago diversity but also provide valuable preliminary data fundamental to management and conservation of galagos across the Shire Highlands."
"Molecular phylogeny of East African dwarf galagos (Galagoides spp.)","https://scispace.com/paper/rwpgrantapplication-j-karlsson-2011-47gf2wi3","2011","","","Johan Karlsson","","https://scispace.com/records/rwpgrantapplication-j-karlsson-2011-47gf2wi3","1. 03/04/2011:
 Molecular phylogeny of East African dwarf galagos (Galagoides spp.)

2. Objective:
 However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding.

3. Objective:
 The intent is to construct the most comprehensive phylogeny made to date over the genus Galagoides derived from genetic markers. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos.","Non-human primate species belong to a group of generally well studied mammals. One of the more pertinent exceptions is the rarely seen but often heard African nocturnal primate, the dwarf galago (genus Galagoides). As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity. To fully quantify the extent of the taxonomic variety of the genus, it is necessary to conduct an assessment of the genetic diversity in an evolutionary perspective, i.e. create a genetically based phylogeny. However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding. Differences between species are often hard to discern, especially when it comes to cryptic species such as dwarf galagos. Morphology and behavior cannot always be used to differentiate between species and cannot, with any high accuracy, reveal ancestral relationships between species. We therefore suggest a survey of specific localities in the Eastern Afromountain Biodiversity Hotspots of Tanzania, Kenya and Malawi to collect genetic material from all known and all presumptive dwarf galago species (table 1; see table 2 for timeline for fieldwork). The intent is to construct the most comprehensive phylogeny made to date over the genus Galagoides derived from genetic markers. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos."
"The Taxonomic Status and Distribution of Bushbabies (Primates, Galagidae) in the Uluguru Mountains","https://scispace.com/paper/perkin-the-taxonomic-status-and-distribution-of-bushbabies-fpq98yzx","","","","Andrew Perkin","","https://scispace.com/records/perkin-the-taxonomic-status-and-distribution-of-bushbabies-fpq98yzx","1. Galago taxonomy:
 The most recent study  using these new methods resulted in several changes in galago classification within the genus Galagoides that effect Tanzanian and East African 'dwarf galago' species (see Table ).

2. Galago taxonomy:
 Table  Recent changes in the number of species recognised in the genus Galagoides in Tanzania.

3. DISCUSSION:
 The taxonomic status of the species of Galagos in the Uluguru Mountains","The consultant was asked to collate information on the Galagos (Bushbabies) in the forests of the Uluguru Mountains. Three galago species are known to occur in the Uluguru Mountain forests, the Mountain galago Galagoides orinus, the Matundu galago G. udzungwensis and the Small Eared Greater Galago or Garnett's galago Otolemur garnetti. Of these, the Mountain galago G. orinus, an Eastern Arc endemic species, is of particular interest because the type locality for this species is located near Bagilo village close to Uluguru North Forest Reserve. A brief taxonomic review and history of research on this species is presented. New developments in species recognition methods are outlined and were employed in the fieldwork. The results indicate that only G. orinus occurs in Uluguru North and South Forest Reserves. This is a very significant population for the conservation of this species with more than 23,000 individuals estimated to occur. The data support the taxonomic status G. orinus as a valid species. Two other galago species O. garnetti and G. udzungwensis were found to occur in the lowland forests surrounding the Uluguru Mountains. Maintenance of forest habitat, even secondary habitat, will ensure these species survival in the Uluguru Mountains. Of notable conservation importance is Mkungwe Forest Reserve which contains the largest area of good sub-montane forest outside the Uluguru Mountains."
"Taxonomy, Distribution, and Conservation Status of Three Species of Dwarf Galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/0898-6207-21-1-63-1-pdf-a67pzk2u","2006","","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://scispace.com/records/0898-6207-21-1-63-1-pdf-a67pzk2u","1. Title: Taxonomy, Distribution, and Conservation Status of Three Species of Dwarf Galagos (Galagoides) in Eastern Africa

2. And below:
 ""The galago recorded from Dan s vocally dstnct from Galagoides zanzibaricus and has been   recorded elsewhere n Kenya and n Tanzana, where A. Perkn (in litt.) reported t from the northern tp of the East Usambara Mtns, seemngly close to G. zanzibaricus (Table ).","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and examines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conservation status. The following are among the findings: (1) 'Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets the IUCN Red List criteria for an Endangered subspecies."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1. Abstract:
 Relatively little is k n o h about the galagos (Ptimates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa.

2. I:
 of galagos have contributed to an overview of mammal diversity in East African ts .","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/masters-et-al-2017-a-new-genus-for-the-eastern-dwarf-galagos-7sjzqdo4","","","ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY","Judith C. Masters
Fabien Génin
Sébastien Couette
Colin P. Groves
Stephen D. Nash
Massimiliano Delpero
Luca Pozzi","10.1093/zoolinnean/zlw028","https://scispace.com/records/masters-et-al-2017-a-new-genus-for-the-eastern-dwarf-galagos-7sjzqdo4","1. [FIGURE 5 ABOUT HERE]:
 The four genera were well 301 individualised on the first two axes, with high percentages of correct classification: 100% for 302 Galago, 98.14% for Galagoides, 91.3% for the eastern dwarf galagos and 86% for 303 Sciurocheirus.

2. Abstract:
 Genetic evidence has 6 consistently demonstrated that the taxa currently referred to the genus Galagoides are not 7 monophyletic, but form two clades (a western and an eastern clade) that do not share an 8 exclusive common ancestor; we review 20 years of genetic studies that corroborate this 9 conclusion.

3. Abstract:
 We present a craniodental morphometric 14 analysis of small-bodied galagid genera that identifies distinguishing characters for the 15 genera, and supports our proposal that five taxa currently subsumed under Galagoides (Gs 16 cocos, Gs granti, Gs orinus, Gs rondoensis and Gs zanzibaricus) be placed in their own 17 genus, for which we propose the name Paragalago.","The family Galagidae (African galagos or bushbabies) comprises five genera: Euoticus Gray 1872; Galago Geoffroy Saint-Hilaire, 1796; Galagoides Smith, 1833; Otolemur Coquerel, 1859; and Sciurocheirus Gray, 1872, none of which is regarded as monotypic, but some (Euoticus, Otolemur) certainly qualify as oligotypic. We argue for the recognition of a sixth genus, if the taxonomy is to reflect galagid evolution accurately. Genetic evidence has consistently demonstrated that the taxa currently referred to the genus Galagoides are not monophyletic, but form two clades (a western and an eastern clade) that do not share an exclusive common ancestor; we review 20 years of genetic studies that corroborate this conclusion. Further, we compare vocalisations emitted by small-bodied galagids with proposed phylogenetic relationships, and demonstrate congruence between these data sets. Morphological evidence, however, is not entirely congruent with genetic reconstructions; parallel dwarfing in the two clades has led to convergences in skull size and shape that have complicated the classification of the smaller species. We present a craniodental morphometric analysis of small-bodied galagid genera that identifies distinguishing characters for the genera, and supports our proposal that five taxa currently subsumed under Galagoides (Gs cocos, Gs granti, Gs orinus, Gs rondoensis and Gs zanzibaricus) be placed in their own genus, for which we propose the name Paragalago."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-wiwdh4b7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-wiwdh4b7","1. Abstract:
 Relatively little is k n o h about the galagos (Ptimates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa.

2. I:
 of galagos have contributed to an overview of mammal diversity in East African ts .

3. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
