"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"A fossil galagid (Primates: Galagidae) from the Pliocene site of Woranso-Mille, Ethiopia.","https://scispace.com/paper/42025149","2026","Journal Article","Journal of human evolution","Harrison
Haile-Selassie","10.1016/j.jhevol.2026.103831","","Two new fossil galagid specimens from the Pliocene sediments of Woranso-Mille in Ethiopia provide important evidence for documenting the taxonomic diversity and evolutionary history of Galagidae. The partial cranium (MKM-VP-1/140) and mandibular fragment (MKM-VP-1/414) from the Makah Mera (MKM) collecting locality are the first fossil galagids described from the Afar region of Ethiopia. Importantly, MKM-VP-1/140 represents the most complete galagid specimen known from the Plio-Pleistocene of Africa. Based on their dental morphology and overall size, the two specimens can be assigned to a single species. The Woranso-Mille galagid is distinguishable from all other taxa by its unique combination of craniodental features. These provide the basis for recognizing a new genus and species, Pliogalago makahmera gen. et sp. nov. This new taxon represents only the third Plio-Pleistocene galagid species described after 'Galago' howelli and Laetolia sadimanensis. Pliogalago shares specialized cranial features with Otolemur but retains a more plesiomorphic dental morphology more similar to that of Sciurocheirus. This combination of features provides firm evidence to support the inference that Pliogalago is the primitive sister taxon of Otolemur. As a consequence, the new taxon represents the first fossil galagid definitively linked to a crown lineage. Based on molecular evidence, it can be estimated that Otolemur and Sciurocheirus diverged at the start of the Late Miocene, with crown representatives of Otolemur emerging toward the end of the Miocene. Using these estimates, it can be extrapolated that the Pliogalago lineage diverged between 11 and 8 Ma. The occurrence of Pliogalago in Ethiopia during the Pliocene points to the divergence of a separate clade of large-bodied galagids that occupied a region far to the north of the current distribution of its sister taxon, Otolemur. This north-south geographic divide may reflect an adaptive response to different ecological conditions, with Pliogalago likely occupying drier and more open woodland-bushland habitats."
"A new primate community from the earliest Oligocene of the Atlantic margin of Northwest Africa: Systematic, paleobiogeographic, and paleoenvironmental implications.","https://scispace.com/paper/38896896","2024","Journal Article","Journal of human evolution","Marivaux
Benammi
Baidder
Saddiqi
Adnet
Charruault
Tabuce
Yans
Benammi","10.1016/j.jhevol.2024.103548","","We report a new Paleogene primate community discovered in the uppermost part of the Samlat Formation outcropping on the continental shore of the Rio de Oro, east of the Dakhla peninsula (in the south of Morocco, near the northern border of Mauritania). Fossils consist of isolated teeth, which were extracted by wet screening of estuarine sediments (DAK C"
"Cryptic diversity and species boundaries within the Paragalago zanzibaricus species complex.","https://scispace.com/paper/32534184","2020","Journal Article","Molecular phylogenetics and evolution","Pozzi
Penna
Bearder
Karlsson
Perkin
Disotell","10.1016/j.ympev.2020.106887","","The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls. However, molecular data are still lacking for this group and species boundaries remain unclear. In this study, we explore species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods. Our results consistently support the existence of three independent lineages, P. cocos, P. zanzibaricus, and P. granti, confirming previous hypotheses based on vocal data. We conclude that these three lineages represent valid cryptic species and we hypothesize that speciation within this complex was characterized by cycles of forest expansion and contraction in the Plio-Pleistocene."
"A digital collection of rare and endangered lemurs and other primates from the Duke Lemur Center.","https://scispace.com/paper/31770383","2019","Journal Article","PloS one","Yapuncich
Kemp
Griffith
Gladman
Ehmke
Boyer","10.1371/journal.pone.0219411","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6879151/pdf","Scientific study of lemurs, a group of primates found only on Madagascar, is crucial for understanding primate evolution. Unfortunately, lemurs are among the most endangered animals in the world, so there is a strong impetus to maximize as much scientific data as possible from available physical specimens. MicroCT scanning efforts at Duke University have resulted in scans of more than 100 strepsirrhine cadavers representing 18 species from the Duke Lemur Center. An error study of the microCT scanner recovered less than 0.3% error at multiple resolution levels. Scans include specimen overviews and focused, high-resolution selections of complex anatomical regions (e.g., cranium, hands, feet). Scans have been uploaded to MorphoSource, an online digital repository for 3D data. As captive (but free ranging) individuals, these specimens have a wealth of associated information that is largely unavailable for wild populations, including detailed life history data. This digital collection maximizes the information obtained from rare and endangered animals with minimal degradation of the original specimens."
"Population genetic structure of the thick-tailed bushbaby (","https://scispace.com/paper/31762360","2020","Journal Article","Mitochondrial DNA. Part A, DNA mapping, sequencing, and analysis","Phukuntsi
Du Plessis
Dalton
Jansen
Cuozzo
Sauther
Kotze","10.1080/24701394.2019.1694015","","Greater bushbabies, strepsirrhine primates, that are distributed across central, eastern and southern Africa, with northern and eastern South Africa representing the species' most southerly distribution. Greater bushbabies are habitat specialists whose naturally fragmented habitats are getting even more fragmented due to anthropogenic activities. Currently, there is no population genetic data or study published on the species. The aim of our study was to investigate the genetic variation in a thick-tailed bushbaby, "
"Low Geographic and Subspecific Variation in the Loud Call of the Widespread and Phenotypically Cryptic Northern Lesser Galago (Galago senegalensis) Suggests Taxonomic Uniformity.","https://scispace.com/paper/31416079","2019","Journal Article","Folia primatologica; international journal of primatology","Svensson
Butynski
de Jong
Bearder
Schneiderová
Nijman","10.1159/000499654","","Like other nocturnal primates, many species of galago (Galagidae) are phenotypically cryptic, making their taxonomic status difficult to resolve. Recent taxonomic work has disentangled some of the confusion. This has resulted in an increase in the number of recognised galago species. The most widespread galago species, and indeed the most widespread nocturnal primate, is the northern lesser galago (Galago senegalensis) whose geographic range stretches >7,000 km across Africa. Based on morphology, 4 subspecies are currently recognised: G. s. senegalensis, G. s. braccatus, G. s. sotikae and G. s. dunni. We explore geographic and subspecific acoustic variation in G. senegalensis, testing three hypotheses: isolation by distance, genetic basis, and isolation by barrier. There is statistical support for isolation by distance for 2 of 4 call parameters (fundamental frequency and unit length). Geographic distance explains a moderate amount of the acoustic variation. Discriminant function analysis provides some degree of separation of geographic regions and subspecies, but the percentage of misdesignation is high. Despite having (putative) parapatric geographic ranges, the most pronounced acoustic differences are between G. s. senegalensis and G. s. dunni. The findings suggest that the Eastern Rift Valley and Niger River are significant barriers for G. senegalensis. The acoustic structures of the loud calls of 121 individuals from 28 widespread sites are not significantly different. Although this makes it unlikely that additional unrecognised species occur within G. senegalensis at the sites sampled, vast areas of the geographic range remain unsampled. We show that wide-ranging species do not necessarily exhibit large amounts of variation in their vocal repertoire. This pattern may also be present in nocturnal primates with smaller geographic ranges."
"Species Boundaries within Morphologically Cryptic Galagos: Evidence from Acoustic and Genetic Data.","https://scispace.com/paper/31416076","2019","Journal Article","Folia primatologica; international journal of primatology","Pozzi
Disotell
Bearder
Karlsson
Perkin
Gamba","10.1159/000496972","","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"Vocal Repertoire and Intraspecific Variation within Two Loud Calls of the Small-Eared Greater Galago (Otolemur garnettii) in Tanzania and Kenya.","https://scispace.com/paper/31416067","2019","Journal Article","Folia primatologica; international journal of primatology","Bettridge
Kenworthy
Butynski
de Jong
de Kort","10.1159/000500260","","Vocal repertoires and call structure can provide insights into the behaviour and evolution of species, as well as aid in taxonomic classification. Nocturnal primates have large vocal repertoires. This suggests that acoustic communication plays an important role in their life histories. Little is known about the behavioural context or the intraspecific variation of their vocalisations. We used autonomous recording units and manual recorders to investigate the vocal behaviour and structure of loud calls of the small-eared greater galago (Otolemur garnettii)in Kenya and Tanzania. We describe the vocal repertoire, temporal calling patterns and structure of 2 loud calls of 2 subspecies: O. g. panganiensis and O. g. kikuyuensis. We found considerable intraspecific structural differences in both loud calls. These are congruent with the current subspecies classification. Differences in vocalisations among populations are not consistent with the ""acoustic adaptation hypothesis,"" rather they are likely a result of geographic variation due to isolation caused by vegetational barriers in southern Kenya."
"Microhabitat utilization by fork-marked dwarf lemurs (Phaner spp.) and needle-clawed galagos (Euoticus spp.) in primary and secondary forests.","https://scispace.com/paper/29717507","2018","Journal Article","American journal of primatology","Forbanka","10.1002/ajp.22864","","Needle-clawed galagos (Euoticus spp.) and fork-marked dwarf lemurs (Phaner spp.) are specialist gummivores inhabiting the forests of Cameroon and Madagascar, respectively. They share a suite of adaptations related to their foraging behavior, but are distantly related. I compared structural characteristics of the natural vegetation in which these strepsirrhines occurred using 10 m × 10 m (100 m"
"A giant among dwarfs: a new species of galago (Primates: Galagidae) from Angola.","https://scispace.com/paper/28224607","2017","Journal Article","American journal of physical anthropology","Svensson
Bersacola
Mills
Munds
Nijman
Perkin
Masters
Couette
Nekaris
Bearder","10.1002/ajpa.23175","","Based on vocalization recordings of an unknown galago species, our main objectives were to compare morphology and call structure with known closely-related taxa and describe a new species of galago."
