"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Galagoides rondoensis Honess 1997","https://scispace.com/paper/galagoides-rondoensis-honess-1997-ad9y3r7y79ew","2022","Repository","","Russell A. Mittermeier
Anthony B. Rylands
Don E. Wilson","10.5281/zenodo.6656962","","4. Rondo Dwart Galago Galagoides rondoensis French: Galago du Rondo / German: Rondo-Zwerggalago / Spanish: Gélago pequeno de Rondo Other common names: Rondo Bushbaby, Rondo Galago Taxonomy. Galagoides rondoensis Honess in Kingdon, 1997, Tanzania, Lindi District, Rondo Plateau, Rondo Forest Reserve (10° 07’ S, 39° 23’ E). A species from the Rondo Plateau, southeastern Tanzania. It was first identified as G. demidovii but later recognized as a distinct species based on differences in vocalizations and morphology. A museum specimen in the Frankfurt collection, originally from the Pugu Hills Forest Reserve (now Saadani National Park), is smaller than the typical Rondo Dwarf Galago. With a shortertail, a yellowish mid-facial stripe, unpigmented ears, and no eye-rings,it may represent a distinct subspecies. Monotypic. Distribution. Endemic to Tanzania, known only from six small remnant moist-forest patches in C coastal and extreme SE Tanzania (Litipo, Rondo, Ziwani, Pugu Hills/ Kazimzumbwi, and Zareninge), and the Pande Game Reserve; it is not known if it occurs in the intervening areas. Descriptive notes. Head-body 9-12 cm, tail 16-22 cm; weight 35-70 g. The Rondo Dwarf Galago is thought to be the smallest living galago, with little or no sexual dimorphism. Pelage color varies with maturity. The muzzle is long and slender. Pelage is generally brown above, becoming pale yellowish below and darkening to a deeper yellow on the neck and chin. It has a whitish mid-facial stripe, and eye-rings are thin and dark. The tail is somewhat reddish and relatively long with the final one-third much bushier than the rest, giving it a characteristic “bottle-brush” effect; it is often held rolled up when the animal is at rest. Ears are slate gray and prominent. A yellow pigmentation of the ears, lips, and chin is especially marked in young individuals. The dorsal pelage is rich brown and extends onto the dorsal sides of the thighs and forelimbs. The ventral pelage is creamy white, with some yellow staining on the chest of some individuals. Habitat. Coastal lowland dry forest and scrub in forest patches, usually on east-facing slopes and escarpments and in areas wetter than the surrounding habitats (rainfall mean 936-1110 mm). Rondo Dwarf Galagos are often associated with liana tangles around tree-fall zones. Its elevational range is 100-900 m. Food and Feeding. There are few observations of feeding, but the Rondo Dwarf Galago appears to be a faunivore-frugivore, eating fruits, young leaves, exudates, and invertebrates. Insect prey makes up a large proportion of the diet; it hunts in the leaf litter and understory. Individuals (up to four together and sometimes with the Tanzania Coast Dwarf Galago, G. zanzibaricus) are often observed jumping to the ground to catch invertebrate prey, particularly insects fleeing army ant columns. Breeding. Very little is known about the breeding pattern of the Rondo Dwarf Galago. Based on data from trapped females, antenatal body weight is 93 g (n = 3) and postnatal lactating weight is 66-5 g (n = 2). Infants are carried in the mother’s mouth; mothers park the infant during the night. Activity patterns. The Rondo Dwarf Galago is nocturnal and arboreal. Locomotion is mainly vertical clinging to thin stems and leaping up to 2 m over small gaps. Quadrupedal running on horizontal supports and running head down tree trunks have been observed. Movements, Home range and Social organization. The limited data available suggest that the Rondo Dwarf Galagois a relatively solitary forager that comes togetherto sleep in small groups. Three individuals have been seen to nest together, and up to four individuals have been seen forming small loose groupings when foraging. Flat leafy nests used for daytime sleeping can be located in thick liana tangles 5-30 m off the ground. It may share a nest with a Mozambique Dwarf Galago (G. granti). After leaving the nest at dusk, most activity is spent in the forest understory (less than 3 m off the ground) and more than 15% of observations have been with other individuals. The Rondo Dwarf Galago has an extensive vocal repertoire. Loud calls are often mixed together to form other call structures, depending on the context. A study in the Rondo Forest found that 70% of calls analyzed were alarm calls, with only 22% species-specific advertisement calls (n = 647). The species-specific advertisement call is used to advertise presence and for group reassembly in the morning. The “double unit rolling call” is diagnostic. Status and Conservation. CITES Appendix II. Classified as Critically Endangered on The IUCN Red List. The Rondo Dwarf Galago is threatened by the logging ofits remaining forest habitat, which is highly fragmented and amounts to less than 100 km?®. It occurs in Saadani National Park and the forest reserves of Litipo, Pugu Hills, Rondo, and Ziwani—all in Tanzania. Bibliography. Bearder (1999), Bearder, Ambrose et al. (2003), Bearder, Honess & Ambrose (1995), Burgess et al. (2000), Honess (1996), Honess & Bearder (1996), Honess et al. (2007), Kingdon (1997), Lumsden & Masters (2001), Perkin (2002, 2004). ",""
"Galagoides orinus","https://scispace.com/paper/galagoides-orinus-koltl4oj30yi","2022","Repository","","Russell A. Mittermeier
Anthony B. Rylands
Don E. Wilson","10.5281/zenodo.6656960","","3. Mountain Dwarf Galago Galagoides orinus French: Galago des Usambara / German: Uluguru-Zwerggalago / Spanish: Galago pequeno de montana Other common names: Amani Dwarf Galago, Uluguru Bushbaby, Usambara Galago Taxonomy. Galago demidovii orinus Lawrence & Washburn, 1936, Tanzania, Uluguru Mountains, Bagilo. Galagoides orinus was recognized as a full species by P. Honess in 1996 based on differences in vocalizations and morphology—a classification subsequently accepted in the revisions of C. P. Groves in 2001 and P. Grubb and coworkers in 2003. It is sympatric with G. zanzibaricus. Researchers have confirmed the presence of a small dwarf galago, similar to G. orinus, on Mount Rungwe in the south-western highlands of Tanzania. In 2001 Groves referred to a similar-looking galago from the Ukinga Mountains, off the north-east shore of Lake Malawi, and adjacent to and east of Mount Rungwe as the “Ukinga” form, a similar galago is also found in Northern Malawi’s Misuku Hills. Differences in calls, morphology, and other characteristics strongly suggest that although currently considered G. orinus, this form is likely a new species. Monotypic. Distribution. Poorly known but found in many of the Eastern Arc Mts of SE Kenya and E Tanzania, including the Taita Hills and the E & W Usumbara, Uluguru, Udzungwa, and Rubeho Mts. Descriptive notes. Head-body 12-:5-15 cm,tail 17-19 cm; weight ¢.80 g. The Mountain Dwarf Galago is generally dark brownish-green and reddish-toned. It has a conspicuous creamy-yellow median stripe on the face, and eye-rings are thin and dark brown. Ears are not deeply pigmented. The muzzle is slender and turned up. The chin and neck are yellowish-white. The crown, dorsum, forelimbs, thighs, and flanks are dark brown. The ventrum, inner forelimbs, and inner hindlimbs are creamy white. The tail is relatively short and of uniform thickness with long hairs; it is reddish at the base and darker at the tip. Hindfeet are very short. Habitat. Mountain Dwarf Galagos live at low densities in mid-elevation and montane moist forests at 1200-2000 m above sea level and in giant heather Erica forest at the limit of the tree zone. Disturbed forest, such as tree-fall zones, appears to be preferred, especially areas of thick vine tangles. The canopy, mid-canopy, and understory are used. They are also found in forest with large numbers of wild bananas and Hageniadominant montane forest, where they occupy the midto high canopy. Food and Feeding. The Mountain Dwarf Galago is a faunivore-frugivore. It eats fruits, young leaves, exudates, and invertebrates (e.g. moths and cockroaches). Individuals will enter large, cone-shaped banana flowers to eat the nectar. It usually hunts in trees but occasionally searches for insects in leaflitter. Breeding. There is little information available on this species, but aspects of breeding are probably similar to other species of Galagoides, with the female giving birth to one or two young after gestation of 110-114 days. Activity patterns. Mountain Dwarf Galagos are nocturnal and arboreal but little is known aboutits specific activity patterns. Their mode of locomotion is mainly vertical clinging and leaping. They also scamper quadrupedally on horizontal supports and run head down on tree trunks. They hop to the ground for foraging but quickly return to vertical stems; they can leap up to 5 m. All forest strata are used. Movements, Home range and Social organization. Mountain Dwarf Galagos are largely solitary. A male’s home range overlaps those of the females. Their social organization is otherwise little known. They use round nests constructed of leaves and twigs for sleeping in the daytime. Nests may be set in clumps of lianas 15 m up in the canopy and hold three to four individuals. They forage alone and in small groups. After leaving their sleeping sites, members of small groups participate in bouts of intergroup and intragroup advertisement calling. They then separate to forage solitarily but maintain contact by calling, which reaches a second peak at dawn. The species-specific advertisement call is a “double unit repetitive call,” and they also emit diagnostic alarm call yaps and descending screeches. Status and Conservation. CITES Appendix II. Classified as Near Threatened on The IUCN Red List. Although the Mountain Dwarf Galago is widespread, habitats throughout its distribution are fragmented and threatened by habitat loss and degradation. It occurs in the Udzungwa Mountains National Park and forest reserves in Tanzania: Amani West, Livingstone, Mporoto Ridge, Rungwe, Udzungwa Scarp, Uluguru North, and West Kilombero Scarp. It also probably occurs in the Taita Hills Wildlife Sanctuary in Kenya. The Livingstone Forest Reserve is within the proposed Kitulo National Park. Bibliography. Bearder et al. (2003), Burgess et al. (2000), Butynski et al. (1998), Honess (1996), Honess & Bearder (1996), Jorgensbye (2007), Kingdon (1997), Lawrence & Washburn (1936), Perkin (2000, 2001a, 2001b, 2004), Perkin et al. (2002). ",""
"Species Boundaries within Morphologically Cryptic Galagos: Evidence from Acoustic and Genetic Data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests.","Investigating species boundaries between two putative highly cryptic species of Eastern dwarf galagos concludes that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"Galagoides granti","https://scispace.com/paper/galagoides-granti-is7lkgeph9cg","2022","Repository","","Russell A. Mittermeier
Anthony B. Rylands
Don E. Wilson","10.5281/zenodo.6656964","","5. Mozambique Dwart Galago Galagoides granti French: Galago de Grant / German: Mosambik-Zwerggalago / Spanish: Galago pequeno de Mozambique Other common names: Grant's Bushbaby, Grant's Dwarf Galago, Grant's Galago, Grant's Lesser Galago, Mozambique Lesser Galago Taxonomy. Galago granti Thomas & Wroughton, 1907, Mozambique, Inhambane, Coguno. Galago granti was named after the collector C. H. B. Grant. It has been classified in a number of ways. It was considered to be a subspecies of G. senegalensis granti by E. Schwarz in 1931, but a southern subspecies of Galago zanzibaricus granti, by P. Jenkins in 1987. In 1979, T. R. Olson placed it in the genus Galagoides as G. zanzibaricus granti. In 1996, P. Honess confirmed its status as a distinct species based on vocalizations, their sexual organs, and hair morphology. This species is variable in appearance, and here we treat the following forms provisionally as synonyms, although they may well be recognized as distinct with further research. The “Malawi Galago ” (G. nyasae) described by Elliot in 1907 is known from six specimens collected in the mountains south of Lake Nyasa (= Lake Malawi), southern Malawi, and the neighboring region of north-western Mozambique,it is here considered conspecific with G. granti. It is similar to the typical G. granti but is generally browner,less reddish above, and less yellowish above, with a less blackened tail. The facial pattern is indistinct with hardly any eye-rings, and the snout has a yellowish median stripe. The “Mount Thyolo Dwarf Galago ” is known only from two museum specimens collected on Mount Thyolo (= Mount Cholo) in southern Malawi. It is generally similar to the Lake Nyasa form except in body proportions. The dorsal pelage is light brown; the underside is creamygray; eye-rings are black; cheeks and throat are yellowish; and ears are large and not heavily pigmented. Finally, the “Kalwe Small Dwarf Galago,” which is known from two specimens collected in the Misuku Hills of northern Malawi, may also be G. granti. It is much larger and brownish, with a dark brown tail tip and notably short ears. Recorded vocalizations from Kalwe are distinctive and merit further study, whereas those from Mount Thyolo are said to be broadly similar to G. granti. Monotypic. Distribution. East African coast from the Rufiji River in SE Tanzania to the Limpopo River in SE Mozambique, also inland in montane areas (e.g. Thyolo Mts of W Malawi) and extending W into Chimanimani, Zimbabwe; a record from Mt Namuli in Mozambique requires verification. Descriptive notes. Head-body 9-12 cm, tail 16-22 cm; weight 35-70 g. The Mozambique Dwarf Galago is generally reddish or red-olive above, and the underside is creamy yellow, with a less yellowish throat. The head is a darker reddish-gray, and the forehead is grayer than the top of the head. Thick black eye-rings are continuous with the black on the sides of the muzzle. There is a thick white stripe running from the forehead to the rhinarium. Skin of the long rounded ears is black. The tail is drab brown, darkened or even blackish on the terminal one-third, including the tip, and it is long and bushy with hairs of 20-25 mm. Habitat. [Lowland evergreen, semi-evergreen, dry coastal, submontane evergreen and gallery forest and hilly (miombo) woodlands, thicket, and scrubland. Vegetation associated with tea plantations is also used. The Mozambique Dwarf Galago has been recorded to at least 1800 m above sea level. It prefers the undergrowth. Food and Feeding. Little is known about the diet of the Mozambique Dwarf Galago. It is a faunivore-frugivore, supplementing insects and birds with fruit in the denser part of the understory at heights of 6-10 m above the ground. It has been seen clinging to tree-trunks, head-down, and eating exudates. Stomachs of sacrificed individuals have contained fruits, flowers, and insects. In 1983, R. Smithers reported seeing them congregate around mist nets and chewing off heads of birds caught in the nets. Breeding. Little is known about breeding of the Mozambique Dwarf Galago. There are two birth seasons per year (February-March and August—October), butit is not known if individual females breed twice in the same year. They sometimes produce twins, but single young are typical. Activity patterns. The Mozambique Dwarf Galago is nocturnal and arboreal. Like closely related species, it is an agile jumper, leaping between vertical supports, and it also uses quadrupedal climbing and walking or scurrying. Movements, Home range and Social organization. The Mozambique Dwarf Galago is a solitary forager (90% of nighttime observations), but groups of up to six individuals have been reported sleeping in a tree hollow. A male’s territory (2-3 ha) overlaps those of one or two females (each c.2 ha). Most communication is with loud advertising counter-calls that are exchanged between conspecifics during the first two hours after sunset and last two hours before sunrise. These calls seem to be related to departing and gathering from the sleeping site. Sleeping sites are located 3-5-5 m off the ground and comprise tree holes, green leafy self-constructed nests, or nests made from twigs and lianas. Such sites are shared with as many as five conspecifics of mixed sex, other galago species (the Rondo Dwarf Galago, G. rondoensis), and even diurnal squirrels. Mozambique Dwarf Galagos make a species-specific incremental call that begins quietly, increases and then decreases in volume, and is composed of 1-17 units, each made up of an increasing number of subunits. Such calls are given alone and in mixed sequences. Status and Conservation. CITES Appendix II. Classified as Least Concern on The IUCN Red List. The Mozambique Dwarf Galago is fairly widespread and common. It occurs in Quirimbas National Park in Mozambique; Litipo, Nambiga, and Rondo forest reserves and Selous Game Reserve in Tanzania; Chimanimani National Park and East Ngarima Reserve in Zimbabwe; and other forest reserves in Mozambique and southern Tanzania. Bibliography. Anderson (2000, 2001), Bearder, Ambrose et al. (2003), Bearder, Honess & Ambrose (1995), Burgess et al. (2000), Butynski et al. (2006), Courtenay & Bearder (1989), Harcourt & Bearder (1989), Honess (1996), Honess & Bearder (1996), Jenkins (1987), Kingdon (1971, 1997), Lumsden & Masters (2001), Meester et al. (1986), Nash et al. (1989), Olson (1979), Perkin (2000, 2007), Skinner & Smithers (1990), Wallace, G. (2006). ",""
"Galago zanzibaricus Matschie 1893","https://scispace.com/paper/galago-zanzibaricus-matschie-1893-3xa2z9c6qyxx","2024","Repository","","Wilson, Don E.
Reeder, DeeAnn","10.5281/zenodo.11337874","","Galago zanzibaricus Matschie 1893 Galago zanzibaricus Matschie 1893, Sitzb. Ges. Naturf. Fr. Berlin: 111. Type Locality: Tanzania, Zanzibar, Yambiani. Vernacular Names: Zanzibar Bushbaby. Synonyms: Galago cocos Heller 1912; Galago udzungwensis Honess 1997. Distribution: E African coast from Tana River, south to S Mozambique; Zanzibar. Conservation: CITES – Appendix II; IUCN – Lower Risk (nt). Discussion: G. zanzibaricus species group. Separated from senegalensis by Kingdon (1971:309), Groves (1974 b:463, 1989:103, 2001 c), Jenkins (1987:118), and Nash et al. (1989). Bearder et al. (1995) placed this group in genus Galagoides, but Groves (2001 c) considered this premature, as it is unclear how species should be assorted between Galagoides and Galago. For allocation of udzungwensis to this species, see Groves (2001 c:116). ",""
"Galago moholi A. Smith 1836","https://scispace.com/paper/galago-moholi-a-smith-1836-bat2ppudy5wh","2022","Repository","","Russell A. Mittermeier
Anthony B. Rylands
Don E. Wilson","10.5281/zenodo.6656984","","10. Southern Lesser Galago Galago moholi French: Galago moholi / German: Moholi-Galago / Spanish: Galago menor meridional Other common names: Mohol Galago, Moholi Bushbaby, Moholi Galago, South African Galago, South African Lesser Galago Taxonomy. Galago moholi A. Smith, 1836, Botswana, banks of the Marikwa and Limpopo Rivers. This species was formerly considered a subspecies of G. senegalensis. A subspecies is recognized by some authors, the “Namibia Lesser Galago ” (G. m. bradfield:), but not here. Individuals from the western and eastern sides of the species’ distribution are small in size, whereas those from the central part are larger. Other than that, little information is available to distinguish the two forms. G. moholi is sympatric with G. senegalensis in central and southern Tanzania, and possibly with G. matschiei in Burundi and Rwanda. Monotypic. Distribution. SE DR Congo, Angola, Zambia, Malawi, and Zimbabwe to N Namibia, N & E Botswana and W Mozambique, as far S as the Orange and Limpopo rivers in NE South Africa; it may occur in NW (Lake Victoria) & W Tanzania, Rwanda and Burundi. Descriptive notes. Head-body 12-17 cm, tail 16-28 cm; weight 160-255 g (males) and 95-200 g (females). The Southern Lesser Galago is smaller than the Northern Lesser Galago (G. senegalensis), with very long ears and a long, dark, thin tail. It has a broad head with a short muzzle with a pale nose stripe. The dorsum is mainly grayish-buff with an area of dark brown on the lower back that varies in size according to the season. The underside is paler grayish brown, and lateral surfaces of limbs are yellowish. Flanks, feet, hands, and inner limbs are yellowish. There is a prominent white interocular stripe, and the black diamond-shaped eyerings are broad and black. Albinism has been reported. Males are c¢.10% larger than females, but the sexes are otherwise similar in appearance. Habitat. Semi-arid Acacia woodland, woodland and open savanna, gallery forest, and forest edge. The Southern Lesser Galago occurs in all forest strata. It is found in the highest densities in association with Acacia (Fabaceae). Habitat is drought-prone with very unpredictable rainfall. Food and Feeding. The Southern Lesser Galago is a faunivore-gummivore; it does not eat fruits. Invertebrates comprise 52% of the diet and gums the remaining 48%. The most important trees providing gum are the sweet thorn (Acacia karroo) and umbrella thorn (Acacia tortilis) of the family Fabaceae. Southern Lesser Galagos increase their gum intake during the cold-dry winter (May—August) when availability of invertebrates declines. They traverse their winter home range moving from one gum site to the next; in open habitat, they even move on the ground. In the warm-wet summer (November—February), they feed more on insects and travel mostly through the trees. Up to two hours can be spent hunting for insects in one bout. Favored invertebrate prey includes moths, grasshoppers, and beetle larvae. They rarely drink water in the wild, but they do visit provisioned drinking stations at tourist hotels and are even tempted there by yogurt. Breeding. Social organization of the Southern Lesser Galago is multimale-multifemale. The male approaches an estrous female with a low-clucking vocalization and, while mounting, makes a loud call that ends in a whistle. Usually two (sometimes just one) offspring are born in October-November orJanuary-February, after gestation of 130 days. Infants weigh c.12 g. Twins can be fathered by two different males. A mother carries the young in her mouth for the first couple of months. Infants leave the nest for the first time at ten days and are weaned at eleven weeks. Females have a postpartum estrus. Weaning takes place at 70-100 days. Females reach maturity at ¢.200 days and males at ¢.326 days. Adult females are philopatric; subadult males disperse into new areas. Juvenile mortality rates in the wild have been estimated at 55%. One individual lived for ten years and five months in the London Zoo, but they have been known to live up to 14 years. Activity patterns. The Southern Lesser Galago is nocturnal and arboreal. It is a vertical clinger and leaper and can use its powerful hindlimbs to cross gaps of up to 5 m. Walking and climbing are used to negotiate highly thorny trees. It also frequently crosses between trees on the ground, using rapid bipedal hopping. Southern Lesser Galagos develop a thick undercoat before winter, which is shed in spring. There is no evidence of torpor, despite freezing mid-winter temperatures. Individuals tend to use familiar pathways and to rigorously scent-mark their routes. They travel c.2 km/night, moving through an average of 500 trees. Movements, Home range and Social organization. The Southern Lesser Galago usually lives in small family groups of 2-7, typically an adult pair with or without young, two adult females plus infants, or an adult female with young. Such groups spend the day sleeping at the same site, but adults split up at night to forage alone. They sleep alone or in small groups of up to eight animals at heights of 1-13 m in selfconstructed nests of acacia twigs lined with leaves, tree holes, unused bird nests, dense foliage, or on branches and forks in trees. Acacia and mopane (Colophospermum mopane, Fabaceae) trees often have hollowed-out trunks that are used for nesting and breeding sites. Individuals have a midnight rest period and make use of two or three favorite sleeping sites during the day. In South Africa, during the coldest nights of mid-winter (minimum —5°C), individuals may return to huddle at a sleeping site up to seven hours before sunrise, and at these times they are frequently active during the day. In particularly cold weather, the Southern Lesser Galago nest in more sunny locations and are more likely to share nests. They have matriarchies. Dominant males are larger, are more vocal, and have an odor; subordinate males are smaller, are quiet, and lack an odor. Adult males are territorial and may fight viciously for control of a home range (1-5-22-9 ha) that overlaps the ranges of up to five females (4:4-11-7 ha). They spend up to 30% of the night within 50 m of conspecifics, and communication at a distance is maintained through sound and scent. Home ranges of adult males can double in size during the mating season as they seek estrous females over a wide area using scent and calls. Loud calls are made by both sexes, lending to a rich vocal repertoire of 19 calls, both continuous and discrete, as well as two infant-specific calls. Vocalizations include loud-calls made irrespective of the mating season: barks, whistles, and yaps. Infants make click and “crackle” (like paper crackling) vocalizations. Status and Conservation. CITES Appendix II. Classified as Least Concern on The IUCN Red List. The Southern Lesser Galago is able to live in close association with humans, occupying gardens and using buildings as sleeping places. It is widespread and common, and it is actually expanding its distribution in some areas, particularly in the south. It occurs in Luando Reserve in Angola; Waterberg National Park in Namibia; Borakalalo and Kruger national parks, Pilanesberg Game Reserve, and Tembe Elephant Park in South Africa; Kasanka National Park in Zambia; and Hwange National Park in Zimbabwe. Bibliography. Anderson (1999, 2000), Anderson et al. (2000), Ansell (1960, 1978), Bearder (1969, 1974, 1987, 2007), Bearder & Doyle (1974a), Bearder & Martin (1980a, 1980b), Bearderet al. (2006), Butynski et al. (2006), Caton et al. (2000), Charles-Dominique & Bearder (1979), Clark (1985), Constantino (2001), Crompton (1984), Doyle (1979), Doyle & Bearder (1977), Doyle, Andersson & Bearder (1971), Doyle, Pelletier & Bekker (1967), Groves (1974), Harcourt (1981, 1986b), Harcourt & Bearder (1989), Izard & Nash (1988), Izard & Simons (1987), Jenkins (1987), Knox & Wright (1989), Lipschitz (1997), Lumsden & Masters (2001), Mascagni & Doyle (1993), Masters & Bragg (2000), Meester et al. (1986), Mzilikazi et al. (2006), Napier & Napier (1967), Nash & Weisenseel (2000), Nash et al. (1989), Olson (1979), Olson & Nash (2003), Pinto et al. (1974), Pullen (2000), Pullen et al. (2000), Skinner & Smithers (1990), Watson et al. (1996), Ying & Butler (1971), Zimmermann et al. (1988). ",""
"Galago rondoensis Honess 1997","https://scispace.com/paper/galago-rondoensis-honess-1997-g5q8244rm71i","2024","Repository","","Wilson, Don E.
Reeder, DeeAnn","10.5281/zenodo.11337860","","Galago rondoensis Honess 1997 Galago rondoensis Honess 1997, in: Kingdon, Kingdon Field Guide to African Mammals: 106. Type Locality: Tanzania, Lindi district, Rondo plateau, Rondo Forest Reserve, 10°07’S, 39°23’E. Vernacular Names: Rondo Bushbaby. Distribution: Rondo, Litipo, Ziwani and Pugu Forests, SE Tanzania. Conservation: CITES – Appendix II; IUCN – Endangered. Discussion: G. zanzibaricus species group. Recognised as a species by Groves (2001 c). More fully described by Honess and Bearder (1996 [1997]). ",""
"Galago orinus Lawrence and Washburn 1936","https://scispace.com/paper/galago-orinus-lawrence-and-washburn-1936-0s6ghusyex7w","2024","Repository","","Wilson, Don E.
Reeder, DeeAnn","10.5281/zenodo.11337858","","Galago orinus Lawrence and Washburn 1936 Galago orinus Lawrence and Washburn 1936, Occas. Pap. Boston Soc. Nat. Hist., 8: 259. Type Locality: Tanzania, Uluguru Mtns, Bagilo. Vernacular Names: Uluguru Bushbaby. Distribution: High elevations in Uluguru and probably Usambara Mtns. Conservation: CITES – Appendix II; IUCN – Data Deficient. Discussion: G. orinus species group. Bearder et al. (1995) place this group in genus Galagoides, but Groves (2001 c) and Delpero et al. (2000) considered this premature, as it is unclear how species should be assorted between Galagoides and Galago. Separated from G. demidoff by Bearder et al. (1995), and accepted as a distinct species by Groves (2001 c). ",""
"The primates of the Udzungwa Mountains: diversity, ecology and conservation.","https://scispace.com/paper/the-primates-of-the-udzungwa-mountains-diversity-ecology-and-13xsli61gr","2009","","","Francesco Rovero
Andrew R. Marshall
Trevor Jones
Andrew Perkin","","https://scispace.com/pdf/the-primates-of-the-udzungwa-mountains-diversity-ecology-and-13xsli61gr.pdf","The Udzungwa Mountains are one of the most important areas in Africa for primate diversity and conservation, with two endemic monkeys (Udzungwa red colobus Procolobus gordonorum and Sanje mangabey Cercocebus [galeritus] sanjei), and the near-endemic kipunji monkey Rungwecebus kipunji, a new genus and species discovered in 2004 and found in Udzungwa and Southern Highlands. With six species of galagos, or bushbabies, the area is also of exceptional importance for nocturnal primates. The form of Mountain galago Galagoides orinus occurring in the Udzungwa Mountains appears to be distinct on the base of vocalizations, and further work will be required to assess its taxonomic status. The primate community reflects the overall, exceptional biodiversity of these isolated and ancient mountains. The Udzungwa are part of the Eastern Arc mountain chain, a centre of global importance for biodiversity and endemism. Of all the Eastern Arc Mountain blocks, the Udzungwa have the largest forested area, widest altitudinal gradient and greatest habitat diversity. We review current knowledge on the diversity and distribution of the primate community of the Udzungwa Mountains, with an emphasis on ecology and conservation.","The form of Mountain galago Galagoides orinus occurring in the Udzungwa Mountains appears to be distinct on the base of vocalizations, and further work will be required to assess its taxonomic status."
"The taxonomic status and distribution of Bushbabies in Malawi with emphasis on the significance of vocalizations","https://scispace.com/paper/the-taxonomic-status-and-distribution-of-bushbabies-in-eckdznn9qh","1989","Journal Article","International Journal of Primatology","D. Orin Courtenay
Simon K. Bearder","10.1007/BF02735701","","The debated identity of a small forest bushbaby in Malawi is resolved by a short-term field study of the animals’ behavior. Locomotor styles, calling patterns, and the structure of advertising calls confirm that the species is Galago zanzibaricusrather than G. demidoffor G. thomasi.A detailed comparison of acoustic structure between the Malawi animals and G. zanzibaricusin Kenya demonstrates a degree of between-population variation, although the calls remain conservative in those parameters expected to aid recognition of conspecifics. Distribution records extend the known geographical range of G. zanzibaricusover most of the northern half of Malawi. Further studies are required to link the animals from this region with either of the previously recognized subspecies: G. z. zanzibaricusfrom East Africa or G. z. grantifrom southern Malawi, Mozambique, and Zimbabwe.","The debated identity of a small forest bushbaby in Malawi is resolved by a short-term field study of the animals’ behavior, and Locomotor styles, calling patterns, and the structure of advertising calls confirm that the species is Galago zanzibaricusrather than G. z."
