"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://www.wildsolutions.nl/wp-content/uploads/Three-Galagoides-Butynski-et-al-2006.pdf","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://www.wildsolutions.nl/wp-content/uploads/Three-Galagoides-Butynski-et-al-2006.pdf","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Speciation among galagos (Primates, Galagidae) in Tanzanian forests","https://scispace.com/paper/QLPPYCTZ","1996","Thesis","","Paul E. Honess","","",""
"A field Study on the conservation status and species diversity of galagos in Tanzania, July – December 1999","https://scispace.com/paper/GRHVTUV2","","Journal Article","","Tina Santilli","","https://www.zotero.org/johankarlssonk9/items/GRHVTUV2/attachment/4ZCM95X3/reader","The survey was conducted during the period July-December 2000. Forest reserves in the following areas were surveyed: the Uluguru Mountains and lowlands, the Luhombero and Nyumbanito forests in the Udzungwa Mountains National Park, the Mahenge foothills and Miombo woodlands, and forests of the Taita Hills in Kenya. Of the Eastern Arc forests the Mountain galago was found to be present at Luhombero forest, Uluguru North and South FRs, and Mkungwe FR (Mkungwe FR is part of the Uluguru Mountains). At Mkungwe FR a Mountain Galago was trapped for the first time since the capture of the type specimen in 1926. This captured animal is providing important additional information on type description of this species and may even be described as a paratype. The animal was released unharmed. The survey of the Nyumabanito and Luhombero forests, which has never been surveyed for primates, revealed populations of the Mountain galago and the endemic Iringa Red Colobus Piliocolobus gordonorum but no Sanje Mangabeys were found. Namakutwa/Kiwengoma FR was not visited due transport problems. Instead a previously unsurveyed forest, Nambiga FR also south of Rufiji River in Mahenge district was visited. Here Grant’s galago was found which further shows that the Rufiji River is a biological boundary between the Zanzibar galago and this species. Interestingly the Rondo and Garnett’s galagos were not found. Zanzibar and Garnett’s galagos were found in Ruvu FR."
"Descriptions of the dwarf galago species of Tanzania","https://scispace.com/paper/descriptions-of-the-dwarf-galago-species-of-tanzania-3k4oqc03u3","1996","Journal Article","African Primates","Paul E. Honess
Simon K. Bearder","","",""
"Cryptic diversity and species boundaries within the <i>Paragalago zanzibaricus</i> species complex","https://scispace.com/paper/P39CTPTD","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/j.ympev.2020.106887","https://www.zotero.org/johankarlssonk9/items/P39CTPTD/attachment/8ZHCC7K4/reader","The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls. However, molecular data are still lacking for this group and species boundaries remain unclear. In this study, we explore species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods. Our results consistently support the existence of three independent lineages, P. cocos, P. zanzibaricus, and P. granti, confirming previous hypotheses based on vocal data. We conclude that these three lineages represent valid cryptic species and we hypothesize that speciation within this complex was characterized by cycles of forest expansion and contraction in the Plio-Pleistocene."
"The Biogeographic status of Thomas’s and Demidoff’s dwarf galagos (Galagoides thomasi, Elliot 1907; Galagoides demidoff, Fischer 1806) in West and Central Africa.","https://scispace.com/paper/JD4NWPHT","","Journal Article","","Lesley Ambrose
Simon K Bearder","","https://www.zotero.org/johankarlssonk9/items/JD4NWPHT/attachment/7K79SLIA/reader","While the taxonomic status of Demidoff’s galago has long been established, the specific status of Thomas’s dwarf galago was, until recently, in dispute, and its ecology and distribution were not well known. Thomas’s galago has often been overlooked because of its similarity to Demidoff’s galago, and its small size and location in the forest canopy make it a difficult species to observe. Recent studies have revealed significant morphological differences between the two dwarf species, but only with the identification of their loud calls has it been possible to distinguish them in the field. Each species has a unique vocal profile which fascilitates accurate identification, and differences in other aspects of the behaviour of the two species have also been revealed. This research has identified 12 populations of G.thomasi and G.demidoff in West and Central Africa and their sympatric distribution across the region has now been established."
"Comparative penile morphology of East African galagos (Family Galagidae): Implications for taxonomy","https://scispace.com/paper/5HVVM87Q","","Journal Article","","","","https://www.zotero.org/johankarlssonk9/items/5HVVM87Q/attachment/EC36SEUT/reader",""
"Distribution, Population Density, and Behavior of Dwarf Galagos (Paragalago sp.) in Taita Hills, Kenya","https://scispace.com/paper/26YDZBN5","12/2024","Journal Article","International Journal of Primatology","Hanna Rosti
Janne Heiskanen
Simon Bearder
Benson Lombo
Henry Pihlström
Petri Pellikka
Jouko Rikkinen","10.1007/s10764-023-00390-7","https://www.zotero.org/johankarlssonk9/items/26YDZBN5/attachment/L9NBQUD5/reader","Abstract
            
              A good understanding of taxonomy, distribution, and population density is needed for conservation. Scientific knowledge of dwarf galagos (
              Paragalago
              sp.) remains limited. Two populations of Taita dwarf galagos survive in the largest remnants of moist montane forest in Taita Hills, Kenya. We obtained acoustic data on the two remaining populations using AudioMoths—small, passive recorders—more than 231 h in January and February 2021. We measured forest structure by using airborne LiDAR and ground-level observations and tested the influence of forest size and height, canopy coverage, and density on calls per hour as an indicator of population density. Forest size significantly affected population size. Taita dwarf galagos prefer dense canopy coverage, and they prefer the lower 20–30-m tall forest. Mbololo forest (185 ha) has steady population, whereas dwarf galagos are nearly extinct in Ngangao forest (120 ha). The calls of Taita dwarf galagos resemble those of Kenya coast dwarf galagos (
              Paragalago cocos
              ). DNA studies are urgently needed to resolve the taxonomic status of both surviving populations of dwarf galagos in the Taita Hills. This simple study design should be conducted across African forests to obtain crucial knowledge for galago conservation."
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/a-new-genus-for-the-eastern-dwarf-galagos-primates-galagidae-41i8wkex5w","2017","Journal Article","Zoological Journal of the Linnean Society","Judith C. Masters
Luca Pozzi
Sébastien Couette
Mikael S. Svensson","10.1093/zoolinnean/zlw028","",""
