"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Multiple nuclear loci reveal patterns of incomplete lineage sorting and complex species history within western mouse lemurs (Microcebus)","https://scispace.com/paper/heckman-et-al-2007-multiple-nuclear-loci-reveal-patterns-of-sgfom0ih","2007","","Molecular Phylogenetics and Evolution","Kellie L. Heckman
Carol L. Mariani
Rodin Rasoloarison
Anne D. Yoder","10.1016/j.ympev.2007.03.005","https://scispace.com/records/heckman-et-al-2007-multiple-nuclear-loci-reveal-patterns-of-sgfom0ih","1. Combined analyses:
 When the nuclear markers are combined with the mtDNA markers for a total of 5480 bp, all species boundaries form the same haplotype clades as the mitochondrial tree (Fig. , 4), and show similar relationships among species, excluding the position of M. ravelobensis and the relative positions of M. rufus II (M.

2. Discussion:
 Individually, the nuclear markers failed to reliably resolve each of the species boundaries or the phylogenetic relationships found in the combined mitochondrial tree produced in the Yoder study (2000; Fig. ), due to the lack of topological resolution and to low statistical support.

3. Individual nuclear markers-phylogenies:
 The tree was constructed using three combined mitochondrial markers: cytochrome b, cytochrome oxidase I, and hypervariable region I.","Mouse lemurs (genus Microcebus) are nocturnal primates endemic to the island of Madagascar. Until recently, they were classified as two species, one from eastern and one from western Madagascar. Previously published analyses of morphometric and mitochondrial DNA data show strong support for the recognition of more than eight species, however. Here, we test the eight-species hypothesis with DNA data derived from four independently segregating nuclear loci. We find many areas of congruence between the mitochondrial and nuclear data, but incomplete lineage sorting and low mutation rates limit the phylogenetic resolution of the nuclear data. Even so, the nuclear loci unanimously find evidence for three deeply diverged lineages within the mouse lemur radiation: one that is congruent with the mtDNA ""southern clade"", another that is congruent with the mtDNA ""northern clade"", and one monospecific branch comprised of the species Microcebus ravelobensis. The latter result in particular emphasizes the need for careful biological study of this species. ©2007 Elsevier Inc. All rights reserved."
"Incorporating Molecular Evolution into Phylogenetic Analysis, and a New Compilation of Conserved Polymerase Chain Reaction Primers for Animal Mitochondrial DNA","https://scispace.com/paper/simon-et-al-2006-incorporating-molecular-evolution-into-9fetowds","2006","","Annual Review of Ecology, Evolution, and Systematics","Chris Simon
Thomas R. Buckley
Francesco Frati
James B. Stewart
Andrew T. Beckenbach","10.1146/annurev.ecolsys.37.091305.110018","https://scispace.com/records/simon-et-al-2006-incorporating-molecular-evolution-into-9fetowds","1. Performance of Mitochondrial versus Nuclear Genes for Phylogeny:
 In terms of phylogenetic utility this means that nuclear genes are more likely to be a mosaic of parts having a different evolutionary history and to be telling a different phylogenetic tale, either because of recombination or because of sorting of ancestral polymorphisms (e.g., .

2. THE PHYLOGENETIC USEFULNESS OF MITOCHONDRIAL DNA Mitochondrial Genes and Phylogeny:
 At the species level, mitochondrial gene data are by far the most widely used marker for assessing phylogenetic relationships. They offer some advantages over nuclear data for practical reasons (ease of actually obtaining the sequences, direct comparisons across different studies, and higher levels of variability).

3. Performance of Mitochondrial versus Nuclear Genes for Phylogeny:
 The combination of nuclear and mitochondrial data is useful because incongruence between nuclear and mitochondrial phylogenies can reveal important aspects of species histories such as introgression, hybridization, direct or indirect selection, and incomplete lineage sorting (reviewed by .","DNA data has been widely used in animal phylogenetic studies over the past 15 years. Here we review how these studies have used advances in knowledge of molecular evolutionary processes to create more realistic models of evolution, evaluate the information content of data, test phylogenetic hypotheses, attach time to phylogenies, and understand the relative usefulness of mitochondrial and nuclear genes. We also provide a new compilation of conserved polymerase chain reaction (PCR) primers for mitochondrial genes that complements our earlier compilation."
"Incorporating Molecular Evolution into Phylogenetic Analysis, and a New Compilation of Conserved Polymerase Chain Reaction Primers for Animal Mitochondrial DNA","https://scispace.com/paper/simon-et-al-2006-incorporating-molecular-evolution-into-oi3u613e","2006","","Annual Review of Ecology, Evolution, and Systematics","Chris Simon
Thomas R. Buckley
Francesco Frati
James B. Stewart
Andrew T. Beckenbach","10.1146/annurev.ecolsys.37.091305.110018","https://scispace.com/records/simon-et-al-2006-incorporating-molecular-evolution-into-oi3u613e","1. Performance of Mitochondrial versus Nuclear Genes for Phylogeny:
 In terms of phylogenetic utility this means that nuclear genes are more likely to be a mosaic of parts having a different evolutionary history and to be telling a different phylogenetic tale, either because of recombination or because of sorting of ancestral polymorphisms (e.g., .

2. THE PHYLOGENETIC USEFULNESS OF MITOCHONDRIAL DNA Mitochondrial Genes and Phylogeny:
 At the species level, mitochondrial gene data are by far the most widely used marker for assessing phylogenetic relationships. They offer some advantages over nuclear data for practical reasons (ease of actually obtaining the sequences, direct comparisons across different studies, and higher levels of variability).

3. Performance of Mitochondrial versus Nuclear Genes for Phylogeny:
 The combination of nuclear and mitochondrial data is useful because incongruence between nuclear and mitochondrial phylogenies can reveal important aspects of species histories such as introgression, hybridization, direct or indirect selection, and incomplete lineage sorting (reviewed by .","DNA data has been widely used in animal phylogenetic studies over the past 15 years. Here we review how these studies have used advances in knowledge of molecular evolutionary processes to create more realistic models of evolution, evaluate the information content of data, test phylogenetic hypotheses, attach time to phylogenies, and understand the relative usefulness of mitochondrial and nuclear genes. We also provide a new compilation of conserved polymerase chain reaction (PCR) primers for mitochondrial genes that complements our earlier compilation."
"Patterns of macroevolution among Primates inferred from a supermatrix of mitochondrial and nuclear DNA","https://scispace.com/paper/fabre-et-al-2009-patterns-of-macroevolution-among-primates-r8phz7hp","2009","","Molecular Phylogenetics and Evolution","P-.H. Fabre
A. Rodrigues
E.J.P. Douzery","10.1016/j.ympev.2009.08.004","https://scispace.com/records/fabre-et-al-2009-patterns-of-macroevolution-among-primates-r8phz7hp","1. Taxa and gene sampling:
 Fifteen mitochondrial and 43 nuclear genes were chosen for their taxonomic sampling, coverage across species and their abilities to resolve primate relationships. However, in this study we focused on the 27 genes which maximise species sampling for nuclear and mitochondrial markers (Table ).

2. Molecular and taxonomic sampling:
 genus and family level) is represented by both nuclear and mitochondrial markers. The taxa Pithecia, Callithrix, Saguinus and Presbytis, were not studied enough to be included within this exhaustive phylogenetic framework and thus need to be sampled for future primates studies.","Here, we present a new primate phylogeny inferred from molecular supermatrix analyses of size 42 kb containing 70% of missing data, and representing 75% of primate species diversity. The supermatrix was analysed using a gene-partitioned maximum likelihood approach to obtain an exhaustive molecular phylogenetic framework. All clades recovered from recent molecular works were upheld in our analyses demonstrating that the presence of missing data did not bias our supermatrix inference. The resulting phylogenetic tree was subsequently dated with a molecular dating method to provide a timescale for speciation events. Results obtained from our relaxed molecular clock analyses concurred with previous works based on the same fossil constraints. The resulting dated tree allowed to infer of macroevolutionary processes among the primates. Shifts in diversification rate and speciation rates were determined using the SymmeTREE method and a birthdeath process. No significant asymmetry was detected for the primate clade, but significant shifts in diversification rate were identified for seven clades: Anthropoidea, Lemuriformes, Lemuridae, Galagidae, Callithrix genus, the Cercopithecinae and Asian Macaca. Comparisons with previous primate supertree results reveal that (i) there was a diversification event at the root of the Lemuriformes, (ii) a higher diversification rate is detected for Cercopithecidae and Anthropoidea and (iii) a shift in diversification is always recovered for Macaca genus. Macroevolutionary inferences and primate divergence dates show that major primate diversification events occurred after the Paleogene, suggesting the extinction of ancient primate lineages. © 2009 Elsevier Inc. All rights reserved."
"Evidence for an ancient adaptive episode of convergent molecular evolution","https://scispace.com/paper/castoe-et-al-2009-evidence-for-an-ancient-adaptive-episode-579dia01","2009","","PNAS Early Edition","Todd A. Castoe
A. P. Jason de Koning
Hyun-Min Kim
Wanjun Gu
Brice P. Noonan
Gavin Naylor
Zhi J. Jiang
Christopher L. Parkinson
David D. Pollock","10.1073/pnas.0900233106","https://scispace.com/records/castoe-et-al-2009-evidence-for-an-ancient-adaptive-episode-579dia01","1. Results:
 Comparing Phylogenies from Mitochondrial and Nuclear Genes. Molecular phylogenetic estimates among 34 squamate reptile species plus 6 tetrapod outgroup species were examined based on 2 nucleotide datasets: a nuclear dataset with 2 nuclear genes (3,411 bp) and a mitochondrial dataset including all 13 protein-coding mitochondrial genes .","Documented cases of convergent molecular evolution due to selection are fairly unusual, and examples to date have involved only a few amino acid positions. However, because convergence mimics shared ancestry and is not accommodated by current phylogenetic methods, it can strongly mislead phylogenetic inference when it does occur. Here, we present a case of extensive convergent molecular evolution between snake and agamid lizard mitochondrial genomes that overcomes an otherwise strong phylogenetic signal. Evidence from morphology, nuclear genes, and most sites in the mitochondrial genome support one phylogenetic tree, but a subset of mostly amino acid-altering substitutions (primarily at the first and second codon positions) across multiple mitochondrial genes strongly supports a radically different phylogeny. The relevant sites generally evolved slowly but converged between ancient lineages of snakes and agamids. We estimate that ≈44 of 113 predicted convergent changes distributed across all 13 mitochondrial protein-coding genes are expected to have arisen from nonneutral causes—a remarkably large number. Combined with strong previous evidence for adaptive evolution in snake mitochondrial proteins, it is likely that much of this convergent evolution was driven by adaptation. These results indicate that nonneutral convergent molecular evolution in mitochondria can occur at a scale and intensity far beyond what has been documented previously, and they highlight the vulnerability of standard phylogenetic methods to the presence of nonneutral convergent sequence evolution."
"High-throughput identification of informative nuclear loci for shallow-scale phylogenetics and phylogeography","https://scispace.com/paper/lemmon-and-lemmon-2012-high-throughput-identification-of-sljwm8iz","2012","","Systematic Biology Advance Access","Alan R. Lemmon
Emily Moriarty Lemmon","","https://scispace.com/records/lemmon-and-lemmon-2012-high-throughput-identification-of-sljwm8iz","1. Summary:
 Comparison of sequence divergences for the mitochondrial and nuclear loci indicate that many nuclear loci will have phylogenetic utility at shallow taxonomic scales. Note that the sequence divergence estimates for the nuclear loci were not corrected for multiple substitutions due to their short length and are thus conservative.

2. ABSTRACT:
 Our study effectively identified nuclear loci present in the genome that have levels of sequence divergence on par with mitochondrial loci commonly used in phylogeography.","One of the major challenges for researchers studying phylogeography and shallow-scale phylogenetics is the identification of highly-variable and informative nuclear loci for the question of interest. Previous approaches to locus identification have generally required extensive testing of anonymous nuclear loci developed from genomic libraries of the target taxon, testing of loci of unknown utility from other systems, or identification of loci from the nearest model organism with genomic resources. Here, we present a fast and economical approach to generating thousands of variable, single-copy nuclear loci for any system using next-generation sequencing. We performed Illumina paired-end sequencing of three reduced-representation libraries (RRLs) in chorus frogs (Pseudacris) to identify orthologous, single-copy loci across libraries and to estimate sequence divergence at multiple taxonomic levels. We also conducted PCR testing of these loci across the genus Pseudacris and outgroups to determine whether loci developed for phylogeography can be extended to deeper phylogenetic levels. Prior to sequencing, we conducted in silico digestion of the most closely-related reference genome (Xenopus tropicalis) to generate expectations for the number of loci and degree of coverage for a particular experimental design. Using the RRL approach, we: (1) identified >100,000 single-copy nuclear loci, 6,339 of which were obtained for divergent conspecifics and 904 of which were obtained for heterospecifics, (2) estimated average nuclear sequence divergence at 0.1% between alleles within an individual, 1.1% between conspecific individuals that represent two different clades, and 1.8% between species, and (3) determined from PCR testing that 53% of the loci successfully amplify within-species and also many amplify to the genus-level and deeper in the phylogeny (16%). Our study effectively identified nuclear loci present in the genome that have levels of sequence divergence on par with mitochondrial loci commonly used in phylogeography. Specifically, we estimated that ~7% of loci in the chorus frog genome are >3% divergent within species; this translates to a prediction of ~50,000 single-copy loci in the genome with >3% divergence. Moreover, successful amplification of many loci at deeper phylogenetic levels indicates that the RRL approach represents an efficient method for rapid identification of informative loci for both phylogenetics and phylogeography. We conclude by making recommendations for minimizing the cost and maximizing the efficiency of locus identification for future studies in this field."
"Apparent 'sympatric' speciation in ecologically similar herbivorous beetles facilitated by multiple colonizations of an island","https://scispace.com/paper/jordal-et-al-2006-apparent-sympatric-speciation-in-8pixj055","2006","","Molecular Ecology","Bjarte H. Jordal
Brent C. Emerson
Godfrey M. Hewitt","10.1111/j.1365-294X.2006.02993.x","https://scispace.com/records/jordal-et-al-2006-apparent-sympatric-speciation-in-8pixj055","1. Introduction:
 Analyses of multiple loci from both the nuclear and mitochondrial genomes are therefore required to confidently demarcate species boundaries and identify deeper phylogeographical break points.

2. Genealogical patterns:
 All three nuclear loci revealed a very dissimilar pattern to the one observed for the mitochondrial loci (Fig. ).","Coexistence of recently diverged and ecologically similar sister species in complete sympatry represents a particularly compelling case for sympatric speciation. This study investigates the possible sympatric origin of two coexisting bark beetle taxa that utilize the same host plant on the island of La Palma in the Canary Islands. Aphanarthrum subglabrum and Aphanarthrum glabrum ssp. nudum breed inside dead twigs of Euphorbia lamarckii plants and are closely related to the allopatric A. glabrum ssp. glabrum in Tenerife, El Hierro and La Gomera. We tested the various speciation hypotheses in a genealogical context, using mitochondrial gene fragments from Cytochrome Oxidase I and 16S, and nuclear gene fragments from Enolase, Elongation Factor 1a and Histone H3. Phylogenetic analyses of the combined nuclear DNA data strongly supported a sister relationship between two sympatric and reproductively isolated taxa in La Palma. However, network analyses of subdivided nonrecombinant segments of the Enolase locus indicated a closer relationship between the two allopatric A. glabrum subspecies, suggesting multiple colonizations of this island. A bimodal distribution of mtDNA haplotypes in La Palma further documented the inde-pendent colonization of this island, with asymmetric introgression of mtDNA between two lineages. Consequently, the sympatric origin of the La Palma species is concluded to have involved allopatric phases before the parallel colonization of this island and subsequent introgression at some loci. The clear genetic and morphological evidence for reproductive isolation between these species suggests that the sympatric completion of divergence was either due to initial genetic incompatibility, morphological character displacement in male genitalia, or a combination of these factors."
"Delimiting Species in Recent Radiations","https://scispace.com/paper/shaffer-and-thomson-2007-delimiting-species-in-recent-oge3gkao","2007","","Systematic Biology","H. Bradley Shaffer
Robert C. Thomson","10.1080/10635150701772563","https://scispace.com/records/shaffer-and-thomson-2007-delimiting-species-in-recent-oge3gkao","1. SPECIES BOUNDARIES IN RECENT RADIATIONS:
 difficilis), and the warbler finches (Certhidea olivacea and fusca). Although these and other species in the group have been extensively analyzed with mitochondrial and nuclear markers , species boundaries remain fuzzy and ill-defined for many taxa, making these animals ""the poster child for foggy species boundaries"" .","Despite considerable effort from the systematics community, delimiting species boundaries in recent radiations remains a daunting challenge. We argue that genealogical approaches, although sometimes useful, may not solve this important problem, because recently derived species often have not had sufficient time to achieve monophyly. Instead, we suggest that population genetic approaches that rely on large sets of informative markers like single nucleotide polymorphisms (SNPs) provide an alternative framework for delimiting very recently derived species. We address two major challenges in applying such markers to species delimitation: discovering markers in nonmodel systems and using them to delimit recently derived species. Using turtles as a test case, we explore the utility of a single, relatively low-coverage genomic resource as an aid in gene and marker discovery. We exploit an end-sequenced bacterial artificial chromosome (BAC) library from an individual painted turtle (Chrysemys picta) and outline a novel protocol that efficiently identifies primer pairs that amplify homologous sequences across the tree of living turtles. Preliminary data using this library to discover SNPs in Emydura macquarii, a species that diverged from C. picta ~210 million years ago, indicate that sequences identified from the Chrysemys BAC library provide useful SNPs even in this very distantly related taxon. Several recent methods in wide use in the population genetics literature allow one to discover potential species, or test existing species hypotheses, with SNP data and may be particularly informative for very recently derived species. As BAC and other genomic resources become increasingly available for scattered taxa across the tree of life, we are optimistic that these resources will provide abundant, inexpensive markers that will help delimit boundaries in problematic, recent species radiations. [BAC end sequence; Chrysemys; comparative genomics; Emydura; recent speciation; species delimitation; turtle.]"
"Mitochondrial and nuclear markers suggest Hanuman langur (Primates: Colobinae) polyphyly: Implications for their species status","https://scispace.com/paper/karanth-et-al-2010-mitochondrial-and-nuclear-markers-suggest-3rg5zjn0","2009","","Molecular Phylogenetics and Evolution","K. Praveen Karanth
Lalji Singh
Caro-Beth Stewart","10.1016/j.ympev.2009.10.034","https://scispace.com/records/karanth-et-al-2010-mitochondrial-and-nuclear-markers-suggest-3rg5zjn0","1. Discussion:
 Thus in both the cases discussed above the nuclear markers suggest that these widely-distributed taxa constitute a single homogeneous species but their mtDNA have retained high levels of polymorphism that is shared with sister taxa.","Recent molecular studies on langurs of the Indian subcontinent suggest that the widely-distributed and morphologically variable Hanuman langurs (Semnopithecus entellus) are polyphyletic with respect to Nilgiri and purple-faced langurs. To further investigate this scenario, we have analyzed additional sequences of mitochondrial cytochrome b as well as nuclear protamine P1 genes from these species. The results confirm Hanuman langur polyphyly in the mitochondrial tree and the nuclear markers suggest that the Hanuman langurs share protamine P1 alleles with Nilgiri and purple-faced langurs. We recommend provisional splitting of the so-called Hanuman langurs into three species such that the taxonomy is consistent with their evolutionary relationships."
"Mitochondrial Introgression and Incomplete Lineage Sorting Through Space and Time: Phylogenetics of Crotaphytid Lizards","https://scispace.com/paper/mcguire-et-al-2007-mitochondrial-introgression-and-av68a6fe","2007","","Evolution","Jimmy A. McGuire
Charles W. Linkem
Michelle S. Koo
Delbert W. Hutchison
A. Kristopher Lappin
David I. Orange
Julio Lemos-Espinal
Brett R. Riddle
Jef R. Jaeger","10.1111/j.1558-5646.2007.00239.x","https://scispace.com/records/mcguire-et-al-2007-mitochondrial-introgression-and-av68a6fe","1. 2:
 For more than two decades, mitochondrial genes have served as the markers of choice for phylogeographic and species-level phylogenetic analyses of animals .","We investigate the roles of mitochondrial introgression and incomplete lineage sorting during the phylogenetic history of crotaphytid lizards. Our Bayesian phylogenetic estimate for Crotaphytidae is based on analysis of mitochondrial DNA sequence data for 408 individuals representing the 12 extant species of Crotaphytus and Gambelia. The mitochondrial phylogeny disagrees in several respects with a previously published morphological tree, as well as with conventional species designations, and we conclude that some of this disagreement stems from hybridization-mediated mitochondrial introgression, as well as from incomplete lineage sorting. Unidirectional introgression of Crotaphytus collaris (western collared lizard) mitochondria into C. reticulatus (reticulate collared lizard) populations in the Rio Grande Valley of Texas has resulted in replacement of ancestral C. reticulatus mitochondria over approximately two-thirds of the total range of the species, a linear distance of ~270 km. Introgression of C. collaris mitochondria into C. bicinctores (Great Basin collared lizard) populations in southwestern Arizona requires a more complex scenario because at least three temporally separated and superimposed introgression events appear to have occurred in this region. We propose an ‘introgression conveyor' model to explain this unique pattern of mitochondrial variation in this region. We show with ecological niche modeling that the predicted geographical ranges of C. collaris, C. bicinctores, and C. reticulatus during glacial maxima could have provided enhanced opportunities for past hybridization. Our analyses suggest that incomplete lineage sorting and/or introgression has further confounded the phylogenetic placements of additional species including C. nebrius, C. vestigium, C. insularis, C. grismeri, and perhaps G. copei. Despite many independent instances of interspecific hybridization among crotaphytid lizards, the species continue to maintain morphological and geographic cohesiveness throughout their ranges."
