"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Insights into the molecular systematics of Trichuris infecting captive primates based on mitochondrial DNA analysis","https://scispace.com/paper/insights-into-the-molecular-systematics-of-trichuris-4lnvdlvdii","2019","Journal Article","Veterinary Parasitology","Serena Cavallero
Peter Nejsum
Cristina Cutillas
Rocío Callejón
Jana Doležalová
David Modrý
Stefano D'Amelio","10.1016/J.VETPAR.2019.06.019","https://www.academia.edu/download/108515787/j.vetpar.2019.06.01920231207-1-yuv7xu.pdf","… Traditionally, whipworms infecting primates are referred to … primates. Here, we analyzed the genetic diversity and phylogeny of Trichuris infecting five different non-human primate …",""
"Molecular phylogeny and evolution of primate mitochondrial DNA.","https://scispace.com/paper/molecular-phylogeny-and-evolution-of-primate-mitochondrial-2t9k8fds3x","1988","Journal Article","Molecular Biology and Evolution","Kenji Hayasaka
Takashi Gojobori
Satoshi Horai","10.1093/OXFORDJOURNALS.MOLBEV.A040524","https://academic.oup.com/mbe/article-pdf/5/6/626/11167599/2haya.pdf","… groups of primates, we determined the nucleotide sequences of homologous 0.9-kb mtDNA fragments from seven species of primates (four old-world monkeys, a new-world monkey, …","We determined nucleotide sequences of homologous 0.9-kb fragments of mitochondrial DNAs (mtDNAs) derived from four species of old-world monkeys, one species of new-world monkeys, and two species of prosimians. With these nucleotide sequences and homologous sequences for five species of hominoids, we constructed a phylogenetic tree for the four groups of primates. The phylogeny obtained is generally consistent with evolutionary trees constructed in previous studies. Our results also suggest that the rate of nucleotide substitution for mtDNAs in hominines (human, chimpanzee, and gorilla) may have slowed down compared with that for old-world monkeys. This evolutionary feature of mitochondrial genes is similar to one found in nuclear genes."
"Phylogenetic relationships among the colobine monkeys revisited: new insights from analyses of complete mt genomes and 44 nuclear non-coding markers","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-124znhs0km","2012","Journal Article","PLOS ONE","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang
Ya-Ping Zhang","10.1371/JOURNAL.PONE.0036274","https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0036274&type=printable","… The combined nuclear gene and the mt genome as well as the combined … phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics…","Background 
Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates.
Principal Findings 
The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic ‘odd-nosed’ group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups.
Significance 
The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics."
"Nuclear versus mitochondrial DNA: evidence for hybridization in colobine monkeys","https://scispace.com/paper/nuclear-versus-mitochondrial-dna-evidence-for-hybridization-1ahtg2gcnx","2011","Journal Article","BMC Evolutionary Biology","Christian Roos
Dietmar Zinner
Laura Kubatko
Christiane Schwarz
Mouyu Yang
Dirk Meyer
Stephen D. Nash
Jinchuan Xing
Mark A. Batzer
Markus Brameier
Fabian H. Leendertz
Thomas Ziegler
Dyah Perwitasari-Farajallah
Tilo Nadler
Lutz Walter
Martin Osterholz","10.1186/1471-2148-11-77","https://link.springer.com/content/pdf/10.1186/1471-2148-11-77.pdf","Background Colobine monkeys constitute a diverse group of primates with major radiations in Africa and Asia. However, phylogenetic relationships among genera are under debate, …","Colobine monkeys constitute a diverse group of primates with major radiations in Africa and Asia. However, phylogenetic relationships among genera are under debate, and recent molecular studies with incomplete taxon-sampling revealed discordant gene trees. To solve the evolutionary history of colobine genera and to determine causes for possible gene tree incongruences, we combined presence/absence analysis of mobile elements with autosomal, X chromosomal, Y chromosomal and mitochondrial sequence data from all recognized colobine genera. Gene tree topologies and divergence age estimates derived from different markers were similar, but differed in placing Piliocolobus/Procolobus and langur genera among colobines. Although insufficient data, homoplasy and incomplete lineage sorting might all have contributed to the discordance among gene trees, hybridization is favored as the main cause of the observed discordance. We propose that African colobines are paraphyletic, but might later have experienced female introgression from Piliocolobus/Procolobus into Colobus. In the late Miocene, colobines invaded Eurasia and diversified into several lineages. Among Asian colobines, Semnopithecus diverged first, indicating langur paraphyly. However, unidirectional gene flow from Semnopithecus into Trachypithecus via male introgression followed by nuclear swamping might have occurred until the earliest Pleistocene. Overall, our study provides the most comprehensive view on colobine evolution to date and emphasizes that analyses of various molecular markers, such as mobile elements and sequence data from multiple loci, are crucial to better understand evolutionary relationships and to trace hybridization events. Our results also suggest that sex-specific dispersal patterns, promoted by a respective social organization of the species involved, can result in different hybridization scenarios."
"Molecular evidence on primate phylogeny from DNA sequences","https://scispace.com/paper/molecular-evidence-on-primate-phylogeny-from-dna-sequences-406k34vdph","1994","Journal Article","American Journal of Physical Anthropology","Morris Goodman
Wendy J. Bailey
Kenji Hayasaka
Michael J. Stanhope
Jerry L. Slightom
Jerry L. Slightom
John Czelusniak","10.1002/AJPA.1330940103","","… systematics of primates is congruent with the evidence from morphology in grouping Cercopithecoidea (Old World monkeys) and Hominoidea (apes … 1 of the nuclear gene encoding …","Evidence from DNA sequences on the phylogenetic systematics of primates is congruent with the evidence from morphology in grouping Cercopithecoidea (Old World monkeys) and Hominoidea (apes and humans) into Catarrhini, Catarrhini and Platyrrhini (ceboids or New World monkeys) into Anthropoidea, Lemuriformes and Lorisiformes into Strepsirhini, and Anthropoidea, Tarsioidea, and Strepsirhini into Primates. With regard to the problematic relationships of Tarsioidea, DNA sequences group it with Anthropoidea into Haplorhini. In addition, the DNA evidence favors retaining Cheirogaleidae within Lemuriformes in contrast to some morphological studies that favor placing Cheirogaleids in Lorisiformes. While parsimony analysis of the present DNA sequence data provides only modest support for Haplorhini as a monophyletic taxon, it provides very strong support for Hominoidea, Catarrhini, Anthropoidea, and Strepsirhini as monophyletic taxa. The parsimony DNA evidence also rejects the hypothesis that megabats are the sister group of either Primates or Dermoptera (flying lemur) or a Primate-Dermoptera clade and instead strongly supports the monophyly of Chiroptera, with megabats grouping with microbats at considerable distance from Primates. In contrast to the confused morphological picture of sister group relationships within Hominoidea, orthologous noncoding DNA sequences (spanning alignments involving as many as 20,000 base positions) now provide by the parsimony criterion highly significant evidence for the sister group relationships defined by a cladistic classification that groups the lineages to all extant hominoids into family Hominidae, divides this ape family into subfamilies Hylobatinae (gibbons) and Homininae, divides Homininae into tribes Pongini (orangutans) and Hominini, and divides Hominini into subtribes Gorillina (gorillas) and Hominina (humans and chimpanzees). A likelihood analysis of the largest body of these noncoding orthologues and counts of putative synapomorphies using the full range of sequence data from mitochondrial and nuclear genomes also find that humans and chimpanzees share the longest common ancestry."
"Mitochondrial DNA for phylogeny building: Assessing individual and grouped mtGenes as proxies for the mtGenome in platyrrhines","https://scispace.com/paper/mitochondrial-dna-for-phylogeny-building-assessing-ewftrfgprk7f","2025","Journal Article","American Journal of Primatology","Natalie Finnegan
J. W. Lynch","10.1002/ajp.70017","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ajp.70017","… Phylogenetic trees are analytic tools used in primate studies … to nuclear genomes, mitochondrial DNA is frequently used for … platyrrhine mtGenomes for phylogenetic reconstruction. Sixty-…",""
"Neotropical primate evolution and phylogenetic reconstruction using chromosomal data","https://scispace.com/paper/neotropical-primate-evolution-and-phylogenetic-i056amvh27","2017","Journal Article","Italian Journal of Zoology","Francesca Dumas
Sofia Mazzoleni","10.1080/11250003.2016.1260655","https://www.tandfonline.com/doi/pdf/10.1080/11250003.2016.1260655","… Some ancestral primate associations are not present in New World monkeys due to previous … are useful tools to help in the phylogenetic reconstruction of New World monkeys. …","Platyrrhini are a group of Neotropical primates living in central and south America, and have been extensively studied through morphological and molecular data in order to shed light on their phylogeny and evolution. Agreement on the main clades of Neotropical primates has been reached using different approaches, but many phylogenetic nodes remain under discussion. Contrasting hypotheses have been proposed, presumably due to different markers and the presence of polymorphisms in the features considered; furthermore, neither Neotropical primate biodiversity nor their taxonomy are entirely known. In our perspective, a cytogenetic approach can help by making an important contribution to the evaluation of the phylogenetic relationships among Platyrrhini. In this work, molecular cytogenetic data regarding the principal nodes of the Neotropical monkey tree have been reviewed; classical cytogenetic data have also been considered, especially when other data have proven elusive, permitting us to discuss hi..."
"Systematics of New World monkeys (Platyrrhini, Primates) based on 16S mitochondrial DNA sequences: a comparative analysis of different weighting methods in …","https://scispace.com/paper/290Vcd1Zld8J","","","","I Horovitz
A Meyer","","","… groups of primates. Fleagle (1988, p. 148) pointed out that “. . . … New World monkey systematic relationships have been … Mitochondrial DNA sequences of primates: Tempo and …",""
"Estimating the phylogeny and divergence times of primates using a supermatrix approach","https://scispace.com/paper/estimating-the-phylogeny-and-divergence-times-of-primates-a2wvr9d9hg","2009","Journal Article","BMC Evolutionary Biology","Helen J. Chatterjee
Simon Y. W. Ho
Simon Y. W. Ho
Ian Barnes
Colin P. Groves","10.1186/1471-2148-9-259","https://link.springer.com/content/pdf/10.1186/1471-2148-9-259.pdf","… One of the foremost debates in primate systematics has long … of primate genera. Maximum-clade-credibility tree of the Order Primates, inferred from a genus-level mitochondrial DNA …","The primates are among the most broadly studied mammalian orders, with the published literature containing extensive analyses of their behavior, physiology, genetics and ecology. The importance of this group in medical and biological research is well appreciated, and explains the numerous molecular phylogenies that have been proposed for most primate families and genera. Composite estimates for the entire order have been infrequently attempted, with the last phylogenetic reconstruction spanning the full range of primate evolutionary relationships having been conducted over a decade ago. To estimate the structure and tempo of primate evolutionary history, we employed Bayesian phylogenetic methods to analyze data supermatrices comprising 7 mitochondrial genes (6,138 nucleotides) from 219 species across 67 genera and 3 nuclear genes (2,157 nucleotides) from 26 genera. Many taxa were only partially represented, with an average of 3.95 and 5.43 mitochondrial genes per species and per genus, respectively, and 2.23 nuclear genes per genus. Our analyses of mitochondrial DNA place Tarsiiformes as the sister group of Strepsirrhini. Within Haplorrhini, we find support for the primary divergence of Pitheciidae in Platyrrhini, and our results suggest a sister grouping of African and non-African colobines within Colobinae and of Cercopithecini and Papionini within Cercopthecinae. Date estimates for nodes within each family and genus are presented, with estimates for key splits including: Strepsirrhini-Haplorrhini 64 million years ago (MYA), Lemuriformes-Lorisiformes 52 MYA, Platyrrhini-Catarrhini 43 MYA and Cercopithecoidea-Hominoidea 29 MYA. We present an up-to-date, comprehensive estimate of the structure and tempo of primate evolutionary history. Although considerable gaps remain in our knowledge of the primate phylogeny, increased data sampling, particularly from nuclear loci, will be able to provide further resolution."
"Molecular cladistic markers in New World monkey phylogeny (Platyrrhini, Primates)","https://scispace.com/paper/molecular-cladistic-markers-in-new-world-monkey-phylogeny-3zop4qi6h3","2003","Journal Article","Molecular Phylogenetics and Evolution","Silke S. Singer
Jürgen Schmitz
Claudia Schwiegk
Hans Zischler","10.1016/S1055-7903(02)00312-3","https://www.medizin.uni-muenster.de/fileadmin/einrichtung/zmbe/iep/schmitz/Pdfs/15_Singer2003.pdf","… of primate-specific Alu elements were applied as molecular cladistic markers in a phylogenetic analysis of South American primates. … in various New World monkeys and the human …",""
