"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Completing a molecular timetree of primates","https://scispace.com/paper/completing-a-molecular-timetree-of-primates-4i2146n7mwib","2024","Journal Article","Frontiers in bioinformatics","Jack M. Craig
S. Blair Hedges
Sudhir Kumar","10.3389/fbinf.2024.1495417","","Primates, consisting of apes, monkeys, tarsiers, and lemurs, are among the most charismatic and well-studied animals on Earth, yet there is no taxonomically complete molecular timetree for the group. Combining the latest large-scale genomic primate phylogeny of 205 recognized species with the 400-species literature consensus tree available from TimeTree.org yields a phylogeny of just 405 primates, with 50 species still missing despite having molecular sequence data in the NCBI GenBank. In this study, we assemble a timetree of 455 primates, incorporating every species for which molecular data are available. We use a synthetic approach consisting of a literature review for published timetrees, ","Researchers assemble a comprehensive molecular timetree of 455 primates, incorporating all available species, by combining large-scale genomic phylogenies and literature consensus trees, filling a 50-species gap in the existing primate phylogeny."
"Understanding the convoluted evolutionary history of the capped-golden langur lineage (Cercopithecidae: Colobinae)†.","https://scispace.com/paper/understanding-the-convoluted-evolutionary-history-of-the-4wz01l33nl","2021","Journal Article","Journal of Genetics","Kunal Arekar
Abhijna Parigi
K. Praveen Karanth","10.1007/S12041-021-01329-8","https://link.springer.com/content/pdf/10.1007/s12041-021-01329-8.pdf","The phylogenetic position of the capped and golden langur (CG) lineage has been ambiguous owing to the discordance between phylogenies from multiple molecular markers. Previous molecular studies have hypothesised that this discordance likely arises from either a hybridization event that took place between the Indian genus Semnopithecus and the Southeast Asian genus Trachypithecus or from incomplete lineage sorting (ILS). Distinguishing between hybridization and ILS is challenging and these processes can lead to serious difficulties in inferring phylogenies. In this study, we used genetic markers (nine nuclear and eight mitochondrial) in conjunction with coalescent based species tree approach and a test for hybridization using posterior predictive checking to better understand the evolutionary origin of the CG lineage. Both the concatenated nuclear as well as the mitochondrial dataset recovered congruent relationships where CG lineage was sister to Trachypithecus. However, nuclear species tree estimated using different multispecies coalescent methods suggested an opposite result, i.e. CG lineage was sister to Semnopithecus. Hybridization analysis strongly indicates gene flow between Semnopithecus and Trachypithecus that likely gave rise to the hybrid CG lineage. Further, the CG lineage is morphologically intermediate between Semnopithecus and Trachypithecus with respect to skull and body measurements. In light of the above evidences, we argue that the CG lineage needs to be elevated to a new genus of its own. Taxonomic and conservation implications of these results are also discussed.","In this article, the phylogenetic position of the capped and golden langur (CG) lineage has been ambiguous owing to the discordance between phylogenies from multiple molecular markers, and the authors used genetic markers (nine nuclear and eight mitochondrial) in conjunction with coalescent based species tree approach and a test for hybridization using posterior predictive checking to better understand the evolutionary origin of the CG lineage."
"A rapid and scalable method for multilocus species delimitation using Bayesian model comparison and rooted triplets","https://scispace.com/paper/a-rapid-and-scalable-method-for-multilocus-species-5f51pgfdhn","2016","Journal Article","Systematic Biology","Tomochika Fujisawa
Amr Aswad
Timothy G. Barraclough","10.1093/SYSBIO/SYW028","","Multilocus sequence data provide far greater power to resolve species limits than the single locus data typically used for broad surveys of clades. However, current statistical methods based on a multispecies coalescent framework are computationally demanding, because of the number of possible delimitations that must be compared and time-consuming likelihood calculations. New methods are therefore needed to open up the power of multilocus approaches to larger systematic surveys. Here, we present a rapid and scalable method that introduces 2 new innovations. First, the method reduces the complexity of likelihood calculations by decomposing the tree into rooted triplets. The distribution of topologies for a triplet across multiple loci has a uniform trinomial distribution when the 3 individuals belong to the same species, but a skewed distribution if they belong to separate species with a form that is specified by the multispecies coalescent. A Bayesian model comparison framework was developed and the best delimitation found by comparing the product of posterior probabilities of all triplets. The second innovation is a new dynamic programming algorithm for finding the optimum delimitation from all those compatible with a guide tree by successively analyzing subtrees defined by each node. This algorithm removes the need for heuristic searches used by current methods, and guarantees that the best solution is found and potentially could be used in other systematic applications. We assessed the performance of the method with simulated, published, and newly generated data. Analyses of simulated data demonstrate that the combined method has favorable statistical properties and scalability with increasing sample sizes. Analyses of empirical data from both eukaryotes and prokaryotes demonstrate its potential for delimiting species in real cases.","A rapid and scalable method that reduces the complexity of likelihood calculations by decomposing the tree into rooted triplets and introduces a new dynamic programming algorithm for finding the optimum delimitation from all those compatible with a guide tree by successively analyzing subtrees defined by each node."
"Molecular Phylogeny and Evolution in Primates","https://scispace.com/paper/molecular-phylogeny-and-evolution-in-primates-34qfriboq3","2012","Book Chapter","","Atsushi Matsui
Masami Hasegawa","10.1007/978-4-431-54011-3_16","","Primate evolution draws special attention because of its direct relevance to human origins. However, there are still several phylogenetic problems remaining among the primates. Recent molecular evolution studies using nuclear and mitochondrial DNA data seem to have established a consensus with respect to the phylogenetic positions of various primates. In addition, the presence/absence patterns of the short interspersed elements (SINE), which are regarded to be informative molecular cladistic markers, strongly supported the phylogenetic placement of several problematic species. Although the phylogenetic relationships of living primate species are relatively well established, the divergence times among them are still controversial. This controversy has arisen partly because different authors have used different molecular data with different methods and calibration points. Here, we review recent molecular phylogenetic studies of primates together with our own study. Furthermore, we compare and discuss the divergence times estimated for various primate species.","The presence/absence patterns of the short interspersed elements (SINE), which are regarded to be informative molecular cladistic markers, strongly supported the phylogenetic placement of several problematic species."
"Assessment of phylogenetic informativeness in mitochondrial and nuclear genes for mammalian systematics using sparse learning","https://scispace.com/paper/assessment-of-phylogenetic-informativeness-in-mitochondrial-h6o63gztatvg","2026","Journal Article","Frontiers in bioinformatics","Carlos G. Schrago
Beatriz Mello","10.3389/fbinf.2025.1704212","","Despite the growing availability of nuclear genomic data, mitochondrial genes remain the most widely used molecular markers in mammalian systematics. However, a quantitative assessment of the phylogenetic information content of mitochondrial loci compared to nuclear loci has never been carried out. Here, we apply a sparse learning approach based on Lasso regression to evaluate the contribution of alignment sites to phylogenetic likelihoods, providing the first estimates of phylogenetically effective lengths for markers commonly used in mammalian systematics. Analyzing more than 30,000 complete mammalian mitochondrial genomes and nuclear panels composed of either 100 randomly selected complete coding sequences or of partial gene segments from conventional markers, we examined phylogenetic informativeness at two taxonomic levels: within-species and among-species. On average, ∼32% of mitochondrial sites and ∼38% of nuclear sites were classified as phylogenetically informative. We found that the number of phylogenetically informative sites were positively correlated with total gene length. Therefore, longer mitochondrial genes, particularly ND5, COX1, and CYTB, harbored the largest numbers of informative sites. Although nuclear coding sequences contained, on average, more informative sites, mitochondrial genes also yielded consistent resolution of among-species relationships. Overall, our results provide the first large-scale, quantitative comparison of phylogenetic information content across mammalian mitochondrial and nuclear genes, offering a principled framework for marker selection in future systematics studies that can be broadly applied to any lineage.","This study assesses phylogenetic informativeness in mammalian mitochondrial and nuclear genes using sparse learning, finding that longer mitochondrial genes and nuclear coding sequences harbor the most informative sites, with implications for marker selection in systematics."
"Efficiency of Nuclear and Mitochondrial Markers Recovering and Supporting Known Amniote Groups","https://scispace.com/paper/efficiency-of-nuclear-and-mitochondrial-markers-recovering-2chpqjurh2","2012","Journal Article","Evolutionary Bioinformatics","Julia Lambret-Frotté
Fernando A. Perini
Claudia Russo","10.4137/EBO.S9656","","We have analysed the efficiency of all mitochondrial protein coding genes and six nuclear markers (Adora3, Adrb2, Bdnf, Irbp, Rag2 and Vwf) in reconstructing and statistically supporting known amniote groups (murines, rodents, primates, eutherians, metatherians, therians). The efficiencies of maximum likelihood, Bayesian inference, maximum parsimony, neighbor-joining and UPGMA were also evaluated, by assessing the number of correct and incorrect recovered groupings. In addition, we have compared support values using the conservative bootstrap test and the Bayesian posterior probabilities. First, no correlation was observed between gene size and marker efficiency in recovering or supporting correct nodes. As expected, tree-building methods performed similarly, even UPGMA that, in some cases, outperformed other most extensively used methods. Bayesian posterior probabilities tend to show much higher support values than the conservative bootstrap test, for correct and incorrect nodes. Our results also suggest that nuclear markers do not necessarily show a better performance than mitochondrial genes. The so-called dependency among mitochondrial markers was not observed comparing genome performances. Finally, the amniote groups with lowest recovery rates were therians and rodents, despite the morphological support for their monophyletic status. We suggest that, regardless of the tree-building method, a few carefully selected genes are able to unfold a detailed and robust scenario of phylogenetic hypotheses, particularly if taxon sampling is increased.","It is suggested that, regardless of the tree-building method, a few carefully selected genes are able to unfold a detailed and robust scenario of phylogenetic hypotheses, particularly if taxon sampling is increased."
"In sillico Analysis of Mitochondrial DNA and Phylogenetic Relationships Among Genus Presbytis ( Presbytis comata, Presbytis fredericae, Presbytis mitrata, and Presbytis melalophos)","https://scispace.com/paper/in-sillico-analysis-of-mitochondrial-dna-and-phylogenetic-b7p2he8im5gq","2025","Journal Article","Edubiologica","Maulani Pradiana
Yayan Hendrayana","10.25134/edb.v13i1.5","","This study investigates the phylogenetic relationships among four species of Presbytis—Presbytis comata, Presbytis fredericae, Presbytis mitrata, and Presbytis melalophos—based on the mitochondrial cytochrome b gene sequences. These species, collectively known as leaf monkeys, share similar morphological features, which complicates species identification based solely on physical traits. To address this challenge, an in silico approach was employed, utilizing mitochondrial DNA sequences retrieved from the NCBI GenBank database. The sequences were analyzed using BLAST to ensure accuracy in alignment, followed by phylogenetic tree construction with MEGA software. The phylogenetic analysis revealed clear genetic distinctions between the species, despite their morphological similarities, with each species forming distinct clusters on the phylogenetic tree. The results demonstrate the utility of mitochondrial markers like cytochrome b in resolving evolutionary relationships in closely related species. These findings provide valuable insights into the genetic diversity and evolutionary history of Presbytis species, contributing to a better understanding of their taxonomy and evolutionary divergence. Furthermore, the study underscores the importance of genetic analysis in primate conservation efforts, as the genetic distinctions observed may inform targeted conservation strategies. This research highlights the critical role of molecular tools in understanding biodiversity and evolution, especially for species that are difficult to differentiate morphologically. ","This in silico study analyzes mitochondrial DNA sequences of four Presbytis species (leaf monkeys) to resolve their phylogenetic relationships, revealing distinct genetic clusters despite morphological similarities, and highlights the utility of mitochondrial markers in primate conservation and taxonomy."
"Mitochondrial Versus Nuclear Gene Sequences in Deep-Level Mammalian Phylogeny Reconstruction","https://scispace.com/paper/mitochondrial-versus-nuclear-gene-sequences-in-deep-level-109jgn6j1w","2001","Journal Article","Molecular Biology and Evolution","Mark S. Springer
Ronald W. DeBry
Christophe J. Douady
Heather M. Amrine
Ole Madsen
Wilfried W. de Jong
Michael J. Stanhope","10.1093/OXFORDJOURNALS.MOLBEV.A003787","https://scispace.com/pdf/mitochondrial-versus-nuclear-gene-sequences-in-deep-level-109jgn6j1w.pdf","Both mitochondrial and nuclear gene sequences have been employed in efforts to reconstruct deep-level phylogenetic relationships. A fundamental question in molecular systematics concerns the efficacy of different types of sequences in recovering clades at different taxonomic levels. We compared the performance of four mitochondrial data sets (cytochrome b, cytochrome oxidase II, NADH dehydrogenase subunit I, 12S rRNA-tRNA-16S rRNA) and eight nuclear data sets (exonic regions of alpha-2B adrenergic receptor, aquaporin, ss-casein, gamma-fibrinogen, interphotoreceptor retinoid binding protein, kappa-casein, protamine, von Willebrand Factor) in recovering deep-level mammalian clades. We employed parsimony and minimum-evolution with a variety of distance corrections for superimposed substitutions. In 32 different pairwise comparisons between these mitochondrial and nuclear data sets, we used the maximum set of overlapping taxa. In each case, the variable-length bootstrap was used to resample at the size of the smaller data set. The nuclear exons consistently performed better than mitochondrial protein and rRNA-tRNA coding genes on a per-residue basis in recovering benchmark clades. We also concatenated nuclear genes for overlapping taxa and made comparisons with concatenated mitochondrial protein-coding genes from complete mitochondrial genomes. The variable-length bootstrap was used to score the recovery of benchmark clades as a function of the number of resampled base pairs. In every case, the nuclear concatenations were more efficient than the mitochondrial concatenations in recovering benchmark clades. Among genes included in our study, the nuclear genes were much less affected by superimposed substitutions. Nuclear genes having appropriate rates of substitution should receive strong consideration in efforts to reconstruct deep-level phylogenetic relationships.","The nuclear exons consistently performed better than mitochondrial protein and rRNA-tRNA coding genes on a per-residue basis in recovering benchmark clades and nuclear genes having appropriate rates of substitution should receive strong consideration in efforts to reconstruct deep-level phylogenetic relationships."
"Standardized nuclear markers advance metazoan taxonomy","https://scispace.com/paper/standardized-nuclear-markers-advance-metazoan-taxonomy-aswe66qll4","2021","Posted Content","bioRxiv","Lars Dietz
Jonas Eberle
Christoph Mayer
Sandra Kukowka
Bohacz C
Hannes Baur
Marianne Espeland
Huber Ba
Carl R. Hutter
Ximo Mengual
Ralph S. Peters
Miguel Vences
Thomas Wesener
Keith R. Willmott
Bernhard Misof
Oliver Niehuis
Dirk Ahrens","10.1101/2021.05.07.443120","https://biorxiv.org/content/10.1101/2021.05.07.443120v1.full.pdf","Species are the fundamental units of life and their recognition is essential for science and society. DNA barcoding, the use of a single and often mitochondrial gene, has been increasingly employed as a universal approach for the identification of animal species. However, this approach faces several challenges. Here, we demonstrate with empirical data from a number of metazoan animal lineages that multiple nuclear-encoded markers, so called universal single-copy orthologs (USCOs) performs much better than the single barcode gene to discriminate closely related species. Overcoming the general shortcomings of mitochondrial DNA barcodes, USCOs also accurately assign samples to higher taxonomic levels. These loci thus provide a powerful and unifying framework for species delimitation which considerably improves the DNA-based inference of animal species.","In this article, the authors demonstrate with empirical data from a number of metazoan animal lineages that multiple nuclear-encoded markers, so called universal single-copy orthologs (USCOs), perform much better than the single barcode gene to discriminate closely related species."
"Mitochondrial Genome and Nuclear Markers Provide New Insight into the Evolutionary History of Macaques.","https://scispace.com/paper/mitochondrial-genome-and-nuclear-markers-provide-new-insight-4m5ib6gs0t","2016","Journal Article","PLOS ONE","Juan Jiang
Jianqiu Yu
Jing Li
Peng Li
Zhenxin Fan
Lili Niu
Jiabo Deng
Bisong Yue","10.1371/JOURNAL.PONE.0154665","https://scispace.com/pdf/mitochondrial-genome-and-nuclear-markers-provide-new-insight-4m5ib6gs0t.pdf","The evolutionary history of macaques, genus Macaca, has been under debate due to the short times of divergence. In this study, maternal, paternal, and biparental genetic systems were applied to infer phylogenetic relationships among macaques and to trace ancient hybridization events in their evolutionary history. Using a PCR display method, 17 newly phylogenetically informative Alu insertions were identified from M. assamensis. We combined presence/absence analysis of 84 Alu elements with mitochondrial genomes as well as nuclear sequences (five autosomal genes, two Y chromosomal genes, and one X chromosomal fragment) to reconstruct a robust macaque phylogeny. Topologies generated from different inherited markers were similar supporting six well defined species groups and a close relationship of M. assamensis and M. thibetana, but differed in the placing of M. arctoides. Both Alu elements and nuclear genes supported that M. arctoides was close to the sinica group, whereas the mitochondrial data clustered it into the fascicularis/mulatta lineage. Our results reveal that a sex-biased hybridization most likely occurred in the evolutionary history of M. arctoides, and suggest an introgressive pattern of male-mediated gene flow from the ancestors of M. arctoides to the M. mulatta population followed by nuclear swamping. According to the estimation of divergence dates, the hybridization occurred around 0.88~1.77 mya (nuclear data) or 1.38~2.56 mya (mitochondrial data). In general, our study indicates that a combination of various molecular markers could help explain complicated evolutionary relationships. Our results have provided new insights into the evolutionary history of macaques and emphasize that hybridization might play an important role in macaque evolution.","The results reveal that a sex-biased hybridization most likely occurred in the evolutionary history of M. arctoides, and suggest an introgressive pattern of male-mediated gene flow from the ancestors of M., which emphasize that hybridization might play an important role in macaque evolution."
