"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Vespertilioninae systematics: Using mitochondrial and nuclear markers to elucidate phylogenetic relationships","https://scispace.com/paper/vespertilioninae-systematics-using-mitochondrial-and-nuclear-1d9x5py4ii","2009","","","Zachary P. Roehrs","","","A paucity of useful characters, morphological convergence, and potential rapid radiation has hindered systematists in elucidating evolutionary relationships within Vespertilioninae. In this study >8,500 base pairs of digenomic DNA for 113 taxa were sequenced and analyzed using maximum parsimony and Bayesian phylogenetic procedures to construct gene trees and test hypotheses of supergeneric evolutionary relationships in Vespertilioninae. Results of these analyses validate monophyly of Vespertilioninae with the exclusion of Myotis and support recognition of 6 tribes: Antrozoini, Lasiurini, Scotophilini, Vespertilionini, and 2 new unnamed tribal clades, the Perimyotine group and the Hypsugine group. Tree topologies indicate a Nycticeiini / Eptesicini group, but it is not supported. The heuristically pleasing tribe Plecotini also is unresolved in these gene trees. These results provided further support and greater resolution for previously proposed hypotheses of Vespertilioninae evolution based on mtDNA and, although deep branching patterns are not fully resolved, these data increase our understanding of the evolution of this ecologically important and diverse group of","These results provided further support and greater resolution for previously proposed hypotheses of Vespertilioninae evolution based on mtDNA and, although deep branching patterns are not fully resolved, these data increase the understanding of the evolution of this ecologically important and diverse group of species."
"Molecular Phylogenetics and Chronometrics of Tarsiidae Based on 12S mtDNA Haplotypes: Evidence for Miocene Origins of Crown Tarsiers and Numerous Species within the Sulawesian Clade","https://scispace.com/paper/molecular-phylogenetics-and-chronometrics-of-tarsiidae-based-45konnmrhe","2010","Journal Article","International Journal of Primatology","Myron Shekelle
Rudolf Meier
Ian Wahyu
Wirdateti
Nelson Ting","10.1007/S10764-010-9457-8","https://scispace.com/pdf/molecular-phylogenetics-and-chronometrics-of-tarsiidae-based-45konnmrhe.pdf","We report new mitochondrial DNA sequence data from tarsiers sampled from several populations, including the extreme northeast and southwest of the range of the Tarsius tarsier species complex, the most extensive sampling ever reported for this taxon. Our results provide the opportunity to produce the first ever molecular chronometric analysis of Tarsiidae. These results date the age of crown tarsiers, minimally, to the middle Miocene, and each of the 3 tarsier species groups, Tarsius bancanus, T. syrichta, and the T. tarsier complex, to the early or middle Miocene. Thus, each of these 3 species has evolved in isolation for a period of time that is consistent with that which would be expected for multiple speciation events. Our analysis of the Tarsius tarsier complex reveals 5 subclades, each of which is interpreted to represent a haplogroup at, or above, the species level, a result that is consistent with current hypotheses about numerous cryptic species within this species complex. The implications for conservation within the Sulawesi biogeographic region are that Sulawesi is subdivided into numerous subregions of endemism and that, by extrapolating the example of cryptic tarsier species to other taxa, biodiversity may be underestimated by an order of magnitude. The practical realties of conservation in Sulawesi are such that it is most reasonable to assume that anthropogenic extinctions are occurring, and that some species will go extinct before they have even been identified.","This work reports new mitochondrial DNA sequence data from tarsiers sampled from several populations, including the extreme northeast and southwest of the range of the Tarsius tarsier species complex, the most extensive sampling ever reported for this taxon, and produces the first ever molecular chronometric analysis of Tarsiidae."
"Ancient Introgression in Mouse Lemurs (Microcebus: Cheirogaleidae) Explains 20 Years of Phylogenetic Uncertainty","https://scispace.com/paper/ancient-introgression-in-mouse-lemurs-microcebus-1gzlt8ygza","2024","Journal Article","Bulletin of the Society of Systematic Biologists","Blake D. Fauskee
Andrew A. Crowl
Bryan Piatkowski
Anne D. Yoder
George P. Tiley","10.18061/bssb.v3i1.9319","","Mouse lemurs (genus Microcebus) are a clade of approximately 26 named species of small, nocturnal primates endemic to Madagascar. The genus radiated one to ten million years ago and is morphologically cryptic, with most species having been named within the past 20 years largely based on phylogenetic analysis of short fragments of mitochondrial data. More recent work has been focused on revisiting species designations with autosomal nuclear data using more sophisticated statistical approaches. The order of speciation events in Microcebus remains contentious, particularly with regard to the placement of the M. ravelobensis clade. We investigated support for previous phylogenetic hypotheses based on available whole-genome assemblies from six species and an outgroup. We recovered over 4,000 one-to-one orthologs from these assemblies and used concatenation and coalescent species tree methods to evaluate if differences between previous studies were due to methodological differences or to limitations from too few loci. Observed gene tree discordance was high with patterns inconsistent with incomplete lineage sorting alone. Therefore, we estimated phylogenetic networks to investigate ancient introgression events that may explain observed gene tree distributions and previous phylogenetic conflicts. A network model, invoking some role for introgressive hybridization in the early evolution of Microcebus, better characterizes phylogenetic relationships than does any binary species tree. Our results provide insights into the biogeographic history of a threatened and diverse group of primates while also highlighting an important role for phylogenetic network methods in resolving cases of phylogenetic uncertainty. ","A network model, invoking some role for introgressive hybridization in the early evolution of Microcebus, better characterizes phylogenetic relationships than does any binary species tree."
"Assessment of phylogenetic informativeness in mitochondrial and nuclear genes for mammalian systematics using sparse learning","https://scispace.com/paper/assessment-of-phylogenetic-informativeness-in-mitochondrial-h6o63gztatvg","2026","Journal Article","Frontiers in bioinformatics","Carlos G. Schrago
Beatriz Mello","10.3389/fbinf.2025.1704212","","Despite the growing availability of nuclear genomic data, mitochondrial genes remain the most widely used molecular markers in mammalian systematics. However, a quantitative assessment of the phylogenetic information content of mitochondrial loci compared to nuclear loci has never been carried out. Here, we apply a sparse learning approach based on Lasso regression to evaluate the contribution of alignment sites to phylogenetic likelihoods, providing the first estimates of phylogenetically effective lengths for markers commonly used in mammalian systematics. Analyzing more than 30,000 complete mammalian mitochondrial genomes and nuclear panels composed of either 100 randomly selected complete coding sequences or of partial gene segments from conventional markers, we examined phylogenetic informativeness at two taxonomic levels: within-species and among-species. On average, ∼32% of mitochondrial sites and ∼38% of nuclear sites were classified as phylogenetically informative. We found that the number of phylogenetically informative sites were positively correlated with total gene length. Therefore, longer mitochondrial genes, particularly ND5, COX1, and CYTB, harbored the largest numbers of informative sites. Although nuclear coding sequences contained, on average, more informative sites, mitochondrial genes also yielded consistent resolution of among-species relationships. Overall, our results provide the first large-scale, quantitative comparison of phylogenetic information content across mammalian mitochondrial and nuclear genes, offering a principled framework for marker selection in future systematics studies that can be broadly applied to any lineage.","This study assesses phylogenetic informativeness in mammalian mitochondrial and nuclear genes using sparse learning, finding that longer mitochondrial genes and nuclear coding sequences harbor the most informative sites, with implications for marker selection in systematics."
"Phylogenetic Relationships among the Colobine Monkeys Revisited: New Insights from Analyses of Complete mt Genomes and 44 Nuclear Non-Coding Markers","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-3ufrjybtp2dm","2024","Repository","","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang","10.60692/m2zpt-nmp52","","Background Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates. Principal Findings The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic 'odd-nosed' group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups. Significance The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics. ","This study re-examines phylogenetic relationships among Asian and African colobine monkeys using complete mt genomes and 44 nuclear non-coding markers, revealing complex relationships and rejecting a proposed African colobine paraphyly hypothesis."
"Phylogenetic Relationships among the Colobine Monkeys Revisited: New Insights from Analyses of Complete mt Genomes and 44 Nuclear Non-Coding Markers","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-bv36rfcf46ej","2024","Repository","","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang","10.60692/pj2hk-bny57","","Background Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates. Principal Findings The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic 'odd-nosed' group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups. Significance The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics. ",""
"The evolutionary radiation of Arvicolinae rodents (voles and lemmings): relative contribution of nuclear and mitochondrial DNA phylogenies","https://scispace.com/paper/the-evolutionary-radiation-of-arvicolinae-rodents-voles-and-33czq0eib9","2006","Journal Article","BMC Evolutionary Biology","Thomas Galewski
Marie-Ka Tilak
Sophie Sanchez
Pascale Chevret
Emmanuel Paradis
Emmanuel Paradis
Emmanuel J. P. Douzery","10.1186/1471-2148-6-80","https://hal.archives-ouvertes.fr/halsde-00324005/document","Mitochondrial and nuclear genes have generally been employed for different purposes in molecular systematics, the former to resolve relationships within recently evolved groups and the latter to investigate phylogenies at a deeper level. In the case of rapid and recent evolutionary radiations, mitochondrial genes like cytochrome b (CYB) are often inefficient for resolving phylogenetic relationships. One of the best examples is illustrated by Arvicolinae rodents (Rodentia; Muridae), the most impressive mammalian radiation of the Northern Hemisphere which produced voles, lemmings and muskrats. Here, we compare the relative contribution of a nuclear marker – the exon 10 of the growth hormone receptor (GHR) gene – to the one of the mitochondrial CYB for inferring phylogenetic relationships among the major lineages of arvicoline rodents. The analysis of GHR sequences improves the overall resolution of the Arvicolinae phylogeny. Our results show that the Caucasian long-clawed vole (Prometheomys schaposnikowi) is one of the basalmost arvicolines, and confirm that true lemmings (Lemmus) and collared lemmings (Dicrostonyx) are not closely related as suggested by morphology. Red-backed voles (Myodini) are found as the sister-group of a clade encompassing water vole (Arvicola), snow vole (Chionomys), and meadow voles (Microtus and allies). Within the latter, no support is recovered for the generic recognition of Blanfordimys, Lasiopodomys, Neodon, and Phaiomys as suggested by morphology. Comparisons of parameter estimates for branch lengths, base composition, among sites rate heterogeneity, and GTR relative substitution rates indicate that CYB sequences consistently exhibit more heterogeneity among codon positions than GHR. By analyzing the contribution of each codon position to node resolution, we show that the apparent higher efficiency of GHR is due to their third positions. Although we focus on speciation events spanning the last 10 million years (Myr), CYB sequences display highly saturated codon positions contrary to the nuclear exon. Lastly, variable length bootstrap predicts a significant increase in resolution of arvicoline phylogeny through the sequencing of nuclear data in an order of magnitude three to five times greater than the size of GHR exon 10. Our survey provides a first resolved gene tree for Arvicolinae. The comparison of CYB and GHR phylogenetic efficiency supports recent assertions that nuclear genes are useful for resolving relationships of recently evolved animals. The superiority of nuclear exons may reside both in (i) less heterogeneity among sites, and (ii) the presence of highly informative sites in third codon positions, that evolve rapidly enough to accumulate synapomorphies, but slow enough to avoid substitutional saturation.","A first resolved gene tree for Arvicolinae is provided and the comparison of CYB and GHR phylogenetic efficiency supports recent assertions that nuclear genes are useful for resolving relationships of recently evolved animals."
"Phylogenetic relationships among the colobine monkeys revisited: new insights from analyses of complete mt genomes and 44 nuclear non-coding markers.","https://scispace.com/paper/phylogenetic-relationships-among-the-colobine-monkeys-124znhs0km","2012","Journal Article","PLOS ONE","Xiaoping Wang
Li Yu
Christian Roos
Nelson Ting
Cui Ping Chen
Jing Wang
Ya-Ping Zhang
Ya-Ping Zhang","10.1371/JOURNAL.PONE.0036274","https://scispace.com/pdf/phylogenetic-relationships-among-the-colobine-monkeys-124znhs0km.pdf","Background 
Phylogenetic relationships among Asian and African colobine genera have been disputed and are not yet well established. In the present study, we revisit the contentious relationships within the Asian and African Colobinae by analyzing 44 nuclear non-coding genes (>23 kb) and mitochondrial (mt) genome sequences from 14 colobine and 4 non-colobine primates.
Principal Findings 
The combined nuclear gene and the mt genome as well as the combined nuclear and mt gene analyses yielded different phylogenetic relationships among colobine genera with the exception of a monophyletic ‘odd-nosed’ group consisting of Rhinopithecus, Pygathrix and Nasalis, and a monophyletic African group consisting of Colobus and Piliocolobus. The combined nuclear data analyses supported a sister-grouping between Semnopithecus and Trachypithecus, and between Presbytis and the odd-nosed monkey group, as well as a sister-taxon association of Pygathrix and Rhinopithecus within the odd-nosed monkey group. In contrast, mt genome data analyses revealed that Semnopithecus diverged earliest among the Asian colobines and that the odd-nosed monkey group is sister to a Presbytis and Trachypithecus clade, as well as a close association of Pygathrix with Nasalis. The relationships among these genera inferred from the analyses of combined nuclear and mt genes, however, varied with the tree-building methods used. Another remarkable finding of the present study is that all of our analyses rejected the recently proposed African colobine paraphyly and hybridization hypothesis and supported reciprocal monophyly of the African and Asian groups.
Significance 
The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae as a model, We found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation. None of these markers here have previously been used for colobine phylogenetic reconstruction, increasing the spectrum of molecular markers available to mammalian systematics.","The phylogenetic utility of large-scale new non-coding genes was assessed using the Colobinae and it was found that these markers were useful for distinguishing nodes resulting from rapid radiation episodes such as the Asian colobine radiation."
"The convoluted evolutionary history of the capped-golden langur lineage (Cercopithecidae: Colobinae) – concatenation versus coalescent analyses","https://scispace.com/paper/the-convoluted-evolutionary-history-of-the-capped-golden-2lkcnb48h9","2018","Posted Content","bioRxiv","Kunal Arekar
Abhijna Parigi
Abhijna Parigi
Karanth Kp","10.1101/508929","https://scispace.com/pdf/the-convoluted-evolutionary-history-of-the-capped-golden-2lkcnb48h9.pdf","Evolutionary studies have traditionally relied on concatenation based methods to reconstruct relationships from multiple markers. However, due to limitations of concatenation analyses, recent studies have proposed coalescent based methods to address evolutionary questions. Results from these methods tend to diverge from each other under situations where there is incomplete lineage sorting or hybridization. Here we used concatenation as well as multispecies coalescent (MSC) methods to understand the evolutionary origin of capped and golden langur (CG) lineage. Previous molecular studies have retrieved conflicting phylogenies, with mitochondrial tree grouping CG lineage with a largely Indian genus Semnopithecus, while nuclear markers support their affinities with a Southeast Asian genus, Trachypithecus. However, as pointed by others, the use of nuclear copies of mitochondrial DNA in the above studies might have generated the discordance. Because of this discordance, the phylogenetic position of CG lineage has been much debated in recent times. In this study, we have used nine nuclear and eight mitochondrial markers. Concatenated nuclear as well as the mitochondrial dataset recovered congruent relationships where CG lineage was sister to Trachypithecus. However nuclear species tree estimated using different MSC methods were incongruent with the above result, suggesting presence of incomplete lineage sorting (ILS)/hybridisation. Furthermore, CG lineage is morphologically intermediate between Semnopithecus and Trachypithecus. Based on this evidence, we argue that CG lineage evolved through hybridisation between Semnopithecus and Trachypithecus. Finally, we reason that both concatenation as well as coalescent methods should be used in conjunction for better understanding of various evolutionary hypotheses.","It is argued that CG lineage evolved through hybridisation between Semnopithecus and Trachypithecus, suggesting presence of ILS/hybridisation."
"Nuclear introns outperform mitochondrial DNA in inter-specific phylogenetic reconstruction: Lessons from horseshoe bats (Rhinolophidae: Chiroptera)","https://scispace.com/paper/nuclear-introns-outperform-mitochondrial-dna-in-inter-jbw5rup46mh7","2024","Repository","","Puechmaille, Sebastien J.
Allegrini Benjamin
Jacobs, David S.","10.5281/zenodo.13526138","","(Uploaded by Plazi for the Bat Literature Project) Despite many studies illustrating the perils of utilising mitochondrial DNA in phylogenetic studies, it remains one of the most widely used genetic markers for this purpose. Over the last decade, nuclear introns have been proposed as alternative markers for phylogenetic reconstruction. However, the resolution capabilities of mtDNA and nuclear introns have rarely been quantified and compared. In the current study we generated a novel ∼5kb dataset comprising six nuclear introns and a mtDNA fragment. We assessed the relative resolution capabilities of the six intronic fragments with respect to each other, when used in various combinations together, and when compared to the traditionally used mtDNA. We focused on a major clade in the horseshoe bat family (Afro-Palaearctic clade; Rhinolophidae) as our case study. This old, widely distributed and speciose group contains a high level of conserved morphology. This morphological stasis renders the reconstruction of the phylogeny of this group with traditional morphological characters complex. We sampled multiple individuals per species to represent their geographic distributions as best as possible (122 individuals, 24 species, 68 localities). We reconstructed the species phylogeny using several complementary methods (partitioned Maximum Likelihood and Bayesian and Bayesian multispecies-coalescent) and made inferences based on consensus across these methods. We computed pairwise comparisons based on Robinson–Foulds tree distance metric between all Bayesian topologies generated (27,000) for every gene(s) and visualised the tree space using multidimensional scaling (MDS) plots. Using our supported species phylogeny we estimated the ancestral state of key traits of interest within this group, e.g. echolocation peak frequency which has been implicated in speciation. Our results revealed many potential cryptic species within this group, even in taxa where this was not suspected a priori and also found evidence for mtDNA introgression. We demonstrated that by using just two introns one can recover a better supported species tree than when using the mtDNA alone, despite the shorter overall length of the combined introns. Additionally, when combining any single intron with mtDNA, we showed that the result is highly similar to the mtDNA gene tree and far from the true species tree and therefore this approach should be avoided. We caution against the indiscriminate use of mtDNA in phylogenetic studies and advocate for pilot studies to select nuclear introns. The selection of marker type and number is a crucial step that is best based on critical examination of preliminary or previously published data. Based on our findings and previous publications, we recommend the following markers to recover phylogenetic relationships between recently diverged taxa (<20My) in bats and other mammals: ACOX2, COPS7A, BGN, ROGDI and STAT5A. ",""
