"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Multi-species Coalescent Model and Species Tree Inference","https://scispace.com/paper/the-multi-species-coalescent-model-and-species-tree-39r8dvf4wi","2020","Book Chapter","","Bruce Rannala
Scott V. Edwards
Adam D. Leaché
Ziheng Yang","","https://hal.archives-ouvertes.fr/hal-02535622/document","The multispecies coalescent (MSC) is an extension of the single-population coalescent model of population genetics to the case of multiple species. The MSC naturally accommodates speciation events (with subsequent genetic isolation between species) and the coalescent process within each species. It provides a framework for analysis of multilocus genomic sequence data from multiple species in a number of inference problems including species tree estimation, accounting for ancestral polymorphism and deep coalescence. Within this framework, the genealogical fluctuations across genes or genomic regions (and the gene tree/species tree conflicts that may result) are not seen as a problem but rather as a source of information for estimating important parameters such as species divergence times, ancestral population sizes, and the timings, directions, and intensities of cross-species introgression or hybridisation events. This chapter outlines the basic theory of the MSC and its important applications in analysis of genomic sequence data, describing the most widely-used full-likelihood and heuristic methods of species tree estimation. We discuss several active areas of research in which we predict future developments will occur, including inference of introgression events on a species phylogeny.","This chapter outlines the basic theory of the MSC and its important applications in analysis of genomic sequence data, describing the most widely-used full-likelihood and heuristic methods of species tree estimation."
"StarBEAST2 brings faster species tree inference and accurate estimates of substitution rates","https://scispace.com/paper/starbeast2-brings-faster-species-tree-inference-and-accurate-3m0twvowko","2016","Posted Content","bioRxiv","Huw A. Ogilvie
Remco R. Bouckaert
Alexei J. Drummond","10.1101/070169","https://www.biorxiv.org/content/biorxiv/early/2016/12/19/070169.full.pdf","The multispecies coalescent (MSC) reconstructs species trees from a set of genes, and fully Bayesian MSC methods like *BEAST estimate species trees from multiple sequence alignments. Today thousands of genes can be sequenced for a given study, but using that many genes with *BEAST is intractably slow. One alternative is concatenation, which assumes that the evolutionary history of each gene tree is identical to the species tree. This is an inconsistent estimator of species tree topology, and a worse estimator of divergence times. Concatenation also induces spurious substitution rate variation when incomplete lineage sorting is present. Another alternative is to use summary MSC methods like ASTRAL, but such methods are also unsatisfactory because they infer branch lengths in coalescent units, and so cannot estimate divergence times. To enable fuller use of available data and more accurate inference of species tree topologies, divergence times, and substitution rates, we have developed a new version of *BEAST called StarBEAST2. To improve convergence rates we add analytical integration of population sizes and novel MCMC operators which improved computational performance by 3.1x when analyzing a single empirical data set, and an average of 6.2x across 96 simulated data sets. Convergence rates are also more consistent between chains than *BEAST. To enable accurate estimates of per-species substitution rates we introduce species tree relaxed clocks, and show that StarBEAST2 is a more powerful and robust estimator of rate variation than concatenation. StarBEAST2 is available through the BEAUTi package manager in BEAST 2.4 and above.","To enable fuller use of available data and more accurate inference of species tree topologies, divergence times, and substitution rates, a new version of *BEAST is developed called StarBEast2, and it is shown that StarBEAST2 is a more powerful and robust estimator of rate variation than concatenation."
"StarBeast3: Adaptive Parallelized Bayesian Inference under the Multispecies Coalescent","https://scispace.com/paper/starbeast3-adaptive-parallelized-bayesian-inference-under-o79fqsdh","2022","Journal Article","Systematic Biology","Jordan Douglas
Cinthy Lorena Jiménez-Silva
Remco R. Bouckaert","10.1093/sysbio/syac010","https://academic.oup.com/sysbio/advance-article-pdf/doi/10.1093/sysbio/syac010/42807763/syac010.pdf","Abstract As genomic sequence data become increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent (MSC) methods address these issues. This is achieved by constraining a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3—a software package for efficient Bayesian inference under the MSC model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene-tree inference is parallelized, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic data sets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes. StarBeast3 is open-source and is easy to set up with a friendly graphical user interface. [Adaptive; Bayesian inference; BEAST 2; effective population sizes; high performance; multispecies coalescent; parallelization; phylogenetics.]","The results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes."
"Species tree inference by the STAR method, and generalizations","https://scispace.com/paper/species-tree-inference-by-the-star-method-and-2ypbz6iuet","2012","Posted Content","arXiv: Populations and Evolution","Elizabeth S. Allman
James H. Degnan
John A. Rhodes","","https://arxiv.org/pdf/1204.4413v1","The multispecies coalescent model describes the generation of gene trees from a rooted metric species tree, and thus provides a framework for the inference of species trees from sampled gene trees. We prove that the STAR method of Liu et al., and generalizations of it, are statistically consistent methods of topological species tree inference under this model. We discuss the impact of gene tree sampling schemes for species tree inference using generalized STAR methods, and reinterpret the original STAR as a consensus method based on clades.","It is proved that the STAR method of Liu et al., and generalizations of it, are statistically consistent methods of topological species tree inference under the multispecies coalescent model."
"Two-step Species Tree Inference under the Multispecies Coalescent Using Full-Likelihood","https://scispace.com/paper/two-step-species-tree-inference-under-the-multispecies-i6ukrjb99ki7","2025","Journal Article","Evolutionary Journal of the Linnean Society","Wenjie Zhu
Sebastian Höhna","10.1093/evolinnean/kzaf018","","Abstract Gene tree-species tree discordance is widely recognized, and the multispecies coalescent (MSC) model has emerged as the standard framework for species tree inference from multilocus data. However, existing methods face challenges: joint inference methods are computationally intensive or even infeasible for large datasets, while summary methods use approximations and often ignore gene tree estimation uncertainties. Here, we introduce and explore a two-step full-likelihood method combining efficiency of summary methods with the statistical rigor of full-likelihood approaches. Specifically, our new approach uses either estimated gene trees (RevBayes-MSC) or posterior samples of gene trees (RevBayes-IS) and computes the likelihood under the multispecies coalescent process without approximations. Through simulation, we evaluated our method against existing approaches under varying levels of incomplete lineage sorting (ILS) and gene tree estimation error. Joint estimation (using BPP) consistently outperformed two-step methods, particularly under high levels of ILS. Among two-step approaches, methods utilizing branch lengths (Maximum Tree and RevBayes-MSC) achieved superior accuracy with known gene trees, while summary methods using only topological information (MP-EST and ASTRAL) demonstrated greater robustness to gene tree uncertainty and estimation errors. Empirical analysis of gibbon data revealed conflicting phylogenetic signals, with our two RevBayes methods and BPP supporting different topologies. Our importance sampling approach (RevBayes-IS) represents a novel full-likelihood methodology for MSC inference that shows promise with increasing sample sizes approaching joint inference performance, though computational efficiency requires further improvement through implementation optimization. Most importantly, this study demonstrates the strength and weakness of using two-step full-likelihood species tree inference. ","Researchers introduce a two-step full-likelihood method for species tree inference under the multispecies coalescent model, combining efficiency with statistical rigor, and evaluate its performance through simulations and empirical analysis of gibbon data."
"OUP accepted manuscript","https://scispace.com/paper/oup-accepted-manuscript-206ngf6o","2022","Journal Article","Systematic Biology","","10.1093/sysbio/syac010","","As genomic sequence data become increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent (MSC) methods address these issues. This is achieved by constraining a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3-a software package for efficient Bayesian inference under the MSC model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene-tree inference is parallelized, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic data sets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the data set and on the parameter, and can achieve convergence on large data sets with hundreds of genes. StarBeast3 is open-source and is easy to set up with a friendly graphical user interface. [Adaptive; Bayesian inference; BEAST 2; effective population sizes; high performance; multispecies coalescent; parallelization; phylogenetics.]. ","StarBeast3 as discussed by the authors is a software package for efficient Bayesian inference under the multispecies coalescent (MSC) model via Markov chain Monte Carlo (MCMC)."
"StarBeast3: Adaptive Parallelised Bayesian Inference of the Multispecies Coalescent","https://scispace.com/paper/starbeast3-adaptive-parallelised-bayesian-inference-of-the-131xcnmut7","2021","Posted Content","bioRxiv","Jordan Douglas
Cinthy L. Jiménez-Silva
Remco R. Bouckaert","10.1101/2021.10.06.463424","https://scispace.com/pdf/starbeast3-adaptive-parallelised-bayesian-inference-of-the-131xcnmut7.pdf","As genomic sequence data becomes increasingly available, inferring the phylogeny of the species as that of concatenated genomic data can be enticing. However, this approach makes for a biased estimator of branch lengths and substitution rates and an inconsistent estimator of tree topology. Bayesian multispecies coalescent methods address these issues. This is achieved by embedding a set of gene trees within a species tree and jointly inferring both under a Bayesian framework. However, this approach comes at the cost of increased computational demand. Here, we introduce StarBeast3 -- a software package for efficient Bayesian inference of the multispecies coalescent model via Markov chain Monte Carlo. We gain efficiency by introducing cutting-edge proposal kernels and adaptive operators, and StarBeast3 is particularly efficient when a relaxed clock model is applied. Furthermore, gene tree inference is parallelised, allowing the software to scale with the size of the problem. We validated our software and benchmarked its performance using three real and two synthetic datasets. Our results indicate that StarBeast3 is up to one-and-a-half orders of magnitude faster than StarBeast2, and therefore more than two orders faster than *BEAST, depending on the dataset and on the parameter, and is suitable for multispecies coalescent inference on large datasets (100+ genes). StarBeast3 is open-source and is easy to set up with a friendly graphical user interface.","StarBeast3 as mentioned in this paper is a software package for efficient Bayesian inference of the multispecies coalescent model via Markov chain Monte Carlo (MCMC) with a relaxed clock model."
"Efficient Bayesian species tree inference under the multispecies coalescent.","https://scispace.com/paper/efficient-bayesian-species-tree-inference-under-the-3sk2rd1hno","2017","Journal Article","Systematic Biology","Bruce Rannala
Ziheng Yang","10.1093/SYSBIO/SYW119","","We develop a Bayesian method for inferring the species phylogeny under the multispecies coalescent (MSC) model. To improve the mixing properties of the Markov chain Monte Carlo (MCMC) algorithm that traverses the space of species trees, we implement two efficient MCMC proposals: the first is based on the Subtree Pruning and Regrafting (SPR) algorithm and the second is based on a node-slider algorithm. Like the Nearest-Neighbor Interchange (NNI) algorithm we implemented previously, both new algorithms propose changes to the species tree, while simultaneously altering the gene trees at multiple genetic loci to automatically avoid conflicts with the newly proposed species tree. The method integrates over gene trees, naturally taking account of the uncertainty of gene tree topology and branch lengths given the sequence data. A simulation study was performed to examine the statistical properties of the new method. The method was found to show excellent statistical performance, inferring the correct species tree with near certainty when 10 loci were included in the dataset. The prior on species trees has some impact, particularly for small numbers of loci. We analyzed several previously published datasets (both real and simulated) for rattlesnakes and Philippine shrews, in comparison with alternative methods. The results suggest that the Bayesian coalescent-based method is statistically more efficient than heuristic methods based on summary statistics, and that our implementation is computationally more efficient than alternative full-likelihood methods under the MSC. Parameter estimates for the rattlesnake data suggest drastically different evolutionary dynamics between the nuclear and mitochondrial loci, even though they support largely consistent species trees. We discuss the different challenges facing the marginal likelihood calculation and transmodel MCMC as alternative strategies for estimating posterior probabilities for species trees. [Bayes factor; Bayesian inference; MCMC; multispecies coalescent; nodeslider; species tree; SPR.].","In this paper, a Bayesian method for inferring the species phylogeny under the multispecies coalescent (MSC) model was developed, which integrates over gene trees, naturally taking account of the uncertainty of gene tree topology and branch lengths given the sequence data."
"ASTRID: Accurate Species TRees from Internode Distances","https://scispace.com/paper/astrid-accurate-species-trees-from-internode-distances-5a0of65o3x","2015","Journal Article","BMC Genomics","Pranjal Vachaspati
Tandy Warnow","10.1186/1471-2164-16-S10-S3","https://scispace.com/pdf/astrid-accurate-species-trees-from-internode-distances-5a0of65o3x.pdf","Incomplete lineage sorting (ILS), modelled by the multi-species coalescent (MSC), is known to create discordance between gene trees and species trees, and lead to inaccurate species tree estimations unless appropriate methods are used to estimate the species tree. While many statistically consistent methods have been developed to estimate the species tree in the presence of ILS, only ASTRAL-2 and NJst have been shown to have good accuracy on large datasets. Yet, NJst is generally slower and less accurate than ASTRAL-2, and cannot run on some datasets. We have redesigned NJst to enable it to run on all datasets, and we have expanded its design space so that it can be used with different distance-based tree estimation methods. The resultant method, ASTRID, is statistically consistent under the MSC model, and has accuracy that is competitive with ASTRAL-2. Furthermore, ASTRID is much faster than ASTRAL-2, completing in minutes on some datasets for which ASTRAL-2 used hours. ASTRID is a new coalescent-based method for species tree estimation that is competitive with the best current method in terms of accuracy, while being much faster. ASTRID is available in open source form on github.","ASTRID is a new coalescent-based method for species tree estimation that is competitive with the best current method in terms of accuracy, while being much faster."
"ASTRID: Accurate Species TRees from Internode Distances","https://scispace.com/paper/astrid-accurate-species-trees-from-internode-distances-cqj4fjrlqv","2015","Posted Content","bioRxiv","Pranjal Vachaspati
Tandy Warnow","10.1101/023036","https://scispace.com/pdf/astrid-accurate-species-trees-from-internode-distances-cqj4fjrlqv.pdf","Background: Incomplete lineage sorting (ILS), modelled by the multi-species coalescent (MSC), is known to create discordance between gene trees and species trees, and lead to inaccurate species tree estimations unless appropriate methods are used to estimate the species tree. While many statistically consistent methods have been developed to estimate the species tree in the presence of ILS, only ASTRAL-2 and NJst have been shown to have good accuracy on large datasets. Yet, NJst is generally slower and less accurate than ASTRAL-2, and cannot run on some datasets. Results: We have redesigned NJst to enable it to run on all datasets, and we have expanded its design space so that it can be used with different distance-based tree estimation methods. The resultant method, ASTRID, is statistically consistent under the MSC model, and has accuracy that is competitive with ASTRAL-2. Furthermore, ASTRID is much faster than ASTRAL-2, completing in minutes on some datasets for which ASTRAL-2 used hours. Conclusions: ASTRID is a new coalescent-based method for species tree estimation that is competitive with the best current method in terms of accuracy, while being much faster. ASTRID is available in open source form on github.","ASTRID is a new coalescent-based method for species tree estimation that is competitive with the best current method in terms of accuracy, while being much faster."
