"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://www.wildsolutions.nl/wp-content/uploads/Three-Galagoides-Butynski-et-al-2006.pdf","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew W. Perkin
Simon K. Bearder
Paul E. Honess","10.1896/0898-6207.21.1.63","https://www.wildsolutions.nl/wp-content/uploads/Three-Galagoides-Butynski-et-al-2006.pdf","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Speciation among galagos (Primates, Galagidae) in Tanzanian forests","https://scispace.com/paper/QLPPYCTZ","1996","Thesis","","Paul E. Honess","","",""
"Bayesian Inference of Species Trees from Multilocus Data using *BEAST","https://scispace.com/paper/DSPUCHZX","","Journal Article","","Alexei J Drummond
Walter Xie
Joseph Heled","","https://www.zotero.org/johankarlssonk9/items/DSPUCHZX/attachment/BEQGS8P2/reader",""
"Descriptions of the dwarf galago species of Tanzania","https://scispace.com/paper/descriptions-of-the-dwarf-galago-species-of-tanzania-3k4oqc03u3","1996","Journal Article","African Primates","Paul E. Honess
Simon K. Bearder","","",""
"Über einen galago von sansibar","https://scispace.com/paper/6N9FHH53","1893","Journal Article","Sitzungsberichte der Gesellschaft Naturforschender Freunde zu Berlin","Paul Matschie","","",""
"Cryptic diversity and species boundaries within the <i>Paragalago zanzibaricus</i> species complex","https://scispace.com/paper/P39CTPTD","2020","Journal Article","Molecular Phylogenetics and Evolution","Luca Pozzi
Anna Penna
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Todd R. Disotell","10.1016/j.ympev.2020.106887","https://www.zotero.org/johankarlssonk9/items/P39CTPTD/attachment/8ZHCC7K4/reader","The recently described genus Paragalago is a complex of several nocturnal and morphologically cryptic species distributed in the forests of eastern Africa. Species diversity within this genus has been mainly described using species-specific differences in their loud calls. However, molecular data are still lacking for this group and species boundaries remain unclear. In this study, we explore species diversity within the zanzibaricus-complex using a combination of mitochondrial and nuclear data and comparing multiple species delimitation methods. Our results consistently support the existence of three independent lineages, P. cocos, P. zanzibaricus, and P. granti, confirming previous hypotheses based on vocal data. We conclude that these three lineages represent valid cryptic species and we hypothesize that speciation within this complex was characterized by cycles of forest expansion and contraction in the Plio-Pleistocene."
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/a-new-genus-for-the-eastern-dwarf-galagos-primates-galagidae-41i8wkex5w","2017","Journal Article","Zoological Journal of the Linnean Society","Judith C. Masters
Luca Pozzi
Sébastien Couette
Mikael S. Svensson","10.1093/zoolinnean/zlw028","",""
"A field Study on the conservation status and species diversity of galagos in Tanzania, July – December 1999","https://scispace.com/paper/GRHVTUV2","","Journal Article","","Tina Santilli","","https://www.zotero.org/johankarlssonk9/items/GRHVTUV2/attachment/4ZCM95X3/reader","The survey was conducted during the period July-December 2000. Forest reserves in the following areas were surveyed: the Uluguru Mountains and lowlands, the Luhombero and Nyumbanito forests in the Udzungwa Mountains National Park, the Mahenge foothills and Miombo woodlands, and forests of the Taita Hills in Kenya. Of the Eastern Arc forests the Mountain galago was found to be present at Luhombero forest, Uluguru North and South FRs, and Mkungwe FR (Mkungwe FR is part of the Uluguru Mountains). At Mkungwe FR a Mountain Galago was trapped for the first time since the capture of the type specimen in 1926. This captured animal is providing important additional information on type description of this species and may even be described as a paratype. The animal was released unharmed. The survey of the Nyumabanito and Luhombero forests, which has never been surveyed for primates, revealed populations of the Mountain galago and the endemic Iringa Red Colobus Piliocolobus gordonorum but no Sanje Mangabeys were found. Namakutwa/Kiwengoma FR was not visited due transport problems. Instead a previously unsurveyed forest, Nambiga FR also south of Rufiji River in Mahenge district was visited. Here Grant’s galago was found which further shows that the Rufiji River is a biological boundary between the Zanzibar galago and this species. Interestingly the Rondo and Garnett’s galagos were not found. Zanzibar and Garnett’s galagos were found in Ruvu FR."
"Comparative penile morphology of East African galagos (Family Galagidae): Implications for taxonomy","https://scispace.com/paper/5HVVM87Q","","Journal Article","","","","https://www.zotero.org/johankarlssonk9/items/5HVVM87Q/attachment/EC36SEUT/reader",""
